Holy-Bible---Abureni---Abureni-Bible---Standard-Edition.sqlite	Abureni Bible	Abureni Bible	Abureni	Abureni	892928
Holy-Bible---Ahirani---Ahirani-Bible---Standard-Edition.sqlite	Ahirani Bible	प्रेम संदेश	Ahirani	अहिराणी‎	4911104
Holy-Bible---Ajiya---Ajiya-Bible---Standard-Edition.sqlite	Ajiya Bible	Ajigha Bible	Ajiya	Ajiya	544768
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible---Standard-Edition.sqlite	Alaba-K’abeena Bible	ሃዕሮ ወኣድ መጻፈ	Alaba-K'abeena	Alaba-K'abeena	1585152
Holy-Bible---Amo---Amo-Bible---Standard-Edition.sqlite	Amo Bible	Amo Bible	Amo	Timap	1073152
Holy-Bible---Apal---Apali-Bible---Standard-Edition.sqlite	Apali Bible	Asɨ dɨ Manasɨŋ	Apal	Apalɨ	3444736
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible---Standard-Edition.sqlite	Arabic Van Dyck Bible	الكتاب المقدس باللغة العربية، فان دايك	Arabic	العربية	8245248
Holy-Bible---Arabic---New-Arabic-Bible---Standard-Edition.sqlite	New Arabic Version	كتاب الحياة	Arabic	العربية	8835072
Holy-Bible---Aramaic---Syriac-Peshitta---Standard-Edition.sqlite	Aramaic Peshitta New Testament	ܦܫܝܛܬܐ	Aramaic	ܦܫܝܛܬܐ	1179648
Holy-Bible---Arapaho---Arapaho-Luke---Standard-Edition.sqlite	Arapaho Luke	Hethadenee waunauyaunee vadan Luke Vanenāna	Arapaho	Arapaho	188416
Holy-Bible---Armenian---Armenian-Bible-Eastern---Standard-Edition.sqlite	Eastern Armenian Bible	Արեւելահայերեն Աստվածաշունչ	Armenian, Eastern	Արեւելահայերեն	1437696
Holy-Bible---Armenian---Armenian-Bible-Western---Standard-Edition.sqlite	Western Armenian New Testament 1853	Արեւմտահայերեն Աստվածաշունչ	Armenian, Western	Արեւմտահայերեն	1732608
Holy-Bible---Aruamu---Aruamu-Bible---Standard-Edition.sqlite	Aruamu Bible	Godɨn Eghaghanim	Aruamu	Mikarew-Ariaw	6844416
Holy-Bible---Arumanisht---Aromanian-Bible---Standard-Edition.sqlite	Aromanian Bible	Biblija tu limba Rrãmãnã	Aromanian	Armãneashti	319488
Holy-Bible---Assamese---Assamese-Bible---Standard-Edition.sqlite	Assamese Bible	অসমীয়া বাইবেল	Assamese, Standard	অসমীয়া	11522048
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible---Standard-Edition.sqlite	Ayta Ambala Bible	Ayta Ambala Bible	Ayta, Ambala	Ambala Ayta	192512
