Holy-Bible---Abureni---Abureni-Bible---Standard-Edition.tar	Abureni Bible	Abureni Bible	Abureni	Abureni	829440
Holy-Bible---Ahirani---Ahirani-Bible---Standard-Edition.tar	Ahirani Bible	प्रेम संदेश	Ahirani	अहिराणी‎	4567040
Holy-Bible---Ahirani---Gospels---Standard-Edition.tar	Ahirani Gospels	प्रेम संदेश	Ahirani	अहिराणी‎	501760
Holy-Bible---Ajiya---Ajiya-Bible---Standard-Edition.tar	Ajiya Bible	Ajigha Bible	Ajiya	Ajiya	491520
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible---Standard-Edition.tar	Alaba-K’abeena Bible	ሃዕሮ ወኣድ መጻፈ	Alaba-K'abeena	Alaba-K'abeena	1484800
Holy-Bible---Amo---Amo-Bible---Standard-Edition.tar	Amo Bible	Amo Bible	Amo	Timap	1003520
Holy-Bible---Apal---Apali-Bible---Standard-Edition.tar	Apali Bible	Asɨ dɨ Manasɨŋ	Apal	Apalɨ	3194880
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible---Standard-Edition.tar	Arabic Van Dyck Bible	الكتاب المقدس باللغة العربية، فان دايك	Arabic	العربية	7680000
Holy-Bible---Arabic---New-Arabic-Bible---Standard-Edition.tar	New Arabic Version	كتاب الحياة	Arabic	العربية	8222720
Holy-Bible---Aramaic---Syriac-Peshitta---Standard-Edition.tar	Aramaic Peshitta New Testament	ܦܫܝܛܬܐ	Aramaic	ܦܫܝܛܬܐ	1105920
Holy-Bible---Arapaho---Arapaho-Luke---Standard-Edition.tar	Arapaho Luke	Hethadenee waunauyaunee vadan Luke Vanenāna	Arapaho	Arapaho	163840
Holy-Bible---Armenian---Armenian-Bible-Eastern---Standard-Edition.tar	Eastern Armenian Bible	Արեւելահայերեն Աստվածաշունչ	Armenian, Eastern	Արեւելահայերեն	1331200
Holy-Bible---Armenian---Armenian-Bible-Western---Standard-Edition.tar	Western Armenian New Testament 1853	Արեւմտահայերեն Աստվածաշունչ	Armenian, Western	Արեւմտահայերեն	1617920
Holy-Bible---Aruamu---Aruamu-Bible---Standard-Edition.tar	Aruamu Bible	Godɨn Eghaghanim	Aruamu	Mikarew-Ariaw	6369280
Holy-Bible---Arumanisht---Aromanian-Bible---Standard-Edition.tar	Aromanian Bible	Biblija tu limba Rrãmãnã	Aromanian	Armãneashti	296960
Holy-Bible---Assamese---Assamese-Bible---Standard-Edition.tar	Assamese Bible	অসমীয়া বাইবেল	Assamese, Standard	অসমীয়া	10659840
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible---Standard-Edition.tar	Ayta Ambala Bible	Ayta Ambala Bible	Ayta, Ambala	Ambala Ayta	174080
Holy-Bible---Azerbaijani---Azerbaijani-Bible---Standard-Edition.tar	Azerbaijani Bible	Azərbaycan dilində Müqəddəs Kitab	Azerbaijani, South	Azeri	4352000
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible---Standard-Edition.tar	Baga Sitemu Bible	Kitabu ka Kanu	Baga Sitemu	Barka Sitemu	1638400
Holy-Bible---Baiso---Basio-Bible---Standard-Edition.tar	Baiso Bible	አማቶ ኦኡሱብ	Baiso	Bayso	1464320
Holy-Bible---Bangwinji---Bangwinji-Bible---Standard-Edition.tar	Bangwinji Bible	Bangwinji Bible	Bangwinji	Bangunji	819200
