Holy-Bible---Abureni---Abureni-Bible---Standard-Edition.toml	Abureni Bible	Abureni Bible	Abureni	Abureni	814416
Holy-Bible---Ahirani---Ahirani-Bible---Standard-Edition.toml	Ahirani Bible	प्रेम संदेश	Ahirani	अहिराणी‎	4530833
Holy-Bible---Ajiya---Ajiya-Bible---Standard-Edition.toml	Ajiya Bible	Ajigha Bible	Ajiya	Ajiya	484099
Holy-Bible---Alaba-Kabeena---Alaba-Kabeena-Bible---Standard-Edition.toml	Alaba-K’abeena Bible	ሃዕሮ ወኣድ መጻፈ	Alaba-K'abeena	Alaba-K'abeena	1455233
Holy-Bible---Amo---Amo-Bible---Standard-Edition.toml	Amo Bible	Amo Bible	Amo	Timap	970456
Holy-Bible---Apal---Apali-Bible---Standard-Edition.toml	Apali Bible	Asɨ dɨ Manasɨŋ	Apal	Apalɨ	3158897
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible---Standard-Edition.toml	Arabic Van Dyck Bible	الكتاب المقدس باللغة العربية، فان دايك	Arabic	العربية	7607578
Holy-Bible---Arabic---New-Arabic-Bible---Standard-Edition.toml	New Arabic Version	كتاب الحياة	Arabic	العربية	8152551
Holy-Bible---Aramaic---Syriac-Peshitta---Standard-Edition.toml	Aramaic Peshitta New Testament	ܦܫܝܛܬܐ	Aramaic	ܦܫܝܛܬܐ	1072965
Holy-Bible---Arapaho---Arapaho-Luke---Standard-Edition.toml	Arapaho Luke	Hethadenee waunauyaunee vadan Luke Vanenāna	Arapaho	Arapaho	159146
Holy-Bible---Armenian---Armenian-Bible-Eastern---Standard-Edition.toml	Eastern Armenian Bible	Արեւելահայերեն Աստվածաշունչ	Armenian, Eastern	Արեւելահայերեն	1318705
Holy-Bible---Armenian---Armenian-Bible-Western---Standard-Edition.toml	Western Armenian New Testament 1853	Արեւմտահայերեն Աստվածաշունչ	Armenian, Western	Արեւմտահայերեն	1592628
Holy-Bible---Aruamu---Aruamu-Bible---Standard-Edition.toml	Aruamu Bible	Godɨn Eghaghanim	Aruamu	Mikarew-Ariaw	6298327
Holy-Bible---Arumanisht---Aromanian-Bible---Standard-Edition.toml	Aromanian Bible	Biblija tu limba Rrãmãnã	Aromanian	Armãneashti	279616
Holy-Bible---Assamese---Assamese-Bible---Standard-Edition.toml	Assamese Bible	অসমীয়া বাইবেল	Assamese, Standard	অসমীয়া	10588031
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible---Standard-Edition.toml	Ayta Ambala Bible	Ayta Ambala Bible	Ayta, Ambala	Ambala Ayta	162648
Holy-Bible---Azerbaijani---Azerbaijani-Bible---Standard-Edition.toml	Azerbaijani Bible	Azərbaycan dilində Müqəddəs Kitab	Azerbaijani, South	Azeri	4285977
