2800000006	IMatta
2801010047	Awọ iwọọ iMusa ute iYesu iKristi, anọ iDauda, anga ute Ibrahim.
280102004d	Ibrahim jee Ishaku, Ishaku jee iYakubu, IYakubu jee iYahuza kina anayuru nga,
2801030071	IYahuza ate iFeresa kina iZera ayuru bọ nga shi iTama, IFeresa nga shi ate iHesruna, IHesruna nga shi ate Aram,
2801040059	Aram nga shi ate Amminadab, Amminadab nga shi ate iNashon, INashon nga shi ate iSalmọn,
280105008e	ISalmọn nga shi ate IBọ’aza, ayuru jee nga anga shi iRahab, IBowaz nga shi ate Obida, ayuru nga anga shi iRut, Obida nga shi ate iYesse,
2801060061	IYesse nga shi ate agọm iDauda, IDauda nga shi ate iSulemanu ayuru nga anga sa shi ayiri Uriya,
2801070056	ISulemanu nga shi ate iRehobowam, IRehobowam nga shi ate Abiya, Abiya nga shi ate Asa,
2801080058	Asa nga shi ate iYehoshafat, IYehoshafat nga shi ate iYoram, IYoram nga shi ate Azariya,
2801090050	Azariya nga shi ate iYotam, IYotam nga shi ate Ahaz, Ahaz nga shi ate iHezekiya,
28010a0058	iHezekiya nga shi ate iManassa, IManassa nga shi ate Amọn, Amọn nga shi ate iYosiya,
28010b005a	IYosiya nga shi ate iYekoniya kina anayuru nga akyua mani ayẹri bu ki kya bu aBabila wu.
28010c005c	Aya kya bọ aBabila ni, IYekoniya va jee iSheyaltiyel, ISheyaltiyel nga shi ate iZarubabel,
28010d0059	IZarubabel nga shi ate Abihudu, Abihudu nga shi ate Eliyakim, Eliyakim nga shi ate Azuro,
28010e0050	Azuro nga shi ate iSaduku, ISaduku nga shi ate Akimu, Akimu nga shi ate Aliyudu,
28010f005a	Aliyudu nga shi ate Eliyazara, Eliyazara nga shi ate iMatana, IMatana nga shi ate iYakubu,
2801100064	IYakubu nga shi ate iYusufu aghẹmẹ iMaryamu aghọmani ajee iYesu mani ayọrọ nga si iKristi.
28011100e4	Ko kpaa kọ ute Ibrahim ki ta ka iDawuda, ite usho na inari yọ, kọ kpaa ka iDauda ki ta kọ uyẹri bọ ki kyaa aBabila ite usho ni inari yọ, kọ kpaa ki uyẹri bọ ka aBabila ki ta ka iKristi ite usho ni inari yọ.
2801120092	Umani ujee iYesu iKristi sa shi, ayuru nga iMaryamu akọ cira nga ki ma iYusufu, ata kọ takwyuẹ ni avasa nu nga na afo anga aghing Ọnọng.
2801130083	Ni aghẹmẹ nga iYusufu, aghọmani aka ju ima ushi na kikya, ata wang ọsa nga ighọng ba, na ava wang usheri nga ya naikẹr.
280114010c	Ashi kidẹ uwang uju kindọ ni, ba irishu, atuma Ọnọng va yeni ẹrẹkwyuẹ nga kidẹ amọgọ, ki tẹri si, “IYusufu, anọ iDauda, ma kọng ẹrẹbata ukpaa iMaryamu sa ayiri ngọ ba, ki imumani ishi kidẹ afo nga ni iba kukushi aghing Ọnọng ko.
2801150054	Aki jee anọ, ni ingọ ki ma nga uca si iYesu, ka aki foo ajiya kọ vulu bọ.”
2801160043	Uma ri ba kọ ma hwura umumani Ate aYaya tẹri ka anyu Atina nga,
280117009e	“Uwẹ ni, anayiri mani aye nga aghẹmẹ ba ki kpaa afo ka jee anọ anaghẹmẹ, na aki yọrọ nga si Immanuwel.” (Uwu shi si, Ọnọng shi ni yi).
2801180063	IYusufu ya shira kọ mor ni, ava ju kọnọ mani Atuma Ọnọng tẹri nga ni, A kpaa ayiri nga,
2801190048	ara ye ẹrẹnọma nga ba ki ta ko jee anọ. Ava ma nga uca si iYesu.
280201008a	Ajee iYesu ki ifọng aBaitalami ka aYahudiya, ka akyua agọm iHiridus, na ace aghọ uye ẹyẹrẹ ba ki shii iripiya ki ba Urushelima
280202009e	na aba wulu si, “Abi wọ ni anọ mani ajee ki tee agọm aYahudawa shi wọ? Iyi nu ẹyẹrẹ nga mani ikunu ka iripiya, ni iyi ba ki ma jọọ nga.”
2802030067	Agọm iHiridus ya kọng kindọ ni, ikwyi nga va bra yọ, kindọ wọ nọ ushẹ ajiya Urushelima.
280204007f	Aba curu nadidu agha kakọng afirist kina aghọmẹẹ umẹẹ iMusa ki wulu bọ, “Abi wọ ni aki jee aghọfoo wọ?”
2802050081	“Ki ifọng aBaitalami ki ẹrẹbọng aYahudiya,” Aba yira nga. “Ka umani aghọ pii kọ ọtọ Ọnọng wọọ wudu.
28020600d5	‘Ni ingọ aBaitalami kidẹ ẹrẹbọng aYahudiya, ki ba si ingọ shi aghọcẹẹ nọ ọjii ka ẹrẹgọm aYahuza ba, ka kidẹ ngọ yọ ni akwyite mani aki kyeng na ajiya Israila ki kunu wọ.’”
280207007d	Ni iHiridus ba yọrọ akyeng ọba ki shii iripiya kọ uyuyi ka kọng ka anyu bọ agọlọ mani ẹyẹrẹ nyeni wọ.
28020800c6	Aba tuma bọ ka aBaitalami kina udi uwaga atọng “Ọkya kọ uya wang ọka mani anọ shi wọ nabibọrọ, insi inu peni ngaa ni, inu ba ki inu ba tẹri mi, ki imẹ ya kọ jọọ nga.”
28020900bc	Aya kpẹẹ ọkọng upii agọm ni, ava wolu. Ẹyẹrẹ umani anu ki shii iripiya ra ni shi kite bọ, ni ibọ sọ yii yọ ki ta kọ umani iya tara kọ ọka mani anọ shi wọ.
28020a0033	Aya nu ẹyẹrẹ ni, ava kọng ikwyifu nagigang.
28020b00b7	Aya ghila ọna ni, aba ya nu anọ kina ayuru nga iMaryamu, aba ta aghong ki jọọ nga. Aba wuli uma bọ, utii uyeri, kina ima uta ugha ọvọng, kina anyẹ ọvọng ki ma nga.
28020c0074	Na ava vuu bọ ẹrẹbọng bọ ka uce utra, ka Ọnọng tẹri bọ ka amọgọ si ama vuu ukushi iHiridus ba.
28020d0101	Aya kọ uya ukadu ni, atuma Ọnọng ba kunu kidẹ amọgọ kushi iYusufu ki tẹri si, “IHiridus ki wang anọ ka pii wọ. Sisang, kpaa anọ kina ayuru nga kọ ti kọ kya nọ aMasar, kọ ya ci kọ ukadu si imẹ tẹri ngọ si ingọ sher.”
28020e004c	IYusufu va sisang, ki kpa anọ kina ayuru nga, ki kya bu aMasar kina ating,
