2800000016	ማቶስ እንጂለ
2801010064	መሲህ ኢስ ደዉዴለከ እብራሂም ደቦች ከለቀሙስ ህት ከተበሞኡ።
2801020079	እብራሂም ኢሳቀ እሎ፤ ኢሳቅ ያቁበ እሎ፤ ያቁብ ይሁደለከ አመስ ኦሱተ እሎ፤
280103007c	ይሁድ ትማሬች ፋሬሰለከ ዛረ እሎ፤ ፋሬስ ሄስሮነ እሎ፤ ሄስሮንን አራሜ እሎ፤
2801040071	አራም አምናደበ እሎ፤ አምናደብ ነኣሶነ እሎ፤ ነኣሶንን ሱልማነ እሎ፤
280105007c	ሰልሞን ራኣቤች ቦኤዘ እሎ፤ ቦኤዝ ሩቴች ኢዮቤደ እሎ፤ ኢዮቤድን እሴዬ እሎ፤
280106005f	እሴይን ዎመ ደዉዴ እሎ፤ ደዉድን ኦርዮ ጫች ሱላይማነ እሎ፤
280107006e	ሱላይማንን ሮብኣመ እሎ፤ ሮብኣምን አብየ እሎ፤ አብየን አሳፈ እሎ፤
2801080074	አሳፍን ኢዮሳፌጠ እሎ፤ ኢዮሳፌጥን ኢዮራመ እሎ፤ ኢዮራምን ኦዝየ እሎ፤
2801090074	ኦዝየን ኢዮኣታመ እሎ፤ ኢዮኣታምን አካዘ እሎ፤ አካዝን ሕዝቅያሰ እሎ፤
28010a006e	ሕዝቅያስን ምናሴ እሎ፤ ምናስን አሞጼ እሎ፤ አሞጽን ኢዮስያሰ እሎ፤
28010b008b	ኢዮስያስ እስራኤል ኡመቱ ባብሎነ አገንት መርቶ ወክት እኮንያኔለከ አመስ ኦሱተ እሎ።
28010c0087	ባብሎናን አገንት መርቶች ኤተሮን እኮንያን ሰላቴለ እሎ፤ ሰላቴልን ዘሩባቤሌ እሎ፤
28010d007a	ዘሩባቤልን አብዮደ እሎ፤ አብዮድን ኤልያቄመ እሎ፤ ኤልያቄምን ኣዞረ እሎ፤
28010e0065	ኣዞርን ሳዶቀ እሎ፤ ሳዶቅን አኪመ እሎ፤ አኪምን ኤልዮደ እሎ፤
28010f0071	ኤልዮድን አልዓዛረ እሎ፤ አልዓዛርን ማታነ እሎ፤ ማታንን ያቁበ እሎ፤
2801100078	ያቁብን ዩሱፈ እሎ፤ ዩሱፍን «መሲህ» ዬኖ ኢሰ እልቶ መርየመ ምኒ አነ እኮ።
280111011b	ህካን እኮቤቺሃ እብራሂሚች ደዉዴ ኢለ ቶነ ሾሎ እለንሸ፤ ህትን ደዉዴች ባብሎን አግተእ መርቶኢሃ ኢለ ቶነ ሾሎ እለንሸ እኮ፤ ህትን ባብሎን አግቶች መሲህ ኢለ ቶነ ሾሎ እለንሸ።
28011200da	መሲህ ኢስ እለንሹ ህትጎታን፤ አመስ መርየመ ዩሱፍሃ ኣሰንት ዮሃኔን ደቀንቱዕናን ጠሊለ አያን ወልቃን ላፈተ እካን መኑ ጉዕሙንኩ ደጎ።
2801130072	ጠዕሜ ዩሱፍ ፈየ መንቹ እኮቤቺሃ መናን ፍሹዕነ ጠወስ አጉሮተ ሰውዬእ።
28011400e4	ህካን ሰውየንን ቀርች መላይኬቹ ሀቄን ለልስ «ዩሱፋ ደዉዴ ቤቶ! ኣሴመሄ መርየመ ላፈተ እኮኢሁ ጠሊለ አያኒን እኮቤቺሃ እሴተ ኣእቶተ ዋጅቶት።
2801150094	እሴን ለቤ ጩል እልታአ፤ እስን ኡመትስ ጩቢችሰ ጡምሰኖቤቺሃ ሱዕመስ ‹ኢሰ› ይታንት» ዬስ።
280116003d	ሁኩን ጉዕሙንኩ እኮሁ ቀርቹ ነብዬቾን
28011700b9	«ሀፍቱት ላፈተ እክ ለበ ጩል እልታአ፤ ህትን ሱዕመስ ‹አማኑኤለ› ይት ገእታአ» አማኑኤለ ዩ «መገኑ ኒንት» ዩሃን።
2801180088	ህካን እኮቤቺሃ ዩሱፍ ግሰኛች በቅዬ ወክት ቀርች መላይኬቹ አዘዦገን መርየመ ኣኤሴ።
28011900ad	ጠዉ እኮጎሬ መርየመ ዎኔሴ ጩል እልቶተ ኢለ እሴን ደቀሞበአ እቅ፤ ዩሱፍን እለሞ ጩል «ኢሰ» ይ ሱዕመ ፉሼስ።
28020100c8	ሄሮድስ ዎመ እኮ ዘማን ኢስ ይሁድ ባዶን ቤተሌም ከተማን እለሞ ወክት ቤዜተ ዎለኣ ኤንኬዕናሙ መኑ ሸርቂች ዬሩሳሌመ አሜቶኡ።
28020200bb	እሰን «አይሁድ ዎመ እሀኖ ጩሉ እለሞሁ ሀከንቤቾንት? ሸርቂን ቤዜተ ለዕን እሲሃ ሰገንዶተ አሜንቶም» ይት ጠዕምቶኡ።
2802030086	ዎሙ ሄሮድስ ህካን ሞጮጬ ወክት አበ ህልቆ፤ ህትን ዬሩሳሌም መኑ ጉዕሙንኩ ህልቆኡ።
28020400bf	እስን ኡመትስ ቂስ አዎንሳኑተለከ ሕግ አስተማረተ ጉዕመንከ ጭምአዕይ «ቡረሞ መሲህ እለመኖሁ ሀከቤቹ» እሁስ ጠዕሜሰ።
2802050066	እሰን «ይሁድ ባዶን ቤተሌም ከተማን እለመኖ፤ መሰንትስ ነብዬቹ
28020600fc	«ቤተሌም ከተመ! አት ይሁድ ባድ አዎንሳኖች ጉዕሚችን ሆፈኣንትበአ፤ ህካን እኮቤቺሃ ኪች ኢ መነ እስራኤለ አገረኖለከ አዎንሰኖሁ እለመኖ ይ ከተቦኡ» ይቶኡ።
280207009b	ህከኒች ኤተሮን ሄሮድስ ህከ ኤንኬዕናሙ መነ ማጭ ገእ ጠወስ ፎፎጅ ቤዜት ለልቶ ወክት ጠዕም ደጎ።
28020800d3	እስን እሰንተ «መርቴን ህከን ጩልተኔሃ ጡመገ አጥረመቼ፤ ደጌንተጎሬ አሜቴን ኩልቴነንተኤ፤ አኒሁ ሰገዶተ መራም» ይ ቤተሌመ ሶኮ።
280209010d	እሰን ሄሮድሴች ሞጮጭት ፉልቶ ወክት ሸርቂን ለኦ ቤዜት አዎንስተንሰ ለኦ ወክት አበ ሙንደኦኡ፤ ሁኩ ሸርቃን ለኦ ቤዜንት ጩሉ ዮ ምኒ ቡዕላን ኡርታኢሃ ኢለ አዎንስቶሰ።
28020b0111	እሰን ህከ ምኒ ኣጎ ወክት ጩሉ አማንተስ መርየማን ሜጡበ ዮኢሃ ለእ ብሬስ ጉሉጵት ሰገዶኡ፤ ህከኒች ኤተሮን ሳጥነ ፈንት ዎርቀ፥ ህጣነለከ ከርቤተ ዬኖ ህጣነ ፉሽት ኣቶኡ።
28020c00a2	ሁኩ ኤንኬዕናሙ መኑ ሄሮድሴበ ፈንቀልት መርታበእገ መገኑ ሀቄን ኩላን ዎሎ ዎቄን ባዱሰ ፈንቀልቶኡ።
28020d0108	እሰን መርቶች ኤተሮን ቀርች መላይኬቹ ሀቄን ዩሱፊሃ ለልስ «ሄሮድስ ጩል ሾተ ሀሰኖቤቺሃ ጩልለከ አመተ ኣእት ግብጽ ባዱ ሁን፤ አን ኩሎሄተ ኢለ ህከኔ አፉዕል» ዬስ።
28020e0065	ዩሱፍ ሀንከዕሬን ኬዕይ ጩልለከ አመተ ኣእ ግብጽ ባዱ ኦሮዕዮ።
28020f00b8	ህከኔን ሄሮድስ ሬሆተ ኢለ አፉዕሌእ፤ ሁኩን እኮሁ ቀርቹ ነብዬቾን «ቤቱኤ ግብጺች ገኤም» ዬ ላገት ዊንቶታት እቅ።
2802100163	ሄሮድስ ቤዜተ ለኦ መኑ ጣንሱሰ ደጎ ወክት አበ ኡሙዕሬእ፤ ቤተሌማንለከ ህከን አዳን ጉዕማንን ዮ ለሞ ዘማንለከ ለሞ ዘማኒች ዎሮን ዮ ለቤ ኦሱተ ጉዕመንከ ሾኖተ አዘዦ፤ ህከ ወክትንከ ደጎሁ ኤንኬዕናሙ መኑ ኩልቶስጋት እቅ።
2802110030	ሁኩን እኮሁ ነብዬቹ ኤርምያስ
28021200bc	«ራሄል እላተሴ ኦአን ያርትለከ ጨንጨነት ራማ ዬኖቤቾን ሞጮጨንቶኡ፤ እለሴ ሬቶቤቺሃ ሰብር አቶበአ» ዬኢሁ ዊሞታት።
2802130072	ሄሮድስ ሬዮች ኤተሮን ግብጽ ባዶን ቀርች መላይኬቹ ዩሱፍበ ሀቄን አሜች
2802140093	«ጩል ሽቶተ ሀሶ መኑ ሬቶቤቺሃ ኬእ አት ጩልለከ አመተ ኣእት እስራኤል ባዱ ፈንቀል» ይ ኩሎ።
280215005f	ህከ ወክት ዩሱፍ ጩልለከ አመተ ኣእ እስራኤል ባዱ ፈንቀሎ።
28021600ed	ይሁድ ባዶን አርኬላዎስ አኒስ ሄሮድሴ ቤቾን ዎመ እክ ሄዕዮገ ዩሱፍ ሞጮጭ ይሁድ ባዱ ኦሮኡ ዋጄእ፤ መገኑ ዩሱፍሃ ሀቄን ኩላንስ ገሊል ባዱ ኦሮዕዮ።
28021700ba	ህከቤቹንከ ኢሌ ወክት ናዝሬት ከተማን ሄዕዮ፤ ሁኩን እኮሁ ነብያኖን «‹ናዝሬት መንቹ› ዬን ገኤኖ» ዬማሁ ዊሞታት።
2803010062	ህከ ወክት ጠመቃንቹ ያህይ ይሁድ ባድ ኡድማን አዋጀን አሜቾ።
2803020079	«ሁኩዕኑን! ሰሜ ዎምነቱ ሆንጠኮቤቺሃ ጩብክዕኔ ቶበቴን ፈንቀሌ» የኖ እቅ።
28030300dd	ነብዬቹ እስያስ «መቱ መንቹ ኡለ ኡድማን ‹ቀርቹ ህገኖቤቹ ብዝ አዕዬ ህትን ዎቃስ ጌጥ አዕዬ› ይ ያርተን ሄኦ ላገተ» ዬኢሁ ያህይተኔሃት።
28030400bd	ያህይ ኦድኑት ጋሜል ኦርዛች ደዴመተ እቅ፤ ረመዙስ ጠፍሪን ቆዕረኖ እቅ፤ ህትን ዳመ መለቡለከ ከንቸፈሩሃ እተኖ እቅ።
28030500be	ህከ ወክት ዬሩሳሌም ከተሚች፥ ይሁድ ባዲች ጉዕሚችለከ ዮርዳኖስ ዊ አዳን ዮ ባዲች ጉዕሚችን መኑ ያህይበ አሜተኖ እቅ።
280306005e	ጩብሰ ቶበተን ዮርዳኖስ ዛዘኖ ዊን ያህይ ጠመቀኖሳት እቅ።
28030700fa	ያህይ ልግቡ ፈርሳዊትለከ ሰዱቃውት እስበ ጠመቀንቶተ አሜተን ለዕዮ ወክት እሰንተ «አዕኑ ዎሪች እለት! መገኒች አሜታ ኡሙዕሬች ጡምቶኖተ ኩሎህዕኔሁ አዬት?
2803080067	ቴሱንገ ጩብክዕኔ ቶበቴን ፈንቀሉክዕኔ ለሊሳ ጡመ ሆጉተ አዕዬ።
28030900e5	ህትን ነኡ ‹እብራሂምተ እለ› ይቴነን ጡምቴነንታሃ አጉዱንከህዕኔ፤ መገኑ ከን ክኒች እብራሂም እለተ አዕይ ኬሶተ አታለኖገ አን ኩላንክዕኔ።
28030a0083	ከልቱ ሀቅ ፎቃን አፉዕልዮኡ፤ ጡመ ላልቹ ላልበ ሀቀ ጉዕመንከ ሙሬን ጊራን ዎሬኖ።
28030b0136	ጩብክዕኔ ቶበቴን ፈንቀሉክዕኔ ለልሲሃ ዊን ጠመቃንክዕኔ፤ እኮጎሬ ኩ ኢች ኤተሮን አሜተኖሁ ጠሊለ አያኒንለከ ጊራን ጠመቀኖህዕኔ፤ እስ ኢች አበ ሎረሃን፤ አን ጫዕመስ እጆተ በቀዕዮምበእሃን።
