2a00000004	Luke
2a01010087	Hanau waunauthathee hadnedanuu hejadenenau hadjenanuu hauthase vavesee hauthedau hena hayauhuhau nanāe hājavaānethauwuthajauthaunin,
2a01020050	Hasevenānauau nanaa hehethee jasesee vasesā hāenuu nau nejaanuu hanadedaunau;
2a0103009c	Hasethajaunau hethadee heee nananenau jea, vavesethaugudenau vahee hayauhuhau hehetheejasesee hadnewauthaunauwunathane nedānee, javaānethadee Theauthenus,
2a01040039	Hadeaenauwu hethauwuu hena hayauhuhau nesechauhauthehane.
2a01050096	Hena hese Herod, naja Judea, jasaa vevethahehe Zacharias haseede, hadauchunanede Abia: nau henene hedaunāhene Aarauneau, nau heneseedaunin Elisabeth.
2a01060089	Nau haenesauuthāhenauau hathaāhenith Hejavaneauthu, thaunaugudethee vahee nanavaavedaunau nau hauchuwudaunau Vahadāde dejauthauwuvade.
2a01070062	Nau hehauwunesaunenauau, hanau henee hehauwunesaune Elisabeth; nau wauwu haenesauu vaehahenenauau.
2a01080055	Nau hethauwuu, henee daunausuvadanedaude hathaāhenith Hejavaneauthu hāenauauchaude,
2a0109005d	Nesedaunethe vevethahehehau, nesedaude hadnejaāde yehauthe hevadannauauwunene Vahadāhenith.
2a010a0042	Nau haunauude henanedanede haevevethahedaune jathee nauauchuu jaa.
2a010b0042	Nau haenauhauva hautheaune Vahadāde haetheaugune hejavese jaanaa.
2a010c0048	Nau hāenauhauwaude Zacharias, haejanethajau, nau nāthajaude haeedasaa.
2a010d0092	Hau nuu hautheaune, jevanāthajau hathāhuk, Zacharias: havevethahede nanedauwuhuu; nau hadasea Elisabeth hadjanesewaude hāau, nau Jaun hadeseau.
2a010e005e	Nau nananin hadaunauwuthajau nau hadeneethajau; nau hadnewauthathee neethajauthee hāejanesee.
2a010f00cd	Hanau haudvasāthaa hathaāhenith Vahadāhenith, nau haudnehauwuvane daudause dadajevenenaje, wauāthe neauthunaje; nau haudnechauchaunaudede Hevadanauwauthauwunene Hejavaneauthu, haa hehethee hāejanesee.
2a01100062	Nau haudnewauthaa dāeyaunenede Israel hadjaechuwauyāaunaude hesee Vahadāhenith Henesaunaunenau.
2a011100f9	Nau haudnedauwaunaude nauguu Vadanauwauthauwu nau neesenaudāhenith Elias hadjaechuwauyāauau vadauhau henesaunaunenau hesee dāeyaunauauau nau nejenedauvathee gaugauuthajaudenau hadauethadee; hadnesaanudede henanedanede hesanaa hesee Vahadāhenith.
2a0112006c	Nau Zacharias naudedusaene nuu? wauwu vanaehahenenau nau nadasea wauwu vadavehahenede, hathauhuk hautheaune.
2a011300cd	Nau hautheaune hanaāauchuhananadethāde, Nananenau Gabriel henee theaugudaunauau hathaāhede Hejavaneauthau; nau janeautheavānau haudnāedauwunathana, nau hadnauhauthehathana nuu neethajaude waunauyauau.
2a011400c3	Nau, naune, nananin haudnejanadene nau haudnehauwuneanade, haunaude hese nuu hayauhuhau nauauchaugu hethauwuu, hanau nananin daujethauwaudauwu nadanadede, nuu hadnethauwunauauchuu nauauchaugaune.
2a0115006c	Nau henanedanede haedauyauhauvanauau Zacharias, nau haegaugauanadauwu henee dauguthetheaugude vadannauauwuu.
2a01160072	Nau hāejenauāhede, haejeneanadetha: nau haeaenauwu daunauhauthāde vadannauauwuu: haevathasauwuna nau haejanade.
2a0117005a	Nau hethauwuu, henee, chauchaunu hese hāesevadanedaude haeyehau hesee nehayau hedauauwuu.
2a0118007b	Nau heee hena hese henene Elisabeth hanaāenesaunenith, nau haegauduse nehayau hayauthaunenethe hesese heee, hanaāenehede,
2a01190061	Hesau Vahadāde naasehānau hesee hāedaugauhauvānau hadgudanauwunānau nāedayāhede henanedaa.
2a011a0080	Nau nanedaudauchuauwaude hesese hautheaun Gabriel haejeautheawau hehethee Hejavaneauthu hesee hedan Gananee haseenaugu Nazareth,
2a011b0081	Hesāhedāeyaun haeenenehauwaune henanin Joseph haenaneeseenith, hehethee hedauauwuu David; nau hesāhedāeyaun Mare haenaaseede.
2a011c0086	Nau hautheaun haeedasaa, nau hanaāenehethāde, Haunauwuthajau, nananin vechauthane, Vahadāde hanedaudaunāne: hauwunaunane hesānaa.
2a011d0072	Nau hāenauhauwaude, haejanethajaude hedanadedaunin, nau haegaugauanade daun hadnesenaunenechuhude nuu hadnesauau.
2a011e0059	Nau hautheaun, Jevanāthajau, hathāhuk, Mare: hanau nananin vechauthāne Hejavaneauthau.
2a011f0046	Nau, naune, nananin hadnenesaunin, nau hadneahene, nau JESUS hadeseau.
2a01200077	Hadvasāthaa, nau Vāā Hejavaa hadethauva: nau Vahadāde Hejavaneauthau hadvenaude naja theaugudau henesaunaune David:
2a0121005a	Nau hadnajawaudauau hededanin Jacob jethauujenee; nau henajanede hadnehauwuthauuvadauaune.
2a01220056	Hanaāenehethaude Mare nuu hautheaune, Haddusenesau nuu hanau nāhauwāenaunau henane?
2a012300d6	Nau hautheaun hanaāauchuhananadethāde, Hejavaneauthau Hevadanauwauthauwu hadnedasāne: nau naunauthauau Hejavaa haddugauyāaunāne; henaheee jea henee Naunaudāde hadnenesaunewaude Heau Hejavaneauthau hadnethade.
2a01240096	Nau, naune, have Elisabeth, jea wauwu henesaunede hadneahede wauwu dauvadavehahenede: nau nuu nanedaudauchunethe hesese wauwu hehauwunesaune neethade.
2a01250030	Hanau Hejavaneauthau vahee neneedede hayauhuhau.
2a01260069	Nau naune, Vahadāde daununānau hahagu Mare, hadnaasauau nuu hasenehene, nau hautheaun hanaāenauthāde.
2a01270069	Nau Mare hanaāethauwauthede hena hese, nau hanaāehaude jauaudanenauauwuu nauhauhaunee hesee hedan Juda;
2a0128004a	Nau hanaejedāde hedauauwunene Zacharias, nau haenaunenechautha Elisabeth.
2a012900a6	Nau hethauwuu, henee, Elisabeth hāenedauwauthaude daunaunenechuhunith Mare, dāeyaunaa haenauauwuja hethauwaudauau; nau Elisabeth haeechauchaunaude Vadanauwauthauwu:
2a012a0066	Nau haevasanade, nau hanaāenehede, Hauwunaunane hesānaa, nau hauwunaunade dāeyaunaa hethauwaudauau.
