010000000c	ԾՆՆԴՈՑ
0101010051	Ի սկզբանէ Աստուած ստեղծեց երկինքն ու երկիրը:
01010200a9	Երկիրն անձեւ ու անկազմ էր, խաւար էր տիրում անհունի վրայ, եւ Աստծու հոգին շրջում էր ջրերի վրայ:
0101030053	Եւ Աստուած ասաց. «Թող լոյս լինի»: Եւ լոյս եղաւ:
0101040073	Աստուած տեսաւ, որ լոյսը լաւ է, եւ Աստուած լոյսը բաժանեց խաւարից:
01010500a7	Աստուած լոյսը կոչեց ցերեկ, իսկ խաւարը կոչեց գիշեր: Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր առաջին:
01010600b6	Աստուած ասաց. «Թող տարածութիւն առաջանայ ջրերի միջեւ, եւ ջրերը թող բաժանուեն ջրերից»: Եւ եղաւ այդպէս:
01010700d7	Աստուած ստեղծեց տարածութիւնը, որով Աստուած տարածութեան ներքեւում եղած ջրերը անջրպետեց տարածութեան վրայ եղած ջրերից:
01010800b9	Աստուած տարածութիւնը կոչեց երկինք: Աստուած տեսաւ, որ լաւ է: Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր երկրորդ:
0101090112	Աստուած ասաց. «Թող երկնքի տակ գտնուող ջրերը հաւաքուեն մի տեղ, եւ երեւայ ցամաքը»: Եւ եղաւ այդպէս. երկնքի տակի ջրերը հաւաքուեցին մի տեղ, ու երեւաց ցամաքը:
01010a0095	Աստուած ցամաքը կոչեց երկիր, իսկ հաւաքուած ջրերը կոչեց ծով: Աստուած տեսաւ, որ լաւ է:
01010b0166	Աստուած ասաց. «Թող երկիրը իր տեսակի ու իր նմանութեան սերմը պարունակող դալար բոյս եւ իր տեսակի ու իր նմանութեան սերմը պարունակող, իր տեսակի միրգ տուող պտղաբեր ծառ աճեցնի երկրի վրայ»: Եւ եղաւ այդպէս.
01010c0112	հողը ամբողջ երկրի վրայ ցանելու սերմը իր մէջ պարունակող դալար բոյս եւ իր տեսակի սերմը իր մէջ պարունակող, միրգ տուող ծառ աճեցրեց: Աստուած տեսաւ, որ լաւ է:
01010d004b	Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր երրորդ:
01010e0174	Աստուած ասաց. «Թող լուսատուներ լինեն երկնքի տարածութեան մէջ, որպէսզի լուսաւորեն երկիրը եւ իրարից բաժանեն ցերեկն ու գիշերը: Դրանք թող լինեն, որպէսզի ցոյց տան տարուայ եղանակները, տօնական օրերն ու տարիները,
01010f009a	թող լինեն, ծագեն երկնքի տարածութեան մէջ՝ երկիրը լուսաւորելու համար»: Եւ եղաւ այդպէս:
01011000f1	Աստուած ստեղծեց երկու մեծ լուսատուներ. մեծ լուսատուն՝ ցերեկն իշխելու, իսկ փոքր լուսատուն՝ գիշերն իշխելու համար, ինչպէս նաեւ աստղեր:
0101110081	Աստուած դրանք դրեց երկնքի տարածութեան մէջ՝ երկիրը լուսաւորելու համար,
01011200d1	ինչպէս նաեւ ցերեկուայ ու գիշերուայ վրայ իշխելու եւ լոյսն ու խաւարը իրարից բաժանելու համար: Աստուած տեսաւ, որ լաւ է:
010113004d	Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր չորրորդ:
0101140120	Աստուած ասաց. «Թող ջրերն արտադրեն կենդանութեան շունչ ունեցող զեռուններ, եւ երկրի վրայ ու երկնքի տարածութեան մէջ թող թեւաւոր թռչուններ լինեն»: Եւ եղաւ այդպէս:
0101150152	Աստուած ստեղծեց խոշոր կէտեր, կենդանութեան շունչ ունեցող ամէն տեսակ զեռուններ, որ արտադրեցին ջրերն ըստ տեսակների, եւ ամէն տեսակ թեւաւոր թռչուններ՝ ըստ տեսակների: Աստուած տեսաւ, որ լաւ է:
01011600d0	Աստուած օրհնեց դրանց ու ասաց. «Աճեցէ՛ք, բազմացէ՛ք եւ լցրէ՛ք ծովերի ջրերը, իսկ թռչունները թող բազմանան երկրի վրայ»:
0101170051	Եւ եղաւ երեկոյ, եւ եղաւ առաւօտ՝ օր հինգերորդ:
01011800ee	Աստուած ասաց. «Թող երկիրն արտադրի չորքոտանի կենդանիներ իրենց տեսակներով, սողուններ եւ գազաններ իրենց տեսակներով»: Եւ եղաւ այդպէս:
