0100000007	Jenesis
0101010066	Bar faraghavɨra God overiam ko nguazimɨn ingarigha aningɨn itir biziba bar dagh amizɨma, da otifi.
01010200c8	Faragha zuir dughiar kam, nguazim e datɨrɨghɨn iti moghɨn garir pu. Puvatɨ. A bar pura ikia egha an ganganim ighara. Mɨtater dafam ongarir ekiaba avarazɨma, Godɨn Duam pura dɨpam gisɨn arui.
010103004b	Ezɨ God kamaghɨn mɨgei, “Angazangarim otogh.” Ezɨ angazangarim oto.
010104005e	Ezɨ God angazangarimɨn gari, a derazɨma, a bar akonge. Egha mɨtatem ko angazangarim tuira.
01010500ab	Egha angazangarim ziar kam, “Aruem,” a gatɨ. Egha mɨtatem ziar kam, “Dɨmagarim,” a gatɨ. Ezɨ amɨnim pɨrigha ua tirazɨma, kar dughiar bar faraghavɨra zuim.
01010600c1	Egha gɨn God kamaghɨn mɨgei, “Avavetam otogh dɨpam avɨnightɨ, dɨpam akuar pumuningɨn ikɨ.” Ezɨ avaver kam oto. God avaver kam gamizɨma, a dɨpar pɨn itim ko apengan itim abɨki.
010108006d	Egha God avaver kamɨn ziam, “Overiam,” a gatɨ. Ezɨ amɨnim pɨrigha ua tirazɨma, kar dughiar namba 2.
01010900b2	Egha gɨn God kamaghɨn mɨgei, “Dɨpar overiamɨn apengan itim sɨvagh mangɨ danganir vamɨran uabɨ akuvaghtɨ, nguazir mɨsɨngizim otogh.” Ezɨ nguazir mɨsɨngizim oto.
01010a00ce	Ezɨ God nguazir mɨsɨngizir kam ziam, “Nguazim,” a gatɨ. Egha dɨpar danganir igharazimɨn uari akuvaziba, a ziam, “Ongariba,” dagh atɨ. Egha God bizir kabar gari da bar derazɨma, a bar akonge.
01010b008f	Egha gɨn God kamaghɨn mɨgei, “Nguazim, temer guar avɨriba ko nguazimɨn aver beniba ko dagheba a gisɨn aghung.” Ezɨ bizir kaba otifi.
01010c00c3	Ezɨ temer ber guar avɨriba ko benir nguazimɨn aveba ko dagher apiba bar nguazimɨn vaghvagha aghui moghɨn aghua, egha da be moghɨn be. Ezɨ God bizir kabar garima da derazɨma, a bar akonge.
01010d0038	Ezɨ amɨnim pɨrigha ua tirazɨma, kar dughiar namba 3.
01010e00b7	Egha gɨn God kamaghɨn mɨgei, “Angazangariba overiamɨn otifigh, aruem ko dɨmagarim abɨkigh. Eghtɨ dughiaba ko azeniba ikɨtɨ, me angazangarir kabar ganɨva dughiabagh fogham.
01010f005d	Eghtɨ angazangarir kaba otivigh angazangarim nguazim danɨngam.” Ezɨ angazangariba otifi.
01011000f6	Egha God angazangarir ekiar pumuning gamizɨma aning oto. Angazangarir ekiam, an aruem, egha isiragha gara aruemɨn angazangarim anɨdi. Ezɨ dozim, a iakɨnim, a isiragha dɨmagarimɨn angazangarim anɨdi. Egha God mɨkovezibagh amizɨ da otifi.
0101110053	Egha God nguazim angazangarim a danɨngasa, angazangarir kaba overiamɨn da arɨki.
01011200c0	Egha aruem isiragh ganamin dughiam atɨgha, uaghan dɨmagarim otivamin dughiam atɨ, eghtɨ aruem ko dɨmagarim deravɨra uaning abɨgham. Ezɨ God bizir kabar gari da derazɨma, a bar akonge.
0101130038	Ezɨ amɨnim pɨrigha ua tirazɨma, kar dughiar namba 4.
01011400aa	Egha gɨn God kamaghɨn mɨgei, “Ongarimɨn aven, bizir angamɨra itir avɨriba an ikɨva a gizɨvagham. Eghtɨ kuaraziba otivigh overiamɨn pɨn tintinibar mɨghɨ.”
01011500e3	Ezɨ God ongarimɨn osirir dafaba ko kuruzir dafabar ingarizɨ da otifi, ongarimɨn itir bizir guar avɨriba, ko kuarazir guar avɨriba uaghan, vaghvagha gari moghɨra gari. Ezɨ God bizir kabar gari da derazɨma, a bar akonge.
01011600cf	Egha bizir kaba deraghasa, God mɨgɨrɨgɨar aghuir kam dagh ami, “Ia ongarimɨn itir bizir guar avɨriba, ia avɨrasemegh, ongarim bar a gizɨfagh. Eghtɨ ia kuaraziba, ia nguazimɨn bar avɨrasemegh.”
0101170037	Ezɨ amɨnim pɨrigha ua tirazɨma kar dughiar namba 5.
01011800f1	Egha gɨn God kamaghɨn mɨgei, “Nguazim bizir angamɨra itir guar avɨribar amutɨ da vaghvagha gari moghɨram an otiv. Egh nguibamɨn itir asɨziba ko, ruarimɨn itir asɨzir ekiaba ko doziba sara damutɨ da otiv.” Ezɨ asɨziba otifi.
01011900ae	God nguibamɨn asɨzir guar avɨriba ko ruarimɨn asɨzir ekiaba ko dozibar ingarizɨ, da vaghvagha gari moghɨra otifi. Ezɨ God bizir kabar gari da derazɨma, a bar akonge.
01011a011c	Egha God kamaghɨn mɨgɨa ghaze, “Datɨrɨghɨn e gumaziba ko amizibar ingarightɨ me en mɨrara ganam. Egh e me atɨghtɨ, me en mɨn ikɨ, ongarimɨn itir osiriba ko, overiamɨn itir kuaraziba ko, asɨzir guar avɨriba ko nguazimɨn itir biziba bar, me dar gan dagh ativagham.”
01011b00b6	Egha God gumazamizibar ingarizɨ, me Godɨn mɨrara gari. God me gamizɨma, me an nedazimɨn mɨn oto. A me gamizɨma, men marazi gumazibar mɨn otivizɨ, marazi amizibar mɨn otifi.
