2900000006	Marcos
2901010161	Atiyaꞌ Mahampataꞌ Balita tungkul kan Apu Jesu Cristo, Anak Apu Diyus. Nagꞌumpisay ati hin natupadaꞌ insulat tagapannunghung Apu Diyus ya hi Isaias. Hinlagi, insulat Isaias ya innunghung Apu Diyus kan Apu Jesus. Atiyaꞌ ambala na, “Ipagtan kuy minsahiru ku. Mauna ya kamu, takay inunghung na ha tawtawung ihanda lay sarili la ha paglatêng mu.
29010300a9	Malêngê yuy bungꞌu na ha kalinangan, ya mannunghung, ‘Pakahampatên yuy pusu yu para ha paglatêng Panginuun, Dapay ha paghandan danan para ha maalagan tawu!’”
2901040173	Buy natupadaꞌ ati hin nakalatêng hi Juan ya Tagapagbawtismu istu ha kalinangan. Madlan tawtawung naku kana, ibat ha Jerusalem buy iba iban banwa ha Judea. Nangaral ya ha tawtawu, “Magsisi kawuy na ha kayung kawkasalanan ta magpabawtismu kawu takayꞌêmên patawarên kawun Apu Diyus.” Impagtapat lay kanlan kawkasalanan buy binawtismuan hilan Juan ha Ilug Jordan.
290106007d	Hay barun Juan gawa ha labuk kamilyu buy hay babat na, gawa ha balat ayêp. Hay kikinan na balanga insiktu buy pulut panilan.
290107008c	Ambala na, “Mayin pun gihay lumatêngaꞌ mas makapangyarian pun kangku. Ah ku man, karapat dapataꞌ maglingkud kana dapay gihay alipên.
2901080051	Bawtismuwan katawu ha lanêm, nuwa bawtismuwan na kawu ha Ispiritun Apu Diyus.”
2901090083	Hin panawên bantu, inlumatêng hi Apu Jesus ibat ha Nazaret, sakup prubinsiyan Galilea, buy nagpabawtismu kan Juan ha Ilug Jordan.
29010a0078	Pagkalakat Apu Jesus ha lanêm, nagêangaꞌ langit. Naakit nay nagtabuy kanay Ispiritun Apu Diyus dapay gihay kalapati.
29010b0078	Buy mayin busisaꞌ nalêngê ibat ha langit ya nannunghung, “Hakay minamaal kun Anak, ya lubus kun kinatutulꞌan.”
29010c003c	Nakun, agad yan pinalakun Ispiritun Apu Diyus ha kalinangan.
29010d00a2	Namirmi ya istun apatnapuy allêw buy tinuksu yan Satanas. Mayin mangatapangaꞌ ayêp istu. Dilag mêt istuy awꞌanghil Apu Diyus ta pinagsilbiyan hi Apu Jesus.
29010e0095	Hin nakulung hi Juan ya tagapagbawtismu, naku hi Apu Jesus ha prubinsiyan Galilea. Buy impangaral na baistuy Mahampataꞌ Balitan ibat kan Apu Diyus.
29010f009e	Ambala na, “Lumatênganay takdan panawun! Madaniyanay paghaharin Apu Diyus. Pagsisiyan yuy nay kayung kasalanan buy maniwala kawu ha Mahampataꞌ Balita!”
290110009b	Gihay allêw, kaban nalliyaliyaku hi Apu Jesus ha pingit Dagat Galilea naakit nay mipatêlaꞌ mangingisda hilan Simon buy Andres. Mamitambuk hilan lambat.
2901110084	Ambalan Apu Jesus kanla, “Humunul kawu kangku ta gawꞌên katawun mamidanin tawu kan Apu Diyus nambuh ha pandakêp yu ha isda.”
2901120038	Intayak la agadaꞌ kanlan lawlambat buy hinumunul kana.
29011300ac	Nagpatuluy hi Apu Jesus ha paliyaliyaku. Ha alwan kadayuan naakit nay namêtaꞌ luway anak Zebedeo, hilan Santiago buy Juan. Impapakahampat lay lambat la ha kanlan bangka.
29011400b0	Agad hilan binawêg Apu Jesus, “Humunul kawu kangku.” Buy intayak lay kanlan bapan hi Zebedeo ha kanlan bangka, awyunaꞌ kanlan tawtauhan. Ta hinumunul hila kan Apu Jesus.
