2800000009	ማቶሳ
2801010074	ታዳዉተና ካአብራመ ሳኒ ካሌሮ ካየሱሳ ክርስቶሳ አላታንኮክ ህዲድ ሃያ፤
280102007b	አብራመ ይሳቃ ኡሙለ፥ ይሳቃ ያይቆባ ኡሙለ፥ ያይቆባ ይሁዳና አቢላል ኡሙለ፥
2801030088	ይሁዳና ትኢማርኮ ፋረስና ዛራ ኡሙለ፥ ፋረስ ኤስሮም ኡሙለ፥ ኤስሮምና አራም ኡሙለ፥
2801040080	አራምና አምናዳብ ኡሙለ፥ አምናዳብና ነአሶን ኡሙለ፥ ነአሶንና ሰለሞን ኡሙለ፥
280105008b	ሰልሞንና ረአብኮ ቦኤዝ ኡሙለ፥ ቦኤዝና ሩትኮ ኢዮበድ ኡሙለ፥ ኢዮብድና እሰይ ኡሙለ፥
2801060065	እሰይ ዎኖ ዳዉተ ኡሙለ፥ ዳዉተና ታኦርዮ ኦርኮ ሶሎሞን ኡሙለ፥
2801070074	ሶሎሞንና ሮብአም ኡሙለ፥ ሮብአምና አብያ ኡሙለ፥ አብያና አሳፍ ኡሙለ፥
2801080086	አሳፍና ኢዮሳፍጢ ኡሙለ፥ ኢዮሳፍጢና ኢዮሆራም ኡሙለ፥ ኢዮሆራምና ኦዝያን ኡሙለ፥
280109007d	ኦዝያንና ኢዮአታም ኡሙለ፥ ኢዮአታምና አካዝ ኡሙለ፥ አካዝ ሕዝቅያሳ ኡሙለ፥
28010a0071	ሕዝቅያሳ ምናሰ ኡሙለ፥ ምናሰ አሞጽ ኡሙለ፥ አሞጽና እዮስያስ ኡሙለ፥
28010b0087	እዮስያስ ጎሳ ካእስራኤል ባብሎን ቶስ ካኮቦጃመረ ጎራታ እኮንያንና አቢላል ኡሙለ።
28010c008c	ካባብሎን ቦጃማኖኮ አባባተረ እኮንያን ሰላትያል ኡሙለ፥ ሰላትያንና ዙርባቤላ ኡሙለ፥
28010d0080	ዙርባቤላ አብዩድ ኡሙለ፥ አብዩድና ኤልያቀም ኡሙለ፥ ኤልያቀምና አዛር ኡሙለ፥
28010e0068	አዛር ሳዶቅ ኡሙለ፥ ሳዶቅ አኪም ኡሙለ፥ አኪምና ኤልዩድ ኡሙለ፥
28010f006e	ኤልዩድ አላዛር ኡሙለ፥ አላዛር ማታን ኡሙለ፥ ማታን ያይቆባ ኡሙለ፥
280110008a	ያይቆባ ዮሴፋ ኡሙለ፥ ዮሴፋና ካፋይሳሮ ክርስቶሳ የሱሳኮት አዬ ማይራመ ካኤራተሮየ።
2801110132	ጎርታ አብራመኮ ታ ዳዉተ ጌሮን አላታን ቶሞንኮ አፋርታ፥ ዳዉተኮ ታ ካባብሎን ቦጃማኖ ጌሮን አላታን ቶሞንኮ አፋርታ፤ ካባብሎን ቦጃኖኮ ታ ታክርስቶሳ አላታን ጌግን ቶሞንኮ አፋር አላታንታ።
28011200c5	ታየሱሳ ክርስቶሳ አላታንኮት ጅርት ሂካማሌታ፥ ኣየቴሳ ማይራመ ዮሴፋን ኤራንተጉደ ሀኤሰሎን አያና ቁሉክ ፋቶ ቶታተ ሙተ።
28011300cf	ኤሰ ካኤራተራ ዮሴፋ ቃጄላክ እባዶት ማንኮሌሮ ማራን ማይራመ እባዶ ሆረ ፋንቾይሲን ማንኮዶቶን ማራን ሀአዴስሶን እስን ሙርቴሰ።
280114013a	ኡሱ ጎአመን ሂካ ቆፓ ግራን ካጎታ ኤርግቻ ህስሎይ ኡሱን ሙተ፥ ሃና አመ፥ “ሳኒ ታዳዉተ ካሌተታ ዮሴፋ፥ ታኤራተቶ ማይራመ አታይ ኦር የላዪን አሮአብሳተ ኣላንቲና ኤሰ ካኮቶታተታ ቁሉክ አያናኮያ።
28011500b3	ባባርትትና ኡሙልናታ፥ መገኬሳና የሱሳ አም ኡምናታ፤ ኣላንቲና ኡሱ ጎሳኬሳ ጩቦክሶኮ ማንኮሃስናሮ ማራንያ።”
