2800000004	Mata
2801010040	Otakada na bikogu bi Yesu Kristi ba'a wo Dauda, ba'a wo Ibrahim:
280102007d	A Ibrahim go won den ashawa na Ishaku, a Ishaku wan den ashawa na Yakubu a Yakubu wan den ashawa na Yahuda natosuwa̱ nonwan,
2801030086	A Yahuda wan den Ashawa na Pereza, na Zera ananwan nanwan ka Tamar go Apereza wan den ashawa na Hezron, a Hezron wan den ashawa na Ram
2801040069	a Ram wan den ashawa na Aminadab, a Aminadab wan den ashawa na Nashon, a Nashon wan den ashawa na Salmon,
28010500a3	a Salmon wan den ashawa na Bo'aza, awo ananwan nonwan a Rahab go, a Boaz ta'a wan den ashawa na Obida, ananwan nonwan ka a Rutu go, a Obida wan den ashawa na Yesse
280106007c	a Yesse ta'a wan den ashawa na Wogoma a Dauda. a Dauda wan den ashawa na Solomon, awo ananwan nonwan naanda wu'a̱ wo Uriya,
2801070068	Solomon go won den ashawa na Rehobowan, a Rehobowan wan den ashawa na Biya, Abiya wan den ashawa na Asa,
2801080067	Asa wan den ashawa na Yehoshapat, Ayehoshapat wan den ashawa na Yoram, Yoram wan den ashawa na Azariya,
2801090063	Azariya wan den ashawa na Yotan, a Yotan wan den ashawa na Ahaz, a Ahaz wan den ashawa na Hezekiya,
28010a0066	a Hezekiya wan den ashawa na Manase, a Manase wan den ashawa na Amon, a Amon wan den ashawa na Yosiya,
28010b006c	a Yosiya go won den ashawa na Yekoniya natosuwa̱ nonwan n beka̱ni be a̱ ta̱ri ga tu ture cegema n Babila
28010c006a	Na a owane ga cegema n Babila a A Yekoniya wa̱ ma̱ci Sheyaltiyel, 13 Asheyaltiyal wa̱ ma̱ci Zarubabel,
28010d006e	Zarubabel wan den ashawa na Abihudu, a Abihudu wan den ashawa na Eliyakim, a Eliyakim wan den ashawa na Azuro,
28010e0066	a Azuro wan den ashawa na Saduki, a Saduki wan den ashawa na Akimu, a Akimu wan den ashawa na Aliyudu,
28010f0072	a Aliyudu wan den ashawa na Eli'azara, a Eli'azara wan den ashawa na Matana, a Matana go won den ashawa na Yakubu,
2801100061	a Yakubu go won den ashawa na Isuhu wa̱ri wo Maryamu awu ma̱ci i Yesu, awo ata hecega a Kristi.
28011100bf	Ba̱nba̱nu na sorya n kushi ku Ibrahim tu hure pi Dauda kushi ko opa n ko ku na̱shi go, n to ema ga n cenge tawa ture cegema n Babila tu hure pi Kristi ta'a kushi ko opa n ko ku na̱shi go.
2801120096	Anna rima̱ci ri Yesu Kristi re na na'an she a Isuhu wo tan cene'en to Maryamu she ata iyan cewo a̱ hendi wu na̱suwa̱ na sorya pa benhyan be Onhon.
280113009f	Naande a Isuhu wa̱ri wo Maryamu ka woto wo omange kaye pa Onhon go, wa̱ rubi ciwu a̱ pa̱ni i Maryamu n'en nanmen nato wa̱ rubi a̱ ta̱cigi wu rihinrihin.
2801140100	Ama she a Isuhu wo tan netama yan'on Wotoma wo a̱ba̱ye wo Ashawa wa rage pi Isuhu narawo wa hyen wo, “A Isuhu ba'a wo Dauda, ga'a to hoga ryansan ri tu ume i Maryamu an den wu'a̱ wo, enaande ka enan nanmen suwa̱ nonwan nasorya pa benhyan be Onhon go.
280115006a	Won to mata ba'a a won to pa wo rira̱'i a Yesu enaande a̱ure won tu ringe ato nonwan nanmen ciri'i tawa.
2801160059	An den ma̱no go ca na an ma shintuma̱ monran Ashawa hici nuno na Wotoma wo Onhon nhyan:
2801170080	Ewana kego ke ta yan'cewo wa̱ri ken to mata ba'a, an to pa wo rira̱'i a Imanuwel, ma'anan ka “Onhon un pa̱ka̱ n ga̱tu.”
280118005e	Na Isuhu wo rengane ndawo wa rope nde Wotoma wo Ashawa hyen wo, wa̱ umi Maryamu wu'a̱ wo wa.
280119004e	Ama wa yan'cewo, hare wa̱ ma̱ci ba'a wo wa wa̱ pa̱ wu ta'a rira̱'i Ayesu.
2802010083	Na a̱ ma̱ci i Yesu n Baitalami ona Yahudiya, a̱bire she a Hiridus wogoma won togoma, a̱huwa̱ na sorya arowa a rage n Urshalima
2802020081	ta'a a̱ rushigi a hyen, “Nca wogoma wo Yahudawa awo a̱ ma̱ci? enande to hyande benangare arowa go ato rage to pana wo ototo.
280203005d	Na wogoma a Hiridus wo hoge a̱nno, anmen nonwan a̱ kurki, a̱nde ta'a ca nato na Urshalima.
2802040098	Wogoma a Hiridus wa romano ato ca na ato ototo na Firistoci n shima̱la̱n she tubisa̱ga̱ to Mosa, wa̱ rushigi ga wa hyen, nca pa a̱ ma̱ci Ikristi.
2802050058	A hyen wo, “N ceso na Baitalami ona Yahudiya go, nde Wotoma wo Onhon wo range to hyan:
28020600bc	“Gawo Baitalami, n cenge to Yahudiya, gawo nce ba'a go nanmen nan awon nan togoma to Yahudiya. Enande nanmen gawo an to mata yan'on wogoma awon ton dan wuhuwa̱ wo ato na̱mi Israila.”
2802070072	a Hiridus wa hecegane ato na yan'son nnangare rihinrihin na wan ma yan'son n beka̱ni be a̱ hendi benangare bire.
28020800a2	Wa tomane ga tu hura̱n Baitalami wa hyen, “Hura̱ ba ken kerkakya kya'o kire san. She i wuri wu, ke mokosha kin bishi, ga̱mi ta'a n hura̱ n pana wo ototo.”
280209009e	Na a̱ hu to hoga monran ma wogoma a Hiridus, a kentane tohano tawa. Benangare be a̱ hendi ka arowa bya owangane ga onyan hare a̱ ci pa kya'o kire ke ne'en.
28020a003c	Na a̱ hendi benangare bire a̱ shini na anmen cende cenmon.
28020b00c7	Na a̱ gegi n egewa wa̱re a̱ wuri kya'o kire na ananwan nonwan Amaryamu, a̱ kuki, a̱ pa̱ni wu ototo. A̱bire a̱ ka̱rigi aronga nanwan a̱ pa̱ni wu ezenare, n mananbe ma rotome usunsun, n Mur.
28020c0094	Ama abe an mokosa a rope onyan na̱ba̱ tu hura̱ n cenge tawa, enaande Onhon u hundika̱no ga atobe narawo nhyen a̱re a mokosakan cewo pi Hiridus.
28020d0140	Na ato na yan'son nnangare a̱ huri yan'on Wotoma wo a̱ba̱ye wo Ashawa wa rage pi A Isuhu narawo wa hyen i Isuhu, “I kurika̱,” ku umi kya'o kenna na nanwan ki ga̱ri tu hura̱ n cenge to Masar. Ke na'an pa̱re hare sheshe n be hyen ke mokosha, enaande wogoma a Hiridus won ta sara behono be kya'o kenna a kone wo.
28020e0053	a Isuhu wa̱ kurki, wa̱ umi kya'o kire na nanwan n geta wa̱ hurin cenge to Masar,
