2800000005	Mateo
280101004a	IESVS CHRIST Dauid-en semearen, Abrahamen semearen generationeco Liburuä.
2801020079	Abrahamec engendra ceçan Isaac. Eta Isaac-ec engendra ceçan Iacob. Eta Iacob-ec engendra citzan Iuda eta haren anayeac.
280103007c	Eta Iudac engendra citzan Phares eta Zara Thamarganic. Eta Pharesec engendra ceçan Esrom. Eta Esromec engendra ceçan Aram.
2801040073	Eta Aramec engendra ceçan Aminadab. Eta Aminadab-ec engendra ceçan Naasson. Eta Naassonec engendra ceçan Salmon.
280105007c	Eta Salmonec engendra ceçan Booz Rachabganic. Eta Boozec engendra ceçan Obed Ruthganic. Eta Obed-ec engendra ceçan Iesse.
280106006e	Eta Iessec engendra ceçan Dauid reguea. Eta Dauid regueac engendra ceçan Salomon Vriasen emazte içanaganic.
2801070067	Eta Salomonec engendra ceçan Roboam. Eta Roboamec engendra ceçan Abia. Eta Abiac engendra ceçan Asa.
280108006b	Eta Asac engendra ceçan Iosaphat. Eta Iosaphatec engendra ceçan Ioram. Eta Ioramec engendra ceçan Ozias.
280109006f	Eta Oziasec engendra ceçan Ioatham. Eta Ioathamec engendra ceçan Achaz. Eta Achazec engendra ceçan Ezechias.
28010a006d	Eta Ezechiasec engendra ceçan Manasse. Eta Manassec engendra ceçan Amon. Eta Amonec engendra ceçan Iosias.
28010b0082	Eta Iosiasec engendra ceçan Iacim. Eta Iacimec engrendra citzan Iechonias eta haren anayeac, Babylonerat eraman içan ciradenean.
28010c007f	Eta Babylonerát eraman içan ciraden ondoan, Iechoniasec engendra ceçan Salathiel. Eta Salathielec engendra ceçan Zorobabel.
28010d0070	Eta Zorobabelec engendra ceçan Abiud. Eta Abiud-ec engendra ceçan Eliacim. Eta Eliacimec engendra ceçan Azor.
28010e0068	Eta Azorec engendra ceçan Sadoc. Eta Sadoc-ec engendra ceçan Achim. Eta Achimec engendra ceçan Eliud.
28010f006f	Eta Eliud-ec engendra ceçan Eleazar. Eta Eleazarec engendra ceçan Mathan. Eta Mathanec engendra ceçan Iacob.
2801100075	Eta Iacob-ec engendra ceçan Ioseph Mariaren senharra, ceinaganic iayo içan baita Iesus, cein erraiten baita Christ.
28011100f5	Bada Abrahamganic Dauidgananoco generatione guciac, dirade hamalaur generatione. Eta Dauidganic Babylonerat eraman içan ciraden arteranocoac, hamalaur generatione. Eta Babylonerat eraman içan ciradenetic Christgananocoac, hamalaur generatione.
280112009a	Bada Iesus Christen sortzea hunela içan da. Ecen Maria haren ama Iosephequin fedatua cela, hec elkargana gabe, içorra eriden cedin Spiritu sainduaganic.
2801130075	Orduan bere senhar Iosephec, ceren iusto baitzen eta ezpaitzuen hura diffamatu nahi, secretuqui vtzi nahi vkan çuen.
28011400e1	Baina gauça hauc gogoan cerabiltzala, huná, Iaunaren Aingueruä aguer cequion ametsetaric, cioela, Ioseph Dauid-en semeá, ezaicela beldur eure emazte Mariaren hartzera: ecen hartan concebitu dena, Spiritu sainduaganic duc.
2801150079	Eta erdiren duc seme batez eta deithuren duc haren icena Iesus. Ecen harc saluaturen dic bere populua hayen bekatuetaric.
280116005e	Bada haur gucia eguin içan da, Iaunac Prophetáz erran vkan çuena compli ledinçát, cioela,
