2800000005	Matye
280101003c	Beeka dhaad ɛ Yezu Klisto, dha ɛ Abalaam, dha ɛ Dhavid e:
2801020063	Ye ɛ́ Abalaam ɛ nabya Izak, Izak ɛ nabya Zakɔɔb, Zakɔɔb kabya yɛ ɛ Yuda nɛ bɔn nyɛɛg.
2801030088	Tin, Yuda ɛ nabya Pɛlɛɛz bɛ nɛ Zeedas. Din ɛ nyɛɛg'ɔɔ nabɛ ɛ́ Tamaad. Pɛlɛɛz kabya ɛ Eslɔm, Eslɔm kabya yɛ ɛ Alam.
2801040059	Mɔn Alam kadi ɛ́ Aminadaab, Aminadaab nakabya yɛ ɛ Naasɔn. Naasɔn kabya ɛ Salman.
280105007a	Salman naazɛbya Bhoaaz bɛ nɛ myɛl Layaab. Bhoaaz bɛ nɛ ngbɛ myɛl Luth nakabya ɛ Obɛɛd. Obɛɛd nakabya ɛ Yese,
280106006f	Yese ɛ́ nabya mɛkoozi Dhavid. Mɛkoozi Dhavid naabya Salomɔŋ, nyɛ nabya Salomɔŋ ɛ bɛ nɛ mwaa Wyiili.
280107005f	Salomɔŋ nabɛ ɛ́ sɛɛg ɛ Loboam, Loboam nakabya yɛ ɛ Abiya, Abiya kazɛbya yɛ ɛ Asaf.
2801080056	Asaf nazɛbya ɛ́ Yozafat, Yozafat kabya yɛ ɛ́ Yolam, mɔn Yolam nabɛ ɛ́ Ozias.
2801090050	Ozias nadi ɛ́ sɛɛg ɛ Yotam, Yotam kabya ɛ́ Akaaz, Akaaz eezɛbya Ezekias.
28010a0056	Ezekias kabya ɛ́ Manase. Manase kabya yɛ ɛ́ Amɔn, Amɔn nakabya yɛ ɛ́ Yosias.
28010b006d	Yosias kadi ɛ́ sɛɛg ɛ Yekonia nɛ bɔn nyɛɛg. Tin ɛ bɛ nazɛtɔ́ é ekwom pɛ kyee dik Bhabhilɔn.
28010c0089	Bhii bɔn Yisalaɛl natɔ́ é ekwom pɛ kyee dik Bhabhilɔn ɛ, Yekonya nakabya ɛ́ Salatyɛl, bhii tak Salatyɛl eezɛbya Zolobabɛl,
28010d006d	Zolobabɛl kabya yɛ ɛ́ Abyuud, Abiyuud nabɛ ɛ́ sɛɛg ɛ Elyakim, Eliyakim kadi ɛ́ sɛɛg ɛ Azɔɔd;
28010e004d	Azɔɔd eezɛbya Sadɔk, Sadɔk kabya ɛ́ Akim, mɔn Akim kadi ɛ́ Eliyuud.
28010f0059	Eliyuud kadi ɛ́ sɛɛg ɛ Eleazaad, Eleazaad kabya ɛ́ Matan. Matan eezɛbya Zakɔɔb,
280110006c	Zakɔɔb kadi ɛ́ sɛɛg ɛ Zozɛf ngom ɛ Maali. Ye ɛ́ Maali tak ɛ nabya Yezu bot di edjóo Mɛsia ɔ.
280111019e	Tinaak, kana kɔkɔ mɛbyel ɛ Abalaam, kɛyaka nɛ yɛ Dhavid, ye nabɛ ɛ́, ye naasa tyee ekɔkɔ e mɛbyel kam nɛ ená. Ye naabaasa tyee ekɔkɔ e mɛbyel kam nɛ ená kana ɛbyel ɛ Dhavid, kɛyaka nɛ membu mɛ bɔn Yisalaɛl natɔ́ é ekwom pɛ Bhabhilɔn ɛ. Kana membu mɛ bɔn Yisalaɛl natɔ́ é ekwom pɛ Bhabhilɔn ɛ kɛyaka nɛ ɛbyel ɛ Mɛsia, ye naasa tyee ekɔkɔ e mɛbyel kam nɛ ená.
28011200bb	Gwakeka ɛsuk ɛ ɛbyel ɛ Yezu Klisto. Maali nyɛɛg nabɛ ɛ́ ghɔɔd ɛ Zozɛf. Ɛsok nɛ bɛ nɛ di moma nɛ motom, ye nabɛ ɛ́, Maali eezɛbela ɛbum nɛ ghwyil ɛ Sisim na Dɛɛ.
28011300a1	Zozɛf, mwaaz'ɛ nabɛ ɛ́ mot epiki, nyɛ nabɛ ɛ́ ààkwyɛl ɛdhusal nyɛ é mis mɛ bot. Nyɛ ɛ́ boozɛke náá, emwaaz bɛ nɛ Maali si tɔ syaab.
28011400f6	Dáa nyɛ nadi esiiza deenek ɛ, dhiiti fofop ɛ Ghɛŋ ngɔt eezɛtuula nyɛ tɔ dhyam, nyɛ eezɛke nɛ nɛ náá: «Zozɛf, dha ɛ Dhavid, nàbem ba étɛp ɛba Maali, etɛɛ náá, ye ɛ́ nɛ ghwyil Sisim na Dɛɛ ɛ, nyɛ bela ɛbum.
280115007c	Nyɛ waabya mɔn mɔɔ motom, bi aaget nyɛ ɛ Yezu, etɛɛ náá, nyɛy ɛ́ kwaatsik bot ɛ mbyak'ɛ tɔ mesyem mɔɔ.»
2801160093	Esesɛɛ binek djas aasael ɛ, etɛɛ náá, etɛp djas Ghɛŋ nalɛɛ tɔ nuub ɛ ngoolel-mɛkpa ɛ Zɛɛb neebela ɛsuk. Ye nabɛ ɛ́ náá:
28011700b4	«Mɔn ɛsyes ɛ moma di ààgu botom ɔ waabela ɛbum. Bhii tak, nyɛ waabya mɔn mɔɔ motom, nyɛ aaget nyɛ ɛ́ Emanuɛl.» Ye kwyɛl ɛlɛɛ ɛ́: «Zɛɛb ɛ́ nɛ nena.»
2801180079	Dáa Zozɛf kadjem é gɔ ɛ, nyɛ zokasa ɛ́ dáa fofop ɛ Ghɛŋ nalɛɛ nyɛ ɛ, nyɛ ɛ́ boozɛbeeb myɛl Maali.
280119006f	Tin, nyɛ nabɛ ɛ́ ààsɛɛga goŋ bɛ nɛ myɛl kɛkum dwoo myɛl nabya mɔn motom, Zozɛf naget Yezu ɛ.
28020100bf	Yezu nabyel ɛ́ pɛ dɛl ɛ Bheteleɛm pɛ kyee dik Yude é ghɛŋ Elood nadi mɛkoozi ɛ. É ghɛŋ tak, ye nabɛ ɛ́, bɛtsoŋ ɛ bot naadus pɛ kyee ɛdjem ɛ dwoo, kum pɛ Yeluzalɛm.
28020200c4	Tin, bɛ moo zɛdji náá: «Mɛkoozi mɛ eYuda, mɔn di náá, nyɛ ààloo nɛ ɛbyel ɔ, nyɛ ɛ́ wo? Bis eebee kwyikwyen yɛ edus pɛ ɛdjem ɛ dwoo, bis ɛ́ bookazyɛ zɛduwal nyɛ.»
