010000001b	আদিপুস্তক
010101007b	আদিতে ঈশ্বর আকাশমণ্ডল ও পৃথিবীর সৃষ্টি করলেন।
0101020114	পৃথিবী বিন্যাস বিহীন ও শূন্য ছিল এবং অন্ধকার জলরাশির উপরে ছিল, আর ঈশ্বরের আত্মা জলের উপরে চলাচল করছিলেন।
0101030060	পরে ঈশ্বর বললেন, আলো হোক; তাতে আলো হল।
01010400a7	তখন ঈশ্বর আলো উত্তম দেখলেন এবং ঈশ্বর আলো ও অন্ধকার আলাদা করলেন।
01010500e2	আর ঈশ্বর আলোর নাম “দিন” ও অন্ধকারের নাম “রাত” রাখলেন। সন্ধ্যা ও সকাল হলে প্রথম দিন হল।
01010600cd	পরে ঈশ্বর বললেন, “জলের মধ্যে আকাশ (বায়ুমণ্ডল) হোক ও জলকে দুই ভাগে আলাদা করুক।”
01010700df	ঈশ্বর এই ভাবে বায়ুমণ্ডল করে আকাশের উপরের জল থেকে নীচের জল পৃথক করলেন; তাতে সেরকম হল।
01010800cd	পরে ঈশ্বর আকাশের নাম আকাশমণ্ডল রাখলেন। আর সন্ধ্যা ও সকাল হলে দ্বিতীয় দিন হল।
010109011c	পরে ঈশ্বর বললেন, “আকাশমণ্ডলের নীচে অবস্থিত সমস্ত জল এক জায়গায় জমা হোক ও স্থল প্রকাশিত হোক,” তাতে সেরকম হল।
01010a00ed	তখন ঈশ্বর শুকনো জায়গার নাম ভূমি ও জলরাশির নাম সমুদ্র রাখলেন; আর ঈশ্বর দেখলেন যে, তা উত্তম।
01010b017b	পরে ঈশ্বর বললেন, “ভূমি ঘাস, বীজ উত্পন্নকারী ওষধি ও সবীজ গাছপালা তাদের জাতি অনুযায়ী ফলের উৎপাদক ফলের গাছ, ভূমির উপরে উৎপন্ন করুক,” তাতে সেরকম হল।
01010c0174	ফলে ভূমি ঘাস, তাদের জাতি অনুযায়ী বীজ উত্পন্নকারী ওষধি, ও তাদের জাতি অনুযায়ী সবীজ ফলের উৎপাদক গাছ, উৎপন্ন করল; আর ঈশ্বর দেখলেন যে, সে সকল ভালো।
01010d005e	আর সন্ধ্যা ও সকাল হলে তৃতীয় দিন হল।
01010e0184	পরে ঈশ্বর বললেন, “রাত থেকে দিন কে আলাদা করার জন্য আকাশমণ্ডলের বিতানে নক্ষত্র হোক এবং তারা চিহ্নের মতো হোক, ঋতুর জন্য, রাত এবং সময়ের ও বছরের জন্য হোক;
01010f00c6	এবং পৃথিবীতে আলো দেবার জন্য দীপ বলে আকাশ (বায়ুমণ্ডল) থাকুক,” তাতে সেরকম হল।
0101100185	ঈশ্বর সময়ের উপরে কর্তৃত্ব করতে এক মহাজ্যোতি ও রাতের উপরে কর্তৃত্ব করতে তার থেকেও ছোট এক জ্যোতি, এই দুটি বড় জ্যোতি এবং সমস্ত নক্ষত্র সৃষ্টি করলেন।
01011100a2	ঈশ্বর পৃথিবীতে আলো দেবার জন্য তাদেরকে আকাশে স্থাপন করলেন এবং
0101120180	দিন ও রাতের উপরে কর্তৃত্ব করার জন্য এবং আলো থেকে অন্ধকার আলাদা করার জন্য ঈশ্বর ঐ জ্যোতিগুলিকে আকাশে স্থাপন করলেন এবং ঈশ্বর দেখলেন যে, সে সব উত্তম।
010113005e	আর সন্ধ্যা ও সকাল হলে চতুর্থ দিন হল।
01011400fc	পরে ঈশ্বর বললেন, “জল নানাজাতীয় জলজ প্রাণীতে প্রাণীময় হোক এবং ভূমির উপরে আকাশে পাখিরা উড়ুক।”
010115018c	তখন ঈশ্বর বৃহৎ জলজ প্রাণীদের ও যে নানাজাতীয় জলজ প্রাণীতে জল প্রাণীময় আছে, সে সবের এবং নানাজাতীয় পাখি সৃষ্টি করলেন। পরে ঈশ্বর দেখলেন যে সে সব উত্তম।
010116013f	আর ঈশ্বর সে সকলকে আশীর্বাদ করে বললেন, “তোমরা ফলবান ও বহুবংশ হও, সমুদ্রের জল পরিপূর্ণ কর এবং পৃথিবীতে পাখিদের বৃদ্ধি হোক।”
010117005b	আর সন্ধ্যা ও সকাল হলে পঞ্চম দিন হল।
0101180149	পরে ঈশ্বর বললেন, “ভূমি নানাজাতীয় প্রাণীতে, অর্থাৎ তাদের জাতি অনুযায়ী পশুপাল, সরীসৃপ ও বন্য পশু সৃষ্টি করুক; তাতে সেরকম হল।”
01011901ca	ফলে ঈশ্বর নিজের নিজের জাতি অনুযায়ী বন্য পশু ও নিজের নিজের জাতি অনুযায়ী পশুপাল ও নিজের নিজের জাতি অনুযায়ী যাবতীয় ভূচর সরীসৃপ সৃষ্টি করলেন; আর ঈশ্বর দেখলেন যে, সে সব উত্তম।
01011a0258	পরে ঈশ্বর বললেন, “আমরা আমাদের প্রতিমূর্ত্তিতে, আমাদের সঙ্গে মিল রেখে মানুষ সৃষ্টি করি; আর তারা সমুদ্রের মাছদের ওপরে, আকাশের পাখিদের ওপরে, পশুদের ওপরে, সমস্ত পৃথিবীর ওপরে ও ভূমিতে চলাচলকারী যাবতীয় সরীসৃপের ওপরে কর্তৃত্ব করুক।”
01011b0170	পরে ঈশ্বর নিজের প্রতিমূর্ত্তিতে মানুষকে সৃষ্টি করলেন; ঈশ্বরের প্রতিমূর্তিতেই তাকে সৃষ্টি করলেন, পুরুষ ও স্ত্রী করে তাদেরকে সৃষ্টি করলেন।
01011c0222	পরে ঈশ্বর তাদেরকে আশীর্বাদ করলেন; ঈশ্বর বললেন, “তোমরা ফলবান ও বহুবংশ হও এবং পৃথিবী পরিপূর্ণ ও কর্তৃত্ব কর, আর সমুদ্রের মাছদের ওপরে, আকাশের পাখিদের ওপরে এবং ভূমিতে গমনশীল যাবতীয় জীবজন্তুর ওপরে কর্তৃত্ব কর।”
01011d0174	ঈশ্বর আরও বললেন, “দেখ, আমি সমস্ত পৃথিবীতে অবস্থিত যাবতীয় বীজৎপাদক ওষধি ও যাবতীয় সবীজ ফলদায়ী বৃক্ষ তোমাদেরকে দিলাম, তা তোমাদের খাদ্য হবে।”
01011e018d	আর ভূমিতে চরাচর যাবতীয় পশু ও আকাশের যাবতীয় পাখি ও ভূমিতে বুকে হেঁটে চলা যাবতীয় কীট, এই সব প্রাণীর আহারের জন্য সবুজ গাছপালা সকল দিলাম। তাতে সেরকম হল।
01011f0119	পরে ঈশ্বর নিজের তৈরী সব জিনিসের প্রতি দেখলেন, আর দেখলেন, সে সবই খুবই ভালো। আর সন্ধ্যা ও সকাল হলে ষষ্ঠ দিন হল।
01020100c9	এই ভাবে আকাশমণ্ডল ও পৃথিবী এবং তাদের মধ্যে অবস্থিত স ব জিনিস তৈরী করা শেষ হল।
0102020105	পরে সপ্তম দিনের ঈশ্বর তাঁর কাজকে শেষ করলেন, সেই সপ্তম দিনের নিজের করা সমস্ত কাজ থেকে বিশ্রাম নিলেন।
