2800000007	Matthew
2801010053	SIN AK'SIN Jesus Christ David okkuai' Abraham okkuai' un'ix o sĭnaks' oaiĕxĕsts.
2801020059	Abraham ikuyiu' Isaac; ki Isaac ikuyiu' Jacob; ki Jacob ikuyiau' Judas ki omu' pappiipix;
2801030069	Ki Judas ikuyiu' Phares ki Zara, Thamar ipau'kaiĭmmiuax; ki Phares ikuyiu' Esrom; ki Esrom ikuyiu' Aram;
2801040051	Ki Aram ikuyiu' Aminadab; ki Aminadab ikuyiu' Naasson; ki Naasson ikuyiu' Salmon;
2801050076	Ki Salmon ikuyiu' Booz, Rachab ipau'kaiĭmmiuaie; ki Booz ikuyiu' Obed, Ruth ipau'kaiĭmmiuaie; ki Obed ikuyiu' Jesse;
2801060087	Ki Jesse ikuyiu' David omŭx'nin'a; ki David omŭx'ina ikuyiu' Solomon, annŏk' ake'uŏk itom'itomiuŏk Urias man'itotsipokaiĭmmiuaie;
2801070048	Ki Solomon ikuyiu'. Roboam; ki Roboam ikuyiu' Abia; ki Abia ikuyiu' Asa;
280108004b	Ki Asa ikuyiu' Josaphat; ki Josaphat ikuyiu' Joram; ki Joram ikuyiu' Ozias;
280109004d	Ki Ozias ikuyiu' Joatham; ki Joatham ikuyiu' Achaz; ki Achaz ikuyiu' Ezekias;
28010a004e	Ki Ezekias ikuyiu' Manasses; ki Manasses ikuyiu' Amon; ki Amon ikuyiu' Josias;
28010b004e	Ki Josias ikuyiu' Jechonias ki o mu' pap piipix, annik' ito'toŏpikau Babylon;
28010c0056	Ki ot'sitotos au Babylon, Jechonias ikuyiu' Salathiel; ki Salathiel ikuyiu' Zorobabel;
28010d004e	Ki Zorobabel ikuyiu' Abiud; ki Abiud ikuyiu' Eliakim; ki Eliakim ikuyiu' Azor;
28010e0046	Ki Azor ikuyiu' Sadoc; ki Sadoc ikuyiu' Achim; ki Achim ikuyiu' Eliud;
28010f0050	Ki Eliud ikuyi u' Eleazar; ki Eleazar ikuyiu' Matthan; ki Matthan ikuyiu' Jacob;
2801100053	Ki Jacob ikuyiu' Joseph, Mary om'i, annok ipau'kaiĭmmiuŏk Jesus, anĭstau Christ.
2801110131	David otsĭs'tsits'unoauai Abraham itsipuk' sŭpokosĭnimotseiiau ke'pitappiiau nĭssekoputtsi; ki ot'sitotosau Babylon omats'ĭstsits'unoauai David mats'itsipuksŭpokosĭmmotseiiau, matsĭsse'koputtsi; Christ omats'ĭstsits'unoauai ot'sitotosau Babylon mats'itsipuksŭpkosĭmmotseiiau matsĭsse'koputtsi.
2801120096	Jesus Christ, otsipokai'isĭnni ŭn'niniitsiu: Annik' Mary, Jesus oksĭs'tsi, Joseph otak'okemattŏsaie itop itappi'inai, otse'kosatsok Atsĭm'istaaw.
280113007c	Joseph om'i mokŏm'motsitappiu, ki matsitsitau'ats mŏk'aiitsĭnnikŏttŏsaie; osĭme'tsitan mŏksisĭm'ianĭstŭpskoŏsaie.
28011400b5	Ki otai'ksĭmstatosaie, Satsit, Ap'ĭstotokiuăoto'tokatatsĭs otsipopŏk'toakaie ki otan'ikaie, Joseph, David okku'i, pinstŭnnos Mary kŏk'okemattosi, otse'kosatsok Atsĭm'iStaaw.
2801150091	Ki ai'aksipokaiĭmmiuaie okku'yi, ki kitak'anĭstsĭnnikŏttau Jesus: tŭkkă, otsitappim'ix otsauum'itsitappi'isuauĕsts aiakitaikŏmotse'piuax.
2801160078	Itŭn'nitsiuaie mŏk'itsenŭpanĭstŏsi Ap'ĭstotokiuă otse'poawsĭsts, otsipropheti itotse'poawsĭnĕsts, ki an'ĭmai,
28011700a3	Satsik, mokŏk'iake ai'akopitappiiu, ki ai'aksipokaiĭmmiuaie okku'yi, ki ak'anĭstsĭnnikŏttsiauaie Emmanuel, ito'kĭsasattop Ap'ĭstotokiuă ipokai'tappiĭmmau.
2801180079	Joseph otsipuawk'si otso'kani, ŭn'niitsitappiiu Ap'ĭstotokiuă oto'tokatatsĭs otan'iipiaie, ki ito'tuyiuaie otokem'an:
280119005b	Ki ototom'okkuyi otsauomai'pokaiĭsaie matpoksokamiu'atsaie: kinitsĭn'nikŏttsiuaie JESUS.
28020100b9	JESUS otai'pokaiisi Bethlehem, auŏsĭn'ĭm Judæa, annists'ĭsk ksĭstsiku'ĭstsk, Herod otsĭtsĭnaiipi, Satsik, mokŏk'ietappix umut'autstsipi apinŏk'kuyi itsipuk'sipuiau Jerusalem,
28020200af	An'iau, ŭnan'ŏk manipok'auŏk Jews otsĭn'aimoaiauaie? Tŭkkă, annim' apinŏk'kuyi stai'tappiosi nitsĭno'ŭnan okŏkatosim, ki nimut'otopĭnan nŏk'itauatsĭmmimmŏsĭnan.
280203006c	Herod omŭx'ina otokh'tsĭsaie, otap'itsi-tanaie, ki Jerusalem ĭstokŏnai'tappix ikŏno-nokap'aitsitamiuax.
