2900000006	Markus
290101003a	Leya kweshcha shundǝ kǝ ɗar Yǝso kǝrǝsti hweya Fara.
2901020069	Nda i yarandǝ tapǝnaa Ishaya hi tǝ ndatwa: "Ni thlǝn lǝ thlǝnda mban le na tahsandǝ mbanɗeku ɗi.
290103007b	Ɓurata nifǝ le naka atfata hur loktara, le naka ndatwa tahsan mbanda lǝ Mwanda ɗi kǝ pupwenangnguni mbachikǝn'en hi."
290104008b	Ɓak Yohanna nakna ɓasa hur loktarǝ tǝ ndatwa: "Chikawuni kǝtǝrǝnhi kǝ sangfichǝ Baptisma kǝ kalang fichǝ ɓǝɓichitfechi'enhi."
2901050068	Nat nofchi Yahudiya tǝ Urshelima ɗǝknda ɓǝɗ'en tǝrkǝndǝhi saǝn baptisma kanda a suhwaɗ Urdun.
2901060059	Yohanna njela'en pom ngelupa kǝnaǝn mumi'en tǝ poma, ɗǝsǝmtǝ'en mbecha tǝ ɗecha.
290107007a	Ndakǝnwa yuna ɓata ɗiffitǝna le nak mwanchin mǝ njang chika sahǝt pahǝmchi'en sǝkwisi kǝ koppihi kǝ kwasayihiwa.
290108004f	Saayi Baptisma kuni tǝ ama paɗ nakna sǝt ikǝn tǝ Chiɗchiɗ chit Shemeɗa.
2901090067	Hanmunchiniyu ɓak Yǝso thlata Nazarat a thlet hǝmǝt Galili. Yohanna saǝn baptisma a suhwaɗ Urdun.
29010a0076	Nak Yǝso cheta kisha hur ama chatkichuyu nakǝn in'afshi hi ɓak Shemeɗa Fara hai kǝ ɗar indi'en nda ngungwiɗnga.
29010b006a	Sǝkkǝ nofchǝ ɓurata a afshi tǝ ndatwa: "Sokǝn naka hwe'engna le yahti paɗ lela sǝkti mbǝnkǝnfa."
29010c0038	Chatkichuyu pǝkkǝ Shemeɗa Farǝ ndǝ kǝ hur loktara.
29010d0081	Munɗǝ kumchit fwaɗa Sheɗanna kǝkaɗanda a hur loktara. Mǝla hur loktara tǝ ɗǝ hǝrǝmcha nak mala'ika Fara kǝssandǝsi.
29010e0067	Ɗiffitǝkǝn kǝsang fichǝ Yohanna, ɓak Yǝso kǝ hachahai Galili nakna ɓasǝ kweshcha shunda Fara.
29010f0090	Ndakǝnwa: "Ɓeɗ hanmunchǝkǝn nduk. Fara yehsǝ cheɗanda kuni wa kutur nakǝn. Chikawuni kǝ tǝrǝnhi, fǝram kit kǝ kwescha shunda Fara."
2901100088	Nak Yǝso ɓǝrtǝhi tǝ mi suhwaɗ Galili, nakǝn Siman tǝ Andarawus hwanman Siman kanda muh langtanganga kǝthlǝm fa tumchǝ naknda.
2901110051	Ndang Yǝso kandǝwa: "Kuramnji ni sandǝkuni kǝfa ɓat tǝ nofcha mbǝɗengna."
2901120033	Chatkichuyu malangndǝ tum tincha kurǝkǝndǝndǝ.
2901130082	Nak Yǝso witǝ kǝ ɓan, nakǝn Yakubu hweeya Zabadi tǝ Yohanna hwanmankǝn a hur kommbawal, kanda tahsandǝ langtangchengnanda.
2901140067	Akǝn kanda malkǝndǝ shinnandǝhi, Zabadi hur kommbawal tǝ tahǝt fa torcheng nanda kurǝkǝndǝndi.
2901150072	Ɓaknda Kafarnahum, ɓak farǝ yipta Yahudawecha, yimkǝ Yǝso ɓǝt humta Yahudawechihi, nakna sakanda kandǝhar.
2901160069	Shekɗa ng i'ndǝ kandǝ tǝ witǝ sakiniyu, nda nifǝ sǝkkǝsi, nga nda malndǝmcha thlahɓǝt Musa wa.
290117004a	Nifǝsa hur ɓǝt humta Yahudawechikǝnhi tǝ ɓǝɓi Shemeɗa fa hwakǝn,
290118009a	ndakǝnwa: "Mǝ kǝmukǝ tǝ kani Yǝso lǝ Nazarat ta? Ɓaku kǝ tǝkangnǝ kanihiwa? A shini ndu wunnaku. Sokǝn naku Chiɗchiɗ le ɓaka mbǝɗa Fara."
290119004a	"Ɓokang Yǝso ɓǝɓi shemeɗkǝnhi ndaǝnwa ngasu ɓa, chukisha fat'en!"
29011a0042	Ɓǝɓi shemeɗkǝn nakna saktanda mǝla hwata cheknakisha fat'en.
29011b00a8	Pǝɗang ǝnatkǝn nofchǝkǝnfa sahangndǝ ndani witǝ mǝ leya? Yuwa sakandaɗi tǝ sǝktǝsiwa? Ndangna ɓǝɓi shemeɗchǝkǝnwa kǝ chendakish paɗ sǝkkǝndǝndi.
29011c003b	Kusheng i sǝt Yǝso yu sǝkkǝficha a hachahai Galili nat.
29011d0082	Ɗiffitǝ chendengnanda kisha ɓǝt humta Yahudawechihi, pǝɗang Yǝso tǝ Yakubu tǝ Yohanna kǝ hura'a nda Siman tǝ Andarawus.
29011e004b	Nak thlaɓǝr Siman hahchin hafat kakǝnnda, chatkichuyu ɓwa'angnda Yǝso.
29011f005e	Ɗǝk Yǝso ɓǝsndi kǝskǝn har'en thlaǝn, chat kǝnkǝna ɗaɗi nakna sǝt tor ɗǝsǝmta.
2901200045	Ɗiffitǝ hǝmta farǝhi ngomang ndǝ haacha tǝ fa ɓǝɓi luwurcha,
2901210035	Nofchi hur hǝmǝtkǝn ngomkǝnda kish kǝ mi hura'a,
2901220085	Kǝnang Yǝso hachǝkǝnaɗi tǝ fa ɓǝɓi luwurcha, paɗ malawutǝ fa ɓǝɓi luwurchǝkǝn kǝ shuwunndǝwa kǝthlǝm shinndǝndi.
2901230048	Thlaakǝna ɓingtǝ tung, mwee ɓǝt shumma kǝ ɓǝt nguɗuk ka hwanda.
290124002b	Siman tǝ tahǝt nofchǝkǝn naknda katndi.
2901250031	Mbǝsangnda, ndangndǝwa: "Chikawun mǝla kassa."
290126006b	Ndang Yǝso kandǝwa: "Tama hwanhǝmchi naka ɓan, kǝnni ɓasa pǝnniyu paɗ ndǝkǝn cheka ɓat tǝ nji."
2901270065	Wu'yaǝn hachahai Galili nak na ɓasa ɓǝt humta Yahudawechihi nak na chandǝ ɓǝɓi luwurcha kish.
2901280063	Ɓak nifǝ tǝ tarkwinda fa, kopkǝnhi nakna hwanandǝ tǝ ndatwa: "Ma yehnǝsi kǝnitǝna ɗaɗi."
2901290045	Haɗaǝn Yǝso fa, tǝka'ǝn harfa, ndakǝnwa: "Yehisi kǝnu ɗaɗi."
29012a0030	Chat kichuyu yimkǝ tarkwiinkǝnhi kǝnkǝnaɗi.
29012b002b	Ndang Yǝso wa pǝɗu kǝ mbwa'ana nifǝwa,
29012c00c3	"Mbwa'ana chikawunwa, pǝɗu ɗu cheɗan faɗǝ ku Pǝrist kǝ fǝrnǝ i la fǝrtǝ ficha ma kǝnafichǝ nifa ɗaɗi nda ǝnnǝnǝ sakandǝ Musa kuni har yu, kǝ sokka ǝnnat sǝndǝwa kinnaɗi."
29012d00df	Pǝɗakǝn nakna mbwa'anda nofcha nakna fanandǝ shuwunkǝnhi ka'ǝn, kǝthlǝm ndǝkǝn Yǝso mbǝla'utǝ kalǝfathi a thlet hwanhǝmchǝkǝnwa. Pǝndakǝn kǝ ɓǝt ngunduk, paɗ nak nofcha ɓata mbǝɗ'en chika tǝ teni.
2902010060	Ɗiffitǝ hwanmunchǝkǝn ɗimek, ngǝrang Yǝso in kǝ Kafarnahum, sǝkkǝ nofchǝwa mǝlahuri.
2902020064	Ɓak nofchǝ oi, paɗ mwa'u ɓǝtsǝwa taa kǝ mikǝnnda, mǝlan paɗ nakna ɓasa pathla Fara kanda.
2902030048	Nɗǝkǝn ɓat nofcha mɓǝɗ'en tǝ tǝraɗ, nofchǝ fwaɗa tǝrkǝndi.
29020400ac	Mbǝsundǝ ɓǝt kǝ thlǝmatkǝn ndukwa, kǝthlǝm yakat nofcha tǝrkǝndǝ tǝ ɗar kǝtǝnkǝn, pahangndǝhi fǝrkǝndǝnda hai kǝ mbanitǝ Yǝso a ɗar ɓǝt hunat'en.
2902050061	Nak Yǝso fǝr kitchiɗengnandǝhi, ndangna le sakaɗiyuwa: "Hweya kalu fichǝ ɓǝɓifechekuhi."
2902060070	Malɗǝmchi fǝrkǝ kit kǝ kussa Musa yu nak ɗǝɗassa mbǝnniyu naknda yarandǝhi hur hanndǝkikecheng nanda.
2902070087	"Kǝthlǝm mi nat nifiya shundǝ kichuyu? Mbwitǝ i nguchik keeke kǝ ɓǝɗa Fara, wunla kalang ɓǝɓichitfata nifǝhi manga Faruwa?"
