2800000006	Matayo
2801010052	Kitabu cha mazina ya wantu wa kolwa da Yesu Klistu mwana Daudi mwana wa Ibulahimu.
2801020058	Ibulahimu nekamvyaa Isaka na Isaka akamvyaa Yakobo na Yakobo akamvyaa Yuda na wanduguze.
280103006f	Yuda akamvyaa Pelesi na Zela, ambao mami yao nee ni Tamali, Pelesi akamvyaa Eziloni na Hesiloni akamvyaa Alamu.
2801040054	Alamu akamvyaa Aminadabu na Aminadabu akamvyaa Nashoni na Nashoni akamvyaa Salimoni.
280105008d	Salimoni akamvyaa Boazi, na mami yakwe Boazi nee ni Lahabu, na Boazi akamvyaa Obedi, na mami yakwe Obedi nee ni Luti, na Obedi akamvyaa Yese.
2801060066	Nae Yese akamvyaa Seuta Daudi. Daudi akamvyaa Selemani, mami yakwe Selemani ni yuda ekuwae mkaza Ulia.
280107004e	Selemani akamvyaa Lehoboamu na Lehoboamu akamvyaa Abiya na Abiya akamvyaa Asa.
2801080050	Asa akamvyaa Yehoshafati na Yehoshafati akamvyaa Yolamu na Yolamu akamvyaa Uzia.
2801090047	Uzia akamvyaa Yosamu na Yosamu akamvyaa Ahazi na Ahazi akamvyaa Ezekia.
28010a0048	Ezekia akamvyaa Manase na Manase akamvyaa Amoni na Amoni akamvyaa Yosia.
28010b005b	Yosia akamvyaa Yekonia na wanduguze. Kisingi cha kusamizwa kwa Wayahudi kuita si ya Babeli.
28010c006d	Bada ya kusamizwa na kuita mwe si ya Babeli, Yekonia akamvyaa Shealitieli na Shealitieli akamvyaa Zelubabeli.
28010d0052	Zelubabeli akamvyaa Abiudi na Abiudi akamvyaa Eliakimu na Eliakimu akamvyaa Azoli.
28010e0048	Azoli akamvyaa Sadoki na Sadoki akamvyaa Akimu na Akimu akamvyaa Eliudi.
28010f004f	Eliudi akamvyaa Eliazali, na Eliazali akamvyaa Matani na Matani akamvyaa Yakobo
2801100051	Yakobo akamvyaa Yusufu muume da Malia ekuwae mami yakwe da Yesu etangwaye Klistu.
2801110127	Naho kuvokea Ibulahimu adi kubua kwa seuta Daudi, nee kuwa na vivyazi kumi dimwe na nne, naho tangia Seuta Daudi hadi Wayahudi wekudoigwaho kuita Babeli nee kuwa na vivyazi kumi dimwe na nne. Naho kuvokea kisingi wekusamizwaho adi kuvyaigwa kwa Yesu Klistu nee kuwa na vivyazi kumi dimwe na nne.
28011200a6	Naho kuvyaigwa kwa Yesu Klistu nekuwa ivi, Malia mami yakwe ekuwaho kaombwa na Yusufu. Akini kisingi khawazati kuteguana akaoneka ana ifu kwa udaho wa Muye wa Muungu.
2801130086	Kwaviya Yusufu, ekuwaye akunda kumtegua Malia nekawa mntu yedi, khekukunda kumgea soni hemeso ya wantu, ivyo akakunda kumbada kwa sii.
28011400d2	Ekuwaho akamamakhanya mbui iyo, mndima wa uko uwanga kwa Muungu wa Zumbe akamwawiiya mwe sozi, nakumwamba “Yusufu mwana Daudi wesekuogoha kumdoa Malia atende mkazio mana kenua ifu kwa udaho wa Muye wa Muungu.
280115007f	Endaavyae mwana kigosi na wendaumwekhe zina da Yesu, kwa viya yee nee mwendae awaohoe wantu wakwe kulawa mwe mavigaviga yao.”
2801160060	Naho aya yose yalawiiya ili iiganie ida mbui ya Zumbe ekugombekayo kwembokea kwa muoni wa Muungu
2801170085	“Kauwa mvyee mwenye kiwaa endaenue ifu. Na kuvyaa mwana kigosi, nae endaetangwe Imanueli” mana yakwe, “Muungu hamwe na swie.”
2801180081	Naye Yusufu ekwenukaho mwe usisiza akagosoa inga mndima wa uko uwanga kwa Muungu wa Zumbe ekumwambavyo, akamdoa mkaziwe adi kaya.
280119005b	Akini khekugonana nae adi Maliamu ekuvyaaho mwana kigosi. Na Yusufu akamwekha zina da Yesu.
28020100b0	Yesu kavyaigwa mwe mzi wa Betilehemu phande ya Uyahudi, kisingi cha ugookezi wa Seuta Helode. Ekuvyaigwaho du, wamanyi wa ntoondo kulawa awiyo da zua wakabua mzi wa Yelusalemu,
2802020097	wakauza, “Yuhahi mwana, mwekuvyaigwa, endaeawe Seuta wa Wayahudi?, Kwaviya tiiyona ntoondo yakwe yekulawiiyaho awiyo da zuwa na swie teza kumvika.”
280203005b	Seuta Helode ekuyategeezaho ayo, yee na wantu wose wa mzi wa Yelusalemu wakatozwa ni maatu.
280204007c	Naho akawetanga hamwe, waviki wakuu wose na wahinyi wa miko ya Muungu ekumwekhayo Musa akawauza, “Klistu avyaigwa hahi?”
2802050069	Wowo wakamtambaisa, “Avyaigwa mwe mzi wa Betilehemu, uko Uyahudi.” Inga muoni wa Muungu ekuandikavyo,
28020600aa	“‘Wee Betilehemu si ya Uyahudi, Wee khio mdodo katu mwe mizi mikuu ya si ya Yudea Kwaviya aho hako endaalawiiye Seuta mwendae awagookee wantu wangu wa Isilaeli.’”
2802070067	Aho Helode akawetanga kandani awo wamanyi wa ntoondo akawauza, asa kisingi ida ntoondo yekuwalawiiyaho.
28020800ba	Naho akawaagiiya waite mwe mzi wa Betilehemu akawamba, “Hitani mkasunguumanye kwa vitana mbui za mwana uyo, mkabinda kumanya mbui zakwe niyeteani mbui zakwe na miye niite nikamvike.”
