2800000013	Matiwos Dooshishiyo
2801010042	Dawitnat Abrahamn naar wottso Iyesus Krstos shuweyi s'ap'o haniye.
2801020059	Abraham Yisak'i b́shuwi, Yisak' Yak'obi b́shuwi, Yak'ob Yihudnat bí'eshwotsi b́shuwi,
280103006e	Yihudwere Faresnat Zaran Timari eteef máátswatse b́shuwi, Fares Hesroni b́shwi, Hesronwere Arami b́shuwi,
2801040051	Aramu Aminadabi b́shuwi, Aminadabu Ne'asoni b́shuwi, Ne'asonu Selmoni b́shuwi,
2801050078	Selmon Boezn Reaabi eteets máátswatse b́shuwi, Boez Iyobedn Ruuti eteef máátswatse b́shuwi, Iyobed Iseyi b́shuwi,
2801060058	Isey Nugúso Dawiti b́shuwi. Nugúso Dawit Oriyo mááts teshtswatse Selemoni b́shuwi,
280107004c	Selemon Rob'ami b́shuwi, Rob'am Abiyayi b́shuwi, Abiyawere Asafi b́shuwi,
280108004c	Asaf Iyosaft'i b́shuwi, Iyosaft' Iyorami b́shuwi, Iyoram Oziyani b́shuwi,
2801090050	Oziyanwere Iyo'atami b́shuwi, Iyo'atam Akazi b́shuwi, Akaz Hzk'iyasi b́shuwi,
28010a004c	Hzk'iyas Mnaseyi b́ shuwi, Mnaase Amos'i b́shuwi, Amos' Iyosyasi b́shuwi,
28010b0065	Iyosyas Israe'el ashaasho Babilon maants bo kishodek't damets dúr Ikoniyannat bí'eshwotsi b́shuwi.
28010c005c	Bokisho dek't Babiloni dameyakon Ikoniyan Salatiyal b́ shuwi Selatyal Zerubabeli b́ shuwi,
28010d0052	Zerubabel Abiyodi b́shuwi, Abiyodu Eelyak'emi b́shwi, Eelyak'em Azori b́ shuwi,
28010e0044	Azor Sadok'i b́shuwi, Sadok' Akimi b́shuwi, Akim Eelyudi b́shuwi,
28010f0049	Eeliyud Alazari b́shuwi, Alazar Matani b́shuwi, Matan Yak'obi b́shuwi,
2801100047	Yak'ob Krstosi eteefo Iyesusi shuwtsu Mariyami wid'tso Yosefi b́shuwi.
28011100d8	Eshe Abrahamatse tuut Dawitats b́borfetso tatse awd gubra, Dawitatse tuut kisho dek't Babilonits dameetsok b́borfetso tatse awd gubra, kisho dek't Babiloni dametsatse tuut waa Krstosok b́borfetso tatse awd gubree.
280112008b	Iyesus Krstos b́shwetsok'o hank'oyi b́tesh, b́ índ Mariyam Yosefsh wid'eyat bbefere, bogonkerawon bi S'ayin shayiron maac'at' bdatseyi.
2801130074	Bin wid'tso Yosef ash kááw b́teshtsotse Maryami ash shinatse kish kitso geeratse, mansh áátson k'azk'ro b́gaw.
28011400cd	Ernmó keewan jango shiyanoke b́befere doonzo melakiyo gúmon bí'ats be'eyat hank'o bíet, «Dawit naaro Yosefo! Nwid'tsu Mariyam bmaac'tso S'ayin shayiron b́wottsotse bin nmoo maants dek'osh shatk'aye.
2801150062	Biye nungush na'o shwitwaniye, bí ashuwotsi morrotse b́kashitwotse b́shútso Iyesusi etetune.»
2801160049	Jaman b́wottsonwere doonzo nebiyiyo weeron b́keewtso b́s'eenetwok'owe,
28011700a3	«Hambe, baar na'a s'eenu mac'itwanee, nungush na'onowere shuwitwane, b́ shútsonwere ‹Amanu'eli› err s'eegetwe.» Amanu'eli etonwere «Ik'o nontoniye» etee.
280118006c	Yosef tokrotse b́ tuwor, doonzo melakiyo bísh b́keewtsok'on b́ wid'tsu Mariyami b́moomants dek'tbíami.
2801190051	Wotowa eree bna'o bshuufetsosh bin danatse. B́shútsonowere Iyesusi et b́s'eeg.
280201009b	Nugúso Herodis dúr, Yihud datsatse daatseyiru Betelihem kitutse Iyesus b́shuweyiye hakon, k'eeni jango danfwots aaw keshomande Iyerusalem maants boweyi.
280202006f	Hank'o etnwere bo aati, «Shuwets Ayhudi nugúso aawoke? B́ k'eeno aawkeshon bek'aat bísh sagadosh waarone.»
2802030055	Nugúso man b́shishtsok'on tek' b́wtsi, Iyerusalem ashjamonwere bínton tek'bowtsi,
2802040078	Kahni naash jamwotsntonat ashuwotsitse nemo danifwotsi kakudek't, Krstos b́shuwetwo aawk'on b́wottsok'o boon bí aati.
2802050080	Bowere hank'o ett bísh bo aaniyi «Nebiyiyon hank'o etts bek'o guut'etsotse, Krstos b́shuwet Yihud datsatse Betelem kitotsnee,
28020600a6	‹Yihud dats kayotse daatseyiru Betelemee! Ti ash asho Isra'eli korde'er jishitwo n datsatse b́keshetwotse, Yhuditsi kit een eenwotsiyere eegonoru dasheratsne.›»
2802070075	Maniyere il Herodis k'eeni jango danfmanotsi ááshon s'eegidek't, k'eenman awr b́ be'etsok'o arikon aatt danbdek'i.
28020800a2	Hank'o ettnwere Betelem maants boon woshb́k'ri «Amr na'o jango t'iwintsde danere, bín itdatstsok'onowere taawere amr bísh tsagaditwok'o waar taash keewwere.»
28020900a4	Bowere Nugúso aap'o booshishihakon kesht boami, eshe! aawkeshon bobek'ts k'eeno na'i marmat'o b́beyirwok b́ned'efetsosh bo shinshinatse sha'efetst boon b́jishi.
28020a002d	K'eenman bobek'tsok'on ayidek't gene'ubowtsi,
28020b00c0	Mootsowere kindt na'i marmat'o bí'ind Mariyamnton b́befere bobek'i, b́shinats gúp gúp'at bosagadi, bo sat'nonowere k'eshdek't aawntso, it'anonat kerbeya etef shak' shaawo bísh bot'intsi.
28020c006f	Herodis maantsowere bo aanerawok'o Ik'o gúmon boosh b́keewtsotse k'osh weerindon bodatsomand aanat k'azboami.
28020d00df	K'eeni jango danfwots boamiyakon, doonzo melakiyo Yosefats gúmon be'eyat, «Herodis na'i marmat'o úd'osh b́geyirwotse, tuur na'i marmat'o indunton de'er Gbs'maand k'ay amee, neesh tkeewfetsonowere manoke betee» bí eti.
28020e004e	Mann Yosef t'úwon tuut na'i marmato bí índnton dek't Gbs'maand k'az bíami.
28020f0095	Manoknowere Herodis b́k'irfetso b́teshi, man b́wottsonúwere doonzo nebiyiyo weeron «T naayi Gbs' datsatse s'eegree» bíettso b́s'eenetwok'owe.
