0100000007	Genesis
010101003c	Sa sinugdan gimugna sa Dios ang kalangitan ug ang kalibotan.
01010200a2	Ang kalibotan kaniadto walay porma ug hawan pa. Nalukop kini sa tubig ug gitabonan sa kangitngit. Ug ang Espiritu sa Dios naglihok-lihok diha ibabaw sa katubigan.
0101030037	Unya miingon ang Dios, “Mohayag!” Ug dayon mihayag.
0101040056	Nakita sa Dios nga maayo ang kahayag. Unya gibulag niya ang kahayag ug ang kangitngit.
01010500a3	Gitawag niyag “adlaw” ang kahayag ug ang kangitngit gitawag niyag “gabii.” Milabay ang kagabhion, ug unya miabot ang kabuntagon. Mao kadto ang unang adlaw.
010106004a	Unya miingon ang Dios, “Maanaa ang wanang aron nga mabahin ang tubig.”
0101070051	Ug gihimo sa Dios ang wanang nga nagbulag sa tubig sa ibabaw ug sa tubig sa ubos.
010108008a	Kini nga wanang gitawag sa Dios nga “kawanangan.” Milabay ang kagabhion, ug unya miabot ang kabuntagon. Mao kadto ang ikaduhang adlaw.
0101090085	Unya miingon ang Dios, “Matingob sa usa ka dapit ang tubig ubos sa kawanangan aron motungha ang mamalang dapit.” Ug natuman kini.
01010a0079	Gitawag niyag “yuta” ang malang dapit ug “mga dagat” ang nangatingob nga tubig. Ug nakita sa Dios nga maayo kini.
01010b00c6	Unya miingon ang Dios, “Manurok sa yuta ang nagkalain-laing mga tanom: mga tanom nga adunay mga liso ug mga kahoy nga mamunga ug prutas nga adunay liso sumala sa ilang matang.” Ug nahitabo kini.
01010c00ba	Nanubo sa yuta ang nagkalain-laing matang sa tanom, mga tanom nga adunay liso ug mga kahoy nga mamunga ug prutas nga adunay liso sumala sa ilang matang. Ug nakita sa Dios nga maayo kini.
01010d0054	Milabay ang kagabhion, ug unya miabot ang kabuntagon. Mao kadto ang ikatulong adlaw.
01010e00ab	Unya miingon ang Dios, “Motungha sa kalangitan ang kahayag aron sa pagbulag sa adlaw ug sa gabii, ug mahimong ilhanan sa pagsugod sa mga panahon, mga adlaw, ug mga tuig.
01010f0054	Modan-ag sila sa kalangitan sa paghatag ug kahayag sa kalibotan.” Ug natuman kini.
01011000ab	Gihimo sa Dios ang duha ka dagkong suga: ang mas dako nga suga nga mohatag ug kahayag kon adlaw, ug ang gamay nga mohatag ug kahayag kon gabii. Nahimo usab ang mga bitoon.
01011100c6	Gipahimutang sa Dios kini nga mga butang sa kalangitan aron sa paghatag ug kahayag sa kalibotan kon adlaw ug gabii, ug aron sa pagbulag sa kahayag ug sa kangitngit. Ug nakita sa Dios nga maayo kini.
0101130056	Milabay ang kagabhion, ug unya miabot ang kabuntagon. Mao kadto ang ikaupat nga adlaw.
010114008d	Unya miingon ang Dios, “Mapuno sa nagkalain-laing mga mananap ang katubigan, ug manglupad sa kahanginan ang nagkalain-laing mga mananap.”
01011500c4	Busa gihimo sa Dios ang dagkong mga mananap sa tubig, ug ang tanang matang sa mga mananap nga nagpuyo sa tubig, apil ang tanang matang sa mga mananap nga galupad. Ug nakita sa Dios nga maayo kini.
