0100000007	Genesis
0101010037	Sa sinugdan gibuhat sa Dios ang mga langit ug ang yuta.
010102009f	Ug ang yuta awa-aw ug walay sulod; ug ang kangitngit diha sa ibabaw sa nawong sa kahiladman; ug ang Espiritu sa Dios naglihok sa ibabaw sa nawong sa mga tubig.
010103003d	Ug miingon ang Dios: Mahimo ang kahayag: ug dina ang kahayag.
0101040060	Ug nakita sa Dios ang kahayag nga kini maayo; ug gilain sa Dios ang kahayag gikan sa kangitngit.
0101050091	Ug gihinganlan sa Dios ang kahayag nga Adlaw, ug ang kangitngit gihinganlan niya nga Gabii: ug dihay kahaponon ug dihay kabuntagon, usa ka adlaw.
010106007d	Ug miingon ang Dios: Mahimo ang usa ka hawan sa taliwala sa mga tubig, ug pagabahinon niini ang mga tubig gikan sa mga tubig.
0101070090	Ug gibuhat sa Dios ang hawan ug gilain ang mga tubig nga diha sa ilalum sa hawan gikan sa mga tubig nga diha sa ibabaw sa hawan; ug nahimo kini.
0101080067	Ug gihinganlan sa Dios ang hawan nga Langit. Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikaduha.
0101090094	Ug miingon ang Dios: Matingub ang mga tubig nga anaa sa ilalum sa mga langit ngadto sa usa ka dapit ug tumungha ang yuta nga mamala: ug nahimo kini.
01010a0098	Ug ang mamala nga dapit gihinganlan sa Dios nga Yuta; ug ang katilingban sa mga tubig iyang gihinganlan nga mga Dagat: ug nakita sa Dios nga kini maayo.
01010b00de	Ug miingon ang Dios: Magpaturok ang yuta ug balili, talamnon nga magahatag ug binhi; ug himunga nga mga kahoy nga magahatag ug bunga ingon sa ilang matang diin anaa kaniya ang iyang binhi sa ibabaw sa yuta: ug nahimo kini.
01010c00cd	Ug ang yuta nagpaturok ug balili, talamnon nga nagahatag ug binhi, ingon sa ilang matang; ug mga kahoy nga nagahatag ug bunga, nga maoy binhi niini, ingon sa ilang matang, ug nakita sa Dios nga kini maayo.
01010d003a	Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikatolo.
01010e00d3	Ug miingon ang Dios: Mahimo ang mga kahayag sa hawan sa langit aron sa pagbulag sa adlaw gikan sa gabii; ug himoa sila nga alang sa mga ilhanan, ug alang sa mga panahon, ug alang sa mga adlaw ug sa mga katuigan;
01010f006f	Ug himoa sila nga mga kahayag sa hawan sa langit aron sa paghatag ug kahayag sa ibabaw sa yuta: ug nahimo kini.
01011000bc	Ug gibuhat sa Dios ang duruha ka dagkung mga kahayag: ang labing dakung kahayag sa paghari sa adlaw ug ang labing diyutay nga kahayag sa paghari sa gabii; gibuhat usab niya ang mga bitoon.
010111004d	Ug gibutang sila sa Dios sa hawan sa langit, aron magaiwag sa ibabaw sa yuta,
010112007e	Ug aron sa paghari sa adlaw ug sa gabii, ug aron sa pagbulag sa kahayag gikan sa kangitngit: ug nakita sa Dios nga kini maayo.
010113003a	Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikaupat.
0101140095	Ug miingon ang Dios: Dumagsang sa mga tubig ang duot sa mga binuhat nga buhi, ug manglupad ang mga langgam sa ibabaw sa yuta diha sa hawan sa langit.
01011500ef	Ug gibuhat sa Dios ang dagkung mga mananap, ug ang tanang mga binuhat nga buhi nga nagalihok nga mitungha sa mga tubig, ingon sa ilang matang ug ang tagsatagsa ka langgam nga pak-an, ingon sa iyang matang: ug nakita sa Dios nga kini maayo.
010116009b	Ug gipanalanginan sila sa Dios, nga nagaingon: Sumanay ug dumaghan kamo, ug pun-on ninyo ang mga tubig sa mga dagat, ug padaghanon ang mga langgam sa yuta.
010117003a	Ug dihay kahaponon ug dihay kabuntagon, adlaw nga ikalima.
01011800c9	Ug miingon ang Dios: Magpatubo ang yuta ug mga binuhat nga buhi ingon sa ilang matang, mga kahayopan, ug mga butang nga nakagamang sa yuta, ug mga mananap sa yuta ingon sa ilang matang: ug nahimo kini.
01011900db	Ug gibuhat sa Dios ang mga mananap sa yuta ingon sa ilang matang, ug ang kahayopan ingon sa ilang matang, ug ngatanan nga mananap nga nagakamang sa ibabaw sa yuta ingon sa ilang matang: ug nakita sa Dios nga kini maayo.
01011a00fa	Ug miingon ang Dios: Buhaton nato ang tawo sumala sa atong dagway, ingon sa kasama nato; ug magabuot sila sa mga isda sa dagat, ug sa mga langgam sa kalangitan, ug sa mga kahayopan, ug sa tibook nga yuta, ug sa tanan nga nagakamang sa ibabaw sa yuta.
01011b0083	Ug gibuhat sa Dios ang tawo sa iyang kaugalingong dagway, sa dagway sa Dios gibuhat niya sila, lalake ug babaye iyang gibuhat sila.
01011c0132	Ug gipanalanginan sila sa Dios, ug miingon ang Dios kanila: Sumanay ug dumaghan kamo, ug pun-on ninyo ang yuta, ug magagahum kamo niini, ug magbaton kamo sa pagbulot-an sa ibabaw sa mga isda sa dagat, ug sa mga langgam sa kalangitan, ug ibabaw sa tanan nga binuhat nga buhi nga nagalihok sa ibabaw sa yuta.
01011d00fc	Ug miingon ang Dios: Tan-awa, gihatagan ko kamo sa tanan nga balili nga nagahatag ug binhi, nga anaa sa ibabaw sa nawong sa tibook nga yuta, ug sa tanan nga kahoy nga may bunga sa kahoy nga nagahatag ug binhi, aron alang kaninyo kini mahimong kalan-on;
01011e00de	Ug sa tanan nga mananap sa yuta, ug sa tanang langgam sa kalangitan, ug sa tanang butang nga nagakamang sa ibabaw sa yuta, nga adunay kinabuhi, gihatag ko ang tanan nga balili nga lunhaw, aron ilang kan-on: ug nahimo kini.
