2800000005	Mahte
280101004e	Hin cun Davita capa, Abrahama capa, Jesuh Khritawa ksawn tähnak cajina kyaki.
2801020054	Abrahama ca Isak, Isaka ca Jakop, acunüng Jakop naw Judah ja a bena he a jah canak.
280103006b	Judah naw Tamari am Pereh ja Sherah a jah canak, Pereh naw Heron ca na lü, acunüng Heron naw Ram a canak.
2801040039	Rama ca Aminadap, Aminadapa ca Nashon, Nashona ca Salmon.
280105005a	Salmon naw Rahap am Bozah a canak, Bozah naw Rutah am Obet a canak, Obet naw Jise a canak.
2801060084	Jise naw Sangpuxang Davit a canak. Sangpuxang Davit naw Sangpuxang Solamon a canak, a nu cun Urijaa khyu Davit naw a khämbea kyaki.
280107003a	Solamona ca Rehobawm, Rehobawma ca Abijah, Abijaha ca Asa.
2801080045	Asaa ca Jehosaphat, Jehosaphata ca Jehoram, Jehoram naw Usia a canak.
280109003a	Usiaa ca Jotham, Jothama ca Ahaz, Ahaza ca Hezakiha kyaki.
28010a0037	Hezakiha ca Manaseh, Manaseha ca Amon, Amona ca Josiah.
28010b006f	Isarel he jah man u lü Babalunga ami jah cehpüi, acun k'um üng Josiah naw Jekhonih ja a bena he a jah canak.
28010c0050	Babalunga ami jah cehpüi käna Jekhoniha ca Shaltilah, Shaltilaha ca Zerubabel.
28010d0040	Zerubabela ca Abiud, Abiuda ca Eliakim, Eliakima ca Azora kyaki.
28010e0031	Azora ca Zadok, Zadoka ca Achim, Achima ca Eliud.
28010f003f	Eliuda ca Elezar, Elezara ca Matthan, Matthana ca Jakopa kyaki.
280110005f	Acunüng Jakopa ca cun Josep, Mariha ceia kyaki, Marih cun Khritaw Mesijah ti Jesuha nua kyaki.
28011100dc	Abraham üngka naw Davit cäpa ksawn xaleikphyü lawki. Davit üngka naw Babalung mpya vaia ami jah cehpüi cäpa ksawn xaleikphyü lawki. Acunüng Babalung mpya üngka naw Messijah hmi law cäpa ksawn xaleikphyü lawki.
28011200ac	Jesuh Khritaw a hmi lawa mawng cun hikbaa kyaki. A nu Marih cun Josepa khyu vaia ami mkhyäp käna, atänga am ani awm ham üng, Marih cun Ngmüimkhya Ngcim naw a mpyaisak.
2801130084	A cei vaia Josep cun khyang ngsungpyuna kya lü, khyang he maa Marih cun am luthui hmaiset hlüsak lü, ampyua hawih be khaia büki.
28011400ce	Acunüngpi, acukba a ngaih k'um üng, a ngmang üng Bawipaa khankhawngsä ngdang vai lü, “Davita capa Josep, Marih na khyunak vai käh cäia. Isetiakyaküng a mpyai hin ta Ngmüimkhya Ngcima mpyaisak ni.
2801150083	Ani cun kpamicaa ca khai, a khyang he ami mkhyekatnak üngkhyüh jah küikyan khaia kyase a ngming cun Jesuha na sui khai,” a ti.
2801160051	Ahina mawng cun Bawipa naw Sahma he üngkhyüh a pyen khawi a kümnak vaia kyaki.
28011700ba	Pamhnama ngthu ta, “Teng ua, nglamica mpyai law lü, cangpyang ca na law khai, a ngming cun Imanuelaha sui law khai he,” ti hlü ta, “Pamhnam cun mi hlawnga awmki,” tinaka kyaki.
2801180056	Josep cun ip lü a let law üng, Bawipa khankhawngsä naw a pyena kba Marih a khyunak.
2801190073	Acunüngpi, Josep ja Marih cun Marih a camah veia alanga am ip khawi ni. Josep naw hnasena ngming cun Jesuha a sui.
2802010091	Sangpuxang Herod a Bawi kcün üng Jesuh cun Judah khaw Bethlehem mlüha hmi lawki. Acunüng nghngilawa ka khyang kthem he Jerusalem da lawki he.
280202008d	“Hawia ni Judahea Sangpuxang vai hmi lawki hnasen cun. Ania aisi nghngilaw da lut lawki hmu u lü sawkhah khaia kami lawki he ni” ami ti.
2802030077	Sangpuxang Herod naw acun ngja üng cäicing pyangmaki. Jerusalem mlüha awmkia khyang he naküt pi cäicing hngaki he.
280204007d	Sangpuxang Herod naw, ktaiyü ngvai he ja thum mthei he jah mkhäm lü, “Khritaw hawia hmi khai ni?” ti lü a jah kthäh.
2802050055	Amimi naw, “Judah khaw, Bethlehema hmi khaia Sahma naw a yuk ni” ti lü ami pyen.
28020600ac	“Judah hne Bethlehem mlüh, Nang hin Judah mlühe üng na ngming ngthang khai ni. Nang üngka naw Bawi ngtüi law khai, ani naw ka khyang Isarel he lam jah msüm khai.”
2802070071	Acunüng, Herod naw khyang kthem he cun angmpyua jah khü lü, aisi angdang lawa kcün cun angsinga a jah kthäh.
28020800ae	Acunüng, Herod naw Bethlehema jah tüih lü, “Cit u lü hnasen cun akdawa va sui ua. Nami hmuh üng na mtheh law be uki se, kei pi cit lü ka va sawkhah hnga khai” a ti.
28020900ae	Acunüng cit u lü, nghngilaw da ami hmuh kunga aisi cun hmu betüki he. Ami hmuh üng jekyai tawngki he. Aisi cun ami maa cit lü hnasena awmnaka ngdang a pha üng ngdüiki.
28020b00d1	Im k'uma va lut u lü hnasen ja a nu Marih ami jah hmuh üng ngdäng u lü, hnasen kpamica cun sawkhahki he. Acunkäna ami lawpüia khawhthem he jah nghmawng u lü xüi, Frankisen ja Mura ng'ui he jah peki he.
28020c0097	Acunkäna Sangpuxang Heroda awmnak lam da käh ami ceh be vaia, Pamhnam naw ami ngmang üng jah mtheh se, lam kce üng ami khyawngpe da cu cit beki he.
28020d0104	Acun he ami ceh be käna, Bawipaa khankhawngsä mat law lü, Josepa ngmang üng, “Tho law lü, hnasen ja a nu Egypt pea jah cenpüia, ka ning jah mtheh law be vei cäpa acuia awm u, isetiüng ta Herod naw hnasen hnim khaia sui hüki ni” ti lü a jah mtheh.
28020e0057	Acuna mthan üng Josep cun tho law lü, naca ja a nu jah cehpüi lü Egypt pea dawngki.
28020f00a8	Sangpuxang Herod a thih vei cäpa acuia awmki he. Ahlana Bawipa naw sahma üng a pyen “Egypt pea ka ca ka khü be ni” ti lü awmki cen kümcei lawnak vaia phäh ni.
280210014d	Nghngilaw khyang kthem he naw mhleiki he ti Sangpuxang Herod naw a ksing law üng thüi law lü Bethlehem ja apeia awmki hnasen kpamica kum nghngiha kke üngka naküt a jah hnimsak. Acun cun khyang kthema veia a ksing aisi akcük a ngdang law üngkhyüh kum nghngih lawkia kya se, kum nghngih lawki Judah hnasen naküt a jah hnimsak.
280211003c	Acukba sahma Jeramih naw ahlana a na pyen law küm lawki ni.
2802120093	“Ramah mlüha sünnak, mbawikyahnak ngja ve u. Rachel naw a ca kyahei ve; mhlawhmcah vai pi mah ve, a ca he thih päiha phäh ni” ti lü awmki.
280213004e	Herod a thih käna Bawipa khankhawngsä mat Josepa ngmang üng ngdang vai lü,
2802140077	“Tho law lü, hnasen ja a nu Isarel pea jah cehpüi bea, hnasen hnim hlüki he thih päng ve u” ti lü a jah mtheh.
280215005c	Acunüng, Josep cun tho law lü hnasen ja a nu jah cehpüi lü Isarel khyawngpe da cit beki.
28021600cb	Acunüng, Sangpuxang Heroda capa Akhejah, a paa hnün üng Judah Bawia thawnki ni ti ngjak lü, Josep kyühei lü cit be damki. Pamhnam naw a ngmang üng a mtheha mäiha Kalile hneha cit lü acuia awmki.
2802170085	Acunüng, Nazaret mlüha im sa lü awmki. Sahma he naw ami na pyen, “Ani cun Nazaret khyanga sui khai he” ti a kümcei lawnak ni.
2803010056	Acun k'um üng Baptican Johan naw Judah khaw khawmkyang khawa law lü ngthu a pyen ta,
280302006e	“Nami mkhyekatnak üngka naw nghlat be hnüh ua. Isetiakyaküng Pamhnama khaw ng'et law ve” ti lü a pyen.
280303008f	Ahin va sahma Hesajah naw a pyen, khawmkyang khawa khyang mat, “Bawipa lam cun pyan u lü, a lam he cen jah ngsungsak ua” ti lü ngpyangki.
280304008a	Johan cun naw sanghngüksaüa mu am ami pyang kcu suisa lü, savun ksawmyüi vawp lü, mkhaü ja mawkpyawnga ka khawitui jah ei lü awmki.
2803050053	Jerusalem, Judah hne alum ja Jordan mliktui peia ka khyang he cun a veia cit u lü,
2803060043	Ami mkhyekatnak he jah phyah u se Jordan tui am Baptican a jah pet.
28030700b5	Pharise he ja Saduke he a veia Baptican kham khaia lawki he a jah hmuh üng, “Nangmi kphyu he, Pamhnama mlungso lawnak vai üngkhyüh nami lät khaia u naw a ning jah mtheh ni?”
2803080047	Acunakyase, akcanga nami ngjut a ngsing vaia nami ngtheipai am mdan ua.
28030900c1	Abraham cun kami pu ania phäh mkhyekatnak üngka naw nami lät khaia käh ngai kawm uki, “Ngai ua, ning jah mtheh veng, Pamhnam cun hina lunge pi Abrahama ca he vaia jah pyang khawhki ni.”
28030a007b	Acunakyase, akdawa am ngtheiki thing naküt cun jah khyu lü mei üng jah mkhih vaia, xäi cun thing phunga msäm päng ni.
28030b00ff	Nangmi nami ngjut vaia kei naw tui am baptican ka ning jah peki. Cunsepi ka hnua lawki mat awmki, ani cun keia kthaka hlüngtai bawki, kei cun ania khawdawkyüi sut khaia pi am ka nglawiki ni. Ani naw Ngmüimkhya Ngcim la mei am baptican ning jah pe khai.
28030c0086	A hlawnga cang hjapnak vai kphya awmki ni, angtak he cun kheia jah ta lü, anghi he cun am thih theikia mei üng jah mkhih khai, a ti.
28030d005e	Acunüng, Jesuh cun Kalile üngkhyüh Johana veia baptican khan khaia Jordan mliktui da lawki.
28030e007a	Cunsepi, Johan naw a na mah lü, “Kei va nanga veia Baptican ka khan khai sü, ivaia ka veia ksaia na lawki ni?” a ti.
28030f0079	Acunüng pi, Jesuh naw msang lü, “Pamhnama ngjak hlü mi pawhkia kya lü ahikba kya se,” ti se, Johan naw kcangnaki.
28031000b5	Baptican a khan päng ja, Jesuh tui üngka naw tho law beki. Acunüng khankhaw a vei da nghmawng law lü, Pamhnama Ngmüimkhya cun müma mäiha a khana ngaw law se Jesuh naw a hmuh.
280311008c	Acunüng, khankhaw üngka naw kthai pha lawki ta, “Hin cun ka mhläkphyanak kcanga ka capa ni, ani cun angläta ka jenak ni,” tia kyaki.
280401005a	Acunüng Jesuh cun Khawyai naw a hlawhlep vaia Ngmüimkhya naw khawmkyang khawa a cehpüi.
