1300000004	Saam
13010100a0	Thlak che a cuihnaak awh amak cet man, thlak thawlhkhqi a ceh lam awh amak dyi man, huhsit qaihsaikhqi ang ngawihnaak awh amak ngawi man thlang taw a zoseen hy.
1301020067	A awmhlynaak taw Bawipa a cawngpyinaak awi awh awm nawh, ce cawngpyinaak awi ce than dai poek poepa hy.
1301030088	Anih taw tui keng awhkaw thing ling, qah tym awh ak qah, a hah amak reu man ing lo qu nawh, a ik-oeih sainaak a hoei awh laang poepa hy.
1301040063	Thlak chekhqi taw cemyihna am awm kawm uh! A mingmih taw canghi zilh ing a zawn amyihna ni ami awm.
130105008f	Cedawngawh thlak chekhqi taw awidengnaak awh am dyi thai kawm u saw, thlak thawlhkhqi awm thlakdyngkhqi ang cunnaak awh am dyi thai ti kawm uh.
1301060054	Bawipa ing thlakdyngkhqi a lam ce sim hy, cehlai thlak chekhqi a lam taw plawci kaw.
130201005f	Ikawtih, pilnam ing za qu unawh thlang boeih ing a hqawng a hqap mai awh aming hqum qu hy voei?
1302020057	Khawmdek sangpahrangkhqi ing Bawipa ingkaw Situi a syp thlang ce qaal na thawh sih uhy.
1302030062	A mingmih a thiqui ce boet pe unawh taw, amik khawceh bynkhqi awm khawng pe valh u sih”, ti uhy.
1302040055	Khan awh BOI na ak ngawi ce qaai nawh; Bawipa ing cekkhqi ce qaih am qin nak khqi hy.
1302050062	Cekcoengawh a mingmih ce ak kawsonaak ing toel khqi nawh, ak kawtawknaak ing ly a lap sak khqi hy.
1302060060	Kamah qoe ing ka tlang ciim Zion awh ka sangpahrang ce ngawih sak hawh nyng”, tinawh kqawn hy.
130207007a	Bawipa ak awipeek ce khypyi kawng. “Nang taw ka capa na awm hyk ti; tuhngawi awhkawng na capa na awm nyng” ni tina hy.
130208005a	Thoeh law lah cawhtaw pilnam ce qo na ni pe kawng, khawmdek a dytnaak dy na koena awm kaw.
130209007c	Thicung ing a mingmih ce nang ing uk khqi kawp ti, dek-am ami deep kqek kqek amyihna cekkhqi ce deep khqi kqek kqek kawp ti.
13020a006c	Cedawngawh nangmih sangpahrangkhqi, cyi unawh taw, Aw nangmih khawmdek ukkungkhqi ngaihtaak ing awm hlah uh.
13020b003a	Kqih doena Bawipa bi ce bi unawh awmhly doena thyn lah uh.
13020c0053	Cakpa ce mawk lah uh, cekaa awhtaw ak kaw so kawmsaw na lam awh plawci hau kawp ti.
1303010057	Aw Bawipa, ka qaalkhqi doem soeih mah hy! Kai qaal na anik thawh sihkhqi doem soeih hy!
1303020040	Khawsa ing am hul tang” tinawh thlang khawzah ing ni tina uhy.
1303030079	Bawipa, nang taw kai anik hlipkung phuhqa na awm hyk ti, kak khanawh boeimangnaak ce ni pe nawh ka luu ni zoek pe hyk ti.
1303040052	Bawipa venawh khawteh na khy nyng saw, anih ing a hun ciim awhkawng nim hlat pehy.
1303050059	Nung zaih nawh ip nyng; Bawipa ing a nimtu khak a dawngawh hang hqyng law tlaih bai nyng.
130306004b	Qaal thonghqa ing hu hai na nik en khoep bai seiawm ap kqih qoe kawng nyng.
130307008f	Aw Bawipa tho lah! ka Khawsa nang ing ni hul lah! Ka qaalkhqi a kapkhe quh ce vyk pek khqi nawhtaw, thlak chekhqi a haa ce khoeng pek khqi lah.
130308005a	Hulnaak taw Bawipa ven awhkawng law hy. Nak thlangkhqik khanawh na zosennaak awm seh nyng.
1304010090	Aw ka dyngnaak Khawsa, ka nik khy awh ce oei lah. Ngaih kyi ing ka awm awh ngaihqepnak ni pe lah; nim qeen nawh kak cykcah awi ning ngai pe lah.
13040200ad	Aw thlangkhqi, ka boeimangnaak ve han dy awh nu chahqai na naming coeng hly sak hy voei? Han dy awh nu oek thawlhnaak ce lungna unawh, amak thym khawsa ce nami sui khak kaw?
130403007b	Bawipa ing amah ben awh ak ypawm thlangkhqi ce amah aham hoep hawh hy ti sim lah uh; kak khy awh Bawipa ing kak awi za kaw.
1304040068	Namik kaw a sonaak awh koeh thawlh uh; ihkhun awh naming zaih awh namik kaw poek hqeet unawh awm dym uh.
1304050030	Ak thym bulnaak ce nawn nawh Bawipa ce ypna lah.
130406007a	U ing nu them leek a nim huh lah voei?” thlang khawzah ing ti uhy. Aw Bawipa na haai vangnaak ce kak khanawh be sak lah.
130407007a	Caang ingkaw misur thaih ami zen awhkaw zeelnaak anglakawh, kak kawlung ve zeelnaak ak bau soeih ing be sak khqpet hyk ti.
130408005d	Zaih nyng saw ngaihding cana ip hly hawh nyng; Aw Bawipa ka loetnaak taw nang doek khoeih ni.
1305010040	Aw Bawipa kak awi ce ning ngai pe nawh, kak khy awi ce poek lah.
1305020057	Ka sangpahrang ingkaw ka Khawsa kak khy awi ce ngai lah; na venawh nik cykcah law nyng.
1305030070	Bawipa, mymcang awh kak awi ve ngai tiksaw; mymcang awh na haiawh qeennaak thoeh doena ngaih-unaak ing qeh nyng.
1305040061	Nang taw thawlhnaak awh ak zeel Khawsa na am awm hyk ti; na venawh thlak chekhqi am awm thai uhy.
130505006c	Thlak oek qu soeih ing na haiawh am dyi thai ti kawmsaw; ik-oeih ak sai palhkhqi ce nang ing sawh na hyk ti.
1305060077	A qaai ak kqawnkhqi ce nang ing hqe hyk ti; thlang a thi ak ngaihkhqi ingkaw a qaai ak kqawnkhqi ce Bawipa ing tyih hy.
1305070074	Cehlai kai taw na lungnaak ak caming na ip khuina law kawng; kqihchahnaak ing na bawk im ciim benna koep kawng nyng.
1305080068	Aw Bawipa ka qaalkhqi a awm dawngawh na dyngnaak benna ni hqui lah; ka haiawh na lampyi ce dyng sak lah.
13050900d6	Cekkhqi am khak khui awhkaw awi taw lungoet awm cangnaak kawina am awm hy; kawtih, amik kawlungkhqi seetnaak ing be uhy. Amik awihqawngkhqi ce phyi ak awng qu hyt amyihna awm nawh, a mim lai ing ami qaai kqawn uhy.
13050a00cf	Aw Khawsa, cekkhqi ce thlak thawlh na kqawn khqi hlah! Aming cainaak ce a mimah ang tluknaak na awm lat seh nyng. Thawlhnaak khawzah ami sai hawh a dawngawh hqek khqi bang hlah, cekkhqi ing nang ni oelh uhy.
13050b00b1	Cehlai, nang awh thuknaak ak suikhqi taw zeel u seh. Zeel doena laa sa u seh, cekkhqi ce chung khqi khoep lah. Cawhtaw nang ming ak lungnaak thlangkhqi ce nang awh zeel kawm uh.
13050c0074	Aw Bawipa thlakdyngkhqi taw nang ing zosennaak pe kawm tiksaw; nam qeennaak ing cekkhqi ce chung khqi khoep kawp ti.
1306010049	Aw Bawipa, kawso doena koeh ni zyi nawhtaw kaw tawknaak ing koeh ni toel.
130602006b	Bawipa kak tha am awm saw nang ing nim qeen lah; Aw Bawipa ka quhkhqi tlo boeih hawh nawh, ni qoei sak lah.
130603003e	Ka hqingnaak ak tha hoet hawh hy. Aw Bawipa iqyt dy hly nu ve?
1306040054	Hlat law nawhtaw aw Bawipa kai ni hul lah; amak dyt thai na lungnaak ing ni hul lah.
130605006a	U ingawm a thih coeng awhtaw nang ce amni sim voel hy. U ing phyi khui awhkawng nang ce a nim kyihcah kaw?
1306060089	Kang ko aih awh hoet hawh nyng, than zung kang kqang aih awh ka ih hun plym sak hawh nyng, ka ihkhun awm ka mikphli tui ing plym hawh hy.
1306070061	Kawset aih awh ka mik awm ak tha hoet khing nawh, ka qaalkhqi dawngawh ka mik awm am dai voel hy.
130608006a	Nangmih them che ak saikhqi, ka ven awhkawng cet hlah uh, kawtih Bawipa ing kang kqangnaak awi za hawh hy.
1306090062	Qeennaak thoeh nawh kak khynaak awi ce Bawipa ing za nawh; kak cykcahnaak awi ce Bawipa ing do hy.
