010000000b	Kamtawngnae
0101010030	Apuengcue vah, Cathut ni kalvan hoi talai a sak.
010102007e	Talai teh meilam tawn hoeh. Ahrawng lah doeh ao. Hmonae ni kadung poung e hmuen a ramuk. Cathut e Muitha teh tui van a kâroe.
010103002f	Cathut ni angnae awm seh ati teh angnae teh ao.
010104005e	Angnae teh Cathut ni a khet navah ahawi ati teh, Cathut ni angnae teh hmonae dawk hoi a kapek.
010105007e	Cathut ni angnae hah khodai telah a phung, hmonae hah karum telah a phung. Hottelah, tangmin hoi amom teh apasuek hnin lah ao.
0101060050	Hahoi Cathut ni, tui lungui lathueng awmseh, tui hoi tui kâkapek seh telah ati.
0101070083	Hottelah Cathut ni lathueng a sak teh, lathueng lah kaawm e tui hoi lathueng rahim lah kaawm e tui hah a kapek teh hottelah ao awh.
010108005f	Cathut ni lathueng teh kalvan telah a phung. Hottelah tangmin hoi amom teh apâhni hnin lah ao.
0101090073	Hahoi Cathut ni kalvan rahim kaawm e tui hmuen buet touh koe awm seh. Kaphui e talai kamnuek seh ati e patetlah ao.
01010a0080	Cathut ni kaphui e talai hah talai telah ati teh, tuikamuemnae teh tuipui telah a phung. Cathut ni a khet navah ahawi telah ati.
01010b00bd	Hahoi Cathut ni hettelah ati, talai ni pho, cati ka tâcawt sak e cakung, a paw ka paw e thingkung, amamouh a coung e patetlah atimu katâcawtkhai e naw hah paw naseh ati e patetlah ao awh.
01010c0099	Talai ni pho, cati ka tâcawt sak e cakung, ati ka tawn ni teh a paw ka paw e thingkungnaw a pâw sak. Hotnaw hah Cathut ni a khet navah ahawi telah ati.
01010d0033	Hottelah tangmin hoi amom teh apâthum hnin lah ao.
01010e0085	Hahoi Cathut ni karum dawk hoi khodai kapek nahanelah, kalvan e lathueng dawk angnae awm seh, mitnoutnae tue, hnin hoi kumnaw awmseh.
01010f005b	Kalvan e lathueng dawk, talai angnae ka poe hanelah, angnae awmseh telah ati e patetlah ao.
0101100095	Hahoi Cathut ni angnae kalen kahni touh a sak teh, khodai ka uk hanelah kalen e buet touh, karum ka uk hanelah kathoenge buet touh hoi âsinaw a sak.
01011100a0	Cathut ni talai dawk ang sak hanelah thoseh, khodai hoi karum ka uk hanelah thoseh, hmonae dawk hoi angnae kapek hanelah thoseh, kalvan e lathueng dawk a hruek.
0101120031	Hote hah Cathut ni a khet navah, ahawi telah ati.
0101130030	Hottelah tangmin hoi amom teh apali hnin lah ao.
0101140086	Hahoi, Cathut ni kahring ni teh kâroe e saring, tui ni pungdaw sak naseh. Tavanaw hai kalvan e lathueng dawk kamleng naseh telah ati.
010115010f	Hahoi, Cathut ni tuipui dawk e saring kalenpoungnaw, kahring ni teh kâroe e saringnaw tui ni amamouh coungnae patetlah lengkaleng a pungdaw sak teh, rathei ka tawn e tavanaw hai amamouh coungnae patetlah lengkaleng a sak. Hote hah Cathut ni a khet navah ahawi telah ati.
010116009a	Cathut ni hote saringnaw hah yawhawi a poe teh, moikapap pungdaw awh nateh, tuipui tuinaw dawk kawi sak awh. Tavanaw hai talai dawk pungdaw awh telah ati.
0101170031	Hottelah tangmin hoi amom teh apanga hnin lah ao.
0101180078	Hahoi Cathut ni saring hoi moithangnaw, vonpui hoi kâva e moithangnaw talî ni pungdaw sak seh telah ati e patetlah ao.
0101190088	Hottelah Cathut ni moithangnaw, saringnaw, vonpui hoi kâva e moithang pueng teh a sak. Hote hah Cathut ni a khet navah ahawi telah ati.
01011a00dd	Hahoi Cathut ni, mamae mei hoi kâvan lah, meikalat lah tami sak awh sei. Ahni ni tuipui dawk e tanganaw, kalvan e tavanaw, talai dawk e saring pueng hoi, vonpui hoi kâva e saring pueng e lathueng kâ tawn seh telah ati.
01011b0059	Hottelah Cathut ni amae mei hoi kâvan lah, amae meikalat lah tongpa hoi napui hah a sak.
01011c0113	Hahoi ahnimouh roi hah Cathut ni yawhawinae a poe teh, Cathut ni ahnimouh roi koe, canaw moikapap khe nateh pungdaw awh. Talai dawk kawi awh nateh, tâ awh loe. Tuipui dawk e tanganaw, kalvan e tavanaw, talai dawk vonpui hoi kâva e moithang pueng koe kâ tawn awh telah ati.
01011d0095	Hahoi Cathut ni khenhaw! talai dawk cati ka tâcawt sak e cakung aphunphun, a paw dawk a mu kaawm e thingkung pueng, na ca awh hanelah kai ni na poe.
01011e00ae	Hahoi, talai e moithang, kalvan e tava, hoi kahring niteh, talai dawk vonpui hoi kâva e moithang pueng ni a ca hanelah, pho kahring aphunphun ka poe telah ati e patetlah ao.
01011f0074	Hahoi, Cathut ni a sak e pueng a khet navah, ahawipoung telah ati. Hottelah tangmin hoi amom teh ataruk hnin lah ao.
0102010041	Hottelah kalvan hoi talai, a thung kaawm e pueng teh koung a cum.
0102020072	Hahoi, a cum e thaw hah asari hnin dawk Cathut ni a pâpout. Hahoi, thaw pueng a cum dawkvah, asari hnin a kâhat.
010203009a	Hottelah, Cathut ni asari hnin hah yawhawi a poe teh a thoungsak. Bangkongtetpawiteh, a sak e hnopueng koung a cum toung dawkvah, hote hnin dawk a kâhat.
0102040031	Hetenaw teh kalvan hoi talai a saknae hnin navah,
01020500aa	talai dawk phokung pâw hoehnahlan, law dawk patue e hai a pâw hoehnahlan, BAWIPA Cathut ni talai van khorak sak hoeh rah. Talai dawk ka tawk hane tami hai awm hoeh rah.
0102060047	Hatei, talai dawk hoi tui kahû a tâco sak teh, talai pueng a duk sak.
0102070097	Hahoi, BAWIPA Cathut ni talai dawk e vaiphu hoi tami a sak teh, hringnae kâha a hnawng dawk hoi a poe hnukkhu tami teh kahring e tami lah a kangcoung.
0102080073	Hahoi BAWIPA Cathut ni kanîtholah, Eden hmuen dawkvah, takha buet touh a sak teh, a sak e tami hah hawvah a hruek.
01020900a3	Hote talai dawk a meikahawi niteh, cakawi thingkung aphunphun a pâw sak. Takha lungui vah, hringnae thingkung hoi thoe hoi hawi panuenae thingkung hai a pâw sak.
01020a0086	Takha kaduksak hanelah, Eden hoi tui buet touh a lawng teh, takha lawilah hoi pali touh lah a kampek teh tuisei pali touh lah a coung.
01020b004e	Apasueke tui min teh Pishon. Sui onae Havilah ram pueng, kâkalup lah a lawng.
01020c005b	Hote ram dawk e sui teh, ahawi. Hote hmuen koe Dellium hoi Onyx talung aphu kaawm e hai ao.
01020d003b	Apâhni e tui min teh Gihon. Kush ram kâkalup lah a lawng.
01020e006b	Hahoi apâthum e tui min teh Khiddekel. Assiria ram kanîtholah a lawng teh, apali e tui min teh Euphrates.
01020f005c	BAWIPA Cathut ni tami a la teh, Eden takha dawk thaw tawk hane hoi khetyawt hanelah a hruek.
0102100093	Hahoi, BAWIPA Cathut ni tami koe kâ a poe e teh, thoe hoi hawi panuenae thingkung hloilah, hote takha dawk kaawm e thingpaw pueng teh, na ca thai.
010211006f	Hatei, thoe hoi hawi panuenae thingpaw teh na cat mahoeh. Na cat pawiteh, na ca hnin na due roeroe han atipouh.
0102120069	Hahoi, BAWIPA Cathut ni tongpa teh amadueng ao e hawihoeh a titeh, kabawmkung kahawi ka sak pouh han ati.
01021300de	BAWIPA Cathut ni talai a la teh, talai van e saring pueng hoi kalvan e tava pueng a sak hnukkhu, min phung hanelah, Adam koe a thokhai. Adam ni hai a thokhai e saring pueng min a phung e patetlah min lengkaleng a tawn awh.
010214007b	Hottelah, saringpueng, kalvan e tava pueng, moithang pueng Adam ni min a phung. Hatei, Adam kabawmkung kahawi awm hoeh rah.
0102150083	Hatdawkvah, BAWIPA Cathut ni Adam mat a i sak teh, a i lahun nah a nâhru buet touh a rayu pouh teh, a tak hoi bout a pâbing pouh.
0102160064	Hahoi, BAWIPA Cathut ni tongpa dawk hoi a rayu e a nâhru hoi napui a sak teh, tongpa koe a thokhai.
0102170093	Hahoi, Adam ni hethateh, ka hru thung e ka hru, ka tak thung e ka tak doeh. Tongpa thung e rayu e lah ao dawkvah, napui telah phung hanelah ao ati.
0102180082	Hatdawkvah, tongpa ni manu hoi na pa a ceitakhai han. Hathnukkhu, a yu hoi a kâpahlawm vaiteh, takthai buet touh lah a coung han.
0102190043	Tongpa hoi a yu teh, caici lah ao roi eiteh, kayanae tawn roi hoeh.
01030100c4	BAWIPA ni a sak e moithang pueng hlak tahrun teh huenghai kaawm poung e lah ao dawkvah, napui koe nangmouh roi ni takha dawk e thingpaw pueng cat hanh telah Cathut ni ati katang maw telah a pacei.
0103020046	Napui ni tahrun koevah, takha dawk kaawm e thingpawnaw teh na ca thai.
0103030089	Hatei, takha lungui kaawm e thingpaw teh na cat mahoeh. Tek hai na tek mahoeh. Hoehpawiteh, na due han telah Cathut ni ati telah atipouh.
010304002c	Tahrun ni napui koe, khoeroe na dout mahoeh.
01030500b2	Bangkongtetpawiteh, a paw na ca hnin vah, na mit ang roi vaiteh, thoe hoi hawi na panue roi han. Cathut boiboe lah na o roi han tie ama Cathut ni a panue dawk doeh telah atipouh.
01030600aa	Hote thingkung teh cakawi kahawi e lah, mitkhet kantang e lah, tami lungkaangsakkung a paw lah a hmu dawkvah, a la teh a ca. Hahoi ateng kaawm e a vâ hai a poe teh a ca.
0103070094	Hathnukkhu, ahnimouh roi teh, a mit ang roi toung dawkvah, caici lah ao roi e hah a kâpanue roi. Hatdawkvah, thai hna a khui roi teh, a khohna roi.
01030800bb	Hot hnin tangmin lah, takha dawk BAWIPA Cathut a tho e pawlawk ahnimouh roi yuvâ ni a thai navah, BAWIPA Cathut e hmaitung hoi hlout nahanelah takha thung e thingkung rahak a kâhro roi.
010309003c	Hatei, BAWIPA Cathut ni Adam a kaw teh, nâmaw na o atipouh.
01030a0064	Tongpa ni, takha thung na lawk ka thai teh, caici lah ka o dawk ka taki teh ka kâhro telah atipouh.
01030b0070	BAWIPA ni, apinimaw nang caici lah na o e hah a dei. Cat hanh ka tie thingpaw hah na ca toung maw telah a pacei.
01030c0046	Tongpa ni nang ni na poe e napui ni thingpaw na poe teh ka ca atipouh.
01030d0089	BAWIPA Cathut ni, napui koevah, hete hno heh bangkong maw na sak telah a pacei navah, napui ni, tahrun ni na dum teh ka ca telah atipouh.
01030e00b2	BAWIPA Cathut ni tahrun koevah, hete hno na sak dawkvah, saring hoi moithang pueng hlakvah, thoebo lah na o han. Na vonpui hoi na thawn vaiteh, na hring nathung vaiphu na ca han.
01030f00b8	Nang hoi napui rahak, nang e catoun hoi napui e catoun rahak kai ni kâtarannae ka hruek han. Ahni ni na lû a phawm vaiteh, nang ni ahnie a khokpaimai na phawm pouh han telah atipouh.
010310009d	Napui koevah, camo na vawn navah patawnae ka pung sak vaiteh, na khe nah patawnae na khang han. Na ngainae teh na vâ hanelah ao vaiteh, na vâ ni na uk han.
01031100ca	Adam koevah, na yu e lawk na tarawi teh, cat hanh telah kai ni kâ na poe e thingpaw na ca dawkvah, talai teh nang kecu dawk thoebo lah ao. Tha pataw laihoi na hringyung thung na tawk vaiteh, na ca han.
0103120060	Pâkhingnaw hoi pâkhingkungnaw ka pâw sak vaiteh, law dawk hoi ka tâcawt e apawhik na ca han.
01031300c5	Na tâconae talai lah bout na ban hoehroukrak, na minhmai dawk hoi lahuntui tâco laihoi na ca han. Bangkongtetpawiteh, nang teh vaiphu e lah na o dawkvah, vaiphu lah bout na ban han telah atipouh.
0103140077	Hahoi, Adam ni amae yu hah Evi telah min a phung. Bangkongtetpawiteh, ahni teh kahring pueng e a manu lah ao dawk doeh.
