2800000006	Matayo
280101008e	Achi chili chitabu cha meena ga lukosyo lu Che Yesu Kilisito, Che Yesu Kilisito jwaliji jwa uŵelesi u che Daudi, jwa uŵelesi u che Iblahimu.
2801020078	Che Iblahimu ŵammeleche che Isaka ni che Isaka ŵammeleche che Yakobo ni che Yakobo ŵammeleche che Yuda ni achapwakwe.
2801030097	Che Yuda ŵammeleche che Pelesi ni che Sela, achikulu ŵao ŵaliji che Tamali ni che Pelesi ŵammeleche che Esloni ni che Esloni ŵammeleche che Alamu.
2801040078	Che Alamu ŵammeleche che Aminadabu ni che Aminadabu ŵammeleche che Nashoni ni che Nashoni ŵammeleche che Salumoni ni,
28010500aa	Che Salumoni ŵammeleche che Boasi, achikulu ŵao che Boasi ŵaliji che Lahabu. Che Boasi ni che Lusi ŵaliji achaŵelesi ŵa che Obedi ni che Obedi ŵammeleche che Yese,
2801060087	nombe che Yese ŵammeleche Mwenye che Daudi. Che Daudi ŵammeleche che Selemani, achikulu ŵao che Selemani ŵaliji ŵankwawo che Ulia.
2801070073	Che Selemani ŵammeleche che Lehoboamu ni, che Lehoboamu ŵammeleche che Abiya ni che Abiya ŵammeleche che Asa ni,
2801080074	che Asa ŵammeleche che Yehoshafati ni che Yehoshafati ŵammeleche che Yolamu ni che Yolamu ŵammeleche che Usia ni,
280109006c	Che Usia ŵammeleche che Yosamu ni che Yosamu ŵammeleche che Ahasi ni che Ahasi ŵammeleche che Esekiya ni,
28010a006d	Che Esekiya ŵammeleche che Manase ni che Manase ŵammeleche che Amoni ni che Amoni ŵammeleche che Yosia ni,
28010b007a	Che Yosia ŵammeleche che Yekonia ni achapwakwe. Keleko kaliji katema kakwasamichisya Ŵayahudi ku chilambo cha ku Babeli.
28010c008b	Nipele, Ŵayahudi paŵaiche ku chilambo cha Babeli, che Yekonia ŵammeleche che Sealitieli ni che Sealitieli ŵammeleche che Selubabeli ni,
28010d0073	Che Selubabeli ŵammeleche che Abiudi ni che Abiudi ŵammeleche che Eliakimu ni che Eliakimu ŵammeleche che Asoli.
28010e0069	Che Asoli ŵammeleche che Sadoki ni che Sadoki ŵammeleche che Akimu ni che Akimu ŵammeleche che Eliudi,
28010f0070	Che Eliudi ŵammeleche che Eliasali ni che Eliasali ŵammeleche che Matani ni che Matani ŵammeleche che Yakobo,
2801100075	Che Yakobo ŵammeleche che Yusufu, ŵankwawo che Maliamu achikulugwe Che Yesu ŵakuŵilanjikwa Kilisito Jwakuwombola.
2801110104	Pelepo paliji ni iŵelesi kumi na nne kutyochela che Iblahimu kwaichilila che Daudi, iŵelesi kumi na nne kutyochela che Daudi mpaka Ŵayahudi paŵajigalikwe ku usami ku Babeli ni iŵelesi kumi na nne kutyochela kwigalikwa ku usami kuichila katema ka Kilisito.
