2800000015	ⳘⲀⲦⲐⲈⲞⲚ
2801010098	ⲠϪⲰⲘ ⲘⲘⲒⲤⲒ ⲚⲦⲈⲒⲎⲤⲞⲨⲤ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲠϢⲎⲢⲒ ⲚⲆⲀⲨⲒⲆ ⲠϢⲎⲢⲒ ⲚⲀⲂⲢⲀⲀⲘ.
28010200c7	ⲀⲂⲢⲀⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲤⲀⲀⲔ ⲒⲤⲀⲀⲔ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲀⲔⲰⲂ ⲒⲀⲔⲰⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲞⲨⲆⲀⲤ ⲚⲈⲘ ⲚⲈϤⲤⲚⲎⲞⲨ.
28010300dc	ⲒⲞⲨⲆⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲪⲀⲢⲈⲤ ⲚⲈⲘ ⲌⲀⲢⲀ ⲈⲂⲞⲖ ϦⲈⲚⲐⲀⲘⲀⲢ ⲪⲀⲢⲈⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲤⲢⲰⲘ. ⲈⲤⲢⲰⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲢⲀⲘ.
28010400b7	ⲀⲢⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲘⲒⲚⲀⲆⲀⲂ ⲀⲘⲒⲚⲀⲆⲀⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲚⲀⲤⲤⲰⲚ ⲚⲀⲤⲤⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲀⲖⲘⲰⲚ.
28010500c7	ⲤⲀⲖⲘⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲂⲞⲈⲤ ⲈⲂⲞⲖ ϦⲈⲚⲢⲎⲬⲀⲂ ⲂⲞⲈⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲞⲨⲂⲎⲆ ⲒⲞⲨⲂⲎⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲈⲤⲤⲈ.
280106009f	ⲒⲈⲤⲤⲈ ⲆⲈ ⲀϤϪⲪⲈ ⲆⲀⲨⲒⲆ ⲆⲀⲨⲒⲆ ⲆⲈ ⲀϤϪⲪⲈ ⲤⲞⲖⲞⲘⲰⲚ ⲈⲂⲞⲖ ϦⲈⲚⲐⲀ ⲞⲨⲢⲒⲀⲤ.
28010700a2	ⲤⲞⲖⲞⲘⲰⲚ ⲆⲈ ⲀϤϪⲪⲈ ⲢⲞⲂⲞⲀⲘ ⲢⲞⲂⲞⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲂⲒⲀ ⲀⲂⲒⲀ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲤⲀⲪ.
28010800a8	ⲀⲤⲀⲪ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲀⲪⲀⲦ ⲒⲰⲤⲀⲪⲀⲦ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲢⲀⲘ ⲒⲰⲢⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲞⲌⲒⲀⲤ.
28010900a5	ⲞⲌⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲀⲐⲀⲘ ⲒⲰⲀⲐⲀⲘ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲬⲀⲌ ⲀⲬⲀⲌ ⲆⲈ ⲀϤϪⲪⲈ ⲈⲌⲈⲔⲒⲀⲤ.
28010a00ae	ⲈⲌⲈⲔⲒⲀⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲘⲀⲚⲀⲤⲤⲎ ⲘⲀⲚⲀⲤⲤⲎ ⲆⲈ ⲀϤϪⲪⲈ ⲀⲘⲰⲤ ⲀⲘⲰⲤ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲒⲀⲤ.
