2800000015	ⳘⲀⲦⲐⲈⲞⲚ
280101009d	Ⲡ̇ϫⲱⲙ ⳿ⲙⲙⲓⲥⲓ ⳿ⲛⲧⲉ Ⲓⲏ̅ⲥ̅ Ⲡⲭ̅ⲥ̅ ⳿ⲡϣⲏⲣⲓ ⳿ⲛⲆⲁⲩⲓⲇ ⳿ⲡϣⲏⲣⲓ ⳿ⲛⲀⲃⲣⲁⲁⲙ.
28010200d9	Ⲁⲃⲣⲁⲁⲙ ⲇⲉ ⲁϥ⳿ϫⲫⲉ⳿ Ⲓⲥⲁⲁⲕ⳿ Ⲓⲥⲁⲁⲕ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲁⲕⲱⲃ Ⲓⲁⲕⲱⲃ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲟⲩⲇⲁⲥ ⲛⲉⲙ ⲛⲉϥ⳿ⲥⲛⲏⲟⲩ.
28010300eb	Ⲓⲟⲩⲇⲁⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲫⲁⲣⲉⲥ ⲛⲉⲙ Ⲍⲁⲣⲁϩ ⳿ⲉⲃⲟⲗϧⲉⲛ Ⲑⲁⲙⲁⲣ Ⲫⲁⲣⲉⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲉⲥⲣⲱⲙ Ⲉⲥⲣⲱⲙ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲣⲁⲙ.
28010400c6	Ⲁ̇ⲣⲁⲙ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲙⲓⲛⲁⲇⲁⲃ Ⲁ̇ⲙⲓⲛⲁⲇⲁⲃ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲛⲁⲥⲥⲱⲛ Ⲛⲁⲥⲥⲱⲛ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲥⲁⲗⲙⲱⲛ.
28010500f2	Ⲥⲁⲗⲙⲱⲛ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲃⲟⲉⲥ ⳿ⲉⲃⲟⲗϧⲉⲛ Ⲣⲏⲭⲁⲃ Ⲃⲟⲉⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲱⲃⲏⲇ ⳿ⲉⲃⲟⲗϧⲉⲛ Ⲣⲟⲩⲑ Ⲓⲱⲃⲏⲇ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲉⲥⲥⲉ.
28010600bb	Ⲓⲉⲥⲥⲉ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲇⲁⲩⲓⲇ ⳿ⲡⲟⲩⲣⲟ Ⲇⲁⲩⲓⲇ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲥⲟⲗⲟⲙⲱⲛ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲑⲁ Ⲟⲩⲣⲓⲁⲥ.
28010700b7	Ⲥⲟⲗⲟⲙⲱⲛ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲣⲟⲃⲟⲁⲙ Ⲣⲟⲃⲟⲁⲙ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲃⲓ⳿ⲁ Ⲁ̇ⲃⲓ⳿ⲁ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲥⲁⲫ.
28010800b2	Ⲁ̇ⲥⲁⲫ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲱⲥⲁⲫⲁⲧ Ⲓⲱⲥⲁⲫⲁⲧ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲱⲣⲁⲙ Ⲓⲱⲣⲁⲙ ⲇⲉ ⲁϥϫⲫⲉ Ⲟ̇ⲍⲓⲁⲥ.
28010900bc	Ⲟ̇ⲍⲓⲁⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲱ⳿ⲁⲑⲁⲙ Ⲓⲱ⳿ⲁⲑⲁⲙ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲭⲁⲍ Ⲁ̇ⲭⲁⲍ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲉ̇ⲍⲉⲕⲓⲁⲥ.
28010a00bd	Ⲉ̇ⲍⲉⲕⲓⲁⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲙⲁⲛⲁⲥⲥⲏ Ⲙⲁⲛⲁⲥⲥⲏ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲙⲱⲥ Ⲁ̇ⲙⲱⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲱⲥⲓⲁⲥ.
28010b00be	Ⲓⲱⲥⲓⲁⲥ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲉⲭⲟⲛⲓⲁⲥ ⲛⲉⲙ ⲛⲉϥ⳿ⲥⲛⲏⲟⲩ ϩⲓ ⲡⲓⲟⲩ⳿ⲱⲧⲉⲃ ⳿ⲉⲃⲟⲗ ⳿ⲛⲧⲉ Ⲃⲁⲃⲩⲗⲱⲛ.
28010c00f5	ⲙⲉⲛⲉⲛⲥⲁ ⲡⲓⲟⲩ⳿ⲱⲧⲉⲃ ⳿ⲉⲃⲟⲗ ⳿ⲛⲧⲉ Ⲃⲁⲃⲩⲗⲱⲛ Ⲓⲉⲭⲟⲛⲓⲁⲥ ⲁϥ⳿ϫⲫⲉ Ⲥⲁⲗⲁⲑⲓⲏⲗ Ⲥⲁⲗⲁⲑⲓⲏⲗ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲍⲟⲣⲟⲃⲁⲃⲉⲗ.
28010d00d3	Ⲍⲟⲣⲟⲃⲁⲃⲉⲗ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲃⲓⲟⲩⲇ Ⲁ̇ⲃⲓⲟⲩⲇ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲉ̇ⲗⲓ⳿ⲁⲕⲓⲙ Ⲉ̇ⲗⲓ⳿ⲁⲕⲓⲙ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲍⲱⲣ.
28010e00aa	Ⲁ̇ⲍⲱⲣ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲥⲁⲇⲱⲕ Ⲥⲁⲇⲱⲕ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲁ̇ⲭⲓⲛ Ⲁ̇ⲭⲓⲛ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲉ̇ⲗⲓⲟⲩⲇ.
28010f00c3	Ⲉ̇ⲗⲓⲟⲩⲇ ⲇⲉ ⲁϥϫⲫⲉ Ⲉ̇ⲗⲉ⳿ⲁⲍⲁⲣ Ⲉ̇ⲗⲉ⳿ⲁⲍⲁⲣ ⲇⲉ ⲁϥϫⲫⲉ Ⲙⲁⲧⲑⲁⲛ Ⲙⲁⲧⲑⲁⲛ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲁⲕⲱⲃ.
28011000d4	Ⲓⲁⲕⲱⲃ ⲇⲉ ⲁϥ⳿ϫⲫⲉ Ⲓⲱⲥⲏⲫ ⳿ⲡϩⲁⲓ ⳿ⲙⲘⲁⲣⲓ⳿ⲁ ⲑⲏ⳿ⲉⲧⲁⲥⲙⲁⲥ Ⲓⲏ̅ⲥ̅ ⲫⲏ⳿⳿ⲉⲧⲟⲩⲙⲟⲩϯ ⳿ⲉⲣⲟϥ ϫⲉ Ⲡⲭ̅ⲥ̅.
28011101a9	ϫⲱⲟⲩ ⲛⲓⲃⲉⲛ ⲓⲥϫⲉⲛ Ⲁⲃⲣⲁⲁⲙ ϣⲁ Ⲇⲁⲩⲓⲇ ⲓ̅ⲇ̅ ⳿ⲛϫⲱⲟⲩ ⲟⲩⲟϩ ⲓⲥϫⲉⲛ Ⲇⲁⲩⲓⲇ ϣⲁ ⲡⲓⲟⲩ⳿ⲱⲧⲉⲃ ⳿ⲉⲃⲟⲗ ⳿ⲛⲧⲉ Ⲃⲁⲃⲩⲗⲱⲛ ⲓ̅ⲇ̅ ⳿ⲛϫⲱⲟⲩ ⲟⲩⲟϩ ⲓⲥϫⲉⲛ ⲡⲓⲟⲩ⳿ⲱⲧⲉⲃ ⳿ⲉⲃⲟⲗ ⳿ⲛⲧⲉ Ⲃⲁⲃⲩⲗⲱⲛ ϣⲁ Ⲡⲭ̅ⲥ̅ ⲓ̅ⲇ̅ ⳿ⲛϫⲱⲟⲩ.
2801120172	⳿ⲡϫⲓⲛⲙⲓⲥⲓ ⲇⲉ ⳿ⲛⲒⲏ̅ⲥ̅ Ⲡⲭ̅ⲥ̅ ⲛⲉ ⲟⲩⲡⲁⲓⲣⲏϯ ⲡⲉ ⳿ⲉⲧⲁⲩⲱⲡ ⳿ⲛⲥⲁ ⲧⲉϥⲙⲁⲩ Ⲙⲁⲣⲓ⳿ⲁ ⳿ⲛⲒⲱⲥⲏⲫ ⳿ⲙⲡⲁⲧⲟⲩⲥⲟⲩⲉⲛ ⲛⲟⲩ⳿ⲉⲣⲏⲟⲩ ⲁⲩϫⲉⲙⲥ ⲉⲥ⳿ⲙⲃⲟⲕⲓ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲟⲩⲡ͞ⲛⲁ̅ ⲉϥⲟⲩⲁⲃ.
28011300e0	Ⲓⲱⲥⲏⲫ ⲇⲉ ⲡⲉⲥϩⲁⲓ ⲛⲉ ⲟⲩ⳿ⲑⲙⲏⲓ ⲡⲉ ⲟⲩⲟϩ ⳿ⲛ⳿ϥⲟⲩⲱϣ ⲁⲛ ⳿ⲉⲁⲓⲥ ⳿ⲛ⳿ⲥⲣⲁϩ ⲁϥⲥⲟϭⲛⲓ ⳿ⲉⲭⲁⲥ ⳿ⲉⲃⲟⲗ ⳿ⲛⲭⲱⲡ.
280114021f	ⲛⲁⲓ ⲇⲉ ⳿ⲉⲧⲁϥⲙⲟⲕⲙⲉⲕ ⳿ⲉⲣⲱⲟⲩ ϩⲏⲡⲡⲉ ⲓⲥ ⲟⲩⲁⲅⲅⲉⲗⲟⲥ ⳿ⲛⲧⲉ Ⲡ⳪̅ ⲁϥⲟⲩⲟⲛϩϥ ⳿ⲉⲒⲱⲥⲏⲫ ϧⲉⲛ ⲟⲩⲣⲁⲥⲟⲩ⳿ⲓ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ Ⲓⲱⲥⲏⲫ ⳿ⲡϣⲏⲣⲓ ⳿ⲛⲆⲁⲩⲓⲇ ⳿ⲙⲡⲉⲣⲉⲣϩⲟϯ ⳿ⲉϣⲉⲡ Ⲙⲁⲣⲓ⳿ⲁ ⲧⲉⲕ⳿ⲥϩⲓⲙⲓ ⳿ⲉⲣⲟⲕ ⲫⲏ ⲅⲁⲣ ⳿ⲉⲧⲉⲥⲛⲁⲙⲁⲥϥ ⲟⲩ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲟⲩⲡ͞ⲛⲁ̅ ⲉϥⲟⲩⲁⲃ ⲡⲉ.
28011500f9	ⲉⲥ⳿ⲉⲙⲓⲥⲓ ⲇⲉ ⳿ⲛⲟⲩϣⲏⲣⲓ ⲉⲕ⳿ⲉⲙⲟⲩϯ ⳿ⲉⲡⲉϥⲣⲁⲛ ϫⲉ Ⲓⲏ̅ⲥ̅ ⳿ⲛⲑⲟϥ ⲅⲁⲣ ⲉⲑⲛⲁⲛⲟϩⲉⲙ ⳿ⲙⲡⲉϥⲗⲁⲟⲥ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲛⲟⲩⲛⲟⲃⲓ.
