2800000005	Matej
2801010055	Ovo je rodoslovlje Isusa Krista, potomka kralja Davida koji je bio Abrahamov potomak.
2801020058	Abrahamu se rodio Izak. Izaku se rodio Jakov. Jakovu su se rodili Juda i njegova braća.
280103004d	Judi je Tamara rodila Peresa i Zeraha. Peresu se rodio Hesron, a Hesronu Ram.
2801040043	Ramu se rodi Aminadab. Aminadabu se rodi Nahšon, a Nahšonu Salma.
2801050050	Salmi je Rahaba rodila Boaza. Boazu je Ruta rodila Obeda. Obedu se rodio Jišaj.
280106004d	Jišaju se rodio kralj David. Davidu je bivša Urijina žena rodila Salomona.
2801070045	Salomonu se rodio Roboam. Roboamu se rodio Abija. Abiji se rodio Asa.
280108003f	Asi se rodio Jozafat. Jozafatu se rodio Joram, a Joramu Ahazja.
2801090034	Ahazji se rodio Jotam, Jotamu Ahaz, a Ahazu Ezekija.
28010a0040	Ezekiji se rodio Manaše, Manašeu Amon. Amonu se rodio Jošija.
28010b0050	Jošiji su se, u vrijeme progonstva u Babilon, rodili Jehonija i njegova braća.
28010c0058	Poslije progonstva u Babilon Jehoniji se rodio Šealtiel. Šealtielu se rodio Zerubabel.
28010d0046	Zerubabelu se rodio Abiud. Abiudu se rodio Elijakim, a Elijakimu Azor.
28010e003b	Azoru se rodio Sadok. Sadoku se rodio Akim, a Akimu Elijud.
28010f0039	Elijudu se rodio Eleazar. Eleazaru Matan, a Matanu Jakov.
2801100046	Jakovu se rodio Josip, muž Marije koja je rodila Isusa zvanoga Krist.
28011100b8	To je, dakle, ukupno četrnaest naraštaja od Abrahama do kralja Davida, četrnaest naraštaja od kralja Davida do progonstva u Babilon i četrnaest naraštaja od progonstva do Krista.
2801120094	Evo kako se zbilo rođenje Isusa Krista: Njegova majka Marija bila je zaručena s Josipom. Ali dok je još bila djevica, začela je po Svetome Duhu.
2801130071	Kako je njezin muž Josip bio pravedan čovjek i kako ju nije htio javno osramotiti, naumi ju potajice napustiti.
28011400c8	Razmišljajući o tome, zaspao je te mu se u snu ukaže Božji glasnik. “Josipe, sine Davidov,” reče mu on, “ne oklijevaj uzeti Mariju za ženu! Jer dijete koje nosi začeto je po Svetome Duhu.
2801150083	Ona će roditi sina i nazvat ćeš ga Isus (što znači: ‘Gospodin spasava’) jer će spasiti svoj narod od njegovih grijeha.”
2801160049	Sve se to dogodilo da bi se obistinilo što je Gospodin rekao po proroku:
2801170074	“Slušajte! Djevica će zanijeti! Rodit će sina koji će se zvati Emanuel”, (što znači: “Bog je s nama”).
2801180071	Kad se Josip probudio, učini kako mu je Božji glasnik zapovjedio—dovede Mariju svojoj kući da mu bude žena.
2801190050	Nije joj prišao kao muškarac dok nije rodila sina. A onda mu nadjene ime Isus.
280201007a	Isus se rodio u gradu Betlehemu u Judeji za vladavine kralja Heroda. U to vrijeme neki mudraci s Istoka stignu u Jeruzalem
280202008a	i stanu se raspitivati: “Gdje je taj novorođeni kralj Židova? Vidjeli smo njegovu zvijezdu na istoku pa smo mu se došli pokloniti.”
2802030033	To veoma uznemiri kralja Heroda, a i sav Jeruzalem.
280204005b	Kralj sazove svećeničke poglavare i pismoznance da se raspita gdje se Krist treba roditi.
2802050042	“U Betlehemu u Judeji”, odgovore mu, “jer je prorok napisao:
280206007a	‘Betleheme, ti nisi samo nevažno judejsko selo, jer će iz tebe poteći vladar koji će voditi moj narod, Izrael.’”
2802070051	Tada Herod potajno pošalje po mudrace da od njih dozna vrijeme pojavka zvijezde.
2802080099	Zatim ih pošalje u Betlehem: “Pođite i pomnjivo se raspitajte za dijete. Kad ga pronađete, vratite se i javite mi da mu se i ja pođem pokloniti.”
280209009d	Poslušali su kralja i pošli. I gle! Zvijezda koju su vidjeli da izlazi išla je pred njima sve dok se nije zaustavila iznad mjesta gdje se nalazilo dijete.
28020a002c	Kad su ju ugledali, silno su se razveselili.
