2800000006	Matiɔ
28010100b2	Kələ kɔ kiyɛli ki chwɔŋkijuŋ ki bətii Jisɔs Klistus: Jisɔs Klistus nì kɔ waiŋ i chwɔŋkijuŋ ki Ŋkuŋ Dɛbit wə wi nì kɔ waiŋ i chwɔŋkijuŋ ki Ablaham wə.
280102005a	Ablaham num tii Ayjik, ayaka Ayjik num tii Yakɔb, Yakɔb num tii Juda bəh bwa bə ba wi,
2801030073	ayaka Juda num tii Bɛlɛs bəh Sɛla wə nih wi nì kɔ Tama. Ayaka Bɛlɛs num tii Ɛslɔn, Ɛslɔn num tii Lam.
2801040046	Lam num tii Aminada, Aminada num tii Nashɔn, Nashɔn num tii Salmɔn.
2801050074	Salmɔn num tii Bɔas wə nih wi nì kɔ Lahab. Bɔas num tii Ɔbɛt wə nih wi nì kɔ Lut. Ɔbɛt num tii Jɛse.
280106005c	Jɛse num tii Ŋkuŋ Dɛbit. Ŋkuŋ Dɛbit num tii Sɔlɔmɔn wə nih wi nì kɔ kpə Ulia.
2801070049	Sɔlɔmɔn num tii Lɛhubuam, Lɛhubuam num tii Abija, Abija num tii Asi.
280108004c	Asi num tii Jɛhushɛfat, Jɛhushɛfat num tii Jɔlam, Jɔlam num tii Usaya.
2801090041	Usaya num tii Jɔtam, Jɔtam num tii Ahas, Ahas num tii Ɛsikaya,
28010a0047	Ɛsikaya num tii Manase, Manase num tii Ɛmɔn, Ɛmɔn num tii Jɔsaya.
28010b00bc	Jɔsaya num tii Jɛkɔnaya bəh bwa bə nih wi. Bə nì bwɔ bɔ num a bɛsi a twɛsi ka jɔbi wə bəni bə Babilɔn nì kwayi bəni bə Islae tsə bəh bɔ i tumi kibɔ wə i Babilɔn.
28010c008b	Si yəmaka nì tsə, asi bə nì kwayi bəni bə Islae tsə bəh bɔ i Babilɔn, Jɛkɔnaya num tii Shiltia, Shiltia num tii Sɛlubabɛl,
28010d0049	Sɛlubabɛl num tii Abiud, Abiud num tii Ɛliakim, Ɛliakim num tii Adzu,
28010e003f	Adzu num tii Sadɔk, Sadɔk num tii Akim, Akim num tii Ɛliyud,
28010f0047	Ɛliyud num tii Ɛliɛsa, Ɛliɛsa num tii Matan, Matan num tii Yakɔb.
2801100063	Yakɔb num tii Yɔsɛf wə nyum Meli, Meli num wə wi nì bwɔ Jisɔs wə bə bɔɔŋki a Klistus.
28011101ab	Ayakadəiŋ, chwɔŋkijuŋ ki bətii Jisɔs kələ nì kɔ jwɔfi ntsɔ bənaa i yisi i Ablaham wə i dzə buku i Ŋkuŋ Dɛbit wə, chu num jwɔfi ntsɔ bənaa i yisi i Ŋkuŋ Dɛbit wə i dzə buku i jɔbi wə bə nì kwayi bəni bə Islae tsə bəh bɔ i Babilɔn. Ayaka i yisi i jɔbi wə bə nì kwayi bəni bə Islae i dzə buku i jɔbi wə bə nì bwɔ Klistus, chwɔŋkijuŋ ki bəba wi num tə jwɔfi ntsɔ bənaa.
28011200df	Mbwɔ wi Jisɔs Klistus nì nyani i dzəh yələ wə. Nih wi Meli nì kɔ bə kɛiŋsi lɔ a wi bi numki kpə Yɔsɛf. Na ka bə nì nəŋki i ndzɔ wi, yi buku lɔ a wi kɔ bəh tɔɔ i ŋga bi Kiŋ'waka ki Baiŋni wə.
280113008c	Si yi num yakadəiŋ, a nì kɔ Yɔsɛf nyuwi num mi wi chəŋ, wi kɔŋ kə i gəmsi wi, ka fasi a ŋgaiŋ ni gaali lə bəh wi i jum wə.
280114012a	Si wi nì kɛiŋki wi fasi i fə yakadəiŋ, yi ka num a chinda wi Bah dza dzə i wi i ndəmsi wə i jɔbi wə wi nì nɔki ka dzaka i wi a, “Yɔsɛf, waiŋ Ŋkuŋ Dɛbit, ki lwâ kə i dzɔ̂ Meli ka nih juŋ wa, kɔm tɔɔ wələ wi kwati lə wi kwati num i ŋga bi Kiŋ'waka ki Baiŋni wə.
2801150070	Wi bi bwɔ lə waiŋ nyukuni, wɔ bi dû yɛli wi a Jisɔs, kɔm wi bi bwiliki lə bəni bu i chu bibɔ wə.”
2801160059	Gia yələ yichi nì num i fə ka yi dzə kpɛiŋ asi Bah nì dzaka i mi wi ntum wə a,
28011700bf	“Mbɛiŋ wɔ̂kɔli, shu wi waiŋkpaŋni widɔkɔ bi num lə bəh tɔɔ, wi bi bwɔ waiŋ nyukuni bə bi bɔɔŋki wi a Ɛmanwɛl.” Yɛli wələ kɔ a, “Nyɔ kɔlə bəh bukumbɛiŋ.”
2801180080	Si ndəmsi biələ nɔ wi yakadəiŋ, Yɔsɛf yɔmi i kinu wə ka fə asi chinda wi Bah dzaka i wi. Wi dzɔ Meli ka nih juŋ wi,
280119008e	ayakalə bɔ nəki kiəni kə gwu ka mi bəh kpə wi i tsə buku i jɔbi wə Meli nì bwɔ. Si wi bwɔ Yɔsɛf ka du yɛli wi waiŋ a Jisɔs.
2802010102	Bə nì bwɔ Jisɔs i kwili wi Bɛtelɛhɛm wə i kimbu ki Judea wə. A num i jɔbi wə Hɛlɔd nì kɔ ŋkuŋ wi Judea wiwɔ. Yi num a bəni bəmfi bədɔkɔ nì buku i tumi kidɔkɔ wə i kimbu kə wɔŋ bukuki yɛiŋ, dzə i Jɛlusalɛm ka bikəyiki a,
2802020099	“Ŋkuŋ wi Bəju wə bə bwɔ kɔ i faiŋ a? Buku bikəyiki lə kɔm buku si yɛiŋ jɔŋ wi i kimbu kə wɔŋ bukuki yɛiŋ, ka dzəki i beŋŋ wi.”
2802030078	Jɔbi wə Ŋkuŋ Hɛlɔd nì wɔkɔ gia yələ, yi nəŋni shɔm yi, nəŋni tasi bəh yi bəni bə Jɛlusalɛm bəchi.
28020400d5	Wi ka bɔɔŋ bətii mfə gia bəmbum bəchi, bəh bəni bəchi bə̀ bɔ nì laniki bənchi bə Nyɔ, bɔ juŋni dzə. Wi bikə i bɔ a, akɔ i faiŋ wə bə nì kaŋaki i bi bwɔ Kimbwili wə Nyɔ nì kaka a?
2802050086	Bɔ chukuli i wi a, “Bə nì kɔ i bi bwɔ wi i di bi Bɛtelɛhɛm wə i Judea. Yələ gia kɔ asi mi wi ntum wi Nyɔ nì nyaka a,
28020600ea	‘Wɔ Bɛtelɛhɛm i kwili wi Juda wə, kiə wɔ ki kwâka kə a wɔ kɔ fidini finchiŋ nalə i tumi ki Juda wə. Wɔ kîə a mi wi sakani bi bukuki lə i di biələ wə, a num wə wi bi numki i sakaki bəni bəŋ bə Islae.’”
2802070084	Ŋkuŋ Hɛlɔd ka bɔɔŋ tə bəni bəmfi bə̀ i jum wə jum wə ka kɛiŋsi bikəyi i wɔkɔ i bɔ jɔbi wə jɔŋ wiwɔ si buku.
28020800dc	Si wi wɔkɔ yakadəiŋ ka chiŋsi bɔ i Bɛtelɛhɛm, ka dzaka a, “Mbɛiŋ tsə̂ kɛ̂iŋsi nə̂ŋ ndzɔŋ waiŋ wiwɔ. Mbɛiŋ ka nəŋ yɛiŋ, mbɛiŋ fîəni dzə̂ fûku i mih, ka mih tə ni tsə beŋŋ wi.”
280209010c	Si bəni bəwɔ wɔkɔ, si ŋkuŋ dzaka yakadəiŋ, ka buku dzɔ dzəh yibɔ. Si bɔ nì nyəki, yi ka num a jɔŋ wə bɔ si yɛiŋ i kimbu kə wɔŋ bukuki, wi nyani tsə i bɔ nshiŋ chusi dzəh i bɔ. Wi ka tsə buku i di biə waiŋ wiwɔ nì kɔ, ka num fɛiŋ.
28020a006a	Si bɔ yɛiŋ jɔŋ wiwɔ yakadəiŋ, kinsaŋli jikə i bɔ wə nalə, gia yiwɔ ka ndzɔŋki i bɔ nalə.
28020b0192	Bɔ ka tsə liə i juŋ yə waiŋ wiwɔ nì kɔ yɛiŋ, ka yɛiŋ waiŋ bəh nih wi Meli, ka gwuŋ i waiŋ wiwɔ nshiŋ ka beŋŋ wi. Si bɔ beŋŋ wi ka wɛli biba bibɔ bwili biɛiŋ bi beŋŋni bi Ŋkuŋ ka nya i waiŋ wiwɔ. Biɛiŋ biələ nì kɔ chwaka ki kpɔ ki bɔkɔli bəh ŋkaiŋni wi njiəŋ widɔkɔ bə bɔɔŋ a flaŋkɛŋsins, bəh ŋkaiŋni bifiaŋsi bidɔkɔ bə bɔɔŋ a mɛɛl.
28020c00a4	Nyɔ ka kiŋ i bɔ i ndəmsi mə a bɔ ma fîəni tsə̂, i tsə̂ yɛ̂iŋ Ŋkuŋ Hɛlɔd. Bɔ ka fiəni num i dzəh yidɔkɔ wə chi chi i tsə i tumi kibɔ wə.
28020d0180	Si bəni bəmfi bə̀ nì buku i dzəh i tsəki, yi num a chinda wi Bah nì dza dzə i Yɔsɛf i ndəmsi mə ka dzaka i wi a, “Dzâ bɛiŋ dzɔ̂ waiŋ wələ bəh nih wi ma mbɛiŋ bɔ gɛ̂iŋ tsə̂ i tumi ki Ijib wə, ma wɔ nûm fɛiŋ i tsə̂ bûku i jɔbi wə mih bi dzakaki a mbɛiŋ fîəni. Mih dzakaki lə kɔm Ŋkuŋ Hɛlɔd ni nəŋki lə waiŋ wiwɔ i wɔɔ.”
28020e0053	Yɔsɛf ka dza bɛiŋ, dzɔ waiŋ wiwɔ bəh nih wi nchɔkɔ ka gɛiŋ tsə i Ijib,
28020f00da	ka numki fɛiŋ i tsə buku i jɔbi wə Ŋkuŋ Hɛlɔd nì laka. Yələ nì num lə i fə a yi dzə kpɛiŋ si Nyɔ nì dzaka i dzaka ki mi wi, wi ntum wə a, “Mih bɔɔŋ Waiŋ wuŋ wi buku i tumi ki Ijib mə.”
2802100184	Jɔbi wə Hɛlɔd ni kiə a bəni bəmfi bə̀ fwɔkyi ŋgaiŋ, yi fə wi bɔksi tɔɔ nalə. Wi ka faaŋ bəni a bɔ tsə i Bɛtelɛhɛm bəh i bimbu biə bi kɔmsiki dzəki fɛiŋ wə bichi, bɔ wɔɔyi bwa bənyuku bə̀ bɔ kɔ i yisi jía yifa wə i shi. Wi nì tsəsi ja yələ biəli asi wi nì bikə i bəni bəmfi bə̀ ka wɔkɔ ndzɔŋ jɔbi wə bɔ nì yɛiŋ jɔŋ wiwɔ.
280211006c	Bɔ tsə wɔɔyi bwa bəwɔ yakadəiŋ, yi ka dzə kpɛiŋ asi mi wi ntum wi Nyɔ Jɛlimia nì dzaka lɔ a,
28021200b8	“Bɔ wɔkɔ wili wi tɔŋni i kwili wi Lama wə, a num mi wi fee bəh mindəm, də kpi. A num Lashɛl si wi dəki bwa bu. Ayaka bə chumsi wi chumsi mɔŋ, kɔm bwa bu chu kɔkə.”
280213007b	Asi Ŋkuŋ Hɛlɔd nì laka, yi num a chinda wi Bah nì tumbuku i Yɔsɛf i ndəmsi mə i tumi ki Ijib mə, dzaka i wi a,
28021400a5	“Dzâ bɛiŋ dzɔ̂ waiŋ wələ bəh nih wi ma mbɛiŋ bɔ fîəni chû i tumi ki Islae mə, kɔm bɔ bə̀ bɔ nì nəŋki i wɔɔ waiŋ wələ kpiyi lɔ.”
2802150063	Yɔsɛf ka dza bɛiŋ dzɔ waiŋ wiwɔ bəh nih wi bəh bɔ ka fiəniki dzəki i tumi ki Islae wə.
2802160114	Ayakalə, asi wi nì dzəki, wɔkɔ a waiŋ Ŋkuŋ Hɛlɔd Akilius kɔ num wi dzi kiŋgbɔkɔ ki ba wi ka ŋkuŋ wi Judea i sakaki, Yɔsɛf ka lwaki i tsə fɛiŋ. Bə ka chu kiŋ i wi i ndəmsi mə a wi ma mɔ̂m i tsə fɛiŋ. Wi ka ya dzəh tsə num i kimbu ki Galili wə,
28021700a2	wi tsə i nɔki i kwili wə bə bɔɔŋki a Nasali. Yi dzə num lə i kpɛiŋni asi mi wi ntum wi Nyɔ nì dzaka lɔ a, “Bə bi bɔɔŋki wi a Mi wi Nasali.”
280301006e	A nì kɔ i jɔbi wiwɔ wə, Jɔn Njulibɔkɔ nì nyə tsə i chwa i kimbu ki Judea wə ka fukuki i bəni a,
2803020052	“Mbɛiŋ kwûni shɔ́m yimbɛiŋ, kɔm ŋkuŋ bi bɛiŋ si num kɔmsi dzə.”
28030300c4	Jɔn wələ kɔ mi wi ntum wi Nyɔ wə Isaya, nì dzakaki kɔm wi i jɔbi wə wi nì dzaka a, “Ja yi mi wiliki i chwa a, ‘Bə kɛ̂iŋsi dzəh yi Bah, bə lûmsi yi a yi nûm chəŋ.’”
28030400d4	Jɔn nì lɔɔki bəmbuŋ num bə kɛiŋsi bəh kiluli ki nyam yidɔkɔ yə bə bɔɔŋki a kamɛl, wi kaŋa bəh chiŋnih num bə kɛiŋsi bəh dzu yi nyam, biɛiŋ bi bidzini nì kɔ chúmi bəh nyu yi chwa.
28030500a5	Si wi nì fukuki yakadəiŋ, bəni ka bukuki i Jɛlusalɛm bəh i kidi kichi wə i Judea bəh bimbu biə bi kɔmsiki dzəki i Bɔkɔ yi Jɔdan wə bichi, tsə i wi.
280306005e	Si bɔ nì tsəki yakadəiŋ də kɔm bə chu bibɔ, wi ka juliki bɔ i Bɔkɔ yi Jɔdan mə.
280307010a	Ayakalə, jɔbi wə wi nì yɛiŋ si Bəfalasi bəh Bəsadusi bədɔkɔ bəduli dzəki a wi juli bɔ i bɔkɔ, wi dzaka i bɔ a, “Chwɔŋkijuŋ ki fə́kəh, a təfi ndə mbɛiŋ a mbɛiŋ yɔ̂kɔ gɛ̂iŋ shɔm yi lɔli yi Nyɔ yə yi bi dzəki i mbɛiŋ wə a?
2803080045	Mbɛiŋ fə̂ki gia yə yi chusiki a mbɛiŋ kwuni shɔ́m yimbɛiŋ.
28030900a8	Kiə mbɛiŋ ki dzâkaki kə i gwu yimbɛiŋ wə a, Ablaham kɔ tii wimbɛiŋ. Mih fukuki i mbɛiŋ a Nyɔ kɔlə i fiəni kitəh kələ ki fiəni chu bwa bə Ablaham.
28030a00ad	Mbɛiŋ kîəki a, bə kɔ bə jiə lɔ fɔkɔ i chwɔŋ bi kɛiŋ wə. Kɛiŋ yichi yə yi wumki kə mintam mi ndzɔŋni, bə bi gbaki yi i gaaŋ wə, bə kpa i gbuku wə.
