2800000007	Matouš
2801010039	Ježíšův rodokmen sahá přes Davida až k Abrahamovi.
2801020022	Abraham – Izák Izák – Jákob
2801030067	Jákob – Juda (a bratři) Juda – Peres a Zerach (matka Támar) Peres – Chesrón Chesrón – Rám
2801040040	Rám – Amínadab Amínadab – Nachšón Nachšón – Salmón
2801050050	Salmón – Bóaz (matka: Rachab) Bóaz – Obéd (matka: Rút) Obéd – Jišaj
280106003f	Jišaj – David (král) David – Šalomoun (matka: Batšeba).
2801070040	Šalomoun – Rechabeám Rechabeám – Abijám Abijám – Ása
280108003b	Ása – Jóšafat Jóšafat – Jóram Jóram – Uzijáš
280109003a	Uzijáš – Jótam Jótam – Achaz Achaz – Chizkijáš
28010a003f	Chizkijáš – Menaše Menaše – Ámon Ámon – Jóšijáš
28010b001b	Jóšijáš – Jechoniáš
28010c0067	Jekonjáš a jeho bratři. Babylónské zajetí – Jekonjáš – Šealtíel Šealtíel – Zerubábel
28010d0038	Zerubábel – Abiud Abiud – Eljakim Eljakim – Azór
28010e0031	Azór – Sádok Sádok – Achim Achim – Eliud
28010f0036	Eliud – Eleazar Eleazar – Mattan Mattan – Jákob
280110009b	Jákob – Josef Josef (muž Marie) JEŽÍŠ KRISTUS (narozen z Marie). Rodokmen uzavírá Josef, manžel Marie, které se narodil Ježíš – Boží Syn.
28011100ae	Od praotce Abrahama k Davidovi je to čtrnáct generací, dále čtrnáct generací od Davida po babylónské zajetí a od zajetí v Babylóně až ke Kristu také čtrnáct.
280112009b	S narozením Ježíše Krista to bylo takto: Ježíšova matka Marie byla zasnoubena s Josefem. Dříve, než se vzali, se však ukázalo, že bude matkou.
280113006e	Josef byl ohleduplný muž a nechtěl Marii vystavit veřejné hanbě, proto se rozhodl, že se s ní rozejde.
28011400a0	Když o tom uvažoval, ukázal se mu ve snu Boží posel a řekl: „Josefe, Davidův synu, neboj se vzít si Marii. Co v ní bylo počato, je z Ducha svatého.
280115004c	Porodí syna a dáš mu jméno Ježíš. On vysvobodí svůj lid z moci zla.
280116003c	Těmito událostmi se splní předpověď proroka Izajáše:
2801170070	‚Slyšte! Panna bude těhotná a porodí syna. Budete mu říkat Immanuel, to znamená: Bůh je s námi.‘“
2801180061	Když se Josef probudil, udělal vše tak, jak mu přikázal Boží posel, a oženil se s Marií.
280119005e	Ale nežil s ní manželsky až do doby, kdy se jí narodil syn, kterému dal jméno Ježíš.
2802010091	Ježíš se narodil v Betlémě v Judsku za vlády krále Heroda. V té době přijeli do Jeruzaléma učenci z východní země a vyptávali se:
2802020084	„Kde je ten židovský král, který se právě narodil? Viděli jsme na východě jeho hvězdu a přišli jsme se mu poklonit.“
2802030060	Tato novina velmi znepokojila krále Heroda, a nejen jeho, ale i všechny obyvatele Jeruzaléma.
2802040064	Král svolal všechny přední kněze a učitele zákona a ptal se jich, kde se má narodit Kristus.
2802050047	Oni mu odpověděli: „V Betlémě v Judsku. Prorok to předpověděl:
2802060079	‚Betléme, nejsi poslední v Judsku, z tebe vyjde vévoda, který se bude starat o můj lid jako pastýř o ovce.‘“
2802070094	Herodes si učence z východu tajně pozval a podrobně se jich vyptával, kdy se ta hvězda objevila. Poslal je do Betléma a pověřil je úkolem:
2802080081	„Jděte a důkladně zjistěte vše o tom dítěti, a až je najdete, přijďte mi to oznámit; půjdu se mu také poklonit.“
280209008e	Učenci krále vyslechli a vydali se na cestu. A hle! Hvězda, kterou viděli na východě, jim ukazovala cestu až k místu, kde bylo dítě.
28020a0021	Měli z toho nevýslovnou radost.
28020b00a2	Vešli do domu a našli tam dítě s jeho matkou Marií. Padli před ním na kolena, klaněli se mu a dali mu vzácné dary – zlato, kadidlo a drahocenný olej.
28020c0060	Ve snu je však Bůh varoval, aby se nevraceli k Herodovi. Zvolili tedy jinou zpáteční cestu.
28020d00ec	Po odchodu učenců měl Josef sen, ve kterém mu anděl přikázal: „Vstaň, vezmi dítě a jeho matku a uteč s nimi do Egypta; tam zůstaň, dokud ti neřeknu. Herodes bude totiž pátrat po dítěti, aby je připravil o život.“
28020e0049	Josef hned v noci vstal, vzal dítě i matku a vydal se s nimi do Egypta.
