0100000009	1 Mosebog
010101002c	I Begyndelsen skabte Gud Himmelen og Jorden.
0101020064	Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.
010103002f	Og Gud sagde: "Der blive Lys!" Og der blev Lys.
0101040049	Og Gud så, at Lyset var godt, og Gud satte Skel mellem Lyset og Mørket,
0101050067	og Gud kaldte Lyset Dag, og Mørket kaldte han Nat. Og det blev Aften, og det blev Morgen, første Dag.
0101060053	Derpå sagde Gud: "Der blive en Hvælving midt i Vandene til at skille Vandene ad!"
010107006d	Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;
0101080053	og Gud kaldte Hvælvingen Himmel. Og det blev Aften, og det blev Morgen, anden Dag.
010109007c	Derpå sagde Gud: "Vandet under Himmelen samle sig på eet Sted, så det faste Land kommer til Syne!" Og således skete det;
01010a0073	og Gud kaldte det faste Land Jord, og Stedet, hvor Vandet samlede sig, kaldte han Hav. Og Gud så, at det var godt.
01010b0099	Derpå sagde Gud: "Jorden lade fremspire grønne Urter, der bærer Frø, og Frugttræer, der bærer Frugt med Kærne, på Jorden!" Og således skete det:
01010c0096	Jorden frembragte grønne Urter, der bar Frø, efter deres Arter, og Træer, der bar Frugt med Kærne, efter deres Arter. Og Gud så, at det var godt.
01010d0032	Og det blev Aften, og det blev Morgen, tredje Dag.
01010e009a	Derpå sagde Gud: "Der komme Lys på Himmelhvælvingen til at skille Dag fra Nat, og de skal være til Tegn og til Fastsættelse af Højtider, Dage og År
01010f0054	og tjene som Lys på Himmelhvælvingen til at lyse på Jorden! Og således sket det:
0101100074	Gud gjorde de to store Lys, det største til at herske om Dagen, det mindste til at herske om Natten, og Stjernerne;
010111003d	og Gud satte dem på Himmelhvælvingen til at lyse på Jorden
0101120066	og til at herske over Dagen og Natten og til at skille Lyset fra Mørket. Og Gud så, at det var godt.
0101130032	Og det blev Aften, og det blev Morgen, fjerde Dag.
0101140095	Derpå sagde Gud: "Vandet vrimle med en Vrimmel af levende Væsener, og Fugle flyve over Jorden oppe under Himmelhvælvingen!" Og således skete det:
01011500b7	Gud skabte de store Havdyr og den hele Vrimmel af levende Væsener, som Vandet vrimler med, efter deres Arter, og alle vingede Væsener efter deres Arter. Og Gud så, at det var godt.
