2800000006	Mateyo
2801010050	Ibbuku lyabansiku ba Jesu Kkilisito, mwana wakwe Devidi, mwana wakwe Abbulahamu.
280102006d	Abbulahamu wakali wisi wa Ayizeki, alakwe Ayizeki wisi wa Jakobu, alakwe Jakobo wisi wa Juda abakulana bakwe.
2801030061	Juda wakali wisi wa Pelezi a Zela kuli Tamala, Pelezi wisi Hezelani alakwe Hezelani wisi wa Lamu.
280104005a	Lamu wakali wisi wa Aminadabbu, Aminadabbu wisi wa Nasoni, alakwe Nasoni wisi wa Salumoni.
2801050064	Salumoni wakali wisi wa Bbowazi kuli Lahabbu, Bbowazi wisi wa Obbedi kuli Lute, Obbedi wisi wa Jese.
2801060050	Jese wakali wisi wa Mwami Devidi Mwami, Devidi wisi wa Solomoni kuli muka Uliya.
2801070054	Solomoni wakali wisi wa Lehobbowamu, Lehobbowamu wisi wa Abbija, Abbija wisi wa Asa.
280108005d	Asa wakali wisi wa Jehosiafati, Jehosiafati wisi wa Jolamu, alakwe Jolamu ngusikale wa Uziya.
280109004b	Uziya wakali wisi wa Jotamu, Jotamu wisi wa Ahazi, Ahazi wisi wa Hezekkiya.
28010a0053	Hezekkiya wakali wisi wa Manase, Manase wisi wa Amoni, alakwe Amoni wisi wa Josiya.
28010b0064	Josiya wakali sikale wa Jekoniya antomwe abakulana bakwe kuchindi chakutolwa kubuzike ku Bbabbiloni.
28010c007b	Musule lyakulonzegwa kutolwa ku Bbabbiloni, Jekoniya wakali wisi wa Sialitiyeli, Sialitiyeli wakali sikale wa Zelubbabbeli.
28010d0063	Zelubbabbeli wakali wisi wa Abbiyudi, Abbiyudi wisi wa Eliyakkimu, alakwe Eliyakkimu wisi wa Azola.
28010e0052	Azola wakali wisi wa Zadoki, Zadoki wisi wa Akkimu, alakwe Akkimu wisi wa Eliyudi.
28010f004e	Eliyudi wakali wisi wa Eliyazali wisi wa Matani, alakwe Matani wisi wa Jakobo.
2801100056	Jakobo wakali wisi wa Josefa mulumi wa Meli, oyo wakazyala Jesu ooyo utegwa Kkilisito.
2801110118	Woonse mazyalani kuzwa kuli Abbulahamu kusika kuli Devidi akali mazyalane ali ikkumi aane, kuzwa kuli Devidi kusika kukulonzegwa kwabo kutolwa ku Bbabiloni mazyalane ali ikkumi aane, alimwi kuzwa kukulonzegwa kutolwa ku Bbabbiloni kusikila kuli Kkilisito mazyalane ali kkumi aane.
