2800000005	Matai
280101005e	Eneshi Ersa Mexihani xienrenlai niereni jilasan shu wo. Hheshi Iburaheimu, Dawudeni houdei wo.
2801020059	Iburaheimude Isagheini oluwo. Isagheide Yagebuni oluwo. Yagebude Yuda, gaijiulaini oluwo.
2801030058	TamaYudade Falesi, Xiela ghualai oluwo. Faleside Xisilunni oluwo. Xisilunde Lanni oluwo.
280104004a	Lande Yaminadani oluwo. Yaminadade Nashunni oluwo. Nashunde Samenni oluwo.
280105004d	LaheSamende Boasini oluwo. LudeBoaside Ebeideni oluwo. Ebeidede Yexini oluwo.
2801060048	Yexide Dawude honshanni oluwo. Uliyani bierei Dawudede Sulumaneni oluwo.
280107004a	Sulumanede Loboanni oluwo. Loboande Yabiyani oluwo. Yabiyade Yasani oluwo.
2801080047	Yasade Yeshafani oluwo. Yeshafade Yelanni oluwo. Yelande Uxiyani oluwo.
2801090048	Uxiyade Yetanni oluwo. Yetande Yahasini oluwo. Yahaside Xixijiani oluwo.
28010a0049	Xixijiade Manaxini oluwo. Manaxide Yamenni oluwo. Yamende Yexiyani oluwo.
28010b0047	Bexinlai Babilunde touzhi echikude Yexiyade Yegeniya, gaijiulani oluwo.
28010c0051	Touzhi Babilunde echidene Yegeniyade Salaqieni oluwo. Salaqiede Solobaboni oluwo.
28010d004c	Solobabode Yabiini oluwo. Yabiide Iliyajinni oluwo. Iliyajinde Yasoni oluwo.
28010e003f	Yasode Saduni oluwo. Sadude Yajinni oluwo. Yajinde Ilini oluwo.
28010f0047	Ilide Iliyasani oluwo. Iliyasade Madanni oluwo. Madande Yagebuni oluwo.
280110005f	Yagebude Yusufuni oluwo. Yusufushi Mereiyenni zhanguiji wo. Mereiyen Mexiha giesan Ersai oluwo.
280111008f	Ingiese Iburaheimuse Dawudeshi 14 dai wo. Dawudese bexinlai touzhi Babilunde echikude 14 dai wo. Touzhi Babilunde echidene Mexihashi 14 dai wo.
2801120083	Ersa Mexihai olusan shiqinshi imutui wo. Hhei anai Mereiyenni Yusufude boluzho. Dou ese agikude Mereiyen Shenlinghala kewosi laiwo.
280113006a	Hhei zhanguijini Yusufushi nie gou kun wo. Hhei minminji shizheghaku duran uwo. Qioqioji siraghane giezho.
28011400b1	Hhe zhen ene shiqinni sumulakude Ezhanni qienxien zhoujindei xienjighazhi kieliewo, "Dawudeni houdei Yusufu, chi bu ayidene Mereiyenni agizhi ire. Hhe Shenlinghala kewosi laiwo.
2801150051	Hhe nie kewon olune. Niereini Ersa giezhi ogi. Hhe bexinlane zui dundase jiuine."
2801160068	Ene shiqinla man fashen giekushi Ezhan xienzhini tungo giezhi kieliesan kielien mutun gholughane giezho,
280117006f	"Nie ese dafalasan oqin kewon laizhi olune. Niereini Imaneili giene." Imaneilini isishi Huda matanre hhantu wo.
280118004b	Yusufu xiereidene Ezhanni qienxien fenfulasan mutun biereii agizhi irewoma,
280119005e	kewosi ese olutula ghuala hhantu ese kijiezho. Kewonni oludene hhende Ersa giezhi niere ogiwo.
280201006b	Hherode honshan danlakude Ersai Yudayani Bolihende oluwo. Dunbangiese aghelitu kunla Yelusalende ire asawo,
280202006b	"Olusan hhe nie Yutai kunni honshan khala wine? Bijien dunbangiese hodunyini chanladene hhei beiile irewo."
280203005c	Hherode honshan enei sonosudene zhughedeni nanran uwo. Nie Yelusalenni kunladeye nanran uwo.
280204006a	Ingie honshan bexinlai fugie buwa, jinwun hanjialai man uruzhi hhantulagha asazho, "Mexihani khala olune?"
2802050047	Hhela kieliewo, "Yudayani Bolihende olune. Xienzhini shu jiere huaizho,
2802060082	'Yuda oronni Bolihenya, chi Yudani chenshi dundase zui gani pusho. Mii bexin Isilieyi uduruchen nie lindao chii hhense khizhene.'"
