0100000007	Genesis
0101010034	INDEN beginne heeft Godt geschapen hemel ende aerde,
010102008c	maer die aerde was ydel ende ledich, ende die duysternissen waren op dat aenschijn des afgronts, ende den gheest Godts dreef op die wateren.
0101030054	Ende Godt heeft geseyt, Laet gemaect worden het licht. Ende het licht worde gemaect,
0101040068	ende Godt heeft dat licht ghesien dat goet was, ende hy heeft dat licht van die duysternisse gescheyden,
0101050073	ende hy heeft dat licht genoemt dach, ende die duysternissen nacht, ende es gheworden auont ende morgen eenen dach.
010106007c	Ende Godt heeft gheseyt, Laet een firmament gemaect worden int midden der wateren, ende tscheyde die wateren vanden wateren.
01010700b2	Ende Godt heeft dat firmament ghemaect ende heeft die wateren die onder dat firmament waren ghescheyden van die wateren die bouen dat firmament waren, ende het es alsoe geschiet.
010108006a	Ende Godt heeft dat firmament ghenoemt den hemel, ende het es worden auont ende morghen, den tweeden dach.
010109009e	Ende Godt heeft gheseyt, Laet die wateren die onder den hemel sijn, vergadert worden op een plaetse, dat het drooghe gesien worde, Ende het is alsoe geschiet.
01010a008c	Ende Godt heeft het drooghe ghenoemt aerde, ende die vergaderinghe der wateren, heeft hi ghenoemt see. Ende Godt heeft ghesien dat goet was,
01010b00f1	ende hy heeft gheseyt, Laet die aerde voerts brenghen groeyende cruyt ende saet voertsbrenghende, ende vruchtdraghende boomen die vrucht voertsbrengen nae hare natuere, dwelcks saet in sij seluen sij opter aerden, Ende het es alsoe geschiet.
01010c00dd	Ende die aerde heeft groeyende cruyt voertsbracht, saet voertsbrenghende na sijn natuere, ende boomen vrucht voertbrengende, dat elc sijn saet hadde nae sijn besonder natuere. Ende die Heere heeft ghesien dattet goet was,
01010d0037	ende het es worden auont ende morghen, den derden dach.
01010e00c0	Ende Godt heeft gheseyt, Laet gemaect worden lichten int firmament des hemels, ende dat die sceyden den dach, ende den nacht, ende laetse sijn tot teekenen, ende tijden, ende dagen, ende iaren
01010f0061	dat sij schijnen int firmament des hemels ende die aerde verlichten, Ende het es alsoe gheschiet.
01011000a7	Ende Godt heeft twee groote lichten gemaect, dat grootste licht om dat ouer den dach sijn soude, ende het minste licht, dattet ouer den nacht sijn soude, Ende sterren,
0101110059	Ende hy heeft die ghestelt int firmament des hemels, dat sij opter aerden souden lichten,
0101120092	ende dat sij souden ouer den dach ende nacht sijn, ende dat sij het licht ende duysternissen scheyden souden. Ende Godt heeft ghesien dat goet was
0101130034	Ende tes worden auont ende morghen den vierden dach.
01011400b2	Ende Godt heeft ooc gheseyt, Laet die wateren voertsbrenghen cruypende dieren die leuende sielen hebben, ende vlieghende ghedierte bouen die aerde onder dat firmanent des hemels,
01011500fe	Ende Godt heeft groote walvisschen gheschapen, ende alderhande leuende ende roerende sielen, welck die wateren voertsghebracht hadden nae haer besonder natuere, ende alle ghevoghelte elck nae sijne besonder natuer. Ende Godt heeft gesien dattet goet was,
01011600a6	ende hy heeft die ghebenedijt segghende, Wasset ende wert vermenichfuldicht, ende veruult die wateren der see, ende die vogelen werden vermenichfuldicht op die aerde.
0101170038	Ende het es worden auont ende morghen den vijfsten dach.
01011800dd	Ende Godt heeft oock gheseyt, Laet die aerde voertsbrenghen leuende sielen elck nae haere natuere, behulpsame beesten, ende cruypende dieren, ende beesten der aerden nae haere besonder natuere. Ende het es alsoe ghesciet.
01011900ce	Ende Godt heeft ghemaect die beesten der aerden na haer besonder natuere ende behulpsame dieren, ende alderhande cruypende gedierte der aerden elck nae sijn natuere. Ende Godt heeft ghesien dattet goet was,
