2800000006	Umatta
280101004e	Ubvur unang Uyesu Ukiristo, ungwɛ̃ Udauda uwuruwi aka awu ungwɛ̃ Uibrahim.
280102006d	Uibrahim unga awu utɛ Uishaku, Uishaku unga awu utɛ Uyakubu, Uyakubu unga awu utɛ Uyahuda nu angwɛ̃mbɔ,
280103007f	Uyahuda unga awu utɛ Ufereza nu Uzera, uyisumbɔ aka awu Utamar, Ufereza unga awu utɛ Uhezuron, Uhezuron unga awu utɛ Uaram,
2801040060	Uaram unga awu utɛ Uamminadab, Uamminadab unga awu utɛ Unashon Unashon unga awu utɛ Usarhmon,
280105008b	Usarhmon unga awu utɛ Ubo'aza. Urahab unga amar Ubo'aza, Ubo'aza unga awu utɛ Uobida. Urut unga amar Uobida, Uobida unga awu utɛ Ujesse,
2801060068	Ujesse unga awu utɛ Uyɛrhe Udauda. Udauda unga awu utɛ Usorhomon. Utsɛrha Uriya unga amar Usorhomon,
2801070063	Usorhomon unga awu utɛ Urhehobowam, Urhehobowam unga awu utɛ Uabijah, Uabijah unga awu utɛ Uasa,
2801080060	Uasa unga awu utɛ Uyehoshafat, Uyehoshafat unga awu utɛ Uyoram, Uyoram unga awu utɛ Uazariya,
2801090059	Uazariya unga awu utɛ Uyotam, Uyotam unga awu utɛ Uahaz, Uahaz unga awu utɛ Uhezekiya,
28010a005c	Uhezekiya unga awu utɛ Umanasse, Umanasse unga awu utɛ Uaman, Uaman unga awu utɛ Uyosiya,
28010b006f	Uyosiya unga awu utɛ Uyekoniya nu angwɛ̃mbɔ ri ivangyɛ umbɔ aka akarha umbɔ azĩ abĩ akase ru Ubabirha.
28010c008b	Umbɔ aka akarha umbɔ azĩ atsĩ abĩ akase ru Ubabirha, Uyekoniya unga awu utɛ Usheyarhtiyerh, Usheyarhtiyerh unga awu utɛ Uzerubaberh,
28010d0066	Uzerubaberh unga awu utɛ Uabihudu, Uabihudu unga awu utɛ Uerhiyakim, Uerhiyakim unga awu utɛ Uazor,
28010e0055	Uazor unga awu utɛ Uzadak, Uzadak unga awu utɛ Uakim, Uakim unga awu utɛ Uarhiyud,
28010f0061	Uarhiyud unga awu utɛ Uerhiyeza, Uerhiyeza unga awu utɛ Umatana, Umatana unga awu utɛ Uyakubu,
2801100052	Uyakubu unga awu utɛ Uyusuf utsaka Umaryamu, uya Uyesu, umbɔ aki iyisa Ukiristo.
28011100fe	Kishoo andanna udzur ri Uibrahim uba utsĩ Udauda awu usɔka na anaa. Udzur nu Udauda uba utsĩ ri ivangyɛ umbɔ aka akarha abi Uisrairha azĩ abĩ akase ru Ubabirha, andanna awu usɔka na anaa. Udzur umɔ uba utsĩ Ukiristo, andanna awu usɔka na anaa.
2801120095	Imar Uyesu Ukiristo iwe riminɛ. Uyanga Umaryamu awu ukarh Uyusuf. Umbɔ anasi ipfunumbɔ, nu umbɔ anyã unga awu ra anaa ru ubok Ipfu Isarsatangge.
2801130074	Ukarhnga Uyusuf arhiku uner asi ibeenga idzowe unga atsa ra asu anera, unga akaifɛrhkɔ iyiki ibɔre unga ri iwɔk.
2801140100	Bɔr unga ana akaifɛrhkɔ akɛrɛ ha na arheyirhɔ anyã ipfu itser Uteijee kapɛɛng ru unga ni igɔr unga igɛ, “A Uyusuf ungwɛ̃ Udauda, niba ugũo iwei iyɛi Umaryamu unga awu utsɛ̃ngo, ubinkutsu anaa hã unga aka akɔ̃ adzeki Ipfu Isarsatangge.
280115006d	Awuri imar ungwɛ̃ nu ungo utare itsoknga igburh Uyesu, ubinkutsu unga awuri ifɔrh anernga ra arhimmbɔ.”
2801160070	Kishoo akɛrɛ ha akorhe rimi ngge itsuifɛr ubinkpi Uteijee aka arherhe ra angwĩ uwuku usɔm Arherhu-Num agɛ,
2801170081	“Unakugbĩrhĩ awuri ikɔ̃ anaa na amar ungwɛ̃ umbɔ ayisi itsoknga Uimmanuwerh,” agbena agburh “Unum awu nggu umɛn.”
2801180080	Ivangyɛ Uyusuf aka azir ru urhɔ, unga adɔsa arherhe ha ipfu itser Uteijee iki irherhe na ayɛi Umaryamu unga awea utsɛ̃nga.
280119005f	Bɔr asi irhaa nggu unga utsɛku unga aka amar ungwɛ̃nga. Uyusuf atare itsoknga igburh Uyesu.
280201009b	Ivangyɛ umbɔ aka amar Uyesu ru uteu Ubaitarhami ru Uyahudiya ri ivang Uhiridu aka awu uyɛrhe, abika ahwɛng ídzɛɛr adzeki igɔ̃kpee aba Urusharhima.
