0100000007	Genesis
0101010037	In the beginning God created the heavens and the earth.
0101020086	And the earth was waste and void; and darkness was upon the face of the deep: and the Spirit of God moved upon the face of the waters.
0101030036	And God said, Let there be light: and there was light.
0101040055	And God saw the light, that it was good: and God divided the light from the darkness.
0101050075	And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
0101060070	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
0101070090	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.
010108005f	And God called the firmament Heaven. And there was evening and there was morning, a second day.
010109007f	And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so.
01010a0079	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
01010b00af	And God said, Let the earth put forth grass, herbs yielding seed, [and] fruit-trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so.
01010c00ae	And the earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, wherein is the seed thereof, after their kind: and God saw that it was good.
01010d0039	And there was evening and there was morning, a third day.
01010e00a2	And God said, Let there be lights in the firmament of heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years:
01010f0062	and let them be for lights in the firmament of heaven to give light upon the earth: and it was so.
0101100087	And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: [he made] the stars also.
0101110049	And God set them in the firmament of heaven to give light upon the earth,
0101120075	and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.
010113003a	And there was evening and there was morning, a fourth day.
0101140086	And God said, Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open firmament of heaven.
01011500c2	And God created the great sea-monsters, and every living creature that moveth, wherewith the waters swarmed, after their kind, and every winged bird after its kind: and God saw that it was good.
010116007e	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.
0101170039	And there was evening and there was morning, a fifth day.
01011800a0	And God said, Let the earth bring forth living creatures after their kind, cattle, and creeping things, and beasts of the earth after their kind: and it was so.
01011900b2	And God made the beasts of the earth after their kind, and the cattle after their kind, and everything that creepeth upon the ground after its kind: and God saw that it was good.
01011a0100	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.
01011b006a	And God created man in his own image, in the image of God created he him; male and female created he them.
01011c00f7	And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the birds of the heavens, and over every living thing that moveth upon the earth.
01011d00c5	And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed; to you it shall be for food:
01011e00c2	and to every beast of the earth, and to every bird of the heavens, and to everything that creepeth upon the earth, wherein there is life, [I have given] every green herb for food: and it was so.
01011f0083	And God saw everything that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
0102010046	And the heavens and the earth were finished, and all the host of them.
0102020085	And on the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made.
0102030080	And God blessed the seventh day, and hallowed it; because that in it he rested from all his work which God had created and made.
0102040084	These are the generations of the heavens and of the earth when they were created, in the day that Jehovah God made earth and heaven.
01020500c1	And no plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Jehovah God had not caused it to rain upon the earth: and there was not a man to till the ground;
0102060052	but there went up a mist from the earth, and watered the whole face of the ground.
0102070086	And Jehovah God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
0102080060	And Jehovah God planted a garden eastward, in Eden; and there he put the man whom he had formed.
01020900cd	And out of the ground made Jehovah God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of the knowledge of good and evil.
01020a0067	And a river went out of Eden to water the garden; and from thence it was parted, and became four heads.
01020b006c	The name of the first is Pishon: that is it which compasseth the whole land of Havilah, where there is gold;
01020c0048	and the gold of that land is good: there is bdellium and the onyx stone.
01020d0061	And the name of the second river is Gihon: the same is it that compasseth the whole land of Cush.
01020e007f	And the name of the third river is Hiddekel: that is it which goeth in front of Assyria. And the fourth river is the Euphrates.
01020f005d	And Jehovah God took the man, and put him into the garden of Eden to dress it and to keep it.
010210005e	And Jehovah God commanded the man, saying, Of every tree of the garden thou mayest freely eat:
010211008b	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.
0102120067	And Jehovah God said, It is not good that the man should be alone; I will make him a help meet for him.
01021300ef	And out of the ground Jehovah God formed every beast of the field, and every bird of the heavens; and brought them unto the man to see what he would call them: and whatsoever the man called every living creature, that was the name thereof.
010214009c	And the man gave names to all cattle, and to the birds of the heavens, and to every beast of the field; but for man there was not found a help meet for him.
010215008d	And Jehovah God caused a deep sleep to fall upon the man, and he slept; and he took one of his ribs, and closed up the flesh instead thereof:
0102160065	and the rib, which Jehovah God had taken from the man, made he a woman, and brought her unto the man.
0102170083	And the man said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.
0102180073	Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.
0102190045	And they were both naked, the man and his wife, and were not ashamed.
01030100b3	Now the serpent was more subtle than any beast of the field which Jehovah God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of any tree of the garden?
0103020058	And the woman said unto the serpent, Of the fruit of the trees of the garden we may eat:
0103030090	but of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.
010304003d	And the serpent said unto the woman, Ye shall not surely die:
0103050080	for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as God, knowing good and evil.
01030600fd	And when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of the fruit thereof, and did eat; and she gave also unto her husband with her, and he did eat.
010307008a	And the eyes of them both were opened, and they knew that they were naked; and they sewed fig-leaves together, and made themselves aprons.
01030800bf	And they heard the voice of Jehovah God walking in the garden in the cool of the day: and the man and his wife hid themselves from the presence of Jehovah God amongst the trees of the garden.
0103090047	And Jehovah God called unto the man, and said unto him, Where art thou?
01030a0066	And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.
01030b0083	And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?
01030c0063	And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.
01030d007d	And Jehovah God said unto the woman, What is this thou hast done? And the woman said, The serpent beguiled me, and I did eat.
01030e00d9	And Jehovah God said unto the serpent, Because thou hast done this, cursed art thou above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:
01030f008e	and I will put enmity between thee and the woman, and between thy seed and her seed: he shall bruise thy head, and thou shalt bruise his heel.
01031000ba	Unto the woman he said, I will greatly multiply thy pain and thy conception; in pain thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.
0103110101	And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in toil shalt thou eat of it all the days of thy life;
0103120060	thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
01031300a3	in the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return.
0103140053	And the man called his wife’s name Eve; because she was the mother of all living.
