2800000007	Matthew
2801010050	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
280102004b	Abraham begot Isaac: Isaac begot Jacob: Jacob begot Judah and his brothers:
280103004f	Judah begot Phares and Zarah of Thamar: Phares begot Hezron: Hezron begot Aram:
2801040042	Aram begot Aminidab: Aminidab begot Nahshon: Nahshon begot Salmon:
2801050046	Salmon begot Boa of Rachab: Boaz begot Obed of Ruth: Obed begot Jesse:
280106005f	Jesse begot David the king: David the king begot Solomon of her who had been the wife of Uriah:
280107003c	Solomon begot Rehoboam: Rehoboam begot Abia: Abia begot Asa:
2801080045	Asa begot Jehosaphat: Jehosaphat begot Jehoram: Jehoram begot Uzziah:
280109003c	Uzziah begot Jotham: Jotham begot Ahaz: Ahaz begot Hezekiah:
28010a0040	Hezekiah begot Manasseh: Manasseh begot Amon: Amon begot Josiah:
28010b0051	Josiah begot Jeconiah and his brothers, about the time of the removal to Babylon.
28010c0057	And after the removal to Babylon, Jeconiah begot Shealtiel: Shealtiel begot Zerubbabel:
28010d0040	Zerubbabel begot Abiud: Abiud begot Eliakim: Eliakim begot Azor:
28010e0037	Azor begot Sadok: Sadok begot Achim: Achim begot Eliud:
28010f0040	Eliud begot Eleazar: Eleazar begot Matthan: Matthan begot Jacob:
2801100055	Jacob begot Joseph the husband of Mary, of whom was born Jesus, who is called Christ.
28011100d7	So all the generations from Abraham till David are fourteen generations: and from David till the removal to Babylon are fourteen generations: and from the removal to Babylon till the Christ are fourteen generations.
28011200a9	But Jesus Christ was begotten thus: After his mother Mary had been betrothed to Joseph, before they had come together, she was found to be with child of the Holy Spirit.
280113007a	Then Joseph her husband, being a just man, and not choosing to make an example of her, intended to put her away privately.
28011400e0	But while he was thinking of these things, behold, an angel of the Lord appeared to him in a dream, saying: Joseph, son of David, fear not to take home Mary your wife; for that which is begotten in her is of the Holy Spirit.
2801150068	And she will bear a son, and you shall call his name Jesus; for he will save his people from their sins.
