0100000007	Genesis
010101002f	At the first God made the heaven and the earth.
010102008e	And the earth was waste and without form; and it was dark on the face of the deep: and the Spirit of God was moving on the face of the waters.
0101030036	And God said, Let there be light: and there was light.
010104006c	And God, looking on the light, saw that it was good: and God made a division between the light and the dark,
0101050067	Naming the light, Day, and the dark, Night. And there was evening and there was morning, the first day.
0101060067	And God said, Let there be a solid arch stretching over the waters, parting the waters from the waters.
010107007e	And God made the arch for a division between the waters which were under the arch and those which were over it: and it was so.
0101080066	And God gave the arch the name of Heaven. And there was evening and there was morning, the second day.
0101090076	And God said, Let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.
01010a0082	And God gave the dry land the name of Earth; and the waters together in their place were named Seas: and God saw that it was good.
01010b009f	And God said, Let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.
01010c00ac	And grass came up on the earth, and every plant producing seed of its sort, and every tree producing fruit, in which is its seed, of its sort: and God saw that it was good.
01010d003b	And there was evening and there was morning, the third day.
01010e00c6	And God said, Let there be lights in the arch of heaven, for a division between the day and the night, and let them be for signs, and for marking the changes of the year, and for days and for years:
01010f005b	And let them be for lights in the arch of heaven to give light on the earth: and it was so.
010110009b	And God made the two great lights: the greater light to be the ruler of the day, and the smaller light to be the ruler of the night: and he made the stars.
0101110043	And God put them in the arch of heaven, to give light on the earth;
0101120079	To have rule over the day and the night, and for a division between the light and the dark: and God saw that it was good.
010113003c	And there was evening and there was morning, the fourth day.
010114007a	And God said, Let the waters be full of living things, and let birds be in flight over the earth under the arch of heaven.
01011500a6	And God made great sea-beasts, and every sort of living and moving thing with which the waters were full, and every sort of winged bird: and God saw that it was good.
010116009a	And God gave them his blessing, saying, Be fertile and have increase, making all the waters of the seas full, and let the birds be increased in the earth.
010117003b	And there was evening and there was morning, the fifth day.
01011800a9	And God said, Let the earth give birth to all sorts of living things, cattle and all things moving on the earth, and beasts of the earth after their sort: and it was so.
01011900b1	And God made the beast of the earth after its sort, and the cattle after their sort, and everything moving on the face of the earth after its sort: and God saw that it was good.
01011a00e6	And God said, Let us make man in our image, like us: and let him have rule over the fish of the sea and over the birds of the air and over the cattle and over all the earth and over every living thing which goes flat on the earth.
01011b005d	And God made man in his image, in the image of God he made him: male and female he made them.
01011c00ee	And God gave them his blessing and said to them, Be fertile and have increase, and make the earth full and be masters of it; be rulers over the fish of the sea and over the birds of the air and over every living thing moving on the earth.
01011d00a8	And God said, See, I have given you every plant producing seed, on the face of all the earth, and every tree which has fruit producing seed: they will be for your food:
01011e00ab	And to every beast of the earth and to every bird of the air and every living thing moving on the face of the earth I have given every green plant for food: and it was so.
01011f007a	And God saw everything which he had made and it was very good. And there was evening and there was morning, the sixth day.
0102010042	And the heaven and the earth and all things in them were complete.
0102020088	And on the seventh day God came to the end of all his work; and on the seventh day he took his rest from all the work which he had done.
0102030091	And God gave his blessing to the seventh day and made it holy: because on that day he took his rest from all the work which he had made and done.
010204004a	These are the generations of the heaven and the earth when they were made.
01020500d9	In the day when the Lord God made earth and heaven there were no plants of the field on the earth, and no grass had come up: for the Lord God had not sent rain on the earth and there was no man to do work on the land.
0102060045	But a mist went up from the earth, watering all the face of the land.
010207007a	And the Lord God made man from the dust of the earth, breathing into him the breath of life: and man became a living soul.
010208005f	And the Lord God made a garden in the east, in Eden; and there he put the man whom he had made.
01020900be	And out of the earth the Lord made every tree to come, delighting the eye and good for food; and in the middle of the garden, the tree of life and the tree of the knowledge of good and evil.
01020a006e	And a river went out of Eden giving water to the garden; and from there it was parted and became four streams.
01020b0064	The name of the first is Pishon, which goes round about all the land of Havilah where there is gold.
01020c0048	And the gold of that land is good: there is bdellium and the onyx stone.
01020d0056	And the name of the second river is Gihon: this river goes round all the land of Cush.
01020e0070	And the name of the third river is Tigris, which goes to the east of Assyria. And the fourth river is Euphrates.
01020f0065	And the Lord God took the man and put him in the garden of Eden to do work in it and take care of it.
010210006b	And the Lord God gave the man orders, saying, You may freely take of the fruit of every tree of the garden:
0102110096	But of the fruit of the tree of the knowledge of good and evil you may not take; for on the day when you take of it, death will certainly come to you.
0102120071	And the Lord God said, It is not good for the man to be by himself: I will make one like himself as a help to him
01021300d9	And from the earth the Lord God made every beast of the field and every bird of the air, and took them to the man to see what names he would give them: and whatever name he gave to any living thing, that was its name.
010214008d	And the man gave names to all cattle and to the birds of the air and to every beast of the field; but Adam had no one like himself as a help.
0102150096	And the Lord God sent a deep sleep on the man, and took one of the bones from his side while he was sleeping, joining up the flesh again in its place:
0102160065	And the bone which the Lord God had taken from the man he made into a woman, and took her to the man.
010217007c	And the man said, This is now bone of my bone and flesh of my flesh: let her name be Woman because she was taken out of Man.
0102180077	For this cause will a man go away from his father and his mother and be joined to his wife; and they will be one flesh.
010219004f	And the man and his wife were without clothing, and they had no sense of shame.
01030100bb	Now the snake was wiser than any beast of the field which the Lord God had made. And he said to the woman, Has God truly said that you may not take of the fruit of any tree in the garden?
0103020048	And the woman said, We may take of the fruit of the trees in the garden:
010303008a	But of the fruit of the tree in the middle of the garden, God has said, If you take of it or put your hands on it, death will come to you.
0103040039	And the snake said, Death will not certainly come to you:
010305008c	For God sees that on the day when you take of its fruit, your eyes will be open, and you will be as gods, having knowledge of good and evil.
