0100000007	Genesis
010101002f	In the beginning, God created heaven and earth.
010102008d	But the earth was empty and unoccupied, and darknesses were over the face of the abyss; and so the Spirit of God was brought over the waters.
0101030039	And God said, “Let there be light.” And light became.
0101040059	And God saw the light, that it was good; and so he divided the light from the darknesses.
0101050070	And he called the light, ‘Day,’ and the darknesses, ‘Night.’ And it became evening and morning, one day.
010106006f	God also said, “Let there be a firmament in the midst of the waters, and let it divide waters from waters.”
010107008e	And God made a firmament, and he divided the waters that were under the firmament, from those that were above the firmament. And so it became.
010108005d	And God called the firmament ‘Heaven.’ And it became evening and morning, the second day.
010109008e	Truly God said: “Let the waters that are under heaven be gathered together into one place; and let the dry land appear.” And so it became.
01010a007e	And God called the dry land, ‘Earth,’ and he called the gathering of the waters, ‘Seas.’ And God saw that it was good.
01010b00da	And he said, “Let the land spring forth green plants, both those producing seed, and fruit-bearing trees, producing fruit according to their kind, whose seed is within itself, over all the earth.” And so it became.
01010c00d7	And the land brought forth green plants, both those producing seed, according to their kind, and trees producing fruit, with each having its own way of sowing, according to its species. And God saw that it was good.
01010d0035	And it became evening and the morning, the third day.
01010e00b0	Then God said: “Let there be lights in the firmament of heaven. And let them divide day from night, and let them become signs, both of the seasons, and of the days and years.
01010f0058	Let them shine in the firmament of heaven and illuminate the earth.” And so it became.
0101100087	And God made two great lights: a greater light, to rule over the day, and a lesser light, to rule over the night, along with the stars.
010111004d	And he set them in the firmament of heaven, to give light over all the earth,
010112006f	and to rule over the day as well as the night, and to divide light from darkness. And God saw that it was good.
0101130032	And it became evening and morning, the fourth day.
0101140090	And then God said, “Let the waters produce animals with a living soul, and flying creatures above the earth, under the firmament of heaven.”
01011500ed	And God created the great sea creatures, and everything with a living soul and the ability to move that the waters produced, according to their species, and all the flying creatures, according to their kind. And God saw that it was good.
0101160089	And he blessed them, saying: “Increase and multiply, and fill the waters of the sea. And let the birds be multiplied above the land.”
0101170031	And it became evening and morning, the fifth day.
01011800a6	God also said, “Let the land produce living souls in their kind: cattle, and animals, and wild beasts of the earth, according to their species.” And so it became.
01011900a8	And God made the wild beasts of the earth according to their species, and the cattle, and every animal on the land, according to its kind. And God saw that it was good.
01011a00e2	And he said: “Let us make Man to our image and likeness. And let him rule over the fish of the sea, and the flying creatures of the air, and the wild beasts, and the entire earth, and every animal that moves on the earth.”
01011b006b	And God created man to his own image; to the image of God he created him; male and female, he created them.
01011c00ea	And God blessed them, and he said, “Increase and multiply, and fill the earth, and subdue it, and have dominion over the fish of the sea, and the flying creatures of the air, and over every living thing that moves upon the earth.”
01011d00b3	And God said: “Behold, I have given you every seed-bearing plant upon the earth, and all the trees that have in themselves the ability to sow their own kind, to be food for you,
01011e00e3	and for all the animals of the land, and for all the flying things of the air, and for everything that moves upon the earth and in which there is a living soul, so that they may have these on which to feed.” And so it became.
01011f0073	And God saw everything that he had made. And they were very good. And it became evening and morning, the sixth day.
010201004a	And so the heavens and the earth were completed, with all their adornment.
0102020091	And on the seventh day, God fulfilled his work, which he had made. And on the seventh day he rested from all his work, which he had accomplished.
0102030093	And he blessed the seventh day and sanctified it. For in it, he had ceased from all his work: the work whereby God created whatever he should make.
010204007a	These are the generations of heaven and earth, when they were created, in the day when the Lord God made heaven and earth,
01020500d2	and every sapling of the field, before it would rise up in the land, and every wild plant, before it would germinate. For the Lord God had not brought rain upon the earth, and there was no man to work the land.
0102060052	But a fountain ascended from the earth, irrigating the entire surface of the land.
010207008c	And then the Lord God formed man from the clay of the earth, and he breathed into his face the breath of life, and man became a living soul.
