0100000007	Genesis
0101010037	In the beginning God created the heavens and the earth.
010102008c	And the earth was waste and empty, and darkness was on the face of the deep, and the Spirit of God was hovering over the face of the waters.
0101030036	And God said, Let there be light. And there was light.
010104005b	And God saw the light that it was good; and God divided between the light and the darkness.
010105007f	And God called the light Day, and the darkness he called Night. And there was evening, and there was morning — the first day.
0101060075	And God said, Let there be an expanse in the midst of the waters, and let it be a division between waters and waters.
010107008d	And God made the expanse, and divided between the waters that are under the expanse and the waters that are above the expanse; and it was so.
0101080062	And God called the expanse Heavens. And there was evening, and there was morning — a second day.
010109007f	And God said, Let the waters under the heavens be gathered together to one place, and let the dry [land] appear. And it was so.
01010a007b	And God called the dry [land] Earth, and the gathering together of the waters he called Seas. And God saw that it was good.
01010b00b2	And God said, Let the earth cause grass to spring up, herb producing seed, fruit-trees yielding fruit after their kind, the seed of which is in them, on the earth. And it was so.
01010c00ae	And the earth brought forth grass, herb producing seed after its kind, and trees yielding fruit, the seed of which is in them, after their kind. And God saw that it was good.
01010d003d	And there was evening, and there was morning — a third day.
01010e00ad	And God said, Let there be lights in the expanse of the heavens, to divide between the day and the night; and let them be for signs, and for seasons, and for days and years;
01010f0064	and let them be for lights in the expanse of the heavens, to give light on the earth. And it was so.
010110007d	And God made the two great lights, the great light to rule the day, and the small light to rule the night, — and the stars.
010111004b	And God set them in the expanse of the heavens, to give light on the earth,
0101120080	and to rule during the day and during the night, and to divide between the light and the darkness. And God saw that it was good.
010113003e	And there was evening, and there was morning — a fourth day.
010114007f	And God said, Let the waters swarm with swarms of living souls, and let fowl fly above the earth in the expanse of the heavens.
01011500bb	And God created the great sea monsters, and every living soul that moves with which the waters swarm, after their kind, and every winged fowl after its kind. And God saw that it was good.
010116007c	And God blessed them, saying, Be fruitful and multiply, and fill the waters in the seas, and let fowl multiply on the earth.
010117003d	And there was evening, and there was morning — a fifth day.
010118009b	And God said, Let the earth bring forth living souls after their kind, cattle, and creeping thing, and beast of the earth, after their kind. And it was so.
01011900a9	And God made the beast of the earth after its kind, and the cattle after their kind, and every creeping thing of the ground after its kind. And God saw that it was good.
01011a00ff	And God said, Let us make man in our image, after our likeness; and let them have dominion over the fish of the sea, and over the fowl of the heavens, and over the cattle, and over the whole earth, and over every creeping thing that creepeth on the earth.
01011b0066	And God created Man in his image, in the image of God created he him; male and female created he them.
01011c00e6	And God blessed them; and God said to them, Be fruitful and multiply, and fill the earth, and subdue it; and have dominion over the fish of the sea, and over the fowl of the heavens, and over every animal that moveth on the earth.
01011d00b5	And God said, Behold, I have given you every herb producing seed that is on the whole earth, and every tree in which is the fruit of a tree producing seed: it shall be food for you;
01011e00b6	and to every animal of the earth, and to every fowl of the heavens, and to everything that creepeth on the earth, in which is a living soul, every green herb for food. And it was so.
01011f0085	And God saw everything that he had made, and behold it was very good. And there was evening, and there was morning — the sixth day.
010201003f	And the heavens and the earth and all their host were finished.
0102020089	And God had finished on the seventh day his work which he had made; and he rested on the seventh day from all his work which he had made.
0102030084	And God blessed the seventh day, and hallowed it, because that on it he rested from all his work which God had created in making it.
0102040084	These are the histories of the heavens and the earth, when they were created, in the day that Jehovah Elohim made earth and heavens,
01020500c8	and every shrub of the field before it was in the earth, and every herb of the field before it grew; for Jehovah Elohim had not caused it to rain on the earth, and there was no man to till the ground.
0102060051	But a mist went up from the earth, and moistened the whole surface of the ground.
0102070083	And Jehovah Elohim formed Man, dust of the ground, and breathed into his nostrils the breath of life; and Man became a living soul.
010208005b	And Jehovah Elohim planted a garden in Eden eastward, and there put Man whom he had formed.
01020900cd	And out of the ground Jehovah Elohim made every tree grow that is pleasant to the sight, and good for food; and the tree of life, in the midst of the garden, and the tree of the knowledge of good and evil.
01020a006f	And a river went out of Eden, to water the garden; and from thence it was parted, and became four main streams.
01020b0066	The name of the one is Pison: that is it which surrounds the whole land of Havilah, where the gold is.
01020c0049	And the gold of that land is good; bdellium and the onyx stone are there.
01020d005d	And the name of the second river is Gihon: that is it which surrounds the whole land of Cush.
01020e0083	And the name of the third river is Hiddekel: that is it which flows forward toward Asshur. And the fourth river, that is Euphrates.
01020f005d	And Jehovah Elohim took Man, and put him into the garden of Eden, to till it and to guard it.
010210005c	And Jehovah Elohim commanded Man, saying, Of every tree of the garden thou shalt freely eat;
010211008c	but of the tree of the knowledge of good and evil, thou shalt not eat of it; for in the day that thou eatest of it thou shalt certainly die.
0102120067	And Jehovah Elohim said, It is not good that Man should be alone; I will make him a helpmate, his like.
01021300de	And out of the ground Jehovah Elohim had formed every animal of the field and all fowl of the heavens, and brought [them] to Man, to see what he would call them; and whatever Man called each living soul, that was its name.
0102140093	And Man gave names to all cattle, and to the fowl of the heavens, and to every beast of the field; but as for Adam, he found no helpmate, his like.
0102150084	And Jehovah Elohim caused a deep sleep to fall upon Man; and he slept. And he took one of his ribs and closed up flesh in its stead.
0102160061	And Jehovah Elohim built the rib that he had taken from Man into a woman; and brought her to Man.
0102170086	And Man said, This time it is bone of my bones and flesh of my flesh: this shall be called Woman, because this was taken out of a man.
010218006f	Therefore shall a man leave his father and his mother, and cleave to his wife; and they shall become one flesh.
0102190041	And they were both naked, Man and his wife, and were not ashamed.
01030100c5	And the serpent was more crafty than any animal of the field which Jehovah Elohim had made. And it said to the woman, Is it even so, that God has said, Ye shall not eat of every tree of the garden?
0103020056	And the woman said to the serpent, We may eat of the fruit of the trees of the garden;
010303008e	but of the fruit of the tree that is in the midst of the garden, God has said, Ye shall not eat of it, and ye shall not touch it, lest ye die.
010304003d	And the serpent said to the woman, Ye will not certainly die;
0103050073	but God knows that in the day ye eat of it, your eyes will be opened, and ye will be as God, knowing good and evil.
01030600e7	And the woman saw that the tree was good for food, and that it was a pleasure for the eyes, and the tree was to be desired to give intelligence; and she took of its fruit, and ate, and gave also to her husband with her, and he ate.
010307008a	And the eyes of them both were opened, and they knew that they were naked. And they sewed fig-leaves together, and made themselves aprons.
01030800cb	And they heard the voice of Jehovah Elohim, walking in the garden in the cool of the day. And Man and his wife hid themselves from the presence of Jehovah Elohim, in the midst of the trees of the garden.
0103090042	And Jehovah Elohim called to Man, and said to him, Where art thou?
01030a0061	And he said, I heard thy voice in the garden, and I feared, because I am naked; and I hid myself.
01030b0071	And he said, Who told thee that thou art naked? Hast thou eaten of the tree of which I commanded thee not to eat?
01030c0062	And Man said, The woman, whom thou hast given [to be] with me, she gave me of the tree, and I ate.
01030d007a	And Jehovah Elohim said to the woman, What is this thou hast done? And the woman said, The serpent deceived me, and I ate.
01030e00cc	And Jehovah Elohim said to the serpent, Because thou hast done this, be thou cursed above all cattle, and above every beast of the field. On thy belly shalt thou go, and eat dust all the days of thy life.
01030f008c	And I will put enmity between thee and the woman, and between thy seed and her seed; he shall crush thy head, and thou shalt crush his heel.
01031000b5	To the woman he said, I will greatly increase thy travail and thy pregnancy; with pain thou shalt bear children; and to thy husband shall be thy desire, and he shall rule over thee.
01031100fc	And to Adam he said, Because thou hast hearkened to the voice of thy wife, and eaten of the tree of which I commanded thee saying, Thou shalt not eat of it: cursed be the ground on thy account; with toil shalt thou eat [of] it all the days of thy life;
0103120056	and thorns and thistles shall it yield thee; and thou shalt eat the herb of the field.
01031300a2	In the sweat of thy face shalt thou eat bread, until thou return to the ground: for out of it wast thou taken. For dust thou art; and unto dust shalt thou return.
010314004c	And Man called his wife's name Eve; because she is the mother of all living.
010315004a	And Jehovah Elohim made Adam and his wife coats of skin, and clothed them.
01031600bc	And Jehovah Elohim said, Behold, Man is become as one of us, to know good and evil. And now, lest he stretch out his hand, and take also of the tree of life, and eat, and live for ever...!
010317006c	Therefore Jehovah Elohim sent him forth from the garden of Eden, to till the ground from which he was taken.
01031800a0	And he drove out Man; and he set the Cherubim, and the flame of the flashing sword, toward the east of the garden of Eden, to guard the way to the tree of life.
010401006a	And Man knew Eve his wife; and she conceived, and bore Cain, and said, I have acquired a man with Jehovah.
010402005a	And she further bore his brother Abel. And Abel was a shepherd, but Cain was a husbandman.
010403006b	And in process of time it came to pass that Cain brought of the fruit of the ground an offering to Jehovah.
