0100000007	Genesis
010101002f	In the beginning God created heaven, and earth.
010102007a	And the earth was void and empty, and darkness was upon the face of the deep; and the spirit of God moved over the waters.
0101030030	And God said: Be light made. And light was made.
0101040053	And God saw the light that it was good; and he divided the light from the darkness.
010105005f	And he called the light Day, and the darkness Night; and there was evening and morning one day.
010106006c	And God said: Let there be a firmament made amidst the waters: and let it divide the waters from the waters.
0101070088	And God made a firmament, and divided the waters that were under the firmament, from those that were above the firmament, and it was so.
0101080056	And God called the firmament, Heaven; and the evening and morning were the second day.
010109008e	God also said: Let the waters that are under the heaven, be gathered together into one place: and let the dry land appear. And it was so done.
01010a007b	And God called the dry land, Earth; and the gathering together of the waters, he called Seas. And God saw that it was good.
01010b00c0	And he said: Let the earth bring forth the green herb, and such as may seed, and the fruit tree yielding fruit after its kind, which may have seed in itself upon the earth. And it was so done.
01010c00c7	And the earth brought forth the green herb, and such as yieldeth seed according to its kind, and the tree that beareth fruit, having seed each one according to its kind. And God saw that it was good.
01010d0033	And the evening and the morning were the third day.
01010e00a7	And God said: Let there be lights made in the firmament of heaven, to divide the day and the night, and let them be for signs, and for seasons, and for days and years:
01010f005a	To shine in the firmament of heaven, and to give light upon the earth. And it was so done.
0101100074	And God made two great lights: a greater light to rule the day; and a lesser light to rule the night: and the stars.
0101110043	And he set them in the firmament of heaven to shine upon the earth.
010112006a	And to rule the day and the night, and to divide the light and the darkness. And God saw that it was good.
0101130030	And the evening and morning were the fourth day.
0101140094	God also said: Let the waters bring forth the creeping creature having life, and the fowl that may fly over the earth under the firmament of heaven.
01011500cc	And God created the great whales, and every living and moving creature, which the waters brought forth, according to their kinds, and every winged fowl according to its kind. And God saw that it was good.
0101160083	And he blessed them, saying: Increase and multiply, and fill the waters of the sea: and let the birds be multiplied upon the earth.
010117002f	And the evening and morning were the fifth day.
01011800ab	And God said: Let the earth bring forth the living creature in its kind, cattle and creeping things, and beasts of the earth, according to their kinds. And it was so done.
01011900a3	And God made the beasts of the earth according to their kinds, and cattle, and every thing that creepeth on the earth after its kind. And God saw that it was good.
01011a00e4	And he said: Let us make man to our image and likeness: and let him have dominion over the fishes of the sea, and the fowls of the air, and the beasts, and the whole earth, and every creeping creature that moveth upon the earth.
01011b006a	And God created man to his own image: to the image of God he created him: male and female he created them.
01011c00c9	And God blessed them, saying: Increase and multiply, and fill the earth, and subdue it, and rule over the fishes of the sea, and the fowls of the air, and all living creatures that move upon the earth.
01011d009c	And God said: Behold I have given you every herb bearing seed upon the earth, and all trees that have in themselves seed of their own kind, to be your meat:
01011e00b2	And to all beasts of the earth, and to every fowl of the air, and to all that move upon the earth, and wherein there is life, that they may have to feed upon. And it was so done.
01011f0075	And God saw all the things that he had made, and they were very good. And the evening and morning were the sixth day.
010201004a	So the heavens and the earth were finished, and all the furniture of them.
0102020082	And on the seventh day God ended his work which he had made: and he rested on the seventh day from all his work which he had done.
010203007c	And he blessed the seventh day, and sanctified it: because in it he had rested from all his work which God created and made.
010204008a	These are the generations of the heaven and the earth, when they were created, in the day that the Lord God made the heaven and the earth:
01020500c6	And every plant of the field before it sprung up in the earth, and every herb of the ground before it grew: for the Lord God had not rained upon the earth; and there was not a man to till the earth.
010206004a	But a spring rose out of the earth, watering all the surface of the earth.
0102070083	And the Lord God formed man of the slime of the earth: and breathed into his face the breath of life, and man became a living soul.
0102080071	And the Lord God had planted a paradise of pleasure from the beginning: wherein he placed man whom he had formed.
01020900c5	And the Lord God brought forth of the ground all manner of trees, fair to behold, and pleasant to eat of: the tree of life also in the midst of paradise: and the tree of knowledge of good and evil.
