2800000007	Matthew
280101003a	A genealogy of Jesus Christ, son of David, son of Abraham:
2801020055	Abraham begot Isaac, then Isaac begot Jacob, then Jacob begot Judah and his brothers;
280103005a	then Judah begot Perez and Zerah by Tamar, then Perez begot Hezron, then Hezron begot Ram;
2801040052	then Ram begot Amminadab, then Amminadab begot Nahshon, then Nahshon begot Salmon;
2801050055	then Salmon begot Boaz by Rahab, then Boaz begot Obed by Ruth, then Obed begot Jesse,
2801060057	then Jesse begot David the king. Then King David begot Solomon by her who was of Uriah,
280107004f	then Solomon begot Rehoboam, then Rehoboam begot Abijah, then Abijah begot Asa;
2801080052	then Asa begot Jehoshaphat, then Jehoshaphat begot Joram, then Joram begot Uzziah;
280109004b	then Uzziah begot Jotham, then Jotham begot Ahaz, then Ahaz begot Hezekiah;
28010a004f	then Hezekiah begot Manasseh, then Manasseh begot Amon, then Amon begot Josiah;
28010b0057	then Josiah begot Jeconiah and his brothers about the time of the Babylonian captivity.
28010c0059	After the Babylonian captivity Jeconiah begot Shealtiel, then Shealtiel begot Zerubbabel;
28010d004f	then Zerubbabel begot Abiud, then Abiud begot Eliakim, then Eliakim begot Azor;
28010e0046	then Azor begot Zadok, then Zadok begot Achim, then Achim begot Eliud;
28010f004f	then Eliud begot Eleazar, then Eleazar begot Matthan, then Matthan begot Jacob;
280110005e	then Jacob begot Joseph the husband of Mary, by whom was begotten Jesus, who is called Christ.
28011100db	So all the generations from Abraham to David are fourteen generations, and from David until the Babylonian captivity are fourteen generations, and from the Babylonian captivity until the Christ are fourteen generations.
28011200a9	Now the birth of Jesus Christ was like this: After His mother Mary was betrothed to Joseph, before they joined together, she was found to be pregnant by the Holy Spirit.
2801130077	Then Joseph her husband, being a just man and not wanting to humiliate her publicly, decided to repudiate her secretly.
28011400ec	But while he pondered these things, wow, an angel of the Lord appeared to him in a dream saying: “Joseph, son of David, do not be afraid to receive Mary as your wife, because that which has been conceived in her is of the Holy Spirit.
2801150076	And she will give birth to a Son and you will call His name Jesus, because He will save His people from their sins.”
280116006a	Now all this happened so that what was spoken by the Lord through the prophet should be fulfilled, namely:
2801170092	“Behold, the virgin will become pregnant and bear a Son, and they shall call His name Emmanuel”, which being translated is, ‘God with us’.
2801180069	Then Joseph, being aroused from sleep, did as that angel of the Lord commanded him and received his wife,
