0100000007	Genesis
0101010037	In the beginning God created the heavens and the earth.
0101020087	The earth was formless and empty, and darkness covered the surface of the deep. The Spirit of God moved over the surface of the waters.
0101030038	God said, “Let there be light!” and there was light.
010104004e	God saw that the light was good, and he separated the light from the darkness.
0101050083	God called the light “day,” and he called the darkness “night.” So there was evening, and then the morning, making day one.
0101060059	God said, “Let there be an expanse in the middle of the waters to divide the waters.”
0101070076	So God made an expanse to divide the waters that were above from the waters that were below. And that's what happened.
010108005e	God called the expanse, “sky.” So there was evening, and then the morning, making day two.
0101090076	God said, “Let the waters below the sky collect together in one place so that the land may appear.” And so it was.
01010a0054	God called the land “earth” and the waters “seas.” God saw that it was good.
01010b00b0	God said, “Let the earth produce vegetation—plants that produce seeds and trees that produce seeded fruit—each one according to its own kind.” And that's what happened.
01010c009d	The earth produced vegetation—plants that produce seeds and trees that produce seeded fruit—each one according to its own kind. God saw that it was good.
01010d003d	So there was evening, and then the morning, making day three.
01010e007e	God said, “Let there be lights in the sky to separate day from night, and to provide a way to mark seasons, days, and years.
01010f0053	They shall be lights in the sky to shine on the earth.” And that's what happened.
0101100088	God created two great lights: the larger one in charge of the day, and the smaller one in charge of the night. He created the stars too.
010111003b	God placed these lights in the sky to shine upon the earth,
0101120075	to be in charge of the day and in charge of the night, and to separate light from darkness. God saw that it was good.
010113003c	So there was evening, and then the morning, making day four.
0101140069	God said, “Let the waters be full of living creatures, and let birds fly above the earth in the sky.”
01011500d7	So God created huge sea creatures and all the living things that swim and fill the waters, each one according to its own kind; and every bird that flies, each one according to its own kind. God saw that it was good.
0101160082	God blessed them and said, “Reproduce and increase, and fill the waters of the seas, and let the birds increase on the earth.”
010117003c	So there was evening, and then the morning, making day five.
01011800e7	God said, “Let the land produce living creatures, each one according to its own kind—the livestock, the creatures that run along the ground, and the wild animals, each one according to its own kind.” And that's what happened.
0101190091	God made the wild animals, the livestock, and the creatures that run along the ground, all according to their own kind. God saw that it was good.
01011a00eb	God said, “Let us make human beings in our image who are like us. They will have authority over the fish of the sea and the birds of the air, over the livestock, and over the whole of the earth and every creature that moves on it.”
01011b0073	So God created human beings in his own image. He created them in the image of God. He created them male and female.
01011c00db	God blessed them and told them, “Reproduce, increase, and spread throughout the earth and control it; exercise authority over the fish of the sea and the birds of the air and every creature that moves on the earth.”
01011d0089	God said, “Look, I'm giving you as your food every seed-bearing plant anywhere on earth, and every tree that produces fruit with seeds.
01011e00aa	I'm giving all the green plants to all the land animals, to the birds, and to every creature that moves on the earth—to every living thing.” And that's what happened.
01011f007e	God saw everything that he had created, and yes, it was very good. So there was evening, and then the morning, making day six.
010201004c	The creation of the heavens, the earth, and everything in them was complete.
010202008a	By the time the seventh day came, God had finished the work he'd done, and he rested on the seventh day from all the work he'd been doing.
0102030071	God blessed the seventh day, and set it apart as holy, because he rested from all the work he'd done in creation.
0102040056	This is the account of the Lord God's creation when he made the heavens and the earth.
010205009e	Up to this point there were no wild plants or crops growing on the earth, because the Lord God hadn't sent rain, and there was no one to cultivate the ground.
0102060048	Dew came up from the earth and made the whole surface of the ground wet.
010207008f	The Lord God shaped the man Adam from the dust of the ground. He breathed into his nostrils the breath of life, and Adam became a living being.
0102080059	The Lord planted a garden in Eden, in the east. There he put the man Adam he had created.
