2800000007	Matthew
2801010050	THE book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
2801020053	Abraham begat Isaac, and Isaac begat Jacob, and Jacob begat Judas and his brethren,
2801030059	and Judas begat Phares, and Zara of Thamar, and Phares begat Esrom, and Esrom begat Aram;
2801040050	and Aram begat Amminadab, and Amminadab begat Naasson, and Naasson begat Salmon,
2801050053	and Salmon begat Boaz of Rachab, and Boaz begat Obed of Ruth, and Obed begat Jesse,
2801060068	and Jesse begat David the king, and David the king begat Solomon of her that had been the wife of Urias,
2801070044	and Solomon begat Roboam, and Roboam begat Abia, and Abia begat Asa,
2801080048	and Asa begat Josaphat, and Josaphat begat Joram, and Joram begat Ozias,
2801090049	and Ozias begat Joatham, and Joatham begat Ahaz, and Ahaz begat Hezekias,
28010a004c	and Hezekias begat Manasses, and Manasses begat Amon, and Amon begat Josias,
28010b005e	and Josias begat Jechonias and his brethren, about the time they were carried away to Babylon,
28010c0061	and after they were brought to Babylon, Jechonias begat Salathiel, and Salathiel begat Zorobabel,
28010d004b	and Zorobabel begat Abiud, and Abiud begat Eliakim, and Eliakim begat Azor,
28010e0043	and Azor begat Sadoc, and Sadoc begat Achim, and Achim begat Eliud,
28010f004c	and Eliud begat Eleazar, and Eleazar begat Matthan, and Matthan begat Jacob,
2801100059	and Jacob begat Joseph, the husband of Mary, of whom is born Jesus, who is called Christ.
28011100d7	So all the generations from Abraham to David are fourteen generations, and from David to the carrying away into Babylon fourteen generations, and from the carrying away into Babylon unto Christ fourteen generations.
28011200c3	Now the generation of Jesus Christ was attended with these circumstances: His mother Mary being betrothed to Joseph, before they cohabited together, she was found with child from the Holy Spirit.
2801130075	Then Joseph her husband being a just man, and not willing to expose her publicly, designed to put her away privately.
28011400e8	And as he was revolving the matter in his mind, behold, an angel of the Lord in a dream appeared unto him, saying, Joseph, son of David, fear not to take Mary for thy wife, for that which is conceived in her is from the Holy Spirit.
2801150072	And she shall bring forth a son, and thou shalt call his name Jesus, for he shall save his people from their sins.
280116006d	Now the whole of this was done, that what was spoken of the Lord, by the prophet, might be fulfilled, saying,
280117008f	“A virgin shall be with child and shall bring forth a son, and they shall call his name Immanuel,” which is being interpreted, God with us.
2801180062	Then Joseph when arisen from sleep, did as the angel of the Lord commanded him, and took his wife;
280119006b	and he knew her not, until she had brought forth her son, the first begotten, and he called his name Jesus.
2802010079	NOW when Jesus was born in Bethlehem of Judea in the days of Herod the king, lo! Magians from the East came to Jerusalem,
2802020079	saying, Where is he that is born king of the Jews? for we have seen his star in the East, and are come to pay him homage.
2802030055	Now when Herod the king heard this, he was much agitated, and all Jerusalem with him.
