2800000007	Matthew
280101003a	The History of Jesus Christ, Son of David, Son of Abraham.
280102004b	Abraham begot Isaac. Isaac begot Jacob. Jacob begot Judah and his brothers.
280103004a	Judah had Pharez and Zarah by Tamar. Pharez begot Ezrom. Ezrom begot Aram.
2801040040	Aram begot Aminidab. Aminidab begot Nashon. Nashon begot Salmon.
2801050042	Salmon had Boaz by Rahab. Boaz had Obed by Ruth. Obed begot Jesse.
280106005e	Jesse begot David the king. David the king had Solomon, by her who had been the wife of Uriah.
280107003c	Solomon begot Rehoboam. Rehoboam begot Abia. Abia begot Asa.
2801080043	Asa begot Jehoshaphat. Jehoshaphat begot Joram. Joram begot Uzziah.
280109003c	Uzziah begot Jotham. Jotham begot Ahaz. Ahaz begot Hezekiah.
28010a0040	Hezekiah begot Manasseh. Manasseh begot Amon. Amon begot Josiah.
28010b0053	Josiah had Jeconiah and his brothers, about the time of the migration into Babylon.
28010c0057	After the migration into Babylon, Jeconiah begot Salathiel. Salathiel begot Zerubbabel.
28010d0040	Zerubbabel begot Abiud. Abiud begot Eliakim. Eliakim begot Azor.
28010e0037	Azor begot Zadoc. Zadoc begot Achim. Achim begot Eliud.
28010f0040	Eliud begot Eleazar. Eleazar begot Matthan. Matthan begot Jacob.
2801100056	Jacob begot Joseph, the husband of Mary, of whom was born Jesus, who is called Christ.
28011100b5	So all the generations from Abraham to David are fourteen; from David till the migration into Babylon, fourteen; from David till the migration into Babylon to the Messiah, fourteen.
28011200a8	Now the birth of Jesus Christ happened thus: Mary his mother had been espoused to Joseph; but before they came together, she proved to be with child by the Holy Spirit.
2801130068	Joseph her husband being a virtuous man, and unwilling to expose her, intended to divorce her privately.
28011400c6	But while he was thinking upon this, an angel of the Lord appearing to him in a dream, said, Joseph, son of David, scruple not to take home Mary your wife; for her pregnancy is from the Holy Spirit.
2801150061	And she shall bear a son, whom you shall call Jesus, for he will save his people from their sins.
2801160041	In all this what the Lord had spoken by the Prophet was verified,
280117006e	"Behold the virgin shall conceive and bear a son, who shall be called Immanuel;" which signifies, God with us.
2801180061	When Joseph awoke, he did as the messenger of the Lord had commanded him, and took home his wife;
2801190056	but knew her not, until she had brought forth her first born son, whom he named Jesus.
2802010085	After the birth of Jesus, at Bethlehem of Judea, in the reign of King Herod, certain eastern magians came to Jerusalem, and inquired,
2802020077	Where is the new-born King of the Jews; for we have seen his star in the east country, and are coming to do him homage?
2802030041	King Herod hearing this, was alarmed, and all Jerusalem with him.
280204007f	And having assembled all the chief priests and the scribes of the people, he demanded of them where the Messiah should be born.
280205004c	They answered, at Bethlehem of Judea, for thus it is written by the Prophet,
28020600ac	"And thou Bethlehem, in the canton of Judah, are not the least illustrious among the cities of Judah; for out of thee shall come a ruler, who will govern my people Israel."
2802070080	Then Herod having secretly called the magians, procured from them exact information concerning the time of the star's appearing.
28020800a5	And sending them to Bethlehem, he said, Go, make an exact inquiry about the child; and when you have found him bring me word, that I may go also, and pay him homage.
28020900b6	Having heard the King, they departed; and lo! the star which had appeared to them in the east country, moved before them, till it came, and stood over the place, where the child was.
28020a0038	When they again saw the star, they rejoiced exceedingly.
28020b00d3	And being come into the house, they found the child with Mary his mother; and, prostrating themselves, did him homage. Then opening their caskets, they offered, as presents to him, gold, frankincense, and myrrh.
28020c004f	And being warned in a dream not to return to Herod, they went home another way.
28020d00e3	When they were gone, lo! a messenger of the Lord appearing to Joseph in a dream, said, Arise, take the child with his mother, and flee into Egypt; and remain there till I order you; for Herod will seek the child to destroy him.
28020e0057	Accordingly he arose, took the child with his mother, and withdrew by night into Egypt,
28020f008c	where he continued until the death of Herod; so that, what the Lord had spoken by the Prophet, was verified, "Out of Egypt I called my Son."
2802100134	Then Herod, finding that he had been deceived by the magians, was highly incensed and dispatched emissaries who slew, by his order, all the male children in Bethlehem, and in all its territory, from those entering the second year, down to the time of which he had procured exact information from the magians.
2802110033	Then was the word of Jeremiah the Prophet verified,
28021200a2	"A cry was heard in Ramah, lamentation, and weeping, and bitter complaint: Rachel bewailing her children, and refusing to be comforted, because they are no more."
2802130058	When Herod was dead, an angel of the Lord appearing in a dream to Joseph in Egypt, said,
280214006d	Arise, take the child with his mother, and go into the land of Israel; for they are dead who sought his life.
2802150056	Accordingly, he arose, took the child with his mother, and came to the land of Israel;
28021600b5	but hearing that Archelaus had succeeded his father Herod in the throne of Judea, he was afraid to return thither; and being warned in a dream, retired into the district of Galilee,
280217008e	and resided in a city named Nazareth; in this verifying the declarations of the Prophet concerning Jesus, that he should be called a Nazarene.
280301005c	In those days appeared John the Immerser, who proclaimed in the wilderness of Judea, saying,
280302002b	Reform, for the Reign of Heaven approaches.
28030300b0	For this is he, of whom the Prophet Isaiah speaks in these words, "The voice of one proclaiming in the wilderness, Prepare a way for the Lord, make for him a straight passage."
2803040074	Now John wore raiment of camel's hair with a letter girdle about his waist; and his food was locusts and wild honey.
2803050055	Then Jerusalem, and all Judea, and all the country along the Jordan, resorted to him,
280306003e	and were immersed by him in the Jordan, confessing their sins.
28030700ac	But he seeing many Pharisees and Sadducees coming to him to receive immersion, said to them, Offspring of vipers, who has prompted you to flee from the impending vengeance?
280308002f	Produce, then, the proper fruit of reformation;
2803090093	and presume not to say within yourselves, We have Abraham for our father, for I assure you, that of these stones God can raise children to Abraham.
28030a008b	And even now the ax lies at the root of the trees; every tree, therefore, which produces not good fruit, is cut down, and turned into fuel.
28030b00bc	I, indeed, immerse you in water, into reformation; but he who comes after me, is mightier than I, whose shoes I am not worthy to carry. He will immerse you in the Holy Spirit, and in fire.
28030c00a5	His winnowing shovel is in his hand, and he will thoroughly cleanse his grain; he will gather his wheat into the granary, and consume the chaff in unquenchable fire.
28030d0043	Then came Jesus from Galilee to the Jordan, to be immersed by John.
28030e005d	But John excused himself, saying, It is I who need to be immersed by you; and you come to me!
28030f007a	Jesus answering, said to him, Permit this at present; for thus ought we to ratify every institution. Then John acquiesced.
28031000a5	Jesus being immersed, no sooner arose out of the water, than heaven was opened to him; and the Spirit of God appeared, descending like a dove, and lighting upon him;
2803110055	while a voice from heaven proclaimed, This is my Son, the beloved, in whom I delight.
2804010057	Then was Jesus conducted by the Spirit into the wilderness, to be tempted by the devil.
280402003d	And after fasting forty days and forty nights, he was hungry.
2804030064	Then the tempter accosting him, said, If thou be God's Son, command that these stones become loaves.
2804040077	Jesus answering, said, It is written, "Man lives not by bread only, but by everything which God is pleased to appoint."
2804050066	Then the devil conveyed him into the holy city, and having placed him on the battlement of the temple,
28040600c6	said to him, If thou be God's Son, throw thyself down; for it is written, "He will give his angels the charge of thee: they shall uphold thee in their arms, lest thou dash thy foot against a stone."
2804070058	Jesus again answered, It is written, "Thou shalt not put the Lord thy God to the proof."
2804080074	Again the devil took him up a very high mountain, whence he showed him all the kingdoms of the world in their glory,
280409005c	and said to him, All these will I give thee, if thou wilt prostrate thyself, and worship me.
28040a0073	Jesus answered, Satan, begone; for it is written, "Thou shalt worship the Lord they God, and shall serve him only."
28040b003e	Then the devil leaving him, angels came and ministered to him.
28040c0042	Now Jesus, hearing that John was imprisoned, retired into Galilee,
28040d0062	and having left Nazareth, resided at Capernaum, a seaport in the confines of Zebulun and Naphtali,
28040e0032	thereby verifying the words of Isaiah the Prophet;
