2800000007	Matthew
2801010051	The book of the generation of Jesus Christ, the son of David, the son of Abraham.
2801020061	Abraham was the father of Isaac; Isaac was the father of Jacob; Jacob, of Judah and his brethren;
2801030047	Judah (by Tamar), of Perez and Zerah; Perez, of Hezron; Hezron, of Ram;
280104003d	Ram, of Amminadab; Amminadab, of Nahshon; Nahshon, of Salmon;
2801050044	Salmon (by Rahab), of Boaz; Boaz (by Ruth), of Obed; Obed, of Jesse;
2801060054	And Jesse, of David the king. David (by Uriah’s widow), was the father of Solomon;
280107003a	Solomon, of Rehoboam; Rehoboam, of Abijah; Abijah, of Asa;
280108003d	Asa, of Jehoshaphat; Jehoshaphat, of Joram; Joram, of Uzziah;
2801090036	Uzziah, of Jotham; Jotham, of Ahaz; Ahaz, of Hezekiah;
28010a003a	Hezekiah, of Manasseh; Manasseh, of Amon; Amon, of Josiah;
28010b0053	Josiah, of Jechoniah and his brethren, at the time of the carrying away to Babylon.
28010c006d	And after the carrying away into Babylon, Jechoniah became the father of Shealtiel; Shealtiel, of Zerubbabel;
28010d003a	Zerubbabel, of Abiud; Abiud, of Eliakim; Eliakim, of Azor;
28010e0031	Azor, of Sadoc; Sadoc, of Achim; Achim, of Eliud;
28010f003a	Eliud, of Eleazar; Eleazar, of Matthan; Matthan, of Jacob;
2801100058	And Jacob, of Joseph, the husband of Mary, of whom was born Jesus, who is called Christ.
28011100aa	So the whole number of generations from Abraham to David is fourteen; from David to the exile to Babylon is fourteen; and from the exile to Babylon to Christ is fourteen.
28011200b5	The birth of Jesus Christ took place in this way. After his mother, Mary, had been betrothed to Joseph, before they came together, she was found to be with child by the Holy Spirit.
2801130075	But Joseph her husband, because he was just a man and unwilling to disgrace her, was minded to put her away secretly.
2801140066	And while he was having this in mind, behold! an angel of the Lord appeared to him in a dream, saying.
28011500dd	"Joseph, son of David, do not be afraid to take Mary your wife home, for what is begotten in her is by the Holy Spirit; and she will bear a son, and you are to call him Jesus, for he will save his people from their sins."
280116005a	All this happened that the word of the Lord spoken through the prophet might be fulfilled.
2801170086	Behold! the virgin shall be with child, and shall bear a son; and they shall call his name Immanuel, a word which means "God with us."
280118006e	Now when Joseph awoke from his sleep he did as the angel of the Lord had directed him, and took his wife home,
2801190051	but did not live with her until after the birth of her son, whom he called Jesus.
2802010090	After the birth of Jesus, which took place at Bethlehem in Judea, during the reign of King Herod, lo! certain Magi arrived in Jerusalem, saying.
280202006d	"Where is the new-born King of the Jews? For we have seen his star in the East, and are come to worship him."
2802030047	When King Herod heard this he was troubled, and all Jerusalem with him.
280204008d	So when he had gathered together all the chief priests and rabbis of the people, he began to inquire of them where the Christ was to be born.
280205004b	And they told him. "At Bethlehem in Judea, as it is written in the prophet.
28020600a2	"And thou Bethlehem in the land of Judah, Thou are not least among the princes of Judah, For out of thee shall come a ruler Who shall shepherd my people, Israel."
2802070064	Thereupon Herod sent secretly for the Magi, and found out from them the time when the star appeared.
28020800ac	Then he sent them to Bethlehem, saying, "Go and make careful inquiry about the child, and as soon as you have found him bring me word, that I, too, may go and worship him."
28020900b1	The Magi listened to the king, and went on their way, and lo! the star which they had seen in the east led them until it came and stood over the place where the young child was.
28020a003e	And when they saw the star, they rejoiced with great gladness.
28020b00a2	When they had entered the house, they saw the child with Mary, his mother, and opening their treasure-chests they gave him gifts, gold and frankincense and myrrh.
28020c007b	But because they were forbidden by God in a dream to go back to Herod, they returned to their own country by another route.
28020d0109	When they were gone an angel of the Lord appeared to Joseph in a dream, saying; "Rise! Take the young child and his mother and flee into Egypt, and there remain until I bring you word; for Herod intends to make a search for the child, in order to put him to death."
28020e0050	So Joseph arose, took the child and his mother, by night, and departed to Egypt.
28020f00a0	There he remained until the death of Herod, in order that the word of the Lord through the prophet might be fulfilled, which says, Out of Egypt I called my son.
28021000fa	As soon as Herod saw that he had been mocked by the Magi, he was furious. He sent and put to death all the boys in Bethlehem and all the neighborhood who were two years old or under, in accordance with the date which he had ascertained from the Magi.
280211004b	Then were fulfilled the words spoken through Jeremiah, the prophet, saying,
280212007e	A voice was heard in Ramah, Weeping and lamentation- Rachel weeping for her children, Inconsolable, because they were no more!
2802130056	But after Herod’s death an angel of the Lord appeared in a dream to Joseph in Egypt,
280214008b	saying, "Rise! Take the child and his mother, and came into the land of Israel, for those who were seeking the life of the child are dead."
280215004f	So he rose and took the child and his mother, and came into the land of Israel.
28021600d4	But when he heard that Archelaus was reigning in Judea in place of his father, Herod, he was afraid to go there; and being warned of God in a dream, he withdrew into Galilee and settled in a town called Nazareth,
2802170056	in fulfillment of the word spoken through the Prophets, He shall be called a Nazarene.
2803010045	In those days came John the Baptist preaching in the desert of Judea;
280302003a	"Repent," said he, "for the kingdom of heaven is at hand."
28030300af	This Johnit was of whom it was said through Isaiah, the prophet, The voice of one who cries aloud in the desert, "Prepare a way for the Lord, Make the paths straight for him."
2803040078	This Johnwore a garment of camel’s hair, and a leather belt around his waist, and his food was locusts and wild honey.
280305005f	Then Jerusalem began to go out to him, and all Judea, and the whole neighborhood of the Jordan,
2803060044	and were baptized by him in the river Jordan, confessing their sins.
28030700a2	But when Johnsaw that many of the Pharisees and Sadducees were coming for baptism, he said. "O brood of vipers! Who has warned you to flee from the wrath to come?
280308002c	Then bring forth fruit worthy of repentance.
28030900a6	And do not presume to say to yourselves, ‘We have Abraham as our father’-I tell you that out of these very stones God is able to raise up descendants for Abraham.
28030a008e	And already the axe is lying at the roots of the trees. Any tree, therefore, that does not bear good fruit is cut down and cast into the fire.
28030b00bd	I indeed am baptizing you in water, unto repentance; but One is coming after me, mightier than I, whose sandals I am not worthy to carry. He will baptize you in the Holy Spirit and in fire.
28030c00af	His winnowing-fan is in his hand, and he will thoroughly cleanse the threshing-floor. He will store his wheat in the granary, but will burn up the chaff in unquenchable fire."
28030d0062	At that very time Jesus was on his way from Galilee to the Jordan, to John, to be baptized by him.
28030e006c	But he tried to prevent him. "It is I," he said, "who need to be baptized by you, and are you coming to me?"
28030f0061	But Jesus answered, "Permit it now, for so it is fitting for us to fulfill every religious duty."
28031000b9	Then he consented. And after Jesus was baptized, as soon as he rose out of the water, lo! the heavens opened, and he saw the Spirit of God descending like a dove and alighting upon him,
2803110051	while a voice from heaven said, "This is my son, the beloved, In whom I delight."
2804010050	Then Jesus was led up into the desert by the Spirit, to be tempted by the devil.
2804020046	And after he had fasted forty days and forty nights, he became hungry,
2804030063	So the tempter came and said to him, "If you are the Son of God, bid these stones to become bread."
280404007b	Jesus answered him, "It is written, Not by bread alone shall man live, but by every word that comes from the mouth of God."
2804050059	Then the devil took him up into the Holy City and stood him on the parapet of the temple,
28040600d2	and said to him. "If you are the Son of God, throw yourself down; for it is written, "He will give his angels charge over thee; Upon their hands they will bear thee up, Lest thou dash thy foot against a stone."
280407004f	"It is written again," answered Jesus, "Thou shalt not tempt the Lord thy God."
2804080072	Then the devil took Jesus to a very high mountain, and showed all the kingdoms of the earth and the glory of them,
2804090053	and said to him, "All these will I give you, if you will fall down and worship me."
28040a0078	"Begone, Satan!" answered Jesus, "for it is written, "Thou must worship the Lord thy God, and Him only must thou serve."
28040b004e	Then the devil left him, and behold! angels came and began ministering to him.
28040c004a	Now when Jesus heard that Johnhad been arrested, he withdrew into Galilee.
28040d0061	He left Nazareth, and settled in Capernaum-by-the-Lake, near the borders of Zebulun and Naphtali,
28040e0050	in order that these words spoken through Isaiah the prophet, might be fulfilled.
28040f006c	Land of Zebulun, land of Naphtali; The road by the Lake; the country beyond Jordan; Galilee of the Gentiles!
2804100096	The people who were dwelling in darkness Have seen a great light; And on those who were dwelling in the land of the shadows of death Light has dawned.
2804110059	From that time Jesus began to preach, saying, "Repent for the kingdom of heaven is near."
28041200ad	And as he was walking by the see of Galilee, he saw two brothers- Simon who is called Peter, and Andrew, his brother-casting their net into the sea, for they were fishermen.
2804130044	"Come, follow me," said Jesus, "And I will make you fishers of men."
2804140036	And they dropped their nets at once, and followed him.
28041500ad	As he went farther on he saw two other brothers, Jamesthe son of Zebedee, and Johnhis brother, in the boat with Zebedee their father, mending their nets, and he called them.
2804160042	They immediately left the boat and their father, and followed him.
28041700ad	Then Jesus went about through Galilee, teaching in the synagogues, and preaching the gospel of the kingdom, and healing every kind of disease and infirmity among the people.
28041800be	And his fame spread throughout all Syria. They brought all the sick to him, those who were suffering from various diseases and troubles- demoniacs, epileptics, paralytics-and he healed them.
280419006e	Great crowds followed him from Galilee, from the ten towns, from Jerusalem, and Judea, and from beyond Jordan.
280501006b	When he saw the crowds, he went up the mountain, and when he had seated himself, his disciples came to him,
2805020034	and opening his lips he began to teach them, saying.
2805030045	"Blessed are the poor in spirit, for the kingdom of heaven is theirs.
280504003a	"Blessed are those who mourn, for they shall be comforted.
280505003b	"Blessed are the gentle, for they shall inherit the earth."
2805060067	"Blessed are those who hunger and thirst for the righteousness, for they shall be completely satisfied.
2805070037	"Blessed are the merciful, for they shall obtain mercy.
2805080037	"Blessed are the pure in heart, for they shall see God.
2805090043	"Blessed are the peacemakers, for they shall be called sons of God.
28050a006f	"Blessed are those who have been persecuted in the cause of righteousness, for theirs is the kingdom of heaven.
28050b0085	"Blessed are you when they shall revile you, and persecute you, and say all manner of evil against you falsely, for my name’s sake.
28050c007a	"Rejoice and exult in it, because your reward was great in the heavens; for so did they persecute the prophets before you.
28050d00b5	"You are the salt of the earth; but if the salt lose its savor, in what way shall it be salted? It is henceforth good for nothing but to be thrown out and trodden under foot of men.
28050e0049	"You are the light of the world. A city built on a hilltop cannot be hid;
28050f007d	"nor do men light a lamp, and put it under the bushel, but on the lamp-stand, and it gives light to all who are in the house.
2805100072	"So let your light shine before men that they may see good you do, and give glory to your Father who is in heaven.
280511006b	"Do not suppose that I am come to destroy the Law or the Prophets. I am come not to destroy, but to fulfil.
280512008e	"In solemn truth I tell you that until heaven and earth pass away, not an iota, not a comma, will pass from the Law until all has taken place.
28051300d7	"So whoever breaks one of these least commandments, and teaches others to break them, will be least in the kingdom of heaven. But he who keeps them and teaches them, he will be called great in the kingdom of heaven.
2805140091	"For I assure you that unless your righteousness exceed that of the scribes and Pharisees, you will not find entrance into the kingdom of heaven.
2805150099	"You have heard that it was said to the ancients, "Thou shall not commit murder, and "he who commits murder shall be liable to condemnation by the court;
280516010d	but I say to you that he who becomes angry with his brother shall be liable to condemnation by the court; and he who says to his brother’Raca,’ shall be liable to condemnation by the Sanhedrin, while he who curses his brother shall be liable to the Gehenna of Fire.
280517007f	"If therefore when you are offering your gift upon the altar, and there remember that your brother has a grievance against you,
2805180080	"leave there your gift before the altar, and go and make friends with your brother, first of all; then come and offer your gift.
28051900da	"Come to terms with your opponent quickly, while you are yet with him on the way to the court, to prevent your opponent from handing you over to the judge, and the judge to the jailer, and so you be thrown into prison.
28051a0068	"I tell you truly that you would certainly not get out from there until you had paid back the last cent.
28051b0042	"You have heard that it was said, "Thou shalt not commit adultery.
28051c006e	But I say to you that whoever looks with lust at a woman has already committed adultery with her in his heart.
28051d00c2	And if your eye, your right eye, entices you to sin, pluck it out and cast it from you. It is better for you to lose one of your bodily organs, than to have your whole body go down into the pit.
28051e00bc	And if your right hand entices you into sin, cut it off and cast it from you; for it is better for you to lose one of your bodily organs, than to have your whole body go down into the pit.
28051f0051	"It was also said, "Whoever divorces his wife must give her a bill of separation.
28052000aa	But I tell you that anyone who divorces his wife, except on the ground of unchastity, makes her an adulteress, and whoever marries her when so divorced, commits adultery.
2805210084	"Again you have heard that it was said to the men of old, "You must not forswear yourselves, but must perform your vows to the Lord.
2805220052	"But I say to you, swear not at all; neither by the sky, for it is God’s throne;
280523006f	"nor by the earth, for it is the footstool of his feet; nor by Jerusalem, for it is the city of the Great King.
2805240050	"Nor must you swear by your head, since you cannot make one hair white or black.
2805250061	"But let your word be simply ‘Yes’ or ‘No’; anything beyond this comes from the Evil One.
280526004a	"You have heard that it was said, "An eye for an eye, a tooth for a tooth.
2805270074	"But I tell you not to retaliate the injury; but whoever strikes you on the right cheek, turn the other to him also;
2805280063	"and if any one wants to go to law with you and takes away your coat, let him take your cloak also.
280529003d	"Whoever impresses you to go one mile, go two miles with him.
28052a0053	"Give to him who asks, and from him who wants to borrow from you, do not turn away.
28052b0055	"You have heard that it was said, "You shall love your neighbor and hate your enemy."
28052c004b	"But I say to you, love your enemies, and pray for those who persecute you.
28052d009b	"So you will become sons of your heavenly Father; for he makes his sun to rise upon sinners as well as saints, and sends rain upon the unjust and the just.
28052e003f	"For if you love only those who love you, what reward have you?
28052f00a9	"Even the tax-gatherers do that, do they not? And if you show courtesy to your brother only, what are you doing more than others? Even the Gentiles do that, do they not?
280530003f	"You then must be perfect, as your heavenly Father is perfect."
2806010094	"Be careful not to do your good deeds in the sight of men, in order to be observed by them. If you do, you have no reward with your heavenly Father.
28060200d8	"And whatever you give alms, do not sound a trumpet before you as the hypocrites do in the synagogues and streets, in order that men may praise them. In solemn truth I tell you they already have their reward in full.
2806030051	"But when you give alms, do not let your right hand know what your left is doing,
280604005f	"so that your alms may be in secret; and your Father who sees in secret will reward you openly.
28060500eb	"And whenever you pray, do not be like the hypocrites. For they love to stand and pray in the synagogues and on the corners of the avenues, in order that men may see them. In solemn truth I tell you that they have their reward in full.
280606009c	"But you, when you pray, go into your own room and shut your door; pray to your Father who is in secret, and your Father who sees in secret will reward you.
2806070098	"While praying do not say the same words over and over again, as the Gentiles do, for they suppose that by their much speaking they will gain attention.
280608004d	"Do not be like them, for your Father knows what you need before you ask him.
280609004e	"So pray in this way. "Our Father who art in heaven, May thy name be hallowed,
28060a003f	thy kingdom come, and thy will be done, On earth, as in heaven.
28060b002e	Give us today our bread for the day before us;
28060c003e	And forgive us our debts as we also have forgiven our debtors;
28060d007e	And lead us not into temptation, but deliver us from the Evil One; For thine is the kingdom and the power and the glory. Amen.
28060e005f	"For if you forgive men their offenses against you, your heavenly Father will forgive you also;
28060f006a	"but if you do not forgive men your offenses, neither will your heavenly Father forgive you your offenses.
28061000d6	"When you fast, do not look downcast like the hypocrites; for they disfigure their faces so that it may be apparent to men that they are fasting. In solemn truth I tell you, they already have received their reward.
2806110046	"But when one of you fasts, let him anoint his head and wash his face,
2806120087	"so that he may not appear to men to be fasting, but to his Father who is in secret; and his Father who sees in secret will reward him.
2806130077	"Store up for yourselves no treasures on earth, where moth and rust consume, and where thieves break through and steal;
2806140088	"but store up for yourselves treasures in heaven, where neither moth nor rust consume, and where thieves do not break through nor steal.
280615003e	"For wherever your treasure is, there will your heart be also.
