0100000007	Genesis
0101010037	In the beginning God created the heavens and the earth.
0101020099	Now the earth was formless and empty, and darkness was on the surface of the watery depths. And God's Spirit was hovering over the surface of the waters.
0101030038	And God said, "Let there be light," and there was light.
0101040053	And God saw that the light was good. And God separated the light from the darkness.
0101050071	And God called the light Day, and the darkness he called Night. There was evening and there was morning, one day.
0101060082	And God said, "Let there be an expanse in the midst of the waters, and let it separate the waters from the waters." And it was so.
010107007d	And God made the expanse, and separated the waters which were under the expanse from the waters which were above the expanse.
0101080074	And God called the expanse Sky. And God saw that it was good. There was evening and there was morning, a second day.
01010900cc	And God said, "Let the waters under the sky be gathered to one gathering, and let the dry land appear." And it was so. And the waters under the sky gathered to their gatherings, and the dry land appeared.
01010a0071	And God called the dry land Earth, and the gatherings of the waters he called Seas. And God saw that it was good.
01010b00b1	And God said, "Let the earth produce vegetation, plants yielding seed after its kind, and fruit trees bearing fruit with seed in it after its kind, on the earth." And it was so.
01010c00b6	And the earth brought forth vegetation, plants yielding seed after its kind, and fruit trees bearing fruit with seed in it after its kind, on the earth. And God saw that it was good.
01010d0035	There was evening and there was morning, a third day.
01010e0114	And God said, "Let there be lights in the expanse of the sky for the illumination of the day, to give light on the earth, and to rule the day and the night, and to separate between the day and the night. And let them be for signs, and for seasons, and for days, and for years,
01010f0062	and let them serve as lights in the expanse of the sky to give light on the earth." And it was so.
010110007c	And God made the two great lights, the greater light to rule the day, and the lesser light to rule the night, and the stars.
0101110041	And God set them in the expanse of the sky to shine on the earth,
0101120075	and to rule over the day and over the night, and to divide the light from the darkness. And God saw that it was good.
0101130036	There was evening and there was morning, a fourth day.
01011400a1	And God said, "Let the waters swarm with swarms of living creatures, and let flying creatures fly above the earth in the open expanse of the sky." And it was so.
01011500cc	And God created the large sea creatures, and every living creature that moves, with which the waters swarmed, after its kind, and every winged flying creature after its kind. And God saw that it was good.
010116008f	And God blessed them, saying, "Be fruitful, and multiply, and fill the waters in the seas, and let the flying creatures multiply on the earth."
0101170035	There was evening and there was morning, a fifth day.
01011800ad	And God said, "Let the earth bring forth living creatures after its kind: tame animals, and crawling creatures, and wild animals of the earth after its kind." And it was so.
