0100000007	Genesis
0101010036	In the beginning God created the heaven and the earth.
0101020086	And the earth was waste and void; and darkness was upon the face of the deep: and the spirit of God moved upon the face of the waters.
0101030036	And God said, Let there be light: and there was light.
0101040055	And God saw the light, that it was good: and God divided the light from the darkness.
0101050075	And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
0101060070	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
0101070090	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.
010108005f	And God called the firmament Heaven. And there was evening and there was morning, a second day.
010109007e	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.
01010a0079	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
01010b00ab	And God said, Let the earth put forth grass, herb yielding seed, [and] fruit tree bearing fruit after its kind, wherein is the seed thereof, upon the earth: and it was so.
01010c00a8	And the earth brought forth grass, herb yielding seed after its kind, and tree bearing fruit, wherein is the seed thereof, after its kind: and God saw that it was good.
01010d0039	And there was evening and there was morning, a third day.
01010e00a6	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years:
01010f0066	and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
0101100087	And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: [he made] the stars also.
010111004d	And God set them in the firmament of the heaven to give light upon the earth,
0101120075	and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.
010113003a	And there was evening and there was morning, a fourth day.
0101140099	And God said, Let the waters bring forth abundantly the moving creature that hath life, and let fowl fly above the earth in the open firmament of heaven.
01011500d0	And God created the great sea-monsters, and every living creature that moveth, which the waters brought forth abundantly, after their kinds, and every winged fowl after its kind: and God saw that it was good.
010116007d	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.
0101170039	And there was evening and there was morning, a fifth day.
010118009d	And God said, Let the earth bring forth the living creature after its kind, cattle, and creeping thing, and beast of the earth after its kind: and it was so.
01011900b0	And God made the beast of the earth after its kind, and the cattle after their kind, and every thing that creepeth upon the ground after its kind: and God saw that it was good.
01011a00fb	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.
01011b006a	And God created man in his own image, in the image of God created he him; male and female created he them.
01011c00f2	And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.
01011d00c9	And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat:
01011e00bf	and to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, [I have given] every green herb for meat: and it was so.
01011f0084	And God saw every thing that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
0102010045	And the heaven and the earth were finished, and all the host of them.
0102020085	And on the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made.
0102030080	And God blessed the seventh day, and hallowed it: because that in it he rested from all his work which God had created and made.
0102040084	These are the generations of the heaven and of the earth when they were created, in the day that the LORD God made earth and heaven.
01020500c2	And no plant of the field was yet in the earth, and no herb of the field had yet sprung up: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground;
0102060052	but there went up a mist from the earth, and watered the whole face of the ground.
0102070087	And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
0102080061	And the LORD God planted a garden eastward, in Eden; and there he put the man whom he had formed.
01020900ce	And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of the knowledge of good and evil.
01020a0067	And a river went out of Eden to water the garden; and from thence it was parted, and became four heads.
01020b006c	The name of the first is Pishon: that is it which compasseth the whole land of Havilah, where there is gold;
01020c0048	and the gold of that land is good: there is bdellium and the onyx stone.
01020d0061	And the name of the second river is Gihon: the same is it that compasseth the whole land of Cush.
01020e007b	And the name of the third river is Hiddekel: that is it which goeth in front of Assyria. And the fourth river is Euphrates.
01020f005e	And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.
010210005f	And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:
010211008b	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.
0102120069	And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.
01021300ec	And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto the man to see what he would call them: and whatsoever the man called every living creature, that was the name thereof.
0102140098	And the man gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for man there was not found an help meet for him.
010215008e	And the LORD God caused a deep sleep to fall upon the man, and he slept; and he took one of his ribs, and closed up the flesh instead thereof:
0102160066	and the rib, which the LORD God had taken from the man, made he a woman, and brought her unto the man.
0102170083	And the man said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.
0102180073	Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.
0102190045	And they were both naked, the man and his wife, and were not ashamed.
01030100b4	Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of any tree of the garden?
0103020058	And the woman said unto the serpent, Of the fruit of the trees of the garden we may eat:
0103030090	but of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.
010304003d	And the serpent said unto the woman, Ye shall not surely die:
0103050080	for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as God, knowing good and evil.
01030600fd	And when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of the fruit thereof, and did eat; and she gave also unto her husband with her, and he did eat.
010307008a	And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.
