0100000007	Genesis
010101002e	In the begynnynge God created heaven and erth.
0101020069	The erth was voyde and emptie ad darcknesse was vpon the depe and the spirite of god moved vpon the water
0101030038	Than God sayd: let there be lyghte and there was lyghte.
0101040054	And God sawe the lyghte that it was good: and devyded the lyghte from the darcknesse
0101050071	and called the lyghte daye and the darcknesse nyghte: and so of the evenynge and mornynge was made the fyrst daye
010106005f	And God sayd: let there be a fyrmament betwene the waters ad let it devyde the waters a sonder.
010107008e	Than God made the fyrmament and parted the waters which were vnder the fyrmament from the waters that were above the fyrmament: And it was so.
0101080061	And God called the fyrmament heaven And so of the evenynge and morninge was made the seconde daye
010109008c	And God sayd let the waters that are vnder heaven gather them selves vnto one place that the drye londe may appere: And it came so to passe.
01010a007d	And god called the drye lande the erth and the gatheringe togyther of waters called he the see. And God sawe that it was good
01010b00cc	And God sayd: let the erth bringe forth herbe and grasse that sowe seed and frutefull trees that bere frute every one in his kynde havynge their seed in them selves vpon the erth. And it came so to passe:
01010c00c2	ad the erth brought forth herbe and grasse sowenge seed every one in his kynde and trees berynge frute and havynge their seed in the selves every one in his kynde. And God sawe that it was good:
01010d003e	and the of the evenynge and mornynge was made the thyrde daye.
01010e0095	Than sayd God: let there be lyghtes in ye firmament of heaven to devyde the daye fro the nyghte that they may be vnto sygnes seasons days and yeares.
01010f0058	And let them be lyghtes in the fyrmament of heave to shyne vpon the erth. and so it was.
0101100080	And God made two great lyghtes A greater lyghte to rule the daye and a lesse lyghte to rule the nyghte and he made sterres also.
0101110042	And God put them in the fyrmament of heaven to shyne vpon the erth
0101120069	and to rule the daye and the nyghte ad to devyde the lyghte from darcknesse. And god sawe yt it was good:
010113003c	and so of the evenynge ad mornynge was made the fourth daye.
010114008c	And God sayd let the water bryng forth creatures that move and have lyfe and foules for to flee over the erth vnder the fyrmament of heaven.
01011500ca	And God created greate whalles and all maner of creatures that lyve and moue which the waters brought forth in their kindes ad all maner of federed foules in their kyndes. And God sawe that it was good:
010116007a	and God blessed them saynge. Growe and multiplye ad fyll the waters of the sees and let the foules multiplye vpo the erth.
010117003c	And so of the evenynge and morninge was made the fyfth daye.
010118009c	And God sayd: leth the erth bring forth lyvynge creatures in thir kyndes: catell and wormes and beastes of the erth in their kyndes and so it came to passe.
010119009f	And god made the beastes of the erth in their kyndes and catell in their kyndes ad all maner wormes of the erth in their kyndes: and God sawe that it was good.
01011a00ea	And God sayd: let vs make man in oure symilitude ad after oure lycknesse: that he may have rule over the fysh of the see and over the foules of the ayre and over catell and over all the erth and over all wormes that crepe on the erth.
01011b0073	And God created man after hys lycknesse after the lycknesse of god created he him: male and female created he them.
01011c00db	And God blessed them and God sayd vnto them. Growe and multiplye and fyll the erth and subdue it and have domynyon over the fysh of the see and over the foules of the ayre and over all the beastes that move on the erth.
01011d00a4	And God sayd: se I have geven yow all herbes that sowe seed which are on all the erth and all maner trees that haue frute in them and sowe seed: to be meate for yow
01011e00c5	and for all beastes of the erth and vnto all foules of the ayre and vnto all that crepeth on the erth where in is lyfe that they may haue all maner herbes and grasse for to eate and even so it was.
01011f0081	And God behelde al that he had made ad loo they were exceadynge good: and so of the evenynge and mornynge was made the syxth daye
0102010039	Thus was heave and erth fynished wyth all their apparell:
010202007d	ad i ye seueth daye god ended hys worke which he had made and rested in ye seventh daye fro all his workes which he had made.
0102030078	And God blessed ye seventh daye and sanctyfyed it for in it he rested from all his workes which he had created and made.
010204007a	These are the generations of heaven and erth when they were created in the tyme when the LORde God created heaven and erth
01020500dc	and all the shrubbes of the felde be fore they were in the erthe. And all the herbes of the felde before they sprange: for the LORde God had yet sent no rayne vpon the erth nether was there yet any man to tylle the erth.
010206004f	But there arose a myste out of the ground and watered all the face of the erth:
0102070089	Then the LORde God shope man even of the moulde of the erth and brethed into his face the breth of lyfe. So man was made a lyvynge soule.
010208006a	The LORde God also planted a garden in Eden from the begynnynge and there he sette man whom he had formed.
01020900d1	And the LORde God made to sprynge out of the erth all maner trees bewtyfull to the syghte and pleasant to eate and the tree of lyfe in the middes of the garden: and also the tree of knowlege of good and euell.
01020a007e	And there spronge a rever out of Eden to water the garden and thence devided it selfe and grewe in to foure principall waters.
01020b0062	The name of the one is Phison he it is that compasseth all the lande of heuila where gold groweth.
01020c0059	And the gold of that contre ys precious there is found bedellion and a stone called Onix.
01020d004e	The name of the seconde ryver is Gihon which compassyth all the lande of Inde.
01020e0080	And the name of the thyrde river is Hidekell which runneth on the easte syde of the assyryans And the fourth river is Euphrates.
01020f005a	And the LORde God toke Adam and put him in the garden of Eden to dresse it and to kepe it:
0102100053	and the LORde God comaunded Ada saynge: of all the trees of the garde se thou eate.
0102110081	But of the tre of knowlege of good and badd se that thou eate not: for even ye same daye thou eatest of it thou shalt surely dye.
010212006f	And the LORde God sayd: it is not good that man shulde be alone I will make hym an helper to beare him company:
01021300ed	And after yt the LORde God had make of the erth all maner beastes of the felde and all maner foules of the ayre he brought them vnto Adam to see what he wold call them. And as Ada called all maner livynge beastes: eve so are their names.
01021400b0	And Adam gave names vnto all maner catell and vnto the foules of the ayre and vnto all maner beastes of the felde. But there was no helpe founde vnto Adam to beare him companye
0102150097	Then the LORde God cast a slomber on Adam and he slepte. And then he toke out one of his rybbes and in stede ther of he fylled vp the place with flesh.
010216005f	And the LORde God made of the rybbe which he toke out of Adam a woma and brought her vnto Adam.
0102170080	Then sayd Ada this is once bone of my boones and flesh of my flesh. This shall be called woman: because she was take of the man.
0102180066	For this cause shall a man leve father and mother and cleve vnto his wyfe and they shall be one flesh.
010219004d	And they were ether of them naked both Adam and hys wyfe ad were not ashamed:
01030100c1	But the serpent was sotyller than all the beastes of the felde which ye LORde God had made and sayd vnto the woman. Ah syr that God hath sayd ye shall not eate of all maner trees in the garden.
0103020057	And the woman sayd vnto the serpent of the frute of the trees in the garden we may eate
0103030087	but of the frute of the tree yt is in the myddes of the garden (sayd God) se that ye eate not and se that ye touch it not: lest ye dye.
010304003c	Then sayd the serpent vnto the woman: tush ye shall not dye:
0103050089	But God doth knowe that whensoever ye shulde eate of it youre eyes shuld be opened and ye shulde be as God and knowe both good and evell.
01030600cb	And the woman sawe that it was a good tree to eate of and lustie vnto the eyes and a pleasant tre for to make wyse. And toke of the frute of it and ate and gaue vnto hir husband also with her and he ate.
010307008f	And the eyes of both them were opened that they vnderstode how that they were naked. Than they sowed fygge leves togedder and made them apurns.
01030800c3	And they herd the voyce of the LORde God as he walked in the garde in the coole of the daye. And Adam hyd hymselfe and his wyfe also from the face of the LORde God amonge the trees of the garden.
010309003f	And the LORde God called Adam and sayd vnto him where art thou?
01030a006f	And he answered. Thy voyce I harde in the garden but I was afrayd because I was naked and therfore hyd myselfe.
01030b007c	And he sayd: who told the that thou wast naked? hast thou eaten of the tree of which I bade the that thou shuldest not eate?
01030c0063	And Adam answered. The woman which thou gavest to bere me company she toke me of the tree ad I ate.
01030d0079	And the LORde God sayd vnto the woman: wherfore didest thou so? And the woman answered the serpent deceaved me and I ate.
01030e00d2	And the LORde God sayd vnto the serpet because thou haste so done moste cursed be thou of all catell and of all beastes of the feld: vppo thy bely shalt thou goo: and erth shalt thou eate all dayes of thy lyfe.
01030f00a5	Morover I will put hatred betwene the and the woman and betwene thy seed and hyr seed. And that seed shall tread the on the heed ad thou shalt tread hit on the hele.
01031000c4	And vnto the woman he sayd: I will suerly encrease thy sorow ad make the oft with child and with payne shalt thou be deleverd: And thy lustes shall pertayne vnto thy husbond and he shall rule the.
01031100f8	And vnto Ada he sayd: for as moch as thou hast obeyed the voyce of thy wyfe and hast eaten of the tree of which I commaunded the saynge: se thou eate not therof: cursed be the erth for thy sake. In sorow shalt thou eate therof all dayes of thy lyfe
010312005b	And it shall beare thornes ad thystels vnto the. And thou shalt eate the herbes of ye feld:
0103130099	In the swete of thy face shalt thou eate brede vntill thou returne vnto the erth whece thou wast take: for erth thou art ad vnto erth shalt thou returne.
010314004a	And Ada called his wyfe Heua because she was the mother of all that lyveth
0103150053	And the LORde God made Adam and hys wyfe garmentes of skynnes and put them on them.
01031600be	And the LORde God sayd: loo Adam is become as it were one of vs in knowlege of good and evell. But now lest he strech forth his hand and take also of the tree of lyfe and eate and lyve ever.
010317005a	And the LORde God cast him out of the garden of Eden to tylle the erth whece he was taken.
0103180095	And he cast Ada out and sette at ye enteringe of the garden Eden Cherubin with a naked swerde movinge in and out to kepe the way to the tree of lyfe.
0104010066	And Adam lay wyth Heua ys wyfe which conceaved and bare Cain and sayd: I haue goten a ma of the LORde.
010402006a	And she proceded forth and bare hys brother Abell: And Abell became a sheperde And Cain became a ploweman.
010403006c	And it fortuned in processe of tyme that Cain brought of the frute of the erth: an offerynge vnto the LORde.
0104040086	And Abell he brought also of the fyrstlynges of hys shepe and of the fatt of them. And the LORde loked vnto Abell and to his offeynge:
010405005d	but vnto Cain and vnto his offrynge looked he not. And Cain was wroth exceadingly and loured.
0104060080	And the LORde sayd vnto Cain: why art thou angry and why loureste thou? Wotest thou not yf thou dost well thou shalt receave it?
0104070087	But and yf thou dost evell by and by thy synne lyeth open in the dore. Not withstondyng let it be subdued vnto the ad see thou rule it.
010408007f	And Cain talked wyth Abell his brother. And as soone as they were in the feldes Cain fell vppon Abell his brother and slewe hym
010409006c	And ye LORde sayd vnto Cain: where is Abell thy brother? And he sayd: I can not tell am I my brothers keper?
01040a0061	And he sayd: What hast thou done? the voyce of thy brothers bloud cryeth vnto me out of the erth.
01040b0075	And now cursed be thou as pertaynyng to the erth which opened hyr mouth to receaue thy brothers bloud of thyne hande.
01040c008b	For when thou tyllest the grounde she shall heceforth not geve hyr power vnto the. A vagabunde and a rennagate shalt thou be vpon the erth.
01040d004f	And Cain sayd vnto the LORde: my synne is greater then that it may be forgeven.
01040e00ca	Beholde thou castest me out thys day from of the face of the erth and fro thy syghte must I hyde my selfe ad I must be wandrynge and a vagabunde vpon the erth: Morover whosoever fyndeth me wyll kyll me,
01040f00a4	And the LORde sayd vnto hi Not so but whosoever sleyth Cain shalbe punyshed. vij. folde. And ye LORde put a marke vpo Cain that no ma yt founde hym shulde kyll hym.
0104100060	And Cain went out fro the face of the LORde and dwelt in the lande Nod on the east syde of Eden.
0104110096	And Cain laye wyth hys wyfe which conceaved and bare Henoch. And he was buyldinge a cyte and called the name of it after the name of hys sonne Henoch.
0104120069	And Henoch begat Irad. And Irad begat Mahuiael. And Mahuiael begat Mathusael. And Mathusael begat Lamech.
010413004a	And Lamech toke hym two wyves: the one was called Ada and the other Zilla.
010414004e	And Ada bare Iabal of whome came they that dwell in tentes ad possesse catell.
010415006a	And hys brothers name was Iubal: of hym came all that excercyse them selves on the harpe and on the organs
0104160090	And Zilla she also bare Tubalcain a worker in metall and a father of all that grave in brasse and yeron. And Tubalcains syster was called Naema.
