0100000007	Genesis
0101010036	In the beginning God created the heaven and the earth.
0101020090	And the earth was without form, and void; and darkness [was] upon the face of the deep: and the Spirit of God moved upon the face of the waters.
0101030036	And God said, Let there be light: and there was light.
0101040057	And God saw the light, that [it was] good: and God divided the light from the darkness.
0101050073	And God called the light Day, and the darkness he called Night: and the evening and the morning were the first day.
0101060070	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
0101070094	And God made the firmament; and divided the waters which [were] under the firmament from the waters which [were] above the firmament: and it was so.
0101080059	And God called the firmament Heaven: and the evening and the morning were the second day.
0101090077	And God said, Let the waters under the heaven be gathered into one place, and let the dry [land] appear: and it was so.
01010a0071	And God called the dry [land] Earth, and the collection of waters he called Seas: and God saw that it [was] good.
01010b00b4	And God said, Let the earth bring forth grass, the herb yielding seed, [and] the fruit-tree yielding fruit after its kind, whose seed [is] in itself, upon the earth: and it was so.
01010c00b4	And the earth brought forth grass, [and] herb yielding seed after its kind, and the tree yielding fruit, whose seed [was] in itself, after its kind: and God saw that it [was] good.
01010d0033	And the evening and the morning were the third day.
01010e00a8	And God said, Let there be lights in the firmament of the heaven, to divide the day from the night: and let them be for signs, and for seasons, and for days, and years.
01010f0067	And let them be for lights in the firmament of the heaven, to give light upon the earth: and it was so.
0101100083	And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: [he made] the stars also.
010111004e	And God set them in the firmament of the heaven, to give light upon the earth.
0101120078	And to rule over the day, and over the night, and to divide the light from the darkness: and God saw that it [was] good.
0101130034	And the evening and the morning were the fourth day.
01011400a0	And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl [that] may fly above the earth in the open firmament of heaven.
01011500c6	And God created great whales, and every living creature that moveth, which the waters brought forth abundantly after their kind, and every winged fowl after his kind: and God saw that [it was] good.
010116007d	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.
0101170033	And the evening and the morning were the fifth day.
01011800a6	And God said, Let the earth bring forth the living creature after his kind, cattle, and the creeping animal, and the beast of the earth after his kind: and it was so.
01011900ae	And God made the beast of the earth after his kind, and cattle after their kind, and every animal that creepeth upon the earth after his kind: and God saw that [it was] good.
01011a00fc	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping animal that creepeth upon the earth.
01011b006b	So God created man in his [own] image, in the image of God created he him; male and female created he them.
01011c00f1	And God blessed them, and God said to them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living animal that moveth upon the earth.
01011d00c8	And God said, Behold, I have given you every herb bearing seed, which [is] upon the face of all the earth, and every tree, in which [is] the fruit of a tree yielding seed; to you it shall be for food.
01011e00bd	And to every beast of the earth, and to every fowl of the air, and to every animal that creepeth upon the earth, in which [is] life, [I have given] every green herb for food: and it was so.
01011f007d	And God saw every thing that he had made, and behold, [it was] very good. And the evening and the morning were the sixth day.
0102010047	Thus the heavens and the earth were finished, and all the host of them.
0102020082	And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
0102030082	And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.
0102040090	These [are] the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens.
01020500cb	And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain on the earth, and [there was] not a man to till the ground.
0102060052	But there went up a mist from the earth, and watered the whole face of the ground.
0102070089	And the LORD God formed man [of] the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
0102080060	And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
01020900ca	And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.
01020a006c	And a river went out of Eden to water the garden: and from thence it was parted, and became into four heads.
01020b0064	The name of the first [is] Pison, which compasseth the whole land of Havilah, where [there is] gold;
01020c004c	And the gold of that land [is] good: there [is] bdellium and the onyx-stone.
01020d005d	And the name of the second river [is] Gihon: the same that compasseth the whole land of Cush.
01020e007d	And the name of the third river [is] Hiddekel: which floweth toward the east of Assyria. And the fourth river [is] Euphrates.
01020f0060	And the LORD God took the man, and put him into the garden of Eden, to dress it, and to keep it.
010210005f	And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:
0102110089	But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest of it thou shalt surely die.
010212006a	And the LORD God said, [It is] not good that the man should be alone: I will make him a help meet for him.
01021300e0	And out of the ground the LORD God formed every beast of the field, and every fowl of the air, and brought [them] to Adam to see what he would call them; and whatsoever Adam called every living creature, that [was] its name.
0102140096	And Adam gave names to all cattle, and to the fowls of the air, and to every beast of the field: but for Adam there was not found a help meet for him.
0102150088	And the LORD God caused a deep sleep to fall upon Adam, and he slept; and he took one of his ribs, and closed up the flesh in its place.
010216005e	And the rib, which the LORD God had taken from man, he made woman, and brought her to the man.
0102170082	And Adam said, This [is] now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of man.
0102180071	Therefore shall a man leave his father and his mother, and shall cleave to his wife: and they shall be one flesh.
0102190045	And they were both naked, the man and his wife, and were not ashamed.
01030100b4	Now the serpent was more subtil than any beast of the field which the LORD God had made: and he said to the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?
0103020056	And the woman said to the serpent, We may eat of the fruit of the trees of the garden:
0103030092	But of the fruit of the tree which [is] in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.
010304003b	And the serpent said to the woman, Ye shall not surely die:
0103050080	For God doth know, that in the day ye eat of it, then your eyes shall be opened: and ye shall be as gods, knowing good and evil.
01030600e1	And when the woman saw that the tree [was] good for food, and that it [was] pleasant to the eyes, and a tree to be desired to make [one] wise; she took of its fruit, and ate, and gave also to her husband with her, and he ate.
0103070090	And the eyes of them both were opened, and they knew that they [were] naked: and they sewed fig-leaves together, and made for themselves aprons.
01030800be	And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
0103090043	And the LORD God called to Adam, and said to him, Where [art] thou?
01030a0068	And he said, I heard thy voice in the garden: and I was afraid, because I [was] naked; and I hid myself.
01030b0086	And he said, Who told thee that thou [wast] naked? Hast thou eaten of the tree of which I commanded thee, that thou shouldest not eat?
01030c0062	And the man said, The woman, whom thou gavest [to be] with me, she gave me of the tree, and I ate.
01030d0081	And the LORD God said to the woman, What [is] this [that] thou hast done? And the woman said, The serpent beguiled me, and I ate.
01030e00da	And the LORD God said to the serpent, Because thou hast done this, thou [art] cursed above all cattle, and above every beast of the field: upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:
01030f008e	And I will put enmity between thee and the woman, and between thy seed and her seed: it shall bruise thy head, and thou shalt bruise his heel.
01031000be	To the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children: and thy desire [shall be] to thy husband, and he shall rule over thee.
0103110102	And to Adam he said, Because thou hast hearkened to the voice of thy wife, and hast eaten of the tree of which I commanded thee, saying, Thou shalt not eat of it: cursed [is] the ground for thy sake; in sorrow shalt thou eat [of] it all the days of thy life;
0103120060	Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
01031300a7	In the sweat of thy face shalt thou eat bread, till thou shalt return to the ground; for out of it wast thou taken: for dust thou [art], and to dust shalt thou return.
010314004e	And Adam called his wife's name Eve, because she was the mother of all living.
0103150052	For Adam also and for his wife the LORD God made coats of skins, and clothed them.
01031600c2	And the LORD God said, Behold, the man hath become as one of us, to know good and evil. And now, lest he should put forth his hand, and take also of the tree of life, and eat, and live for ever:
010317006a	Therefore the LORD God sent him forth from the garden of Eden, to till the ground from which he was taken.
01031800a3	So he drove out the man: and he placed at the east of the garden of Eden Cherubim, and a flaming sword which turned every way, to keep the way of the tree of life.
010401006a	And Adam knew Eve his wife; and she conceived, and bore Cain, and said, I have gotten a man from the LORD.
0104020069	And she again bore his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.
010403006d	And in process of time it came to pass, that Cain brought of the fruit of the ground an offering to the LORD.
0104040088	And Abel, he also brought of the firstlings of his flock, and of the fat thereof. And the LORD had respect to Abel, and to his offering:
0104050066	But to Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.
0104060051	And the LORD said to Cain, Why art thou wroth? and why is thy countenance fallen?
01040700a3	If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And to thee [shall be] his desire, and thou shalt rule over him.
0104080091	And Cain talked with Abel his brother: and it came to pass when they were in the field, that Cain rose up against Abel his brother, and slew him.
010409006c	And the LORD said to Cain, Where [is] Abel thy brother? And he said, I know not: [Am] I my brother's keeper?
01040a0060	And he said, What hast thou done? the voice of thy brother's blood crieth to me from the ground.
01040b0073	And now [art] thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;
01040c0087	When thou tillest the ground, it shall not henceforth yield to thee its strength: A fugitive and a vagabond shalt thou be in the earth.
01040d0046	And Cain said to the LORD, My punishment [is] greater than I can bear.
01040e00e2	Behold, thou hast driven me this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it will come to pass, [that] every one that findeth me will slay me.
01040f00ae	And the LORD said to him, Therefore whoever slayeth Cain, vengeance shall be taken on him seven-fold. And the lord set a mark upon Cain, lest any finding him should kill him.
0104100063	And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden.
0104110091	And Cain knew his wife, and she conceived, and bore Enoch: and he built a city, and called the name of the city, after the name of his son Enoch.
010412006e	And to Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
0104130063	And Lamech took to him two wives: the name of the one [was] Adah, and the name of the other Zillah.
