2800000007	Matthew
2801010044	The Genealogy of Jesus Christ, the son of David, the son of Abraham.
2801020051	Abraham was the father of Isaac; Isaac of Jacob; Jacob of Judah and his brothers.
2801030053	Judah was the father (by Tamar) of Perez and Zerah; Perez of Hezron; Hezron of Ram;
280104003a	Ram of Amminadab; Amminadab of Nahshon; Nahshon of Salmon;
2801050041	Salmon (by Rahab) of Boaz; Boaz (by Ruth) of Obed; Obed of Jesse;
280106004d	Jesse of David--the King. David (by Uriah's widow) was the father of Solomon;
2801070037	Solomon of Rehoboam; Rehoboam of Abijah; Abijah of Asa;
280108003e	Asa of Jehoshaphat; Jehoshaphat of Jehoram; Jehoram of Uzziah;
2801090033	Uzziah of Jotham; Jotham of Ahaz; Ahaz of Hezekiah;
28010a0037	Hezekiah of Manasseh; Manasseh of Amon; Amon of Josiah;
28010b004c	Josiah of Jeconiah and his brothers at the period of the Removal to Babylon.
28010c0062	After the Removal to Babylon Jeconiah had a son Shealtiel; Shealtiel was the father of Zerubbabel;
28010d0037	Zerubbabel of Abiud; Abiud of Eliakim; Eliakim of Azor;
28010e002e	Azor of Zadok; Zadok of Achim; Achim of Eliud;
28010f0037	Eliud of Eleazar; Eleazar of Matthan; Matthan of Jacob;
280110005a	and Jacob of Joseph the husband of Mary, who was the mother of JESUS who is called CHRIST.
28011100af	There are therefore, in all, fourteen generations from Abraham to David; fourteen from David to the Removal to Babylon; and fourteen from the Removal to Babylon to the Christ.
28011200c6	The circumstances of the birth of Jesus Christ were these. After his mother Mary was betrothed to Joseph, before they were united in marriage, she was found to be with child through the Holy Spirit.
2801130094	But Joseph her husband, being a kind-hearted man and unwilling publicly to disgrace her, had determined to release her privately from the betrothal.
28011400d8	But while he was contemplating this step, an angel of the Lord appeared to him in a dream and said, "Joseph, son of David, do not be afraid to bring home your wife Mary, for she is with child through the Holy Spirit.
2801150078	She will give birth to a Son, and you are to call His name JESUS for He it is who will save His People from their sins."
2801160052	All this took place in fulfilment of what the Lord had spoken through the Prophet,
2801170090	"Mark! The maiden will be with child and will give birth to a son, and they will call His name Immanuel" --a word which signifies 'God with us'.
280118005c	When Joseph awoke, he did as the angel of the Lord had commanded, and brought home his wife,
280119005f	but did not live with her until she had given birth to a son. The child's name he called JESUS.
28020100b4	Now after the birth of Jesus, which took place at Bethlehem in Judaea in the reign of King Herod, excitement was produced in Jerusalem by the arrival of certain Magi from the east,
2802020082	inquiring, "Where is the newly born king of the Jews? For we have seen his Star in the east, and have come here to do him homage."
2802030069	Reports of this soon reached the king, and greatly agitated not only him but all the people of Jerusalem.
2802040079	So he assembled all the High Priests and Scribes of the people, and anxiously asked them where the Christ was to be born.
280205005e	"At Bethlehem in Judaea," they replied; "for so it stands written in the words of the Prophet,
28020600cc	"'And thou, Bethlehem in the land of Judah, by no means the least honorable art thou among princely places in Judah! For from thee shall come a prince--one who shall be the Shepherd of My People Israel.'"
280207006d	Thereupon Herod sent privately for the Magi and ascertained from them the exact time of the star's appearing.
28020800b3	He then directed them to go to Bethlehem, adding, "Go and make careful inquiry about the child, and when you have found him, bring me word, that I too may come and do him homage."
28020900ba	After hearing what the king said, they went to Bethlehem, while, strange to say, the star they had seen in the east led them on until it came and stood over the place where the babe was.
28020a003f	When they saw the star, the sight filled them with intense joy.
28020b00d1	So they entered the house; and when they saw the babe with His mother Mary, they prostrated themselves and did Him homage, and opening their treasure-chests offered gifts to Him--gold, frankincense, and myrrh.
28020c0073	But being forbidden by God in a dream to return to Herod, they went back to their own country by a different route.
28020d00fd	When they were gone, and angel of the Lord appeared to Joseph in a dream and said, "Rise: take the babe and His mother and escape to Egypt, and remain there till I bring you word. For Herod is about to make search for the child in order to destroy Him."
28020e005b	So Joseph roused himself and took the babe and His mother by night and departed into Egypt.
28020f0089	There he remained till Herod's death, that what the Lord had said through the Prophet might be fulfilled, "Out of Egypt I called My Son."
28021000ed	Then Herod, finding that the Magi had trifled with him, was furious, and sent and massacred all the boys under two years of age, in Bethlehem and all its neighbourhood, according to the date he had so carefully ascertained from the Magi.
2802110041	Then were these words, spoken by the Prophet Jeremiah, fulfilled,
280212009f	"A voice was heard in Ramah, wailing and bitter lamentation: It was Rachel bewailing her children, and she refused to be comforted because there were no more."
2802130065	But after Herod's death an angel of the Lord appeared in a dream to Joseph in Egypt, and said to him,
280214008b	"Rise from sleep, and take the child and His mother, and go into the land of Israel, for those who were seeking the child's life are dead."
2802150058	So he roused himself and took the child and His mother and came into the land of Israel.
28021600ae	But hearing that Archelaus had succeeded his father Herod on the throne of Judaea, he was afraid to go there; and being instructed by God in a dream he withdrew into Galilee,
280217009a	and went and settled in a town called Nazareth, in order that these words spoken through the Prophets might be fulfilled, "He shall be called a Nazarene."
2803010058	About this time John the Baptist made his appearance, preaching in the Desert of Judaea.
2803020049	"Repent," he said, "for the Kingdom of the Heavens is now close at hand."
28030300af	He it is who was spoken of through the Prophet Isaiah when he said, "The voice of one crying aloud, 'In the desert prepare ye a road for the Lord: make His highway straight.'"
2803040073	This man John wore a garment of camel's hair, and a loincloth of leather; and he lived upon locusts and wild honey.
2803050082	Then large numbers of people went out to him--people from Jerusalem and from all Judaea, and from the whole of the Jordan valley--
280306004d	and were baptized by him in the Jordan, making full confession of their sins.
2803070099	But when he saw many of the Pharisees and Sadducees coming for baptism, he exclaimed, "O vipers' brood, who has warned you to flee from the coming wrath?
2803080034	Therefore let your lives prove your change of heart;
28030900a7	and do not imagine that you can say to yourselves, 'We have Abraham as our forefather,' for I tell you that God can raise up descendants for Abraham from these stones.
28030a009f	And already the axe is lying at the root of the trees, so that every tree which does not produce good fruit will quickly be hewn down and thrown into the fire.
28030b00da	I indeed am baptizing you in water on a profession of repentance; but He who is coming after me is mightier than I: His sandals I am not worthy to carry for a moment; He will baptize you in the Holy Spirit and in fire.
28030c00bb	His winnowing-shovel is in His hand, and He will make a thorough clearance of His threshing-floor, gathering His wheat into the storehouse, but burning up the chaff in unquenchable fire."
28030d006b	Just at that time Jesus, coming from Galilee to the Jordan, presents Himself to John to be baptized by him.
28030e0061	John protested. "It is I," he said, "who have need to be baptized by you, and do you come to me?"
28030f0074	"Let it be so on this occasion," Jesus replied; "for so we ought to fulfil every religious duty." Then he consented;
28031000ae	and Jesus was baptized, and immediately went up from the water. At that moment the heavens opened, and he saw the Spirit of God descending like a dove and alighting upon Him,
2803110062	while a voice came from Heaven, saying, "This is My Son, the dearly loved, in whom is My delight."
2804010060	At that time Jesus was led up by the Spirit into the Desert in order to be tempted by the Devil.
2804020052	There He fasted for forty days and nights; and after that He suffered from hunger.
2804030064	So the Tempter came and said, "If you are the Son of God, command these stones to turn into loaves."
2804040078	"It is written," replied Jesus, "'It is not on bread alone that a man shall live, but on whatsoever God shall appoint.'"
280405005b	Then the Devil took Him to the Holy City and caused Him to stand on the roof of the Temple,
28040600ed	and said, "If you are God's Son, throw yourself down; for it is written, "'To His angels He will give orders concerning thee, and on their hands they shall bear thee up, lest at any moment thou shouldst strike thy foot against a stone.'"
280407005b	"Again it is written," replied Jesus, "'Thou shalt not put the Lord thy God to the proof.'"
2804080097	Then the Devil took Him to the top of an exceedingly lofty mountain, from which he caused Him to see all the Kingdoms of the world and their splendour,
2804090055	and said to Him, "All this I will give you, if you will kneel down and do me homage."
28040a008c	"Begone, Satan!" Jesus replied; "for it is written, 'To the Lord thy God thou shalt do homage, and to Him alone shalt thou render worship.'"
28040b004c	Thereupon the Devil left Him, and angels at once came and ministered to Him.
28040c0050	Now when Jesus heard that John was thrown into prison, He withdrew into Galilee,
28040d0073	and leaving Nazareth He went and settled at Capernaum, a town by the Lake on the frontiers of Zebulun and Naphtali,
28040e0051	in order that these words, spoken through the Prophet Isaiah, might be fulfilled,
28040f0071	"Zebulun's land and Naphtali's land; the road by the Lake; the country beyond the Jordan; Galilee of the Nations!
28041000a5	The people who were dwelling in darkness have seen a brilliant light; and on those who were dwelling in the region of the shadow of death, on them light has dawned."
280411006f	From that time Jesus began to preach. "Repent," He said, "for the Kingdom of the Heavens is now close at hand."
28041200ac	And walking along the shore of the Lake of Galilee He saw two brothers--Simon called Peter and his brother Andrew--throwing a drag-net into the Lake; for they were fishers.
280413004e	And He said to them, "Come and follow me, and I will make you fishers of men."
280414004c	So they immediately left their nets and followed Him. As He went further on,
2804150093	He saw two other brothers, James the son of Zabdi and his brother John, in the boat with their father Zabdi mending their nets; and He called them.
2804160042	And they at once left the boat and their father, and followed Him.
28041700b5	Then Jesus travelled through all Galilee, teaching in their synagogues and proclaiming the Good News of the Kingdom, and curing every kind of disease and infirmity among the people.
28041800c2	Thus His fame spread through all Syria; and they brought all the sick to Him, the people who were suffering from various diseases and pains--demoniacs, epileptics, paralytics; and He cured them.
2804190095	And great crowds followed Him, coming from Galilee, from the Ten Towns, from Jerusalem, and from beyond the district on the other side of the Jordan.
2805010074	Seeing the multitude of people, Jesus went up the Hill. There He seated Himself, and when His disciples came to Him,
2805020025	He proceeded to teach them, and said:
2805030050	"Blessed are the poor in spirit, for to them belongs the Kingdom of the Heavens.
2805040037	"Blessed are the mourners, for they shall be comforted.
280505004e	"Blessed are the meek, for they as heirs shall obtain possession of the earth.
2805060063	"Blessed are those who hunger and thirst for righteousness, for they shall be completely satisfied.
2805070042	"Blessed are the compassionate, for they shall receive compassion.
2805080037	"Blessed are the pure in heart, for they shall see God.
2805090053	"Blessed are the peacemakers, for it is they who will be recognized as sons of God.
28050a007c	"Blessed are those who have borne persecution in the cause of Righteousness, for to them belongs the Kingdom of the Heavens.
28050b007b	"Blessed are you when they have insulted and persecuted you, and have said every cruel thing about you falsely for my sake.
28050c0076	Be joyful and triumphant, because your reward is great in the Heavens; for so were the Prophets before you persecuted.
28050d00c3	"You are the salt of the earth; but if salt has become tasteless, in what way can it regain its saltness? It is no longer good for anything but to be thrown away and trodden on by the passers by.
28050e004c	You are the light of the world; a town cannot be hid if built on a hill-top.
28050f0072	Nor is a lamp lighted to be put under a bushel, but on the lampstand; and then it gives light to all in the house.
280510008b	Just so let your light shine before all men, in order that they may see your holy lives and may give glory to your Father who is in Heaven.
2805110096	"Do not for a moment suppose that I have come to abrogate the Law or the Prophets: I have not come to abrogate them but to give them their completion.
2805120091	Solemnly I tell you that until Heaven and earth pass away, not one iota or smallest detail will pass away from the Law until all has taken place.
28051300ff	Whoever therefore breaks one of these least commandments and teaches others to break them, will be called the least in the Kingdom of the Heavens; but whoever practises them and teaches them, he will be acknowledged as great in the Kingdom of the Heavens.
28051400ae	For I assure you that unless your righteousness greatly surpasses that of the Scribes and the Pharisees, you will certainly not find entrance into the Kingdom of the Heavens.
2805150092	"You have heard that it was said to the ancients, 'Thou shalt not commit murder', and whoever commits murder will be answerable to the magistrate.
2805160103	But I say to you that every one who becomes angry with his brother shall be answerable to the magistrate; that whoever says to his brother 'Raca,' shall be answerable to the Sanhedrin; and that whoever says, 'You fool!' shall be liable to the Gehenna of Fire.
2805170078	If therefore when you are offering your gift upon the altar, you remember that your brother has a grievance against you,
2805180088	leave your gift there before the altar, and go and make friends with your brother first, and then return and proceed to offer your gift.
2805190103	Come to terms without delay with your opponent while you are yet with him on the way to the court; for fear he should obtain judgement from the magistrate against you, and the magistrate should give you in custody to the officer and you be thrown into prison.
28051a0066	I solemnly tell you that you will certainly not be released till you have paid the very last farthing.
28051b0043	"You have heard that it was said, 'Thou shalt not commit adultery.'
28051c0086	But I tell you that whoever looks at a woman and cherishes lustful thoughts has already in his heart become guilty with regard to her.
28051d00d4	If therefore your eye, even the right eye, is a snare to you, tear it out and away with it; it is better for you that one member should be destroyed rather than that your whole body should be thrown into Gehenna.
28051e00b8	And if your right hand is a snare to you, cut it off and away with it; it is better for you that one member should be destroyed rather than that your whole body should go into Gehenna.
28051f0061	"It was also said, 'If any man puts away his wife, let him give her a written notice of divorce.'
28052000b5	But I tell you that every man who puts away his wife except on the ground of unfaithfulness causes her to commit adultery, and whoever marries her when so divorced commits adultery.
2805210080	"Again, you have heard that it was said to the ancients, 'Thou shalt not swear falsely, but shalt perform thy vows to the Lord.'
280522004e	But I tell you not to swear at all; neither by Heaven, for it is God's throne;
2805230071	nor by the earth, for it is the footstool under His feet; nor by Jerusalem, for it is the City of the Great King.
280524004b	And do not swear by your head, for you cannot make one hair white or black.
2805250066	But let your language be, 'Yes, yes,' or 'No, no.' Anything in excess of this comes from the Evil one.
2805260041	"You have heard that it was said, 'Eye for eye, tooth for tooth.'
2805270078	But I tell you not to resist a wicked man, but if any one strikes you on the right cheek, turn the other to him as well.
2805280073	If any one wishes to go to law with you and to deprive you of your under garment, let him take your outer one also.
280529004b	And whoever shall compel you to convey his goods one mile, go with him two.
28052a0040	To him who asks, give: from him who would borrow, turn not away.
28052b0057	"You have heard that it was said, 'Thou shalt love thy neighbour and hate thine enemy.'
28052c0048	But I command you all, love your enemies, and pray for your persecutors;
28052d00ba	that so you may become true sons of your Father in Heaven; for He causes His sun to rise on the wicked as well as the good, and sends rain upon those who do right and those who do wrong.
28052e006c	For if you love only those who love you, what reward have you earned? Do not even the tax-gatherers do that?
28052f006c	And if you salute only your near relatives, what praise is due to you? Do not even the Gentiles do the same?
2805300050	You however are to be complete in goodness, as your Heavenly Father is complete.
28060100a4	"But beware of doing your good actions in the sight of men, in order to attract their gaze; if you do, there is no reward for you with your Father who is in Heaven.
28060200d6	'When you give in charity, never blow a trumpet before you as the hypocrites do in the synagogues and streets in order that their praises may be sung by men. I solemnly tell you that they already have their reward.
2806030062	But when you are giving in charity, let not your left hand perceive what your right hand is doing,
2806040067	that your charities may be in secret; and then your Father--He who sees in secret--will recompense you.
28060500f0	"And when praying, you must not be like the hypocrites. They are fond of standing and praying in the synagogues or at the corners of the wider streets, in order that men may see them. I solemnly tell you that they already have their reward.
28060600ac	But you, whenever you pray, go into your own room and shut the door: then pray to your Father who is in secret, and your Father--He who sees in secret--will recompense you.
280607008d	"And when praying, do not use needless repetitions as the Gentiles do, for they expect to be listened to because of their multitude of words.
2806080062	Do not, however, imitate them; for your Father knows what things you need before ever you ask Him.
