0100000007	Genesis
0101010038	In the beginning, God created the heavens and the earth.
0101020089	The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.
0101030038	God said, “Let there be light,” and there was light.
0101040055	God saw the light, and saw that it was good. God divided the light from the darkness.
010105007f	God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day.
0101060072	God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”
0101070086	God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.
0101080058	God called the expanse “sky”. There was evening and there was morning, a second day.
010109007b	God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so.
01010a007d	God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good.
01010b00a5	God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;” and it was so.
01010c009f	The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good.
01010d0035	There was evening and there was morning, a third day.
01010e0098	God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;
01010f0062	and let them be for lights in the expanse of the sky to give light on the earth;” and it was so.
0101100081	God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.
0101110042	God set them in the expanse of the sky to give light to the earth,
0101120071	and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.
0101130036	There was evening and there was morning, a fourth day.
010114007e	God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.”
01011500ba	God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.
0101160080	God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”
0101170035	There was evening and there was morning, a fifth day.
010118009e	God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so.
01011900aa	God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.
01011a00fa	God said, “Let’s make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”
01011b0063	God created man in his own image. In God’s image he created him; male and female he created them.
01011c00d7	God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.”
01011d00b0	God said, “Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.
01011e00b9	To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so.
01011f0079	God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.
010201003f	The heavens, the earth, and all their vast array were finished.
0102020081	On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.
0102030077	God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.
010204009b	This is the history of the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens.
01020500b8	No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for the LORD God had not caused it to rain on the earth. There was not a man to till the ground,
010206004f	but a mist went up from the earth, and watered the whole surface of the ground.
0102070085	The LORD God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
010208005d	The LORD God planted a garden eastward, in Eden, and there he put the man whom he had formed.
01020900cf	Out of the ground the LORD God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.
01020a0071	A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.
01020b0061	The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;
01020c004a	and the gold of that land is good. Bdellium and onyx stone are also there.
01020d0066	The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.
01020e007c	The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.
01020f0058	The LORD God took the man, and put him into the garden of Eden to cultivate and keep it.
010210005a	The LORD God commanded the man, saying, “You may freely eat of every tree of the garden;
010211007f	but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”
010212006c	The LORD God said, “It is not good for the man to be alone. I will make him a helper comparable to him.”
01021300d6	Out of the ground the LORD God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name.
010214009f	The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him.
0102150087	The LORD God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place.
0102160063	The LORD God made a woman from the rib which he had taken from the man, and brought her to the man.
010217008a	The man said, “This is now bone of my bones, and flesh of my flesh. She will be called ‘woman,’ because she was taken out of Man.”
010218006e	Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.
0102190040	The man and his wife were both naked, and they were not ashamed.
01030100bd	Now the serpent was more subtle than any animal of the field which the LORD God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden’?”
0103020050	The woman said to the serpent, “We may eat fruit from the trees of the garden,
0103030099	but not the fruit of the tree which is in the middle of the garden. God has said, ‘You shall not eat of it. You shall not touch it, lest you die.’”
0103040039	The serpent said to the woman, “You won’t really die,
0103050077	for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.”
01030600f5	When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate. Then she gave some to her husband with her, and he ate it, too.
0103070083	Their eyes were opened, and they both knew that they were naked. They sewed fig leaves together, and made coverings for themselves.
01030800ba	They heard the LORD God’s voice walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
0103090045	The LORD God called to the man, and said to him, “Where are you?”
01030a006d	The man said, “I heard your voice in the garden, and I was afraid, because I was naked; so I hid myself.”
01030b0074	God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”
01030c0069	The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”
01030d0073	The LORD God said to the woman, “What have you done?” The woman said, “The serpent deceived me, and I ate.”
01030e00d6	The LORD God said to the serpent, “Because you have done this, you are cursed above all livestock, and above every animal of the field. You shall go on your belly and you shall eat dust all the days of your life.
01030f0098	I will put hostility between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.”
01031000ad	To the woman he said, “I will greatly multiply your pain in childbirth. You will bear children in pain. Your desire will be for your husband, and he will rule over you.”
010311010c	To Adam he said, “Because you have listened to your wife’s voice, and have eaten from the tree, about which I commanded you, saying, ‘You shall not eat of it,’ the ground is cursed for your sake. You will eat from it with much labour all the days of your life.
0103120051	It will yield thorns and thistles to you; and you will eat the herb of the field.
010313009d	You will eat bread by the sweat of your face until you return to the ground, for you were taken out of it. For you are dust, and you shall return to dust.”
010314004e	The man called his wife Eve because she would be the mother of all the living.
0103150057	The LORD God made garments of animal skins for Adam and for his wife, and clothed them.
01031600bb	The LORD God said, “Behold, the man has become like one of us, knowing good and evil. Now, lest he reach out his hand, and also take of the tree of life, and eat, and live forever—”
0103170068	Therefore the LORD God sent him out from the garden of Eden, to till the ground from which he was taken.
01031800a4	So he drove out the man; and he placed cherubim at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of life.
010401007d	The man knew Eve his wife. She conceived, and gave birth to Cain, and said, “I have gotten a man with the LORD’s help.”
0104020070	Again she gave birth, to Cain’s brother Abel. Abel was a keeper of sheep, but Cain was a tiller of the ground.
0104030052	As time passed, Cain brought an offering to the LORD from the fruit of the ground.
010404006e	Abel also brought some of the firstborn of his flock and of its fat. The LORD respected Abel and his offering,
0104050068	but he didn’t respect Cain and his offering. Cain was very angry, and the expression on his face fell.
0104060058	The LORD said to Cain, “Why are you angry? Why has the expression of your face fallen?
0104070091	If you do well, won’t it be lifted up? If you don’t do well, sin crouches at the door. Its desire is for you, but you are to rule over it.”
0104080096	Cain said to Abel, his brother, “Let’s go into the field.” While they were in the field, Cain rose up against Abel, his brother, and killed him.
0104090074	The LORD said to Cain, “Where is Abel, your brother?” He said, “I don’t know. Am I my brother’s keeper?”
01040a0066	The LORD said, “What have you done? The voice of your brother’s blood cries to me from the ground.
01040b0076	Now you are cursed because of the ground, which has opened its mouth to receive your brother’s blood from your hand.
01040c0083	From now on, when you till the ground, it won’t yield its strength to you. You will be a fugitive and a wanderer in the earth.”
01040d0043	Cain said to the LORD, “My punishment is greater than I can bear.
01040e00bd	Behold, you have driven me out today from the surface of the ground. I will be hidden from your face, and I will be a fugitive and a wanderer in the earth. Whoever finds me will kill me.”
01040f00b8	The LORD said to him, “Therefore whoever slays Cain, vengeance will be taken on him sevenfold.” The LORD appointed a sign for Cain, so that anyone finding him would not strike him.
010410004c	Cain left the LORD’s presence, and lived in the land of Nod, east of Eden.
0104110081	Cain knew his wife. She conceived, and gave birth to Enoch. He built a city, and named the city after the name of his son, Enoch.
010412008d	Irad was born to Enoch. Irad became the father of Mehujael. Mehujael became the father of Methushael. Methushael became the father of Lamech.
0104130065	Lamech took two wives: the name of the first one was Adah, and the name of the second one was Zillah.
010414005c	Adah gave birth to Jabal, who was the father of those who dwell in tents and have livestock.
0104150057	His brother’s name was Jubal, who was the father of all who handle the harp and pipe.
0104160082	Zillah also gave birth to Tubal Cain, the forger of every cutting instrument of bronze and iron. Tubal Cain’s sister was Naamah.
01041700ab	Lamech said to his wives, “Adah and Zillah, hear my voice. You wives of Lamech, listen to my speech, for I have slain a man for wounding me, a young man for bruising me.
0104180049	If Cain will be avenged seven times, truly Lamech seventy-seven times.”
010419009d	Adam knew his wife again. She gave birth to a son, and named him Seth, saying, “for God has given me another child instead of Abel, for Cain killed him.”
01041a0069	A son was also born to Seth, and he named him Enosh. At that time men began to call on the LORD’s name.
010501006e	This is the book of the generations of Adam. In the day that God created man, he made him in God’s likeness.
0105020064	He created them male and female, and blessed them. On the day they were created, he named them Adam.
0105030081	Adam lived one hundred and thirty years, and became the father of a son in his own likeness, after his image, and named him Seth.
0105040083	The days of Adam after he became the father of Seth were eight hundred years, and he became the father of other sons and daughters.
010505004e	All the days that Adam lived were nine hundred and thirty years, then he died.
0105060047	Seth lived one hundred and five years, then became the father of Enosh.
0105070080	Seth lived after he became the father of Enosh eight hundred and seven years, and became the father of other sons and daughters.
0105080049	All of the days of Seth were nine hundred and twelve years, then he died.
0105090039	Enosh lived ninety years, and became the father of Kenan.
01050a0083	Enosh lived after he became the father of Kenan eight hundred and fifteen years, and became the father of other sons and daughters.
01050b0048	All of the days of Enosh were nine hundred and five years, then he died.
01050c003f	Kenan lived seventy years, then became the father of Mahalalel.
01050d0084	Kenan lived after he became the father of Mahalalel eight hundred and forty years, and became the father of other sons and daughters
01050e004b	and all of the days of Kenan were nine hundred and ten years, then he died.
01050f0042	Mahalalel lived sixty-five years, then became the father of Jared.
0105100086	Mahalalel lived after he became the father of Jared eight hundred and thirty years, and became the father of other sons and daughters.
0105110054	All of the days of Mahalalel were eight hundred and ninety-five years, then he died.
010512004d	Jared lived one hundred and sixty-two years, then became the father of Enoch.
0105130077	Jared lived after he became the father of Enoch eight hundred years, and became the father of other sons and daughters.
010514004d	All of the days of Jared were nine hundred and sixty-two years, then he died.
0105150043	Enoch lived sixty-five years, then became the father of Methuselah.
010516007c	After Methuselah’s birth, Enoch walked with God for three hundred years, and became the father of more sons and daughters.
010517003e	All the days of Enoch were three hundred and sixty-five years.
010518003e	Enoch walked with God, and he was not found, for God took him.
0105190056	Methuselah lived one hundred and eighty-seven years, then became the father of Lamech.
01051a008c	Methuselah lived after he became the father of Lamech seven hundred and eighty-two years, and became the father of other sons and daughters.
01051b0050	All the days of Methuselah were nine hundred and sixty-nine years, then he died.
01051c004f	Lamech lived one hundred and eighty-two years, then became the father of a son.
01051d0093	He named him Noah, saying, “This one will comfort us in our work and in the toil of our hands, caused by the ground which the LORD has cursed.”
01051e0086	Lamech lived after he became the father of Noah five hundred and ninety-five years, and became the father of other sons and daughters.
01051f0050	All the days of Lamech were seven hundred and seventy-seven years, then he died.
0105200057	Noah was five hundred years old, then Noah became the father of Shem, Ham, and Japheth.
0106010059	When men began to multiply on the surface of the ground, and daughters were born to them,
0106020073	God’s sons saw that men’s daughters were beautiful, and they took any that they wanted for themselves as wives.
010603008c	The LORD said, “My Spirit will not strive with man forever, because he also is flesh; so his days will be one hundred and twenty years.”
