0100000007	Genesis
0101010034	In the bigynnyng God made of nouyt heuene and erthe.
0101020086	Forsothe the erthe was idel and voide, and derknessis weren on the face of depthe; and the Spiryt of the Lord was borun on the watris.
010103002f	And God seide, Liyt be maad, and liyt was maad.
0101040052	And God seiy the liyt, that it was good, and he departide the liyt fro derknessis,
0101050066	and he clepide the liyt, dai, and the derknessis, nyyt. And the euentid and morwetid was maad, o daie.
010106005c	And God seide, The firmament be maad in the myddis of watris, and departe watris fro watris.
0101070094	And God made the firmament, and departide the watris that weren vndur the firmament fro these watris that weren on the firmament; and it was don so.
010108005f	And God clepide the firmament, heuene. And the euentid and morwetid was maad, the secounde dai.
010109007d	Forsothe God seide, The watris, that ben vndur heuene, be gaderid in to o place, and a drie place appere; and it was doon so.
01010a0080	And God clepide the drie place, erthe; and he clepide the gadryngis togidere of watris, the sees. And God seiy that it was good;
01010b00a0	and seide, The erthe brynge forth greene eerbe and makynge seed, and appil tre makynge fruyt bi his kynde, whos seed be in it silf on erthe; and it was doon so.
01010c00a1	And the erthe brouyte forth greene erbe and makynge seed bi his kynde, and a tre makynge fruyt, and ech hauynge seed by his kynde. And God seiy that it was good.
01010d0037	And the euentid and morwetid was maad, the thridde dai.
01010e009b	Forsothe God seide, Liytis be maad in the firmament of heuene, and departe tho the dai and niyt; and be tho in to signes, and tymes, and daies, and yeeris;
01010f0057	and shyne tho in the firmament of heuene, and liytne tho the erthe; and it was doon so.
0101100090	And God made twei grete liytis, the gretter liyt that it schulde be bifore to the dai, and the lesse liyt that it schulde be bifore to the niyt;
0101110064	and God made sterris; and settide tho in the firmament of heuene, that tho schulden schyne on erthe,
010112007c	and that tho schulden be bifore to the dai and nyyt, and schulden departe liyt and derknesse. And God seiy that it was good.
010113003b	And the euentid and the morwetid was maad, the fourthe dai.
010114008a	Also God seide, The watris brynge forth a `crepynge beeste of lyuynge soule, and a brid fleynge aboue erthe vndur the firmament of heuene.
01011500cc	And God made of nouyt grete whallis, and ech lyuynge soule and mouable, whiche the watris han brouyt forth in to her kyndis; and God made of nouyt ech volatile bi his kynde. And God seiy that it was good;
0101160083	and blesside hem, and seide, Wexe ye, and be ye multiplied, and fille ye the watris of the see, and briddis be multiplied on erthe.
010117003b	And the euentid and the morwetid was maad, the fyuethe dai.
01011800ab	And God seide, The erthe brynge forth a lyuynge soul in his kynde, werk beestis, and `crepynge beestis, and vnresonable beestis of erthe, bi her kyndis; and it was don so.
01011900a4	And God made vnresonable beestis of erthe bi her kyndes, and werk beestis, `and ech crepynge beeste of erthe in his kynde. And God seiy that it was good; and seide,
01011a00e4	Make we man to oure ymage and liknesse, and be he souereyn to the fischis of the see, and to the volatilis of heuene, and to vnresonable beestis of erthe, and to ech creature, and to ech `crepynge beest, which is moued in erthe.
01011b008c	And God made of nouyt a man to his ymage and liknesse; God made of nouyt a man, to the ymage of God; God made of nouyt hem, male and female.
01011c00eb	And God blesside hem, and seide, Encreesse ye, and be ye multiplied, and fille ye the erthe, and make ye it suget, and be ye lordis to fischis of the see, and to volatilis of heuene, and to alle lyuynge beestis that ben moued on erthe.
01011d00a0	And God seide, Lo! Y haue youe to you ech eerbe berynge seed on erthe, and alle trees that han in hem silf the seed of her kynde, that tho be in to mete to you;
01011e00b9	and to alle lyuynge beestis of erthe, and to ech brid of heuene, and to alle thingis that ben moued in erthe, and in whiche is a lyuynge soule, that tho haue to ete; and it was doon so.
01011f0078	And God seiy alle thingis whiche he made, and tho weren ful goode. And the euentid and morwetid was maad, the sixte day.
0102010047	Therfor heuenes and erthe ben maad perfit, and al the ournement of tho.
0102020083	And God fillide in the seuenthe dai his werk which he made; and he restide in the seuenthe dai fro al his werk which he hadde maad;
010203008c	and he blesside the seuenthe dai, and halewide it; for in that dai God ceesside of al his werk which he made of nouyt, that he schulde make.
010204006a	These ben the generaciouns of heuene and of erthe, in the day wherynne the Lord God made heuene and erthe,
01020500c8	and ech litil tre of erthe bifore that it sprong out in erthe; and he made ech erbe of the feeld bifore that it buriownede. For the Lord God had not reyned on erthe, and no man was that wrouyte erthe;
010206004e	but a welle stiede out of the erthe, and moistide al the hiyere part of erthe.
0102070091	Therfor the Lord God formede man of the sliym of erthe, and brethide in to his face the brething of lijf; and man was maad in to a lyuynge soule.
0102080071	Forsothe the Lord God plauntide at the bigynnyng paradis of likyng, wherynne he settide man whom he hadde formed.
01020900bf	And the Lord God brouyte forth of the erthe ech tre fair in siyt, and swete to ete; also he brouyte forth the tre of lijf in the middis of paradis, and the tre of kunnyng of good and of yuel.
01020a0077	And a ryuer yede out fro the place of likyng to moyste paradis, which ryuer is departid fro thennus in to foure heedis.
01020b006f	The name of the o ryuer is Fyson, thilke it is that cumpassith al the lond of Euilath, where gold cometh forth,
01020c0078	and the gold of that lond is the beste, and there is foundun delium, that is, a tree of spicerie, and the stoon onychyn;
01020d0062	and the name to the secounde ryuer is Gyon, thilke it is that cumpassith al the loond of Ethiopie;
01020e007d	forsothe the name of the thridde ryuer is Tigris, thilke goith ayens Assiriens; sotheli the fourthe ryuer is thilke Eufrates.
01020f0068	Therfor the Lord God took man, and settide hym in paradis of likyng, that he schulde worche and kepe it.
0102100044	And God comaundide to hym and seide, Ete thou of ech tre of paradis;
0102110088	forsothe ete thou not of the tre of kunnyng of good and of yuel; for in what euere dai thou schalt ete therof, thou schalt die bi deeth.
0102120065	And the Lord God seide, It is not good that a man be aloone, make we to hym an help lijk to hym silf.
0102130100	Therfor whanne alle lyuynge beestis of erthe, and alle the volatils of heuene weren formed of erthe, the Lord God brouyte tho to Adam, that he schulde se what he schulde clepe tho; for al thing that Adam clepide of lyuynge soule, thilke is the name therof.
01021400a3	And Adam clepide bi her names alle lyuynge thingis, and alle volatils, and alle vnresonable beestis of erthe. Forsothe to Adam was not foundun an helpere lijk hym.
010215007c	Therfore the Lord God sente sleep in to Adam, and whanne he slepte, God took oon of hise ribbis, and fillide fleisch for it.
0102160066	And the Lord God bildide the rib which he hadde take fro Adam in to a womman, and brouyte hir to Adam.
0102170082	And Adam seide, This is now a boon of my boonys, and fleisch of my fleisch; this schal be clepid virago, `for she is takun of man.
0102180072	Wherfor a man schal forsake fadir and modir, and schal cleue to his wijf, and thei schulen be tweyne in o fleisch.
0102190058	Forsothe euer eithir was nakid, that is, Adam and his wijf, and thei weren not aschamed.
01030100d0	But and the serpent was feller than alle lyuynge beestis of erthe, whiche the Lord God hadde maad. Which serpent seide to the womman, Why comaundide God to you, that ye schulden not ete of ech tre of paradis?
010302004f	To whom the womman answerde, We eten of the fruyt of trees that ben in paradis;
01030300b3	sothely God commaundide to vs, that we schulden not eate of the fruyt of the tre, which is in the myddis of paradijs, and that we schulden not touche it, lest perauenture we dien.
0103040046	Forsothe the serpent seide to the womman, ye schulen not die bi deeth;
0103050091	for whi God woot that in what euere dai ye schulen ete therof, youre iyen schulen be opened, and ye schulen be as Goddis, knowynge good and yuel.
01030600c6	Therfore the womman seiy that the tre was good, and swete to ete, and fair to the iyen, and delitable in bi holdyng; and sche took of the fruyt therof, and eet, and yaf to hir hosebande, and he eet.
0103070096	And the iyen of bothe weren openid; and whanne thei knowen that thei weren nakid, thei sewden the leeues of a fige tre, and maden brechis to hem silf.
01030800bc	And whanne thei herden the vois of the Lord God goynge in paradijs at the wynd after myddai, Adam and his wijf hidden hem fro the face of the Lord God in the middis of the tre of paradijs.
0103090040	And the Lord God clepide Adam, and seide to hym, Where art thou?
01030a005b	And Adam seide, Y herde thi vois in paradijs, and Y drede, for Y was nakid, and Y hidde me.
01030b00aa	To whom the Lord seide, Who forsothe schewide to thee that thou were nakid, no but for thou hast ete of the tre of which Y comaundide to thee that thou schuldist not ete?
01030c0058	And Adam seide, The womman which thou yauest felowe to me, yaf me of the tre, and Y eet.
01030d0072	And the Lord seide to the womman, Whi didist thou this thing? Which answerde, The serpent disseyued me, and Y eet.
01030e00e1	And the Lord God seide to the serpent, For thou didist this, thou schalt be cursid among alle lyuynge thingis and vnresonable beestis of erthe; thou schalt go on thi brest, and thou schalt ete erthe in alle daies of thi liif;
01030f009e	Y schal sette enemytees bitwixe thee and the womman, and bitwixe thi seed and hir seed; sche schal breke thin heed, and thou schalt sette aspies to hir heele.
01031000d0	Also God seide to the womman, Y schal multiplie thi wretchidnessis and thi conseyuyngis; in sorewe thou schalt bere thi children; and thou schalt be vndur power of the hosebonde, and he schal be lord of thee.
01031100fc	Sothely God seyde to Adam, For thou herdist the voys of thi wijf, and hast ete of the tree, of which Y comaundide to thee that thou schuldist not ete, the erthe schal be cursid in thi werk; in traueylis thou schalt ete therof in alle daies of thi lijf;
010312005a	it schal brynge forth thornes and breris to thee, and thou schalt ete eerbis of the erthe;
01031300a7	in swoot of thi cheer thou schalt ete thi breed, til thou turne ayen in to the erthe of which thou art takun; for thou art dust, and thou schalt turne ayen in to dust.
0103140056	And Adam clepide the name of his wijf Eue, for sche was the moder of alle men lyuynge.
0103150062	And the Lord God made cootis of skynnys to Adam and Eue his wijf, and clothide hem; and seide, Lo!
01031600ad	Adam is maad as oon of vs, and knowith good and yuel; now therfore se ye, lest perauenture he putte his hond, and take of the tre of lijf, and ete, and lyue with outen ende.
010317006e	And the Lord God sente hym out of paradijs of likyng, that he schulde worche the erthe, of which he was takun.
0103180097	And God castide out Adam, and settide bifore paradis of lykyng cherubyn, and a swerd of flawme and turnynge aboute to kepe the weie of the tre of lijf.
010401006b	Forsothe Adam knewe Eue his wijf, which conseyuede, and childide Cayn, and seide, Y haue gete a man bi God.
010402006d	And efte sche childide his brother Abel. Forsothe Abel was a kepere of scheep, and Cayn was an erthe tilyere.
0104030062	Sotheli it was don after many daies, that Cayn offride yiftis to the Lord of the fruytis of erthe;
0104040085	and Abel offride of the first gendrid of his floc, and of the fatnesse of tho. And the Lord bihelde to Abel and to the yiftis of hym;
0104050069	sotheli he bihelde not to Cayn and to hise yiftis. And Cayn was wrooth greetli, and his cheer felde doun.
010406004c	And the Lord seide to hym, Whi art thou wrooth, and whi felde doun thi face?
01040700ca	Whether not if thou schalt do wel, thou schalt resseyue; but if thou doist yuele, thi synne schal be present anoon in the yatis? but the desir therof schal be vndur thee, and thou schalt be lord therof.
0104080085	And Cayn seide to Abel his brother, Go we out. And whanne thei weren in the feeld, Cayn roos ayens his brother Abel, and killide him.
0104090079	And the Lord seide to Cayn, Where is Abel thi brother? Which answerde, Y woot not; whether Y am the kepere of my brothir?
01040a0066	And God seide to Cayn, What hast thou do? the vois of the blood of thi brother crieth to me fro erthe.
01040b0079	Now therfor thou schalt be cursid on erthe, that openyde his mouth, and resseyuede of thin hond the blood of thi brothir.
01040c00aa	Whanne thou schalt worche the erthe, it schal not yyue his fruytis to thee; thou schalt be vnstable of dwellyng and fleynge aboute on erthe in alle the daies of thi lijf.
01040d0059	And Cayn seide to the Lord, My wickidnesse is more than that Y disserue foryyuenesse; lo!
01040e00cb	to dai thou castist me out fro the face of the erthe; and Y schal be hid fro thi face, and Y schal be vnstable of dwellyng and fleynge aboute in erthe; therfore ech man that schal fynde me schal slee me.
01040f00d0	And the Lord seide to hym, It schal not be don so, but ech man that schal slee Cayn shal be punyschid seuenfold. And the Lord settide a signe in Cayn, that ech man that schulde fynde hym schulde not slee hym.
010410006c	And Cayn yede out fro the face of the Lord, and dwellide fleynge aboute in erthe, at the eest coost of Eden.
0104110099	Forsothe Cayn knewe his wiif, which conseyuede, and childide Enoth; and Cayn bildide a citee, and clepide the name therof of the name of hise sone Enoth.
0104120075	Forsothe Enoth gendride Irad, and Irad gendride Manyael, and Manyael gendride Matusael, and Matusael gendride Lameth;
0104130057	that took twei wyues, the name to o wijf was Ada, and the name to the tother was Sella.
0104140053	And Ada gendride Jabel, that was the fadir of dwellers in tentis and of shepherdis;
0104150057	and the name of his brother was Tubal, he was the fadir of syngeris in harpe and orgun.
