0100000007	Genesis
0101010041	In the beginning of God's preparing the heavens and the earth —
010102008d	the earth hath existed waste and void, and darkness [is] on the face of the deep, and the Spirit of God fluttering on the face of the waters,
010103002c	and God saith, 'Let light be;' and light is.
0101040061	And God seeth the light that [it is] good, and God separateth between the light and the darkness,
010105008c	and God calleth to the light 'Day,' and to the darkness He hath called 'Night;' and there is an evening, and there is a morning — day one.
0101060072	And God saith, 'Let an expanse be in the midst of the waters, and let it be separating between waters and waters.'
010107009b	And God maketh the expanse, and it separateth between the waters which [are] under the expanse, and the waters which [are] above the expanse: and it is so.
0101080069	And God calleth to the expanse 'Heavens;' and there is an evening, and there is a morning — day second.
010109007a	And God saith, 'Let the waters under the heavens be collected unto one place, and let the dry land be seen:' and it is so.
01010a0084	And God calleth to the dry land 'Earth,' and to the collection of the waters He hath called 'Seas;' and God seeth that [it is] good.
01010b00a4	And God saith, 'Let the earth yield tender grass, herb sowing seed, fruit-tree (whose seed [is] in itself) making fruit after its kind, on the earth:' and it is so.
01010c00ae	And the earth bringeth forth tender grass, herb sowing seed after its kind, and tree making fruit (whose seed [is] in itself) after its kind; and God seeth that [it is] good;
01010d003e	and there is an evening, and there is a morning — day third.
01010e00bc	And God saith, 'Let luminaries be in the expanse of the heavens, to make a separation between the day and the night, then they have been for signs, and for seasons, and for days and years,
01010f006c	and they have been for luminaries in the expanse of the heavens to give light upon the earth:' and it is so.
010110009c	And God maketh the two great luminaries, the great luminary for the rule of the day, and the small luminary — and the stars — for the rule of the night;
010111004f	and God giveth them in the expanse of the heavens to give light upon the earth,
0101120082	and to rule over day and over night, and to make a separation between the light and the darkness; and God seeth that [it is] good;
010113003f	and there is an evening, and there is a morning — day fourth.
010114008f	And God saith, 'Let the waters teem with the teeming living creature, and fowl let fly on the earth on the face of the expanse of the heavens.'
01011500d1	And God prepareth the great monsters, and every living creature that is creeping, which the waters have teemed with, after their kind, and every fowl with wing, after its kind, and God seeth that [it is] good.
0101160084	And God blesseth them, saying, 'Be fruitful, and multiply, and fill the waters in the seas, and the fowl let multiply in the earth:'
010117003e	and there is an evening, and there is a morning — day fifth.
010118009e	And God saith, 'Let the earth bring forth the living creature after its kind, cattle and creeping thing, and beast of the earth after its kind:' and it is so.
01011900ae	And God maketh the beast of the earth after its kind, and the cattle after their kind, and every creeping thing of the ground after its kind, and God seeth that [it is] good.
01011a00f5	And God saith, 'Let Us make man in Our image, according to Our likeness, and let them rule over fish of the sea, and over fowl of the heavens, and over cattle, and over all the earth, and over every creeping thing that is creeping on the earth.'
01011b0072	And God prepareth the man in His image; in the image of God He prepared him, a male and a female He prepared them.
01011c00e7	And God blesseth them, and God saith to them, 'Be fruitful, and multiply, and fill the earth, and subdue it, and rule over fish of the sea, and over fowl of the heavens, and over every living thing that is creeping upon the earth.'
01011d00bf	And God saith, 'Lo, I have given to you every herb sowing seed, which [is] upon the face of all the earth, and every tree in which [is] the fruit of a tree sowing seed, to you it is for food;
01011e00b9	and to every beast of the earth, and to every fowl of the heavens, and to every creeping thing on the earth, in which [is] breath of life, every green herb [is] for food:' and it is so.
01011f007a	And God seeth all that He hath done, and lo, very good; and there is an evening, and there is a morning — day the sixth.
0102010040	And the heavens and the earth are completed, and all their host;
0102020087	and God completeth by the seventh day His work which He hath made, and ceaseth by the seventh day from all His work which He hath made.
0102030083	And God blesseth the seventh day, and sanctifieth it, for in it He hath ceased from all His work which God had prepared for making.
0102040081	These [are] births of the heavens and of the earth in their being prepared, in the day of Jehovah God's making earth and heavens;
01020500b2	and no shrub of the field is yet in the earth, and no herb of the field yet sprouteth, for Jehovah God hath not rained upon the earth, and a man there is not to serve the ground,
0102060052	and a mist goeth up from the earth, and hath watered the whole face of the ground.
0102070091	And Jehovah God formeth the man — dust from the ground, and breatheth into his nostrils breath of life, and the man becometh a living creature.
0102080069	And Jehovah God planteth a garden in Eden, at the east, and He setteth there the man whom He hath formed;
01020900c6	and Jehovah God causeth to sprout from the ground every tree desirable for appearance, and good for food, and the tree of life in the midst of the garden, and the tree of knowledge of good and evil.
01020a007a	And a river is going out from Eden to water the garden, and from thence it is parted, and hath become four chief [rivers];
01020b0074	the name of the one [is] Pison, it [is] that which is surrounding the whole land of the Havilah where the gold [is],
01020c0051	and the gold of that land [is] good, there [is] the bdolach and the shoham stone;
01020d0066	and the name of the second river [is] Gibon, it [is] that which is surrounding the whole land of Cush;
01020e0079	and the name of the third river [is] Hiddekel, it [is] that which is going east of Asshur; and the fourth river is Phrat.
