0100000006	Genezo
0101010030	En la komenco Dio kreis la ĉielon kaj la teron.
0101020077	Kaj la tero estis senforma kaj dezerta, kaj mallumo estis super la abismo; kaj la spirito de Dio ŝvebis super la akvo.
010103002c	Kaj Dio diris: Estu lumo; kaj fariĝis lumo.
0101040054	Kaj Dio vidis la lumon, ke ĝi estas bona; kaj Dio apartigis la lumon de la mallumo.
010105006b	Kaj Dio nomis la lumon Tago, kaj la mallumon Li nomis Nokto. Kaj estis vespero, kaj estis mateno, unu tago.
010106004b	Kaj Dio diris: Estu firmaĵo inter la akvo, kaj ĝi apartigu akvon de akvo.
010107008a	Kaj Dio kreis la firmaĵon, kaj apartigis la akvon, kiu estas sub la firmaĵo, de la akvo, kiu estas super la firmaĵo; kaj fariĝis tiel.
0101080054	Kaj Dio nomis la firmaĵon Ĉielo. Kaj estis vespero, kaj estis mateno, la dua tago.
0101090069	Kaj Dio diris: Kolektiĝu la akvo de sub la ĉielo en unu lokon, kaj aperu la sekaĵo; kaj fariĝis tiel.
01010a0070	Kaj Dio nomis la sekaĵon Tero, kaj la kolektiĝojn de la akvo Li nomis Maroj. Kaj Dio vidis, ke ĝi estas bona.
01010b00ae	Kaj Dio diris: Kreskigu la tero verdaĵon, herbon, kiu naskas semon, fruktarbon, kiu donas laŭ sia speco frukton, kies semo estas en ĝi mem, sur la tero; kaj fariĝis tiel.
01010c00b6	Kaj la tero elkreskigis verdaĵon, herbon, kiu naskas semon laŭ sia speco, kaj arbon, kiu donas frukton, kies semo estas en ĝi mem laŭ sia speco. Kaj Dio vidis, ke ĝi estas bona.
01010d0032	Kaj estis vespero, kaj estis mateno, la tria tago.
01010e008d	Kaj Dio diris: Estu lumaĵoj en la ĉiela firmaĵo, por apartigi la tagon de la nokto, kaj ili prezentu signojn, tempojn, tagojn, kaj jarojn;
01010f0057	kaj ili estu lumaĵoj en la ĉiela firmaĵo, por lumi super la tero; kaj fariĝis tiel.
0101100097	Kaj Dio faris la du grandajn lumaĵojn: la pli grandan lumaĵon, por regi la tagon, kaj la malpli grandan lumaĵon, por regi la nokton, kaj la stelojn.
010111004b	Kaj Dio starigis ilin sur la ĉiela firmaĵo, por ke ili lumu sur la teron,
010112007e	kaj por ke ili regu la tagon kaj la nokton kaj faru diferencon inter la lumo kaj la mallumo. Kaj Dio vidis, ke ĝi estas bona.
0101130033	Kaj estis vespero, kaj estis mateno, la kvara tago.
010114007b	Kaj Dio diris: La akvo aperigu moviĝantaĵojn, vivajn estaĵojn, kaj birdoj ekflugu super la tero, sub la ĉiela firmaĵo.
