2800000008	Matteuse
2801010035	Jeesuse Messia, Aabrahami poja, Taaveti poja sugupuu:
280102005d	Aabrahamile sündis Iisak, Iisakile sündis Jaakob, Jaakobile sündisid Juuda ja tema vennad.
280103005e	Juudale sündisid Taamariga Perets ja Serah, Peretsile sündis Hesron, Hesronile sündis Aram,
2801040050	Aramile sündis Amminadab, Amminadabile sündis Nahson, Nahsonile sündis Salma,
2801050055	Salmale sündis Raahabiga Boas, Boasele sündis Rutiga Oobed, Oobedile sündis Iisai,
280106004b	Iisaile sündis kuningas Taavet. Taavetile sündis Uurija naisega Saalomon,
280107004e	Saalomonile sündis Rehabeam, Rehabeamile sündis Abija, Abijale sündis Aasa,
280108004e	Aasale sündis Joosafat, Joosafatile sündis Jooram, Jooramile sündis Ussija,
280109004b	Ussijale sündis Jootam, Jootamile sündis Aahas, Aahasele sündis Hiskija,
28010a004d	Hiskijale sündis Manasse, Manassele sündis Aamon, Aamonile sündis Joosija,
28010b0044	Joosijale sündisid Jekonja ja tema vennad Paabeli vangipõlve ajal.
28010c0058	Pärast Paabeli vangipõlve sündis Jekonjale Sealtiel, Sealtielile sündis Serubbaabel,
28010d0055	Serubbaabelile sündis Abihuud, Abihuudile sündis Eljakim, Eljakimile sündis Assur,
28010e004b	Assurile sündis Saadok, Saadokile sündis Ahhim, Ahhimile sündis Elihuud,
28010f0050	Elihuudile sündis Eleasar, Eleasarile sündis Mattan, Mattanile sündis Jaakob.
280110005a	Jaakobile sündis Maarja mees Joosep ja Maarjast sündis Jeesus, keda hüütakse Messiaks.
28011100a7	Seega on Aabrahamist Taavetini kokku neliteist sugupõlve, Taavetist Paabeli vangipõlveni neliteist sugupõlve ja Paabeli vangipõlvest Messiani neliteist sugupõlve.
28011200a8	Ent Jeesuse, Messia, sündimisega oli nõnda. Tema ema Maarja oli kihlatud Joosepiga, kuid enne abiellumist ja kokkusaamist selgus, et ta on lapseootel Pühast Vaimust.
2801130073	Joosep oli õiglane mees ega tahtnud Maarjat avalikult häbistada, seepärast otsustas ta temast vaikselt lahutada.
28011400b6	Aga kui ta seda mõtet kaalus, ilmus talle unenäos Issanda ingel, kes ütles: „Joosep, Taaveti poeg, ära karda Maarjat naiseks võtta! Laps tema ihus on eostunud Pühast Vaimust.
280115006a	Maarja sünnitab poja, kellele sina paned nimeks Jeesus, sest tema päästab oma rahva nende pattudest.“
2801160050	See kõik sündis, et läheks täide, mis Issand oli öelnud prohveti suu läbi:
280117008e	„Pange tähele, neitsi jääb lapseootele ja sünnitab poja, ning talle pannakse nimeks Immanuel“ – mis tähendab „Jumal on meiega“.
2801180079	Kui Joosep unest ärkas, tegi ta nii, nagu Issanda ingel oli käskinud. Ta võttis Maarja endale naiseks ja viis ta koju,
2801190053	kuid ei puutunud temasse, kuni poeg oli sündinud. Ja ta pani temale nimeks Jeesus.
2802010087	Pärast Jeesuse sündimist Petlemmas Juudamaal, kuningas Heroodese valitsusajal, saabusid hommikumaalt pärit tähetargad Jeruusalemma.
2802020082	„Kus on see laps, kes sündis juutide kuningaks?“ küsisid nad. „Me nägime ta tähte tõusmas ja tulime teda kummardama.“
280203004e	Seda kuuldes läks kuningas Heroodes ärevile ja kogu Jeruusalemm koos temaga.
2802040071	Ta kutsus kokku kõik juutide ülempreestrid ja kirjatundjad ning päris nende käest, kus Messias pidi sündima.
2802050055	Need vastasid talle: „Juudamaa linnas Petlemmas, sest nõnda on prohvet kirjutanud:
2802060089	„Sina, Petlemm Juudamaal, ei ole vähim Juuda valitsejate seas, sest sinust võrsub Valitseja, kes mu rahvast Iisraeli karjatseb.““
2802070070	Siis kutsus Heroodes tähetargad salaja enda juurde ja uuris neilt välja aja, millal täht oli paistma hakanud.
2802080098	Seejärel läkitas ta nad Petlemma, öeldes: „Minge ja otsige last. Kui te ta leiate, siis teatage mulle, et minagi võiksin minna teda kummardama!“
28020900a6	Tähetargad kuulasid kuninga ära ja asusid teele. Ja ennäe, täht, mille tõusu nad olid jälginud, juhatas neid, kuni jäi seisma selle paiga kohal, kus asus laps.
28020a002c	Seda nähes rõõmustasid tähetargad väga.
28020b00a7	Nad astusid majja ja nägid last koos tema ema Maarjaga ning kummardusid ta ette maha. Siis avasid nad oma varalaekad ja andsid talle kinke: kulda, viirukit ja mürri.
28020c0080	Ja saanud unenäos Jumalalt hoiatuse, et nad ei läheks enam Heroodese juurde, pöördusid nad teist teed pidi tagasi oma maale.
28020d00eb	Kui tähetargad olid lahkunud, ilmus Issanda ingel unenäos Joosepile ja ütles: „Tõuse üles, võta kaasa laps ja tema ema! Põgene Egiptusesse ja ole seal, kuni ma sulle ütlen; sest Heroodes hakkab otsima last, et teda hukata.“
28020e0052	Joosep tõusis, võttis kaasa lapse ja tema ema ning põgenes öösel Egiptusesse.
28020f0083	Seal viibis ta Heroodese surmani, et läheks täide, mida Issand oli öelnud prohveti kaudu: „Ma kutsusin oma poja Egiptusest.“
28021000f0	Kui Heroodes nägi, et tähetargad olid teda petnud, sattus ta suurde raevu. Ta andis käsu hukata kõik poisslapsed Petlemmas ja kogu selle ümbruses: kaheaastased ja alla selle, vastavalt ajale, mille ta oli tähetarkadelt välja uurinud.
280211003d	Nii läks täide, mis oli öeldud prohvet Jeremija suu läbi:
280212007b	„Raamas on kuulda häält, rohket nuttu ja hala. Raahel nutab taga lapsi ega lase end lohutada, sest neid ei ole enam.“
2802130056	Ent pärast Heroodese surma ilmus Issanda ingel Egiptuses viibivale Joosepile unenäos
280214008c	ja ütles: „Tõuse üles, võta kaasa laps ja tema ema ning mine Iisraelimaale! Need, kes lapse elu kallale kippusid, on nüüd surnud!“
280215003a	Joosep võttis lapse ja tema ema ning läks Iisraelimaale.
28021600ad	Aga kui ta kuulis, et Arhelaos valitseb Juudamaad kuningana oma isa Heroodese asemel, kartis ta sinna minna. Ja saanud Jumalalt unenäos hoiatuse, suundus ta Galilea aladele
2802170080	ning asus elama Naatsareti linna. Nii läks täide, mis oli öeldud prohvetite suu läbi: „Teda hüütakse Naatsaretlaseks.“
280301003e	Neil päevil tuli Ristija Johannes, kes kuulutas Juuda kõrbes
280302003d	ja ütles: „Parandage meelt, sest taevariik on lähedal!“
2803030081	Temast rääkiski prohvet Jesaja: „Hüüdja hääl on kõrbes: „Valmistage Issandale tee, tehke tasaseks tema teerajad!““
2803040072	Johannesel olid seljas kaamelikarvadest rõivad ja nahkvöö vööl, aga toiduks olid tal rohutirtsud ja metsmesi.
2803050052	Siis läks Jeruusalemma, kogu Juudamaa ja Jordani ümbruskonna rahvas tema juurde.
280306003f	Nad tunnistasid üles oma patud ja ta ristis nad Jordani jões.
28030700a7	Aga kui ta nägi, kui palju varisere ja sadusere tema juurde ristimisele tuli, ütles ta neile: „Rästikute sugu! Kes teile andis märku põgeneda saabuva viha eest?
280308002f	Seepärast kandke meeleparandusele kohast vilja
2803090086	ja ärge mõtelge endamisi: „Meie isa on Aabraham!“ Sest ma ütlen teile, Jumal võib nendest kividest äratada lapsi Aabrahamile.
28030a006f	Kirves on juba pandud puude juurte külge. Iga puu, mis ei kanna head vilja, raiutakse maha ja visatakse tulle.
28030b00b0	Mina ristin teid veega meeleparanduseks, aga kes tuleb pärast mind, on minust vägevam. Mina pole väärt tema sandaalegi lahti siduma. Tema ristib teid Püha Vaimu ja tulega.
28030c0083	Tal on tuulamiskühvel käes ja ta teeb puhtaks oma rehealuse. Ta kogub nisu aita, aga aganad ta põletab ära kustumatu tulega.“
28030d004b	Sel ajal saabus Jeesus Galileast Jordani äärde, et Johannes teda ristiks.
28030e0072	Johannes püüdis keelduda, öeldes: „Mul on vaja, et sina mind ristiksid, aga sina tuled hoopis minu juurde!“
28030f0089	Jeesus aga vastas talle: „Las praegu olla nii! Nõnda on meil kohane täita kõike, mis on õige!“ Siis Johannes andis talle järele.
2803100095	Kui Jeesus oli ristitud, väljus ta kohe veest, ja ennäe, taevas avanes ning ta nägi Jumala Vaimu otsekui tuvi alla laskumas ja tema peale tulemas.
2803110055	Ning taevast kostis hääl: „See on minu armas Poeg, kelle üle mul on hea meel!“
280401002f	Siis juhtis Vaim Jeesuse kõrbe kuradi kiusata.
2804020051	Kui ta oli nelikümmend päeva ja nelikümmend ööd paastunud, tuli talle nälg.
2804030070	Talle lähenes kiusaja ning ütles: „Kui sa oled Jumala Poeg, siis käsi sellel kivil siin muutuda leivaks!“
2804040077	Jeesus vastas: „Kirjutatud on: „Inimene ei ela üksnes leivast, vaid igast sõnast, mis lähtub Jumala suust.““
280405003e	Siis viis kurat ta pühasse linna, pani seisma templi katusele
28040600ce	ja ütles: „Kui sa oled Jumala Poeg, siis kukuta end siit alla! Sest kirjutatud on: „Sinu pärast annab ta oma inglitele käsu ja nemad kannavad sind kätel, et sa oma jalga vastu kivi ei lööks.““
2804070061	Jeesus vastas talle: „Samuti on kirjutatud: „Ära pane Issandat, oma Jumalat, proovile!““
2804080071	Veel võttis kurat ta kaasa väga kõrge mäe otsa ja näitas talle kõiki maailma kuningriike ja nende hiilgust.
280409005d	„Need kõik ma annan sulle,“ ütles ta, „kui sa ainult maha langed ja mind ülistad.“
28040a0086	Siis ütles Jeesus talle: „Hoia minust eemale, saatan! Kirjutatud on: „Kummarda Issandat, oma Jumalat, ja teeni ainult teda!““
28040b0052	Siis jättis kurat ta rahule. Seejärel tulid tema juurde inglid ja teenisid teda.
28040c004c	Kui Jeesus kuulis, et Johannes on kinni võetud, läks ta tagasi Galileasse.
28040d0062	Ta lahkus Naatsaretist ja asus elama Kapernauma, mis on järve ääres Sebuloni ja Naftali aladel.
28040e003e	Nõnda läks täide, mis oli öeldud prohvet Jesaja suu läbi:
28040f0051	„Sebulonimaa ja Naftalimaa, teel mere äärde, piki Jordanit, rahvaste Galilea,
280410006e	rahvas, kes elab pimeduses, on suurt valgust näinud; neile, kes on elanud surma varjus, on koitnud valgus.“
280411005f	Sellest ajast peale hakkas Jeesus kuulutama: „Parandage meelt, sest taevariik on lähedal!“
280412009b	Kõndides Galilea mere rannal, nägi Jeesus kaht venda, Siimonit, hüüdnimega Peetrus, ja tema venda Andreast võrku merre heitmas, sest nad olid kalurid.
280413004e	Jeesus ütles neile: „Järgnege mulle ja ma teen teist inimestepüüdjad!“
2804140031	Nad jätsid kohe oma võrgud ja järgnesid talle.
280415009a	Sealt edasi minnes nägi ta veel kaht venda, Sebedeuse poega Jaakobust ja tema venda Johannest koos isaga paadis võrke parandamas. Jeesus kutsus ka neid.
2804160039	Kohe jätsid nad paadi ja isa maha ning järgnesid talle.
280417009e	Ja Jeesus rändas ringi kogu Galileas, õpetas sünagoogides, kuulutas evangeeliumi Kuningriigist ning tervendas rahvast igasugustest haigustest ja hädadest.
28041800d2	Kuuldus temast levis kogu Süürias ning tema juurde toodi kõik, kes kannatasid mitmesuguste haiguste ja valude käes, kurjadest vaimudest vaevatuid, langetõbiseid ja halvatuid – ning tema tegi nad terveks.
280419006d	Ja Jeesuse kannul käis suur rahvahulk Galileast, Dekapolisest, Jeruusalemmast, Juudamaalt ja Jordani tagant.
280501006b	Kui Jeesus nägi rahvahulka, läks ta üles mäele, ja kui ta oli maha istunud, tulid jüngrid tema juurde.
2805020018	Ta hakkas neid õpetama:
2805030042	„Õnnistatud on vaimust vaesed, sest nende päralt on taevariik.
280504002d	Õnnistatud on kurvad, sest neid lohutatakse.
2805050030	Õnnistatud on tasased, sest nemad pärivad maa.
280506005c	Õnnistatud on need, kellel on nälg ja janu õiguse järele, sest nad saavad külluslikult.
2805070039	Õnnistatud on halastajad, sest nende peale halastatakse.
280508003c	Õnnistatud on puhtad südamelt, sest nemad näevad Jumalat.
2805090040	Õnnistatud on rahutegijad, sest neid hüütakse Jumala lasteks.
28050a005b	Õnnistatud on need, keda õiguse pärast taga kiusatakse, sest nende päralt on taevariik.
28050b0079	Õnnistatud olete teie, kui teid minu pärast teotatakse, taga kiusatakse ja teie kohta kõiksugu kurje asju valetatakse.
28050c006f	Rõõmutsege ja hõisake, sest teie tasu on suur taevas! Samal viisil on taga kiusatud ka prohveteid enne teid.
