2800000007	Matteus
2801010065	See raamat on Jeesuse, Messia, Taaveti poja ja Aabrahami poja elu üleskirjutus, alustades sugupuust:
2801020057	Aabraham oli Iisaki isa; ja Iisak oli Jaakobi isa; ja Jaakob Juuda ja tema vendade isa;
2801030066	ja Juuda Peretsi ja Serahi isa (nende ema oli Taamar); ja Perets oli Hesroni isa; ja Hesron Arami isa;
280104004a	ja Aram oli Amminadabi isa; ja Amminadab Nahsoni isa; ja Nahson Salma isa;
2801050071	ja Salma oli Boase isa (tema ema oli Raahab); ja Boas oli Oobedi isa (tema ema oli Rutt); ja Oobed oli Iisai isa;
2801060054	ja Iisai kuningas Taaveti isa. Taavet oli Saalomoni isa (tema ema oli Uurija naine);
2801070048	ja Saalomon oli Rehabeami isa; ja Rehabeam Abija isa; ja Abija Aasa isa;
2801080049	ja Aasa oli Joosafati isa; ja Joosafat Joorami isa; ja Jooram Ussija isa;
2801090046	ja Ussija oli Jootami isa; ja Jootam Aahase isa; ja Aahas Hiskija isa;
28010a0048	ja Hiskija oli Manasse isa; ja Manasse Aamoni isa; ja Aamon Joosija isa;
28010b0045	ja Joosija oli Jekonja ja tema vendade isa, Paabeli vangipõlve ajal.
28010c0054	Pärast Paabeli vangipõlve oli Jekonja Sealtieli isa; ja Sealtiel Serubbaabeli isa;
28010d0050	ja Serubbaabel oli Abihuudi isa; ja Abihuud Eljakimi isa; ja Eljakim Assuri isa;
28010e0046	ja Assur oli Saadoki isa; ja Saadok Ahhimi isa; ja Ahhim Elihuudi isa;
28010f004b	ja Elihuud oli Eleasari isa; ja Eleasar Mattani isa; ja Mattan Jaakobi isa;
280110006b	ja Jaakob oli Joosepi isa; Joosep oli selle Maarja mees, kellest sündis Jeesus, keda nimetatakse Messiaks.
28011100ae	Nõnda on kõiki põlvkondi Aabrahmist Taavetini kokku neliteist, Taavetist Paabeli vangipõlveni neliteist põlvkonda ja Paabeli vangipõlvest Messiani neliteist põlvkonda.
28011200a9	Messia Jeesuse sündimise lugu oli selline. Tema ema Maarja oli kihlatud Joosepiga, kuid enne, kui nad koos magamiseni jõudsid, jäi Maarja Pühast Vaimust lapseootele.
280113007d	Tema kihlatu Joosep oli hea mees ega tahtnud Maarjat avalikult häbistada, seega otsustas ta kihluse diskreetselt katkestada.
28011400b5	Kui Joosep kõige selle peale mõtles, ilmus talle unes Issanda ingel ja ütles talle: „Joosep, Taaveti poeg, ära karda Maarjaga abielluda, sest ta on lapseootel Pühast Vaimust.
2801150065	Talle sünnib poeg ja sa pead talle nimeks panema Jeesus, sest ta päästab rahva nende pattudest.“
280116004b	(See kõik toimus, et täituks see, mida Issand oli prohveti kaudu öelnud:
2801170075	„Neitsi jääb lapseootele ja toob ilmale poja. Teda hüütakse Immaanueliks,“ mis tähendab „Jumal meiega“.)
2801180041	Joosep ärkas ja tegi nii, nagu Issanda ingel oli teda käskinud.
2801190072	Joosep abiellus Maarjaga, kuid ei maganud temaga enne, kui ta oli sünnitanud poja, kellele ta pani nimeks Jeesus.
2802010083	Pärast seda kui Jeesus oli sündinud Petlemmas Juudamaal kuningas Heroodese valitsemisajal, tulid targad mehed idast Jeruusalemma.
2802020076	„Kus on juutide kuningas, kes sündis?“ küsisid nad. „Me nägime tema tähte idas ja tulime teda kummardama.“
280203005f	Kui kuningas Heroodes sellest kuulis, muutus ta väga rahutuks ja kogu Jeruusalemm koos temaga.
2802040076	Heroodes kutsus kokku kõik ülempreestrid ja rahva vaimulikud õpetajad ning küsis neilt, kus Messias pidi sündima.
280205004c	„Petlemmas Juudamaal,“ vastasid nad talle, „sest nii kirjutas prohvet:
2802060094	„Petlemm Juudamaal, sa ei ole kindlasti Juuda linnadest kõige tähtsusetum, sest sinust tuleb juht, kellest saab mu rahva Iisraeli karjane.““
280207006e	Siis kutsus Heroodes targad mehed, rääkis nendega omaette ja uuris neilt täpselt, millal täht oli ilmunud.
280208009f	Ta saatis nad Petlemma sõnadega: „Kui te sinna jõuate, otsige laps üles. Kui te ta leiate, andke mulle teada, et ka mina saaksin minna teda kummardama.“
28020900c3	Pärast seda, kui nad olid ära kuulanud, mis kuningal öelda oli, läksid nad oma teed, ning täht, mida nad olid idas näinud, juhtis neid, kuni peatus täpselt selle paiga kohal, kus laps oli.
28020a003f	Kui nad nägid tähte, ei suutnud nad oma rõõmu tagasi hoida!
28020b00b6	Nad läksid majja ja nägid last koos tema ema Maarjaga. Nad põlvitasid ja kummardasid teda. Seejärel avasid nad oma aardekotid ning andsid talle kingiks kulda, viirukit ja mürri.
28020c007b	Kui neid oli unenäos hoiatatud, et nad ei läheks Heroodese juurde tagasi, suundusid nad oma kodumaale teist teed mööda.
28020d00e4	Pärast nende lahkumist ilmus Issanda ingel unes Joosepile ja ütles talle: „Tõuse üles, võta laps ja tema ema ning põgene Egiptusesse. Jää sinna, kuni ma sulle ütlen, sest Heroodes hakkab last otsima, et teda tappa.“
28020e0061	Nõnda tõusis Joosep üles, võttis poisi ja tema ema ning hakkas öösel Egiptuse poole minema.
28020f0087	Sinna jäid nad kuni Heroodese surmani. Nii täitus see, mida Issand oli prohveti kaudu öelnud: „Ma kutsusin oma poja Egiptusest.“
2802100102	Kui Heroodes mõistis, et targad olid teda petnud, sai ta väga vihaseks. Ta saatis mehed tapma kõiki Petlemma ja ümberkaudsete piirkondade väikseid poisse, kes olid kaheaastased ja nooremad. See tugines ajavahemikule, mille ta oli tarkadelt teada saanud.
280211002b	Nii läks täide Jeremija prohvetikuulutus:
2802120076	„Raamas kuuldakse kohutavat nutmist ja leinamist, Raahel nutab oma lapsi taga. Nad on surnud ja ta on lohutamatu.“
2802130061	Pärast seda kui Heroodes suri, ilmus Issanda ingel unenäos Joosepile Egiptuses ja ütles talle:
280214007b	„Tõuse üles! Võta laps ja tema ema ning mine tagasi Iisraeli maale, sest need, kes üritasid last tappa, on surnud.“
2802150057	Nõnda siis Joosep tõusis, võttis poisi ja tema ema ning läks tagasi Iisraeli maale.
28021600c7	Kuid Joosep kartis sinna tagasi minna, kui ta oli teada saanud, et Arhelaos oli oma isa Heroodese järel Juudamaa kuningaks saanud. Kui Joosep oli saanud unenäos hoiatuse, läks ta Galilea piirkonda
2802170076	ja seadis end sisse Naatsaretis. Nii täitus see, mida prohvetid olid öelnud: „Teda nimetatakse naatsaretlaseks.“
2803010053	Mõne aja pärast hakkas tegutsema ristija Johannes ning ta kuulutas Juuda kõrbes:
2803020030	„Parandage meelt, sest taevariik on tulnud!“
28030300a1	Tema oli see, kellest Jesaja kõneles, kui ta ütles: „Kõrbes kuuldakse häält hüüdmas: „Valmistage Issandale teed! Tehke rajad tema jaoks sirgeks!““
2803040076	Johannese riided olid tehtud kaameli karvadest ja tal oli ümber nahkvöö. Tema toiduks olid jaanikaunad ja metsmesi.
2803050053	Rahvas tuli tema juurde Jeruusalemmast, tervest Juudast ja kogu Jordani piirkonnast
2803060043	nad ristiti Jordani jões ning nad tunnistasid avalikult oma patte.
28030700a3	Aga kui Johannes nägi ristimisele tulemas palju varisere ja sadusere, ütles ta neile: „Te rästikute sigitised! Kes hoiatas teid tulevase kohtu eest põgenema?
2803080038	Näidake tegudega, et olete tõeliselt meelt parandanud,
280309008b	ja ärge julgege uhkelt endamisi öelda: „Aabraham on meie isa.“ Ma ütlen teile, et Jumal võib teha Aabrahamile lapsi neist kividest.
28030a0073	Tegelikult on kirves valmis puid maha raiuma. Iga puu, mis ei kanna head vilja, raiutakse maha ja heidetakse tulle.
28030b00c9	Jah, mina ristin teid veega meeleparanduse ilmutamiseks, aga pärast mind tuleb see, kes on minust suurem. Ma ei ole väärt isegi tema sandaale lahti päästma. Tema ristib teid Püha Vaimu ja tulega.
28030c0082	Tal on käes valmis sari. Ta puhastab rehealuse ja kogub nisu aita, kuid aganad põletab ta ära tulega, mida ei saa kustutada.“
28030d0051	Siis tuli Jeesus Galileast Jordani jõe äärde, et lasta end Johannesel ristida.
28030e0094	Kuid Johannes üritas tema meelt muuta. Ta ütles Jeesusele: „Mul on vaja, et sina mind ristiksid, ja sina tuled minu juurde, et ma su ristiks?“
28030f0090	„Palun tee seda, sest meie jaoks on hea teha seda, mis Jumala sõnul on õige,“ vastas Jeesus talle. Niisiis oli Johannes nõus seda tegema.
2803100093	Kohe pärast seda, kui Jeesus sai ristitud, tuli ta vest välja. Taevad avanesid ja ta nägi Jumala Vaimu nagu tuvi laskumas ja tema peale tulemas.
2803110059	Hääl taevast ütles: „See on minu poeg, keda ma armastan, kellest mul on hea meel.“
2804010032	Siis juhtis Vaim Jeesuse kõrbesse kuradi kiusata.
2804020044	Pärast neljakümmet päeva ja ööd paastumist oli tal kõht tühi.
2804030068	Kiusaja tuli ja ütles talle: „Kui sa tõesti oled Jumala Poeg, käsi neil kividel leivaks muutuda.“
2804040080	Jeesus vastas: „Pühakirjas on öeldud: „Inimene ei ela üksnes leivast, vaid igast sõnast, mis lähtub Jumala suust.““
280405003d	Siis kurat viis ta pühasse linna ja asetas ta templiharjale.
28040600f5	„Kui sa tõesti oled Jumala Poeg, siis heida end siit alla,“ ütles ta Jeesusele. „Sest Pühakirjas on öeldud: „Ta annab oma inglite käsu hoida sind kõige kahju eest. Ta püüab su kinni, et sa ei komistaks kivi otsa ega kukuks.““
2804070060	Jeesus vastas: „Pühakirjas on öeldud ka: „Sa ei tohi Issandat, oma Jumalat, kiusata.““
2804080072	Siis viis kurat Jeesuse väga kõrge mäe otsa ja näitas talle kõiki maailma kuningriike nende täies hiilguses.
2804090061	Ta ütles Jeesusele: „Ma annan need kõik sulle, kui sa langed põlvedele ja mind kummardad.“
28040a0093	„Mine ära, Saatan!“ ütles Jeesus. „Sest Pühakirjas on öeldud: „Sa pead kummardama Issandat, oma Jumalat, ja teenima üksnes teda.““
28040b0046	Siis kurat lahkus tema juurest ning inglid tulid tema eest hoolitsema.
28040c004a	Kui Jeesus kuulis, et Johannes oli vahistatud, läks ta tagasi Galileasse.
28040d0062	Ta lahkus Naatsaretist ja seadis end sisse Kapernaumas, järve ääres Sebuloni ja Naftali aladel.
28040e002c	Nii täitus see, mida prohvet Jesaja ütles:
28040f006d	„Sebuloni maal ja Naftali maal, mereni viiva tee ääres, Jordani jõe taga, Galileas, kus elavad võõrad:
280410006a	pimeduses elav rahvas nägi suurt valgust; koiduvalgus paistis nende peale, kes elavad surmavarju maal.“
2804110075	Sellest ajast peale hakkas Jeesus kuulutama oma sõnumit, öeldes: „Parandage meelt, sest taevariik on saabunud!“
28041200b0	Kui Jeesus kõndis Galilea mere ääres, nägi ta kaht venda. Siimon, keda hüüti ka Peetruseks, ja tema vend Andreas heitsid võrke merre. Nad teenisid kalapüügiga elatist.
280413005d	„Tulge ja järgnege mulle ning ma õpetan teid, kuidas püüda inimesi,“ ütles ta neile.
2804140036	Nad jätsid kohe oma võrgud maha ja järgnesid talle.
280415009e	Edasi minnes nägi ta veel kaht venda, Jaakobust ja Johannest. Nad olid paadis koos oma isa Sebedeusega ja parandasid võrke. Ta kutsus neid endale järgnema.
2804160039	Nad jätsid kohe paadi ja isa maha ning järgnesid talle.
2804170096	Jeesus rändas läbi Galilea, õpetas sünagoogides, kuulutas head sõnumit kuningriigist ning tervendas kõiki vaevusi ja haigusi, mis inimestel oli.
28041800e3	Uudis temast levis läbi kogu Süüria provintsi. Tema juurde toodi kõik, kes olid haiged − haigushoogude all kannatavad, kurjadest vaimudest vaevatud, vaimselt haiged ja halvatud inimesed − ning ta tegi nad kõik terveks.
2804190078	Suured rahvahulgad järgnesid talle Galileast, Dekapolisest, Jeruusalemmast, Juudamaalt ja Jordani-tagusest piirkonnast.
2805010070	Kui Jeesus nägi rahvahulki enda järel käimas, läks ta üles mäele. Seal istus ta koos oma jüngritega maha.
2805020024	Ta hakkas neid õpetama ning ütles:
2805030069	„Õnnistatud on need, kes tunnevad ära, et nad on vaimulikult vaesed, sest nende päralt on taevariik.
280504003c	Õnnistatud on need, kes kurvastavad, sest neid lohutatakse.
280505004c	Õnnistatud on need, kes on heatahtlikud, sest nende päralt on kogu maailm.
280506005f	Õnnistatud on need, kelle suurim soov on teha seda, mis on õige, sest nende soov täidetakse.
2805070050	Õnnistatud on need, kes on halastavad, sest nende suhtes ilmutatakse halastust.
2805080044	Õnnistatud on need, kel on puhas süda, sest nemad näevad Jumalat.
280509005a	Õnnistatud on need, kes näevad vaeva rahu loomisel, sest neid hüütakse Jumala lasteks.
28050a0066	Õnnistatud on need, keda kiusatakse taga sellepärast, mis on õige, sest nende päralt on taevariik.
28050b0086	Õnnistatud olete teie, kui inimesed teid solvavad ja taga kiusavad ning süüdistavad teid minu pärast igasugustes halbades asjades.
28050c0089	Olge rõõmsad, olge tõesti rõõmsad, sest te saate suure tasu taevas, sest samamoodi kiusasid nad taga prohveteid, kes olid enne teid.
28050d00b4	Teie olete maa sool, aga kui sool muutub maitsetuks, kuidas saab selle jälle soolaseks teha? Sellest pole kasu millegi jaoks, nii et see visatakse välja jalgade alla tallamiseks.
28050e004a	Teie olete maailma valgus. Mäe otsa ehitatud linn ei saa varjule jääda.
28050f0071	Keegi ei süüta lampi ega pane seda ämbri alla. Ei, see asetatakse lambijalale ning see valgustab kõiki majas.
280510008c	Samamoodi peate ka teie laskma oma valgusel paista kõigi ees, et nad näeksid häid asju, mida te teete, ning ülistaksid teie taevast Isa.
280511006f	Ärge arvake, et ma tulin seadust või prohvetite kirju tühistama. Ma ei tulnud neid tühistama, vaid täitma.
2805120077	Ma kinnitan teile, kuni taevas ja maa püsivad, ei kao seadusest ainsat tähte ega märki enne, kui kõik on täitunud.
28051300dc	Seega, kes iganes põlgab kas või kõige tähtsusetumat käsku ja õpetab nii inimesi, seda nimetatakse taevariigis kõige tähtsusetumaks; aga kes iganes järgib ja õpetab käske, seda nimetatakse taevariigis suureks.
2805140080	Ma ütlen teile, kui teie moraalne õigsusei ole rohkem kui vaimulike õpetajate ja variseride oma, ei saa te kunagi taevariiki.
280515007b	Te olete kuulnud, et seadus ütles inimestele muiste: „Sa ei tohi tappa, ja igaüks, kes tapab, mõistetakse süüdi.“.
28051600ce	Aga mina ütlen teile, igaüks, kes on oma venna peale vihane, mõistetakse süüdi. Kes iganes nimetab oma venda idioodiks, peab vastust andma nõukogu ees, aga kes iganes teisi sõimab, läheb kohtutulle.
280517005b	Kui sa oled altari juures ohvrit toomas ja sulle meenub, et su vennal on midagi sinu vastu,
2805180068	siis jäta oma ohver altarile ja tee esmalt temaga rahu ning alles pärast tule tagasi ja too oma ohver.
28051900cd	Kui sa oled oma vastasega teel kohtusse, siis püüa asjad kiiresti lahendada. Muidu võib su vastane anda sind kohtuniku kätte ja kohtunik annab sind kohtu ametniku kätte ning sind heidetakse vanglasse.
28051a0064	Ma räägin teile tõtt: sa ei pääse sealt välja enne, kui oled ära maksnud oma viimasegi penni.
28051b003b	Te olete kuulnud, et seadus ütles: „Ära riku abielu.“
28051c0065	Aga mina ütlen teile, et igaüks, kes vaatab naist himuralt, on temaga mõttes juba abielu rikkunud.
28051d00a2	Kui su parem silm juhib sind patustama, siis kisu see välja ja viska minema, sest parem on kaotada üks osa oma kehast, kui et kogu su keha visatakse kohtutulle.
28051e00a4	Kui su parem käsi juhib sind patustama, siis lõika see maha ja viska minema, sest sul on parem kaotada üks jäsemetest, kui et kogu su keha visatakse kohtutulle.
28051f005e	Seadus ütles ka: „Kui mees lahutab oma naisest, peab ta andma naisele lahutustunnistuse.“
28052000bb	Aga mina ütlen teile, et iga mees, kes lahutab oma naisest muidu kui seksuaalse ebamoraalsuse tõttu, sunnib naist abielu rikkuma, ja kes iganes abiellub lahutatud naisega, rikub abielu.
280521009d	Ja veel, te olete kuulnud, et seadus ütles inimestele ammu: „Sa ei tohi valet vanduda. Hoolitse selle eest, et pead oma vandeid, mille Issandale annad.“
2805220062	Aga mina ütlen teile: ärge üldse vanduge. Ärge vanduge taeva juures, sest see on Jumala troon.
280523007b	Ärge vanduge maa juurest, sest see on Jumala jalajäri. Ärge vanduge Jeruusalemma juures, sest see on suure Kuninga linn.
2805240062	Ärge vanduge isegi oma pea juures, sest te ei suuda üht juuksekarvagi valgeks või mustaks teha.
280525003e	Öelge lihtsalt jah või ei – mis on üle selle, on kurjast.
2805260051	Te olete kuulnud, et seadus ütleb: „Silm silma vastu ja hammas hamba vastu.“
2805270085	Aga mina ütlen teile, ära hakka vastu sellele, kes on kuri. Kui keegi lööb sind parema põse pihta, pööra talle ka teine põsk.
2805280052	Kui keegi tahab sind kohtusse kaevata ja võtab su särgi, anna talle ka oma kuub.
2805290043	Kui keegi nõuab, et kõnniksid ühe miili, mine temaga kaks miili.
28052a0058	Anna sellele, kes sinult palub, ja ära pöördu ära sellest, kes tahab sinult laenata.
28052b0055	Te olete kuulnud, et seadus ütleb: „Armasta oma ligimest ja vihka oma vaenlast.“
28052c005e	Aga mina ütlen teile, armastage oma vaenlasi ja palvetage nende eest, kes teid taga kiusavad,
28052d00d0	et te võiksite saada oma taevase Isa lasteks. Sest tema päike paistab nii heade kui halbade peale ning ta laseb vihma sadada nii nende peale, kes toimivad õigesti, kui ka nende peale, kes toimivad valesti.
28052e0072	Sest kui sa armastad ainult neid, kes sind armastavad, mis tasu sa saad? Kas mitte isegi maksukogujad ei tee seda?
28052f0077	Kui sa kõneled lahkelt ainult oma pereliikmetega, mida enamat sa siis teed kui keegi teine? Isegi paganad teevad seda!
2805300065	Kasva suureks ja saa täielikult usaldusväärseks, just nagu teie taevane Isa on usaldusväärne.“
2806010084	„Ära tee oma häid tegusid inimeste ees, lihtsalt selleks, et neid näha oleks. Muidu ei saa sa mingit tasu Isalt, kes on taevas.
28060200e5	Kui sa vaestele annad, ära ole nagu silmakirjatsejad, kes puhuvad pasunaid, et teada anda, mida nad teevad sünagoogides ja tänavatel, nii et inimesed ülistaksid neid. Ma ütlen teile tõde: nad on oma tasu juba kätte saanud.
2806030054	Kui sa annad vaestele, siis ärgu sinu vasak käsi teadku, mida su parem käsi teeb.
280604005b	Nii on see, mida sa annad, salajane, ja su Isa, kes näeb, mis toimub salajas, tasub sulle.
28060500d9	Kui sa palvetad, siis ära ole nagu silmakirjatsejad, sest neile meeldib püsti tõusta ja palvetada sünagoogides ja tänavanurkadel, nii et inimesed neid näeksid. Ma luban teile, nad on oma tasu juba kätte saanud.
280606008d	Aga sina, kui sa palvetad, mine tuppa ja sulge uks ning palveta oma Isa poole salajas, ja su Isa, kes näeb, mis toimub salajas, tasub sulle.
280607008b	Kui sa palvetad, siis ära lobise mõttetult nagu võõrad, kes arvavad, et neid kuuldakse kõigi nende sõnade pärast, mida nad kordavad.
280608005b	Ärge olge nende moodi, sest teie Isa teab, mida te vajate juba enne, kui te temalt palute.
2806090044	Palvetage siis nõnda: „Meie taevane Isa, austatud olgu sinu nimi.
28060a0043	Sinu riik tulgu! Sinu tahe täitugu maa peal samamoodi nagu taevas.
28060b002a	Palun anna meile täna toitu, mida vajame.
28060c0055	Andesta meie patud, nagu meie oleme andestanud neile, kes on meie vastu pattu teinud.
28060d004f	Palun ära lase meil kiusatusele järele anda ja päästa meid kurja käest.“
28060e0063	Sest kui te annate andeks neile, kes teie vastu patustavad, annab ka teie taevane Isa teile andeks.
28060f006c	Aga kui te ei anna andeks neile, kes teie vastu patustavad, siis ei anna teie taevane Isa teie patte andeks.
