2900000005	Marka
290101004d	Pathian Fapa, Jesuh Khrih ih Thuthang Ṭha ih hramthawhnak cu hitih in a si.
2901020075	Profet Isaiah ih nganmi mangin: “‘Zohhnik, na hmai ah ka palai ka thlah thok, Ani nih na zalam a timtuah thok.’
2901030068	Ramṭhing ih mi pakhat hehnak aw nih, ‘Bawipa ih zalam timtuah uh; A zalam cu dingter uh,’ a ti.”
29010400ed	Baptisma petu Johan cu ramṭhing la in a ban ih, sual ngaihthiamnak hrangah sirfaknak baptisma thu a sim. Ani nih mipi pawl sinah, “Nan sual sir uh la baptisma la uh. Cun Pathian nih nan sual pawl nan ta ngaihthiam thok,” tiah a ti.
290105008c	Cun Judea peng pumpi le Jerusalem mi zate pawl cu a sinah an feh. An sualnak pawl an phuang ih Johan hmangin Jordan tikua ah baptisma an co.
290106007f	Johan cu kalauk hmul ih tuahmi hnipuan a hru ih a tai ah saphaw taikap a kap. Cun khabawk le hramlak khuailawti cu caw ah a ei.
2901070099	Cun, a thusipmi cu, “Ka dungih a tiang dingmi pa hi kei nakin a picang sawn, a hmai ah kun pit in a kedap hri phoihsaktu ding hmanah kei cu ka tlak lo.
290108006e	Kei cu ti in baptisma nan ta pe; asinain ani cu Thlarau Thianghlim thawn baptisma nan ta pe thok,” tiah a i.
2901090068	Cuvai ni ah Jesuh cu Galilee peng Nazareth khua in a ban ih Johan hmangin Jordan tikua ah baptisma a la.
29010a0075	Cun Jesuh cu ti sungih a hang suah cangka in van a hong fa ih Thlarau cu thute mangin a tlunih a rong ṭum cu a hmu.
29010b0072	Cun van in aw pakhat nih, “Nang cu ka duhdawt ngaimi ka Fapa na si, na cungah ka lung a kim setak,” tiah a ti.
29010c003a	Hmakhatte ah Thlarau nih Jesuh cu ramṭhing ah a ṭhita.
29010d0075	Cun cuvai hmun ah ni sawmli a um ih Seihtan nih a tukforh. Ramsa pawl thawn an um ih vancungmi pawl nih an tuamhlawm.
29010e005f	Johan thawng an thlak hnukah Jesuh cu Galilee peng ah a feh ih Pathian ih Thuthang Ṭha a sim.
29010f0070	Jesuh nih, “Tikcu a kim i ih Pathian uknak a nai i! Nan sual sir u la Thuthang Ṭha cu zum uh!” tiah a sim.
290110008c	Jesuh cu Galilee Tili kap ih a feh laiah, Simon le a unaupa Andru cu nga tlaitu an ih ruangah, tili sungah sur an vorh berbo lai a hmu hnei.
2901110062	Cun Jesuh nih an sinah, “Ka thlun uh, cule minung tlaitu ah nan ta tuah thok,” tiah a ti hnei.
290112003f	Hmakhatte ah an ni nih an sur pawl an ramta ih a dung an thlun.
2901130085	Cun Jesuh cu a hlat deuhnak ah a feh ih, Zebedi ih fapa James le a unaupa Johan lawng sungih an sur pawl an rep berbo lai a hmu hnei.
2901140073	Hmakhatte ah Jesuh nih a ko hnei ih, an pa Zebedi cu an tlakfa pawl thawn lawng sungah an ramta ih a dung an thlun.
290115007c	Jesuh le a dungthluntu pawl cu Kapernaum khua ah an feh, a zingla Sabbath ni ah Jesuh cu Sinakok ah a lut ih thuzirh a thok.
290116006d	A thuzirhmi ah an mang a bang, zangahtihle Daanthiam pawl mang i lo in, ani cu thuneitu pakhat mangin a zirh.
