010000000b	1 Mooseksen
0101010022	Alussa loi Jumala taivaan ja maan.
0101020068	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä.
0101030032	Ja Jumala sanoi: tulkoon valkeus, ja valkeus tuli.
010104004e	Ja Jumala näki valkeuden hyväksi. Niin Jumala eroitti valkeuden pimeydestä:
0101050077	Ja Jumala kutsui valkeuden päiväksi, ja pimeyden kutsui hän yöksi. Ja tuli ehtoosta ja aamusta ensimäinen päivä.
010106004f	Ja Jumala sanoi: tulkoon vahvuus vetten vaiheelle, eroittamaan vesiä vesistä.
010107008a	Ja Jumala teki vahvuuden, ja eroitti vedet, jotka ovat vahvuuden alla, niistä vesistä, jotka ovat vahvuuden päällä: ja tapahtui niin.
0101080051	Ja Jumala kutsui vahvuuden taivaaksi. Ja tuli ehtoosta ja aamusta toinen päivä.
0101090072	Ja Jumala sanoi: kokoontukoon vedet taivaan alla erinomaiseen paikkaan, niin että kuiva näkyy. Ja tapahtui niin.
01010a0066	Ja Jumala kutsui kuivan maaksi, ja vetten kokoukset hän kutsui mereksi. Ja Jumala näki sen hyväksi.
01010b00c1	Ja Jumala sanoi: vihoittakoon maa, ja kasvakoon ruohon, jossa siemen on, ja hedelmälliset puut, jotka hedelmän kantavat lajinsa jälkeen, jossa sen siemen on maan päällä. Ja tapahtui niin.
01010c00ab	Ja maa vihoitti ja kasvoi ruohon, jossa siemen oli lajinsa jälkeen, ja hedelmälliset puut, joiden siemen oli itsessänsä lajinsa jälkeen. Ja Jumala näki sen hyväksi.
01010d002b	Ja tuli ehtoosta ja aamusta kolmas päivä.
01010e0092	Ja Jumala sanoi: tulkoon valkeudet taivaan vahvuuteen, eroittamaan päivää ja yötä: ja olkoon merkeiksi, ja ajoiksi, ja päiviksi ja vuosiksi.
01010f0056	Ja olkoon valkeudeksi taivaan vahvuudessa, paistamaan maan päälle. Ja tapahtui niin.
010110008b	Ja Jumala teki kaksi suurta valkeutta: suuremman valkeuden päivää hallitsemaan, ja vähemmän valkeuden yötä hallitsemaan, ja tähdet.
010111003f	Ja Jumala pani ne taivaan vahvuuteen, paistamaan maan päälle.
0101120069	Ja hallitsemaan päivää ja yötä, ja eroittamaan valkeutta ja pimeyttä. Ja Jumala näki sen hyväksi.
010113002c	Ja tuli ehtoosta ja aamusta naljäs päivä.
0101140082	Ja Jumala sanoi: kuohuttakoon vedet yltäkyllä liikkuvaisia eläimiä, ja linnut lentäköön maan päällä taivaan avaruudessa.
01011500d8	Ja Jumala loi suuret valaskalat, ja kaikkinaiset liikkuvaiset eläimet, jotka vedet kuohuttivat yltäkyllä kunkin lajinsa jälkeen, ja kaikkinaiset siivilliset linnut, lajinsa jälkeen. Ja Jumala näki sen hyväksi.
0101160099	Ja Jumala siunasi heitä, ja sanoi: olkaat hedelmälliset ja lisääntykäät, ja täyttäkäät meren vedet, ja linnut lisääntyköön veden päällä.
010117002b	Ja tuli ehtoosta ja aamusta viides päivä.
010118007c	Ja Jumala sanoi: tuottakoon maa eläimet lajinsa jälkeen, karjan, madot ja pedot maalle lajinsa jälkeen. Ja tapahtui niin.
