010000000b	1 Mooseksen
0101010022	Alussa loi Jumala taivaan ja maan.
0101020068	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä.
0101030034	Ja Jumala sanoi: "Tulkoon valkeus". Ja valkeus tuli.
0101040051	Ja Jumala näki, että valkeus oli hyvä; ja Jumala erotti valkeuden pimeydestä.
0101050079	Ja Jumala kutsui valkeuden päiväksi, ja pimeyden hän kutsui yöksi. Ja tuli ehtoo, ja tuli aamu, ensimmäinen päivä.
0101060054	Ja Jumala sanoi: "Tulkoon taivaanvahvuus vetten välille erottamaan vedet vesistä".
0101070099	Ja Jumala teki taivaanvahvuuden ja erotti vedet, jotka olivat taivaanvahvuuden alla, vesistä, jotka olivat taivaanvahvuuden päällä; ja tapahtui niin.
0101080052	Ja Jumala kutsui vahvuuden taivaaksi. Ja tuli ehtoo, ja tuli aamu, toinen päivä.
0101090084	Ja Jumala sanoi: "Kokoontukoot vedet, jotka ovat taivaan alla, yhteen paikkaan, niin että kuiva tulee näkyviin". Ja tapahtui niin.
01010a0085	Ja Jumala kutsui kuivan maaksi, ja paikan, mihin vedet olivat kokoontuneet, hän kutsui mereksi. Ja Jumala näki, että se oli hyvä.
01010b00c3	Ja Jumala sanoi: "Kasvakoon maa vihantaa, ruohoja, jotka tekevät siementä, ja hedelmäpuita, jotka lajiensa mukaan kantavat maan päällä hedelmää, jossa niiden siemen on". Ja tapahtui niin:
01010c00bb	maa tuotti vihantaa, ruohoja, jotka tekivät siementä lajiensa mukaan, ja puita, jotka lajiensa mukaan kantoivat hedelmää, jossa niiden siemen oli. Ja Jumala näki, että se oli hyvä.
01010d002c	Ja tuli ehtoo, ja tuli aamu, kolmas päivä.
01010e0090	Ja Jumala sanoi: "Tulkoot valot taivaanvahvuuteen erottamaan päivää yöstä, ja olkoot ne merkkeinä osoittamassa aikoja, päiviä ja vuosia,
01010f0052	ja olkoot valoina taivaanvahvuudella paistamassa maan päälle". Ja tapahtui niin:
010110007e	Jumala teki kaksi suurta valoa, suuremman valon hallitsemaan päivää ja pienemmän valon hallitsemaan yötä, sekä tähdet.
010111003d	Ja Jumala pani ne taivaanvahvuuteen, paistamaan maan päälle
0101120068	ja hallitsemaan päivää ja yötä ja erottamaan valon pimeästä. Ja Jumala näki, että se oli hyvä.
010113002d	Ja tuli ehtoo, ja tuli aamu, neljäs päivä.
0101140075	Ja Jumala sanoi: "Viliskööt vedet eläviä olentoja, ja lentäkööt linnut maan päällä, taivaanvahvuuden alla".
01011500da	Ja Jumala loi suuret merieläimet ja kaikkinaiset liikkuvat, vesissä vilisevät elävät olennot, kunkin lajinsa mukaan, ja kaikkinaiset siivekkäät linnut, kunkin lajinsa mukaan. Ja Jumala näki, että se oli hyvä.
010116008f	Ja Jumala siunasi ne sanoen: "Olkaa hedelmälliset ja lisääntykää ja täyttäkää meren vedet, ja linnut lisääntykööt maan päällä".
010117002c	Ja tuli ehtoo, ja tuli aamu, viides päivä.
01011800a1	Ja Jumala sanoi: "Tuottakoon maa elävät olennot, kunkin lajinsa mukaan, karjaeläimet ja matelijat ja metsäeläimet, kunkin lajinsa mukaan". Ja tapahtui niin:
