0100000007	Genèse
0101010032	Au commencement, Dieu créa les cieux et la terre.
0101020090	La terre était informe et vide. Les ténèbres étaient à la surface de l'abîme et l'Esprit de Dieu planait au-dessus de la surface des eaux.
0101030037	Dieu dit: «Que la lumière soit!» et la lumière fut.
0101040065	Dieu vit la lumière, et il vit qu'elle était bonne. Dieu sépara la lumière d'avec les ténèbres.
0101050086	Dieu appela la lumière «jour», et il appela les ténèbres «nuit». Il y eut un soir et il y eut un matin: ce fut le premier jour.
0101060067	Dieu dit: «Qu'il y ait une étendue au milieu des eaux, et qu'elle sépare les eaux d'avec les eaux.»
0101070094	Dieu fit l'étendue, et il sépara les eaux qui étaient au-dessous de l'étendue des eaux qui étaient au-dessus de l'étendue; et il en fut ainsi.
0101080057	Dieu appela l'étendue «ciel». Il y eut un soir et il y eut un matin, un second jour.
0101090087	Dieu dit: «Que les eaux qui sont sous le ciel se rassemblent en un seul lieu, et que la terre sèche apparaisse»; et il en fut ainsi.
01010a0074	Dieu appela la terre sèche «terre», et il appela le rassemblement des eaux «mer». Dieu vit que cela était bon.
01010b00b0	Dieu dit: «Que la terre produise de l'herbe, des herbes portant des graines, et des arbres fruitiers portant des fruits selon leur espèce, avec leurs graines, sur la terre».
01010c00cc	La terre produisit de l'herbe, des herbes portant de la semence selon leur espèce, et des arbres fruitiers portant du fruit selon leur espèce, avec leur semence en elle; et Dieu vit que cela était bon.
01010d0042	Il y eut un soir, et il y eut un matin: ce fut le troisième jour.
01010e00b4	Dieu dit: «Qu'il y ait des luminaires dans l'étendue du ciel pour séparer le jour d'avec la nuit, et qu'ils servent de signes pour marquer les saisons, les jours et les années;
01010f0052	et qu'ils servent de luminaires dans l'étendue du ciel pour éclairer la terre».
0101100092	Dieu fit les deux grands luminaires: le grand luminaire pour régir le jour, et le petit luminaire pour régir la nuit. Il fit aussi les étoiles.
0101110040	Dieu les plaça dans l'étendue du ciel pour éclairer la terre,
010112006b	pour dominer le jour et la nuit, et pour séparer la lumière des ténèbres. Dieu vit que cela était bon.
0101130041	Il y eut un soir et il y eut un matin: ce fut le quatrième jour.
010114007f	Dieu dit: «Que les eaux regorgent d'êtres vivants, et que les oiseaux volent au-dessus de la terre dans l'étendue du ciel.»
01011500c4	Dieu créa les grands animaux marins et tous les êtres vivants qui se meuvent, dont les eaux fourmillent, selon leur espèce, et tout oiseau ailé selon son espèce. Dieu vit que cela était bon.
0101160089	Dieu les bénit, en disant: «Soyez féconds, multipliez, remplissez les eaux des mers, et que les oiseaux se multiplient sur la terre.»
0101170042	Il y eut un soir, et il y eut un matin: ce fut le cinquième jour.
01011800a6	Dieu dit: «Que la terre produise des êtres vivants selon leur espèce, du bétail, des reptiles et des animaux de la terre selon leur espèce»; et il en fut ainsi.
01011900a3	Dieu fit les animaux de la terre selon leur espèce, le bétail selon son espèce, et tout ce qui rampe sur le sol selon son espèce. Dieu vit que cela était bon.
01011a00e2	Dieu dit: «Faisons l'homme à notre image, selon notre ressemblance. Qu'ils dominent sur les poissons de la mer, sur les oiseaux du ciel, sur le bétail, sur toute la terre et sur tous les reptiles qui rampent sur la terre.»
01011b0062	Dieu a créé l'homme à son image. Il le créa à l'image de Dieu; il les créa mâle et femelle.
01011c00c7	Dieu les bénit. Dieu leur dit: «Soyez féconds, multipliez, remplissez la terre et soumettez-la. Dominez les poissons de la mer, les oiseaux du ciel et tout être vivant qui se meut sur la terre.»
01011d00c3	Dieu dit: «Voici, je vous ai donné toute herbe portant de la semence, qui est à la surface de toute la terre, et tout arbre portant du fruit et portant de la semence. Ce sera votre nourriture.
01011e009a	A tout animal de la terre, à tout oiseau du ciel, et à tout ce qui rampe sur la terre et qui a de la vie, j'ai donné toute herbe verte pour nourriture.
01011f007c	Dieu vit tout ce qu'il avait fait, et voici, cela était très bon. Il y eut un soir et il y eut un matin, un sixième jour.
010201003b	Les cieux, la terre et toute leur étendue furent achevés.
0102020071	Le septième jour, Dieu acheva l'œuvre qu'il avait faite, et il se reposa au septième jour de toute son œuvre.
0102030084	Dieu bénit le septième jour et le sanctifia, parce qu'il se reposa en ce jour de toute l'œuvre de la création qu'il avait faite.
0102040089	Voici l'histoire des générations des cieux et de la terre, quand ils furent créés, au jour où Yahvé Dieu fit la terre et les cieux.
01020500d2	Aucune plante des champs n'était encore sur la terre, et aucune herbe des champs n'avait encore poussé, car Yahvé Dieu n'avait pas fait pleuvoir sur la terre. Il n'y avait pas d'homme pour cultiver la terre,
0102060047	mais une brume montait de la terre et arrosait toute la surface du sol.
010207008a	Yahvé Dieu forma l'homme de la poussière de la terre, il souffla dans ses narines une haleine de vie, et l'homme devint un être vivant.
010208005b	Yahvé Dieu planta un jardin à l'orient, en Éden, et il y mit l'homme qu'il avait formé.
01020900b4	Yahvé Dieu fit pousser du sol tous les arbres agréables à la vue et bons à manger, y compris l'arbre de vie au milieu du jardin et l'arbre de la connaissance du bien et du mal.
01020a0070	Un fleuve sortait d'Eden pour arroser le jardin; de là, il se divisait et devenait la source de quatre fleuves.
01020b0057	Le nom du premier est Pishon; il coule dans tout le pays de Havila, où il y a de l'or;
01020c0051	et l'or de ce pays est bon. On y trouve aussi du bdellium et de la pierre d'onyx.
01020d005e	Le nom du second fleuve est Gihon. C'est le même fleuve qui coule dans tout le pays de Cusch.
01020e0077	Le nom du troisième fleuve est Hiddékel. C'est celui qui coule devant l'Assyrie. Le quatrième fleuve est l'Euphrate.
01020f005a	Yahvé Dieu prit l'homme et le plaça dans le jardin d'Eden pour le cultiver et le garder.
0102100060	Yahvé Dieu donna cet ordre à l'homme: «Tu peux manger librement de tous les arbres du jardin;
0102110076	mais tu ne mangeras pas de l'arbre de la connaissance du bien et du mal, car le jour où tu en mangeras, tu mourras.»
0102120070	Yahvé Dieu dit: «Il n'est pas bon que l'homme soit seul. Je vais lui faire une aide qui lui soit comparable.»
01021300d7	Yahvé Dieu forma de la terre tous les animaux des champs et tous les oiseaux du ciel, et il les amena à l'homme pour voir comment il les appellerait. Le nom que l'homme donna à chaque être vivant devint son nom.
01021400aa	L'homme donna des noms à tout le bétail, aux oiseaux du ciel et à tous les animaux des champs; mais il ne fut pas trouvé pour l'homme un auxiliaire comparable à lui.
0102150089	Yahvé Dieu fit tomber l'homme dans un profond sommeil. Comme l'homme dormait, il prit une de ses côtes et referma la chair à sa place.
010216005d	Yahvé Dieu fit une femme de la côte qu'il avait prise à l'homme, et il l'amena à l'homme.
0102170079	L'homme dit: «Voici l'os de mes os et la chair de ma chair. On l'appellera femme, parce qu'elle est sortie de l'homme».
0102180071	C'est pourquoi l'homme quittera son père et sa mère, et s'attachera à sa femme, et ils seront une seule chair.
0102190046	L'homme et sa femme étaient tous deux nus, et ils n'ont pas eu honte.
01030100ba	Or le serpent était plus rusé qu'aucun des animaux des champs que Yahvé Dieu avait faits. Il dit à la femme: «Dieu a-t-il vraiment dit: «Tu ne mangeras d'aucun arbre du jardin»?»
010302004d	La femme dit au serpent: «Nous pouvons manger du fruit des arbres du jardin,
0103030096	mais pas du fruit de l'arbre qui est au milieu du jardin. Dieu a dit: Vous n'en mangerez pas. Vous ne le toucherez pas, de peur que vous ne mouriez.»
0103040039	Le serpent dit à la femme: «Tu ne mourras pas vraiment,
010305007c	car Dieu sait que le jour où tu en mangeras, tes yeux s'ouvriront, et tu seras comme Dieu, connaissant le bien et le mal.»
0103060103	La femme vit que l'arbre était bon pour la nourriture, qu'il était un plaisir pour les yeux et qu'il devait être désiré pour rendre sage, elle prit de ses fruits et en mangea. Elle en donna ensuite à son mari qui était avec elle, et il en mangea aussi.
0103070095	Leurs yeux s'ouvrirent, et ils connurent tous deux qu'ils étaient nus. Ils cousirent ensemble des feuilles de figuier, et se firent des couvertures.
01030800c1	Ils entendirent la voix de Yahvé Dieu qui se promenait dans le jardin, à la fraîcheur du jour, et l'homme et sa femme se cachèrent de la présence de Yahvé Dieu parmi les arbres du jardin.
0103090035	Yahvé Dieu appela l'homme et lui dit: «Où es-tu?»
01030a0070	L'homme dit: «J'ai entendu ta voix dans le jardin, et j'ai eu peur, car j'étais nu; alors je me suis caché.»
01030b0064	Dieu dit: «Qui t'a dit que tu étais nu? As-tu mangé de l'arbre dont je t'ai interdit de manger?»
01030c0078	L'homme dit: «La femme que tu as donnée pour être avec moi, elle m'a donné du fruit de l'arbre, et j'en ai mangé.»
01030d006c	Yahvé Dieu dit à la femme: «Qu'as-tu fait?» La femme a dit: «Le serpent m'a séduite, et j'ai mangé.»
01030e00e4	Yahvé Dieu dit au serpent, «Parce que tu as fait ça, vous êtes maudits par-dessus tout le bétail, et au-dessus de tous les animaux des champs. Tu iras sur ton ventre et tu mangeras de la poussière tous les jours de ta vie.
01030f009b	Je mettrai de l'hostilité entre toi et la femme, et entre ta descendance et sa descendance. Il va vous meurtrir la tête, et tu lui meurtriras le talon.»
01031000bc	Il dit à la femme, «Je multiplierai considérablement les douleurs de l'accouchement. Vous porterez des enfants dans la douleur. Ton désir sera pour ton mari, et il dominera sur vous.»
01031100fb	Il dit à Adam, «Parce que vous avez écouté la voix de votre femme, et ont mangé de l'arbre, sur lequel je vous ai dit: «Vous n'en mangerez pas». le sol est maudit à cause de vous. Tu en mangeras avec beaucoup de peine tous les jours de ta vie.
0103120051	Il vous donnera des épines et des chardons; et vous mangerez l'herbe des champs.
01031300ae	Tu mangeras du pain à la sueur de ton visage jusqu'à ce que tu retournes à la terre, car tu en es sorti. Car vous êtes poussière, et vous retournerez à la poussière.»
010314004a	L'homme appela sa femme Eve, car elle serait la mère de tous les vivants.
0103150058	Yahvé Dieu fit des vêtements de peaux de bêtes pour Adam et sa femme, et les habilla.
01031600e8	Yahvé Dieu dit: «Voici que l'homme est devenu comme l'un de nous, il connaît le bien et le mal. Maintenant, de peur qu'il n'étende sa main, qu'il ne prenne aussi de l'arbre de vie, qu'il ne mange et qu'il ne vive éternellement.
010317005b	Yahvé Dieu le chassa du jardin d'Eden, pour qu'il cultive le sol dont il avait été pris.
01031800ad	Il chassa l'homme, et il plaça des chérubins à l'est du jardin d'Eden, et une épée flamboyante qui se tournait de tous côtés, pour garder le chemin de l'arbre de vie.
010401007f	L'homme connut Eve, sa femme. Elle conçut et donna naissance à Caïn, et dit: «J'ai obtenu un homme avec l'aide de Yahvé.»
0104020084	Elle donna de nouveau naissance à Abel, frère de Caïn. Abel était gardien de moutons, mais Caïn était cultivateur de la terre.
010403004d	Au fil du temps, Caïn apporta une offrande à Yahvé avec les fruits du sol.
0104040077	Abel apporta aussi une partie des premiers-nés de son troupeau et de sa graisse. Yahvé respecta Abel et son offrande,
010405006c	mais il ne respecta pas Caïn et son offrande. Caïn fut très irrité, et l'expression de son visage tomba.
0104060067	Yahvé dit à Caïn: «Pourquoi es-tu en colère? Pourquoi l'expression de ton visage est-elle tombée?
01040700ac	Si tu fais bien, ne sera-t-elle pas élevée? Si tu ne fais pas le bien, le péché est accroupi à la porte. C'est toi qu'il désire, mais c'est toi qui dois le dominer.»
0104080094	Caïn dit à Abel, son frère: «Allons dans le champ.» Pendant qu'ils étaient dans le champ, Caïn se souleva contre Abel, son frère, et le tua.
0104090072	Yahvé dit à Caïn: «Où est Abel, ton frère?» Il a dit: «Je ne sais pas. Suis-je le gardien de mon frère?»
01040a0059	Yahvé dit: «Qu'as-tu fait? La voix du sang de ton frère crie vers moi depuis la terre.
01040b0075	Maintenant, tu es maudit à cause de la terre, qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
01040c007e	Désormais, quand tu laboureras la terre, elle ne te cédera plus sa force. Tu seras un fugitif et un vagabond sur la terre.»
01040d0052	Caïn dit à Yahvé: «Mon châtiment est plus grand que ce que je peux supporter.
01040e00af	Voici, tu m'as chassé aujourd'hui de la surface de la terre. Je serai caché de ta face, et je serai un fugitif et un vagabond sur la terre. Celui qui me trouvera me tuera.»
01040f00b5	Yahvé lui dit: «C'est pourquoi, si quelqu'un tue Caïn, il se vengera sept fois plus.» Yahvé avait prévu un signe pour Caïn, afin que celui qui le trouverait ne le frappe pas.
0104100053	Caïn quitta la présence de Yahvé et habita dans le pays de Nod, à l'est d'Eden.
010411008f	Caïn connut sa femme. Elle devint enceinte et donna naissance à Hénoc. Il bâtit une ville, et donna à la ville le nom de son fils, Hénoc.
010412007a	Irad naquit d'Hénoc. Irad devint le père de Mehujael. Mehujael devint le père de Methushael. Methushael engendra Lamek.
0104130060	Lamek prit deux femmes: le nom de la première était Ada, et le nom de la seconde était Zilla.
010414006a	Ada donna naissance à Jabal, qui fut le père de ceux qui habitent dans des tentes et qui ont du bétail.
0104150069	Le nom de son frère était Jubal, qui était le père de tous ceux qui manient la harpe et le chalumeau.
0104160094	Zilla donna aussi naissance à Tubal Caïn, le forgeur de tous les instruments tranchants en bronze et en fer. La sœur de Tubal Caïn était Naama.
01041700b7	Lamek dit à ses femmes, «Adah et Zillah, entendez ma voix. Femmes de Lamech, écoutez mon discours, car j'ai tué un homme pour m'avoir blessé, un jeune homme pour m'avoir meurtri.
0104180049	Si Caïn sera vengé sept fois, vraiment Lamech soixante-dix-sept fois.»
01041900ad	Adam connut de nouveau sa femme. Elle donna naissance à un fils, qu'elle appela Seth, en disant: «Dieu m'a donné un autre enfant à la place d'Abel, car Caïn l'a tué.»
01041a007b	Un fils naquit aussi à Seth, et il le nomma Enosh. En ce temps-là, les hommes commencèrent à invoquer le nom de Yahvé.
010501006e	Voici le livre des générations d'Adam. Le jour où Dieu créa l'homme, il le fit à la ressemblance de Dieu.
0105020068	Il les créa homme et femme, et les bénit. Le jour où ils furent créés, il leur donna le nom d'Adam.
0105030075	Adam vécut cent trente ans; il engendra un fils à sa ressemblance, selon son image, et il lui donna le nom de Seth.
010504007d	Les jours d'Adam, après qu'il eut engendré Seth, furent de huit cents ans, et il engendra d'autres fils et d'autres filles.
010505004d	Tous les jours qu'Adam vécut furent de neuf cent trente ans, puis il mourut.
0105060038	Seth vécut cent cinq ans, puis devint le père d'Enosh.
010507006f	Seth vécut, après avoir engendré Enosh, huit cent sept ans, et il engendra d'autres fils et d'autres filles.
0105080045	Tous les jours de Seth furent de neuf cent douze ans, puis il mourut.
0105090038	Enosh vécut quatre-vingt-dix ans, et il engendra Kenan.
01050a0073	Enosh vécut, après avoir engendré Kénan, huit cent quinze ans, et il engendra d'autres fils et d'autres filles.
01050b0045	Tous les jours d'Énosh furent de neuf cent cinq ans, puis il mourut.
01050c003a	Kenan vécut soixante-dix ans, puis il engendra Mahalalel.
01050d0075	Kenan vécut, après avoir engendré Mahalalel, huit cent quarante ans; il engendra d'autres fils et d'autres filles.
01050e0044	Tous les jours de Kenan furent de neuf cent dix ans, puis il mourut.
01050f0042	Mahalalel vécut soixante-cinq ans, puis devint le père de Jared.
0105100076	Mahalalel vécut, après avoir engendré Jared, huit cent trente ans, et il engendra d'autres fils et d'autres filles.
0105110058	Tous les jours de Mahalalel furent de huit cent quatre-vingt-quinze ans, puis il mourut.
0105120043	Jared vécut cent soixante-deux ans, puis devint le père d'Hénoc.
010513006d	Jared vécut, après avoir engendré Hénoc, huit cents ans, et il engendra d'autres fils et d'autres filles.
010514004e	Tous les jours de Jared furent de neuf cent soixante-deux ans, puis il mourut.
0105150044	Hénoc vécut soixante-cinq ans, puis devint le père de Mathusalem.
0105160084	Après la naissance de Mathusalem, Hénoc marcha avec Dieu pendant trois cents ans, et il engendra d'autres fils et d'autres filles.
010517003f	Tous les jours d'Hénoc furent de trois cent soixante-cinq ans.
0105180044	Hénoc marcha avec Dieu, et il ne fut pas trouvé, car Dieu le prit.
010519004c	Mathusalem vécut cent quatre-vingt-sept ans, puis devint le père de Lamek.
01051a0083	Mathusalem vécut, après avoir engendré Lémec, sept cent quatre-vingt-deux ans, et il engendra d'autres fils et d'autres filles.
01051b0053	Tous les jours de Mathusalem furent de neuf cent soixante-neuf ans, puis il mourut.
01051c0043	Lémec vécut cent quatre-vingt-deux ans, puis il engendra un fils.
01051d009d	Il lui donna le nom de Noé, en disant: «Celui-ci nous consolera dans notre travail et dans le labeur de nos mains, causé par le sol que Yahvé a maudit.»
01051e0075	Lamek vécut, après avoir engendré Noé, cinq cent quatre-vingt-quinze ans, et il engendra d'autres fils et filles.
01051f0053	Tous les jours de Lémec furent de sept cent soixante-dix-sept ans, puis il mourut.
0105200056	Noé avait cinq cents ans, puis Noé est devenu le père de Sem, de Cham et de Japhet.
010601006e	Lorsque les hommes commencèrent à se multiplier sur la surface de la terre et que des filles leur naquirent,
010602007d	les fils de Dieu virent que les filles des hommes étaient belles, et ils prirent pour femmes toutes celles qu'ils voulurent.
0106030087	Yahvé dit: «Mon Esprit ne luttera pas toujours avec l'homme, car lui aussi est chair; aussi ses jours seront-ils de cent vingt ans.»
01060400e5	Les Nephilim étaient sur la terre en ces jours-là, et aussi après, lorsque les fils de Dieu s'approchèrent des filles des hommes et eurent des enfants avec elles. Ce sont les hommes puissants d'autrefois, les hommes de renom.
01060500ad	L'Éternel vit que la méchanceté de l'homme était grande sur la terre, et que toutes les imaginations des pensées du cœur de l'homme étaient continuellement mauvaises.
010606006c	L'Éternel se désolait d'avoir créé l'homme sur la terre, et cela lui faisait de la peine dans son cœur.
01060700bb	Yahvé dit: «Je vais détruire l'homme que j'ai créé sur la surface de la terre, l'homme, les animaux, les reptiles et les oiseaux du ciel, car je suis désolé de les avoir créés.»
010608002b	Mais Noé trouva grâce aux yeux de Yahvé.
010609008c	Voici l'histoire des générations de Noé: Noé était un homme juste, irréprochable parmi les gens de son temps. Noé marchait avec Dieu.
01060a003c	Noé est devenu le père de trois fils: Sem, Cham et Japhet.
01060b004e	La terre était corrompue devant Dieu, et la terre était remplie de violence.
01060c006b	Dieu regarda la terre et vit qu'elle était corrompue, car toute chair avait corrompu sa voie sur la terre.
01060d009c	Dieu dit à Noé: «Je vais faire disparaître toute chair, car la terre est remplie de violence par elle. Voici que je vais les détruire, eux et la terre.
01060e0086	Fais un navire en bois de gopher. Tu feras des chambres dans le navire, et tu le scelleras de poix à l'intérieur et à l'extérieur.
01060f0091	Voici comment tu le feras. La longueur du navire sera de trois cents coudées, sa largeur de cinquante coudées et sa hauteur de trente coudées.
01061000c3	Tu feras un toit dans le navire, et tu l'achèveras jusqu'à une coudée en haut. Tu placeras la porte du navire sur son côté. Tu le feras avec un premier, un deuxième et un troisième étage.
0106110098	Moi, je ferai venir le déluge d'eau sur cette terre, pour détruire toute chair ayant souffle de vie sous le ciel. Tout ce qui est sur la terre mourra.
0106120083	Mais j'établirai mon alliance avec vous. Vous monterez dans le navire, toi, tes fils, ta femme et les femmes de tes fils avec toi.
0106130090	De tous les êtres vivants de toute chair, tu en feras entrer deux dans le navire, pour les garder en vie avec toi. Ils seront mâle et femelle.
01061400a8	Des oiseaux selon leur espèce, du bétail selon son espèce, de tout reptile du sol selon son espèce, deux de chaque espèce viendront à toi, pour les garder en vie.
010615007e	Prends avec toi une partie de tout ce qui se mange, et ramasse-le pour toi; cela te servira de nourriture, à toi et à eux.»
010616003b	Noé fit ainsi. Il fit tout ce que Dieu lui avait ordonné.
010701007d	Yahvé dit à Noé: «Entre dans le navire avec toute ta famille, car j'ai vu ta justice devant moi, dans cette génération.
010702009e	Tu prendras avec toi sept couples de chaque animal pur, le mâle et sa femelle. Des animaux qui ne sont pas purs, tu en prendras deux, le mâle et sa femelle.
010703007b	Et aussi des oiseaux du ciel, sept et sept, mâle et femelle, pour faire vivre la semence sur la surface de toute la terre.
01070400a4	En sept jours, je ferai pleuvoir sur la terre pendant quarante jours et quarante nuits. Je détruirai tout être vivant que j'ai créé à la surface de la terre.»
010705002f	Noé fit tout ce que Yahvé lui avait ordonné.
0107060045	Noé avait six cents ans lorsque le déluge d'eaux vint sur la terre.
0107070061	Noé monta dans le bateau avec ses fils, sa femme et les femmes de ses fils, à cause du déluge.
0107080051	Les animaux purs, les animaux impurs, les oiseaux et tout ce qui rampe sur le sol
0107090065	allèrent par paires vers Noé dans le bateau, mâle et femelle, comme Dieu l'avait ordonné à Noé.
01070a0044	Après les sept jours, les eaux du déluge arrivèrent sur la terre.
01070b00bf	La six centième année de la vie de Noé, au deuxième mois, le dix-septième jour du mois, en ce jour, toutes les sources du grand abîme éclatèrent, et les fenêtres du ciel s'ouvrirent.
01070c003a	Il pleuvait sur la terre quarante jours et quarante nuits.
01070d009b	Ce même jour, Noé, Sem, Cham et Japhet, les fils de Noé, ainsi que la femme de Noé et les trois femmes de ses fils avec eux, montèrent dans le navire,
01070e00d8	eux et tous les animaux selon leur espèce, tout le bétail selon son espèce, tous les reptiles qui rampent sur la terre selon leur espèce, et tous les oiseaux selon leur espèce, tous les oiseaux de toute espèce.
01070f005f	Des couples de toute chair ayant en eux une haleine de vie montèrent dans le bateau vers Noé.
0107100074	Ceux qui entrèrent, entrèrent mâle et femelle de toute chair, comme Dieu l'avait ordonné; puis Yahvé l'enferma.
010711007e	Le déluge fut quarante jours sur la terre. Les eaux grossirent et soulevèrent le navire, qui s'éleva au-dessus de la terre.
0107120069	Les eaux montèrent et s'élevèrent très haut sur la terre, et le navire flotta à la surface des eaux.
010713007c	Les eaux s'élevèrent très haut sur la terre. Toutes les hautes montagnes qui étaient sous tout le ciel furent couvertes.
010714004d	Les eaux s'élevèrent de quinze coudées, et les montagnes furent couvertes.
0107150095	Toute chair qui se mouvait sur la terre mourut, les oiseaux, le bétail, les animaux, tous les reptiles qui rampent sur la terre, et tous les hommes.
0107160071	Tout ce qui était sur la terre ferme, dans les narines duquel se trouvait le souffle de l'esprit de vie, mourut.
01071700ed	Tout être vivant qui était à la surface de la terre fut détruit, y compris l'homme, le bétail, les reptiles et les oiseaux du ciel. Ils furent détruits de la terre. Il ne resta que Noé et ceux qui étaient avec lui dans le bateau.
010718003b	Les eaux inondèrent la terre pendant cent cinquante jours.
01080100a9	Dieu se souvint de Noé, de tous les animaux et de tout le bétail qui étaient avec lui dans le navire; et Dieu fit passer un vent sur la terre. Les eaux s'apaisèrent.
