0100000007	Genèse
0101010031	Au commencement DIEU créa les cieux et la terre.
0101020094	Et la terre était sans forme, et vide, et les ténèbres [étaient] sur la face de l'abîme; et l'Esprit de Dieu se mouvait sur le dessus des eaux.
0101030036	Et Dieu dit: Que la lumière soit; et la lumière fut.
0101040055	Et Dieu vit que la lumière était bonne; et Dieu sépara la lumière des ténèbres.
010105007a	Et Dieu nomma la lumière, jour; et les ténèbres, nuit. Ainsi fut le soir, ainsi fut le matin; [ce fut] le premier jour.
0101060064	Puis Dieu dit: Qu'il y ait une étendue entre les eaux, et qu'elle sépare les eaux d'avec les eaux.
0101070094	Dieu donc fit l'étendue, et il sépara les eaux qui sont au-dessous de l'étendue, d'avec celles qui sont au-dessus de l'étendue, et il fut ainsi.
0101080060	Et Dieu nomma l'étendue, cieux. Ainsi fut le soir, ainsi fut le matin; [ce fut] le second jour.
0101090082	Puis Dieu dit: Que les eaux qui sont au-dessous des cieux soient rassemblées en un lieu, et que le sec paraisse; et il fut ainsi.
01010a0060	Et Dieu nomma le sec, terre; et il nomma l'amas des eaux, mers; et Dieu vit que cela était bon.
01010b00cf	Puis Dieu dit: Que la terre pousse son jet, de l'herbe portant de la semence, et des arbres fruitiers, portant du fruit selon leur espèce, qui aient leur semence en eux-mêmes sur la terre; et il fut ainsi.
01010c00da	La terre donc produisit son jet, [savoir] de l'herbe portant de la semence selon son espèce; et des arbres portant du fruit, qui avaient leur semence en eux-mêmes, selon leur espèce; et Dieu vit que cela était bon.
01010d0043	Ainsi fut le soir, ainsi fut le matin; [ce fut] le troisième jour.
01010e00bd	Puis Dieu dit: Qu'il y ait des luminaires dans l'étendue des cieux, pour séparer la nuit d'avec le jour, et qui servent de signes pour les saisons, et pour les jours, et pour les années;
01010f0064	Et qui soient pour luminaires dans l'étendue des cieux, afin d'éclairer la terre; et il fut ainsi.
010110009c	Dieu donc fit deux grands luminaires, le plus grand luminaire pour dominer sur le jour, et le moindre pour dominer sur la nuit; [il fit] aussi les étoiles.
0101110042	Et Dieu les mit dans l'étendue des cieux pour éclairer la terre,
0101120079	Et pour dominer sur le jour et sur la nuit, et pour séparer la lumière des ténèbres; et Dieu vit que cela était bon.
0101130043	Ainsi fut le soir, ainsi fut le matin; [ce fut] le quatrième jour.
01011400a6	Puis Dieu dit: Que les eaux produisent en toute abondance des reptiles qui aient vie; et [qu'il y ait] des oiseaux, qui volent sur la terre vers l'étendue des cieux.
01011500ed	Dieu donc créa les grandes baleines et tous les animaux se mouvant, lesquels les eaux produisirent en toute abondance, selon leur espèce; [il créa] aussi tout oiseau ayant des ailes, selon son espèce; et Dieu vit que cela était bon.
0101160089	Et Dieu les bénit, en disant: Croissez et multipliez, et remplissez les eaux dans les mers, et que les oiseaux multiplient sur la terre.
0101170043	Ainsi fut le soir, ainsi fut le matin; [ce fut] le cinquième jour.
010118009d	Puis Dieu dit: Que la terre produise des animaux selon leur espèce, le bétail, les reptiles, et les bêtes de la terre selon leur espèce; et il fut ainsi.
01011900aa	Dieu donc fit les bêtes de la terre selon leur espèce, et le bétail selon son espèce, et les reptiles de la terre selon leur espèce; et Dieu vit que cela était bon.
01011a00e8	Puis Dieu dit: Faisons l'homme à notre image, selon notre ressemblance, et qu'il domine sur les poissons de la mer, et sur les oiseaux des cieux, et sur le bétail, et sur toute la terre, et sur tout reptile qui rampe sur la terre.
01011b0064	Dieu donc créa l'homme à son image, il le créa à l'image de Dieu, il les créa mâle et femelle.
01011c00d7	Et Dieu les bénit, et leur dit: Croissez, et multipliez, et remplissez la terre; et l'assujettissez, et dominez sur les poissons de la mer, et sur les oiseaux des cieux, et sur toute bête qui se meut sur la terre.
01011d00c5	Et Dieu dit: Voici, je vous ai donné toute herbe portant semence qui est sur toute la terre, et tout arbre qui a en soi-même du fruit d'arbre portant semence, [et cela] vous sera pour nourriture.
01011e00c9	Mais [j'ai donné] à toutes les bêtes de la terre, et à tous les oiseaux des cieux et à toute chose qui se meut sur la terre, ayant vie en soi-même, toute herbe verte pour manger; et il fut ainsi.
01011f0086	Et Dieu vit tout ce qu'il avait fait, et voilà il était très-bon; ainsi fut le soir, ainsi fut le matin; [ce fut] le sixième jour.
0102010043	Les cieux donc et la terre furent achevés, avec toute leur armée.
010202008c	Et Dieu eut achevé au septième jour son œuvre qu'il avait faite, et il se reposa au septième jour de toute son œuvre qu'il avait faite.
0102030098	Et Dieu bénit le septième jour, et le sanctifia, parce qu'en ce jour-là il s'était reposé de toute son œuvre qu'il avait créée pour être faite.
010204007d	Telles sont les origines des cieux et de la terre, lorsqu'ils furent créés; quand l'Eternel Dieu fit la terre et les cieux,
01020500f8	Et toutes les plantes des champs, avant qu'il y en eût en la terre, et toutes les herbes des champs, avant qu'elles eussent poussé; car l'Eternel Dieu n'avait point fait pleuvoir sur la terre, et il n'y avait point d'homme pour labourer la terre.
0102060058	Et il ne montait point de vapeur de la terre, qui arrosât toute la surface de la terre.
01020700a3	Or l'Eternel Dieu avait formé l'homme de la poudre de la terre, et il avait soufflé dans ses narines une respiration de vie; et l'homme fut fait en âme vivante.
0102080075	Aussi l'Eternel Dieu avait planté un jardin en Héden, du coté d'Orient, et y avait mis l'homme qu'il avait formé.
01020900b5	Et l'Eternel Dieu avait fait germer de la terre tout arbre désirable à la vue, et bon à manger, et l'arbre de vie au milieu du jardin, et l'arbre de la science du bien et du mal.
01020a005e	Et un fleuve sortait d'Héden pour arroser le jardin; et de là il se divisait en quatre bras.
01020b007c	Le nom du premier est Pison; c'est le fleuve qui coule en tournoyant par tout le pays de Havila, où [il se trouve] de l'or.
01020c005f	Et l'or de ce pays-là est bon; c'est là aussi que se trouve le Bdellion, et la pierre d'Onyx.
01020d0063	Et le nom du second fleuve est Guihon; c'est celui qui coule en tournoyant par tout le pays de Cus.
01020e006e	Et le nom du troisième fleuve est Hiddekel, qui coule vers l'Assyrie; et le quatrième fleuve est l'Euphrate.
01020f0067	L'Eternel Dieu prit donc l'homme et le mit dans le jardin d'Héden pour le cultiver, et pour le garder.
0102100062	Puis l'Eternel Dieu commanda à l'homme, en disant: Tu mangeras librement de tout arbre du jardin.
0102110087	Mais quant à l'arbre de la science du bien et du mal, tu n'en mangeras point; car dès le jour que tu en mangeras, tu mourras de mort.
010212006c	Or l'Eternel Dieu avait dit: Il n'est pas bon que l'homme soit seul; je lui ferai une aide semblable à lui.
01021300fc	Car l'Eternel Dieu avait formé de la terre toutes les bêtes des champs et tous les oiseaux des cieux, puis il les avait fait venir vers Adam, afin qu'il vît comment il les nommerait, et afin que le nom qu'Adam donnerait à tout animal, fût son nom.
01021400b2	Et Adam donna les noms à tout le bétail, et aux oiseaux des cieux, et à toutes les bêtes des champs, mais il ne se trouvait point d'aide pour Adam, qui fût semblable à lui.
01021500a2	Et l'Eternel Dieu fit tomber un profond sommeil sur Adam, et il s'endormit; et [Dieu] prit une de ses côtes, et resserra la chair dans la place [de cette côte].
0102160060	Et l'Eternel Dieu fit une femme de la côte qu'il avait prise d'Adam, et la fit venir vers Adam.
010217008d	Alors Adam dit: A cette fois celle-ci est os de mes os, et chair de ma chair; on la nommera hommesse, parce qu'elle a été prise de l'homme.
0102180072	C'est pourquoi l'homme laissera son père et sa mère, et se joindra à sa femme, et ils seront une [même] chair.
0102190052	Or Adam et sa femme étaient tous deux nus, et ils ne le prenaient point à honte.
01030100b8	Or le serpent était le plus fin de tous les animaux des champs que l'Eternel Dieu avait faits; et il dit à la femme: Quoi! Dieu a dit, vous ne mangerez point de tout arbre du jardin?
010302004e	Et la femme répondit au serpent: Nous mangeons du fruit des arbres du jardin;
010303009d	Mais quant au fruit de l'arbre qui est au milieu du jardin, Dieu a dit: Vous n'en mangerez point, et vous ne le toucherez point, de peur que vous ne mouriez.
010304003c	Alors le serpent dit à la femme: Vous ne mourrez nullement;
0103050082	Mais Dieu sait qu'au jour que vous en mangerez, vos yeux seront ouverts, et vous serez comme des Dieux, sachant le bien et le mal.
0103060115	La femme donc voyant que [le fruit] de l'arbre était bon à manger, et qu'il était agréable à la vue, et que [cet] arbre était désirable pour donner de la science, en prit du fruit, et en mangea, et elle en donna aussi à son mari [qui était] avec elle, et il en mangea.
010307009c	Et les yeux de tous deux furent ouverts; ils connurent qu'ils étaient nus, et ils cousirent ensemble des feuilles de figuier, et s'en firent des ceintures.
01030800b4	Alors ils ouïrent au vent du jour la voix de l'Eternel Dieu qui se promenait par le jardin; et Adam et sa femme se cachèrent de devant l'Eternel Dieu, parmi les arbres du jardin.
0103090037	Mais l'Eternel Dieu appela Adam, et lui dit: Où es-tu?
01030a0072	Et il répondit: J'ai entendu ta voix dans le jardin, et j'ai craint, parce que j'étais nu, et je me suis caché.
01030b007f	Et [Dieu] dit: Qui t'a montré que tu [étais] nu? N'as-tu pas mangé [du fruit] de l'arbre dont je t'avais défendu de manger?
01030c007b	Et Adam répondit: La femme que tu m'as donnée [pour être] avec moi, m'a donné [du fruit] de l'arbre, et j'en ai mangé.
01030d007f	Et l'Eternel Dieu dit à la femme: Pourquoi as-tu fait cela? Et la femme répondit: Le serpent m'a séduite, et j'en ai mangé.
01030e00e1	Alors l'Eternel Dieu dit au serpent: Parce que tu as fait cela, tu seras maudit entre tout le bétail, et entre toutes les bêtes des champs; tu marcheras sur ton ventre, et tu mangeras la poussière tous les jours de ta vie.
01030f009f	Et je mettrai inimitié entre toi et la femme, et entre ta semence et la semence de la femme; cette [semence] te brisera la tête, et tu lui briseras le talon.
01031000b5	[Et] il dit à la femme: J'augmenterai beaucoup ton travail et ta grossesse; tu enfanteras en travail les enfants; tes désirs se [rapporteront] à ton mari, et il dominera sur toi.
0103110117	Puis il dit à Adam: Parce que tu as obéi à la parole de ta femme, et que tu as mangé [du fruit] de l'arbre duquel je t'avais commandé, en disant: Tu n'en mangeras point, la terre sera maudite à cause de toi; tu en mangeras [les fruits] en travail, tous les jours de ta vie.
