0100000007	Genèse
0101010032	Au commencement, Dieu créa les cieux et la terre.
0101020086	Or la terre était informe et vide, et les ténèbres étaient à la surface de l'abîme, et l'Esprit de Dieu se mouvait sur les eaux.
0101030036	Et Dieu dit: Que la lumière soit; et la lumière fut.
010104005c	Et Dieu vit que la lumière était bonne; et Dieu sépara la lumière d'avec les ténèbres.
0101050085	Et Dieu nomma la lumière, jour; et il nomma les ténèbres, nuit. Et il y eut un soir, et il y eut un matin; ce fut le premier jour.
0101060064	Puis Dieu dit: Qu'il y ait une étendue entre les eaux; et qu'elle sépare les eaux d'avec les eaux.
0101070093	Et Dieu fit l'étendue, et sépara les eaux qui sont au-dessous de l'étendue, d'avec les eaux qui sont au-dessus de l'étendue; et cela fut ainsi.
0101080062	Et Dieu nomma l'étendue, cieux. Et il y eut un soir, et il y eut un matin; ce fut le second jour.
0101090084	Puis Dieu dit: Que les eaux qui sont au-dessous des cieux se rassemblent en un seul lieu, et que le sec paraisse; et cela fut ainsi.
01010a0060	Et Dieu nomma le sec, terre; et il nomma l'amas des eaux, mers; et Dieu vit que cela était bon.
01010b00d2	Puis Dieu dit: Que la terre pousse de la végétation, des herbes portant semence, des arbres fruitiers portant du fruit selon leur espèce, qui aient leur semence en eux-mêmes sur la terre; et cela fut ainsi.
01010c00d5	Et la terre produisit de la végétation, des herbes portant semence selon leur espèce, et des arbres portant du fruit, qui avaient leur semence en eux-mêmes, selon leur espèce; et Dieu vit que cela était bon.
01010d0045	Et il y eut un soir, et il y eut un matin; ce fut le troisième jour.
01010e00c4	Puis Dieu dit: Qu'il y ait des luminaires dans l'étendue des cieux, pour séparer le jour d'avec la nuit, et qu'ils servent de signes, et pour les saisons, et pour les jours, et pour les années;
01010f0066	Et qu'ils servent de luminaires dans l'étendue des cieux, pour éclairer la terre; et cela fut ainsi.
01011000a1	Et Dieu fit les deux grands luminaires; le grand luminaire, pour dominer sur le jour, et le petit luminaire, pour dominer sur la nuit; il fit aussi les étoiles.
0101110043	Et Dieu les mit dans l'étendue des cieux, pour éclairer la terre;
0101120080	Et pour dominer sur le jour et sur la nuit, et pour séparer la lumière d'avec les ténèbres; et Dieu vit que cela était bon.
0101130045	Et il y eut un soir, et il y eut un matin; ce fut le quatrième jour.
010114008b	Puis Dieu dit: Que les eaux produisent en abondance des êtres vivants; et que des oiseaux volent sur la terre devant l'étendue des cieux.
01011500ca	Et Dieu créa les grands poissons, et tous les êtres vivants qui se meuvent, dont les eaux foisonnèrent, selon leurs espèces, et tout oiseau ailé, selon son espèce; et Dieu vit que cela était bon.
0101160089	Et Dieu les bénit, en disant: Croissez et multipliez, et remplissez les eaux dans les mers; et que les oiseaux multiplient sur la terre.
0101170045	Et il y eut un soir, et il y eut un matin; ce fut le cinquième jour.
010118009b	Puis Dieu dit: Que la terre produise des êtres vivants selon leur espèce, bétail, reptiles et animaux de la terre selon leur espèce; et cela fut ainsi.
01011900a6	Et Dieu fit les animaux de la terre selon leur espèce, le bétail selon son espèce, et tous les reptiles du sol selon leur espèce; et Dieu vit que cela était bon.
01011a00ef	Puis Dieu dit: Faisons l'homme à notre image, selon notre ressemblance, et qu'il domine sur les poissons de la mer, et sur les oiseaux des cieux, et sur le bétail, et sur toute la terre, et sur tous les reptiles qui rampent sur la terre.
01011b0062	Et Dieu créa l'homme à son image; il le créa à l'image de Dieu; il les créa mâle et femelle.
01011c00da	Et Dieu les bénit; et Dieu leur dit: Croissez et multipliez, et remplissez la terre, et l'assujettissez, et dominez sur les poissons de la mer et sur les oiseaux des cieux, et sur tout animal qui se meut sur la terre.
01011d00c1	Et Dieu dit: Voici je vous ai donné toute herbe portant semence, qui est à la surface de toute la terre, et tout arbre qui a en soi du fruit d'arbre portant semence; ce sera votre nourriture.
01011e00cd	Et à tous les animaux des champs, et à tous les oiseaux des cieux, et à tout ce qui se meut sur la terre, qui a en soi une âme vivante, j'ai donné toute herbe verte pour nourriture; et cela fut ainsi.
01011f0087	Et Dieu vit tout ce qu'il avait fait, et voici, c'était très bon. Et il y eut un soir, et il y eut un matin; ce fut le sixième jour.
0102010042	Ainsi furent achevés les cieux et la terre, et toute leur armée.
010202008c	Et Dieu eut achevé au septième jour son œuvre qu'il avait faite; et il se reposa au septième jour de toute son œuvre qu'il avait faite.
01020300a2	Et Dieu bénit le septième jour, et le sanctifia, parce qu'en ce jour-là il se reposa de toute son œuvre, pour l'accomplissement de laquelle Dieu avait créé.
010204007f	Telles sont les origines des cieux et de la terre, quand ils furent créés, lorsque l'Éternel Dieu fit la terre et les cieux.
01020500dc	Or aucun arbrisseau des champs n'était encore sur la terre, et aucune herbe des champs ne germait encore; car l'Éternel Dieu n'avait point fait pleuvoir sur la terre, et il n'y avait point d'homme pour cultiver le sol;
0102060049	Mais une vapeur montait de la terre, et arrosait toute la surface du sol.
0102070096	Et l'Éternel Dieu forma l'homme de la poussière de la terre, et souffla dans ses narines une respiration de vie; et l'homme devint une âme vivante.
0102080068	Et l'Éternel Dieu planta un jardin en Éden du côté de l'Orient, et y mit l'homme qu'il avait formé.
01020900ba	Et l'Éternel Dieu fit germer du sol toute sorte d'arbres agréables à la vue, et bons à manger, et l'arbre de vie au milieu du jardin, et l'arbre de la connaissance du bien et du mal.
01020a0065	Et un fleuve sortait d'Éden pour arroser le jardin; et de là il se divisait et formait quatre bras.
01020b005c	Le nom du premier est Pishon; c'est celui qui entoure le pays de Havila, où se trouve l'or.
01020c004b	Et l'or de ce pays est bon; là se trouve le bdellion, et la pierre d'onyx.
