0100000007	Genèse
0101010031	Au commencement Dieu créa les cieux et la terre.
010102009e	Et la terre était le désert et le vide, et il y avait des ténèbres à la surface de l'abîme, mais l'Esprit de Dieu posait couvant à la surface des eaux.
0101030036	Et Dieu dit: Que la lumière soit! Et la lumière fut.
0101040058	Et Dieu vit que la lumière était bonne. Et Dieu sépara la lumière et les ténèbres.
0101050070	Et Dieu nomma la lumière jour, et nomma les ténèbres nuit. Et il y eut soir, et il y eut matin: premier jour.
0101060066	Puis Dieu dit: Qu'il y ait un firmament entre les eaux, et qu'il sépare les eaux les unes des autres.
01010700a9	Et Dieu fit le firmament, et sépara les eaux qui sont au-dessous du firmament, des eaux qui sont au-dessus du firmament. Et ainsi fut. Et Dieu nomma le firmament cieux.
0101080031	Et il y eut soir, et il y eut matin: second jour.
0101090074	Puis Dieu dit: Que les eaux se rassemblent sous les cieux en un lieu unique, et que le sec apparaisse. Et ainsi fut.
01010a005a	Et Dieu nomma le sec terre, et nomma l'amas des eaux mer. Et Dieu vit que cela était bon.
01010b00c1	Puis Dieu dit: Que la terre fasse germer la verdure, la plante portant graine, l'arbre fruitier donnant selon son espèce un fruit qui ait en lui sa graine, au-dessus de la terre. Et ainsi fut.
01010c00ac	Et la terre produisit verdure, plante portant graine selon son espèce, et arbre donnant du fruit ayant en lui sa graine selon son espèce. Et Dieu vit que cela était bon.
01010d0035	Et il y eut soir, et il y eut matin: troisième jour.
01010e0062	Puis Dieu dit: Qu'il y ait des luminaires au firmament des cieux pour séparer le jour et la nuit,
01010f008a	et qu'ils servent pour signes, et époques, et jours et années, et soient pour luminaires au firmament des cieux pour luire sur la terre.
01011000a1	Et ainsi fut. Et Dieu fit les deux grands luminaires, le grand luminaire pour présider au jour et le petit luminaire pour présider à la nuit, et les étoiles.
0101110041	Et Dieu les plaça au firmament des cieux pour luire sur la terre
0101120073	et présider au jour et à la nuit et pour séparer la lumière et les ténèbres. Et Dieu vit que cela était bon.
0101130035	Et il y eut soir, et il y eut matin: quatrième jour.
0101140094	Puis Dieu dit: Que les eaux fourmillent d'une multitude d'animaux vivants, et que les volatiles volent au-dessus de la terre au firmament des cieux.
01011500db	Et Dieu créa les grands poissons de mer et tous les animaux vivants qui se meuvent, dont les eaux fourmillent, selon leurs espèces, et tous les volatiles à ailes selon leurs espèces. Et Dieu vit que cela était bon.
0101160095	Et Dieu les bénit en disant: Soyez féconds, et vous multipliez, et remplissez les eaux dans les mers et que les volatiles multiplient sur la terre.
0101170034	Et il y eut soir et il y eut matin: cinquième jour.
01011800a9	Puis Dieu dit: Que la terre produise des animaux vivants selon leurs espèces, des bestiaux et des reptiles, et des bêtes terrestres selon leurs espèces. Et ainsi fut.
01011900af	Et Dieu fit les animaux terrestres selon leurs espèces et les bestiaux selon leurs espèces et tous les reptiles du sol selon leurs espèces. Et Dieu vit que cela était bon.
01011a00f0	Puis Dieu dit: Faisons l'homme à notre image, à notre ressemblance, et qu'ils dominent sur les poissons de la mer et sur les oiseaux des cieux et sur les bestiaux et sur toute la terre et sur tous les reptiles qui se meuvent sur la terre.
01011b0062	Et Dieu créa l'homme à son image: à l'image de Dieu Il le créa! Il les créa mâle et femelle.
01011c00ed	Et Dieu les bénit, et Dieu leur dit: Soyez féconds et vous multipliez, et remplissez la terre et vous la soumettez, et dominez sur les poissons de la mer et sur les oiseaux des cieux et sur tous les animaux qui se meuvent sur la terre.
01011d00ba	Et Dieu dit: Voici, je vous donne toute plante portant graine, qui se trouve à la surface de toute la terre, et tout arbre ayant un fruit qui porte graine: ils vous serviront d'aliment;
