1300000007	Psaumes
13010100a1	Heureux l'homme qui ne suit pas les conseils des méchants Qui ne se tient pas dans la voie des pécheurs, Et qui ne s'assied pas dans la compagnie des moqueurs;
130102005c	Mais qui prend son plaisir dans la loi de l'Éternel, Et qui médite cette loi jour et nuit.
13010300b0	Il sera comme un arbre planté près des eaux courantes, Qui donne ses fruits en leur saison, Et dont le feuillage ne se flétrit point: Tout ce qu'il entreprend lui réussira.
130104005c	Il n'en sera pas ainsi des méchants; Mais ils seront comme la paille emportée par le vent.
130105007a	C'est pourquoi les méchants ne pourront pas subsister Au jour du jugement. Ni les pécheurs dans l'assemblée des justes.
130106005a	Car l'Eternel veille sur la voie des justes, Mais la voie des méchants mène à la ruine.
1302010058	Pourquoi les nations s'agitent-elles? Pourquoi les peuples forment-ils de vains projets?
1302020070	Les rois de la terre se sont soulevés, Et les princes conspirent ensemble Contre l'Éternel et contre son Oint.
130203004b	— Rompons leurs liens, disent-ils. Et jetons loin de nous leurs chaînes!
1302040049	— Celui qui habite dans les deux en rira; Le Seigneur se moquera d'eux.
130205004c	Alors il leur parlera dans sa colère; Il les épouvantera par son courroux.
1302060048	— Et moi, dira-t-il, j'ai sacré mon roi Sur Sion, ma montagne sainte.
1302070061	— Je publierai le décret. L'Éternel m'a dit: «Tu es mon Fils; Aujourd'hui je t'ai engendré.
1302080068	Demande-moi, et je te donnerai pour héritage les nations. Pour possession les extrémités de la terre.
130209005c	Tu les briseras avec un sceptre de fer; Tu les mettras en pièces comme un vase de potier.»
13020a005c	Maintenant donc, ô rois, ayez de l'intelligence; Laissez-vous instruire, juges de la terre!
13020b0045	Servez l'Éternel avec crainte. Et réjouissez-vous avec tremblement.
13020c00c9	Rendez hommage au Fils, de peur qu'il ne s'irrite, Et que vous ne périssiez dans la voie que vous suivez; Car sa colère est prompte à s'enflammer. Heureux tous ceux qui cherchent leur refuge en lui!
1303010087	Psaume de David, lorsqu'il fuyait devant Absalom, son fils, Éternel, que mes ennemis sont nombreux! Que de gens se lèvent contre moi!
1303020051	Combien disent à mon sujet: «Point de salut pour lui auprès de Dieu!» (Pause)
1303030067	Mais toi, ô Éternel, tu es mon bouclier; Tu es ma gloire, tu es celui qui me fait redresser la tête.
130304004b	Ma voix invoque l'Éternel, Et il me répond de sa montagne sainte. (Pause)
130305005b	Je me suis couché et je me suis endormi. Je me suis réveillé car l'Éternel me soutient.
130306004a	Je ne crains point les milliers d'hommes Qui m'assiègent de toutes parts.
1303070080	Lève-toi, ô Éternel! Sauve-moi, ô mon Dieu! Tu as frappé à la joue tous mes ennemis; Tu as brisé les dents des méchants.
130308004f	Le salut vient de l'Éternel. Que ta bénédiction soit sur ton peuple! (Pause)
13040100e1	Au Maître-chantre. — Avec instruments à cordes. — Psaume de David. Quand je crie, réponds-moi, ô Dieu de ma justice! Toi qui, à l'heure de l'angoisse, mets mon coeur au large, Aie pitié de moi et entends ma prière!
1304020096	Fils des hommes, jusques à quand ma gloire sera-t-elle outragée? Jusques à quand aimerez-vous la vanité, Et rechercherez-vous le mensonge? (Pause)
1304030064	Sachez que l'Éternel s'est choisi un homme qui l'aime: L'Éternel m'entend, quand je crie vers lui.
1304040066	Si vous êtes irrités, ne péchez point! Parlez en vos coeurs sur votre couche, et gardez le silence!
1304050051	Offrez vos sacrifices d'un coeur sincère, (Pause) Et confiez-vous en l'Éternel.
130406007a	Nombreux sont ceux qui disent: «Qui nous fera voir le bonheur?» Fais lever sur nous la lumière de ta face, ô Éternel!
130407006b	Tu as mis dans mon coeur plus de joie qu'ils n'en éprouvent. Quand ils ont en abondance du blé et du vin.
1304080078	Je me coucherai et je m'endormirai en paix; Car même quand je suis seul, ô Éternel. Tu me fais reposer en sécurité.
1305010086	Au maître-chantre. — Avec les flûtes. Psaume de David. Prête l'oreille à mes paroles, ô Éternel; Sois attentif à mes soupirs!
1305020061	Écoute ma voix qui t'implore, ô mon Roi et mon Dieu; Car c'est à toi que s'adresse ma prière.
1305030064	Éternel, dès le matin daigne entendre ma voix; Dès le matin je t'offre ma requête, et j'attends!
130504005b	Car tu n'es pas un Dieu qui prenne plaisir au mal: Le méchant ne peut séjourner chez toi.
1305050059	Les orgueilleux ne subsistent pas devant tes yeux; Tu hais tous les ouvriers d'iniquité.
1305060066	Tu feras périr ceux qui profèrent le mensonge. L'Éternel a horreur de l'homme de sang et de fraude.
1305070081	Mais moi, par ta grande bonté, j'entrerai dans ta maison; Je me prosternerai dans ton sanctuaire, Avec la crainte qui t'est due.
130508007a	Éternel, dirige-moi dans les sentiers de ta justice, A cause de ceux qui épient ma conduite. Aplanis la voie devant moi!
13050900a2	Car il n'y a point de sincérité dans leur bouche; Leur coeur ne pense qu'à détruire; Leur gosier est un sépulcre ouvert; Leur langue est pleine de flatterie.
13050a0099	Châtie-les, ô Dieu! Qu'ils échouent dans leurs desseins! Repousse-les à cause de la multitude de leurs crimes; Car ils se sont révoltés contre toi.
13050b00bb	Mais tous ceux qui se confient en toi se réjouiront; Ils pousseront des cris d'allégresse, à jamais. Tu étendras sur eux ta protection. Et ceux qui aiment ton nom Triompheront en toi!
13050c0063	C'est toi, ô Éternel, qui bénis le juste; Tu l'entoures de ta bienveillance comme d'un bouclier.
13060100bd	Au maître-chantre. — Avec instruments à cordes, pour voix de basse. — Psaume de David. Éternel, ne me punis pas, dans ta colère, Et ne me châtie pas, dans l'ardeur de ton courroux!
1306020073	Aie pitié de moi, ô Éternel; car je suis défaillant. Guéris-moi, ô Éternel; car mes os sont tout tremblants.
1306030044	Mon âme aussi est troublée; Et toi, ô Éternel, jusques à quand?
1306040043	Reviens, ô Éternel, délivre mon âme; Sauve-moi, dans ta bonté!
1306050061	Car, dans la mort il n'est plus fait mention de toi; Qui te glorifiera dans le Séjour des morts?
1306060064	Je m'épuise à gémir; Chaque nuit, je baigne ma couche de pleurs; Je trempe mon lit de mes larmes.
1306070055	Mon oeil se consume de chagrin; Il se flétrit à cause de tous ceux qui m'oppriment.
1306080068	Éloignez-vous de moi, vous tous, ouvriers d'iniquité; Car l'Éternel a entendu mes cris et mes pleurs.
1306090046	L'Éternel a entendu ma supplication; L'Éternel accueille ma prière.
13060a006a	Tous mes ennemis seront saisis de honte et d'effroi; Ils reculeront, ils seront soudain couverts de honte.
13070100cf	Hymne lyrique de David, qu'il chanta en l'honneur de l'Éternel, au sujet de Cus, le Benjamite. O Éternel, mon Dieu, je cherche en toi mon refuge; Sauve-moi de tous ceux qui me poursuivent, et délivre-moi;
130702006a	De peur que l'ennemi ne me déchire comme un lion Et ne me mette en pièces sans que personne me délivre!
130703004d	Éternel, mon Dieu, si je suis coupable, Si mes mains ont commis l'iniquité,
1307040075	Si j'ai fait du mal à celui qui était en paix avec moi, Si même j'ai dépouillé celui qui m'opprimait sans motif,
1307050076	Que l'ennemi me poursuive et m'atteigne; Qu'il foule aux pieds ma vie, Et couche ma gloire dans la poussière! (Pause)
13070600a2	Lève-toi, ô Éternel, dans ta colère! Élève-toi contre les fureurs de ceux qui m'oppriment; Réveille-toi! Viens à moi! Déjà, tu as préparé le jugement!
1307070064	L'assemblée des peuples t'environne; Reprends ta place au-dessus d'elle dans les lieux très hauts!
1307080064	L'Éternel juge les peuples! Rends-moi justice, ô Éternel, Selon mon droit, selon mon intégrité.
1307090076	Que la malice des méchants prenne fin! Mais affermis le juste. Toi qui sondes les coeurs et les reins, ô Dieu juste!
13070a003c	Dieu est mon bouclier; Il sauve ceux qui ont le coeur droit.
13070b004e	Dieu est un juste juge. Un Dieu fort qui fait sentir sa colère en tout temps.
13070c0064	Si le méchant ne se convertit pas. Dieu aiguise son épée; Il bande son arc, et il le tient prêt.
13070d0051	Il prépare contre lui des armes mortelles; Il apprête des flèches enflammées.
13070e0070	Voici que le méchant est en travail pour enfanter le crime; Il a conçu l'iniquité, et il enfante le mensonge.
13070f004f	Il a creusé un trou profond; Mais il tombera dans la fosse qu'il a préparée.
1307100047	Sa malice retournera sur sa tête; Sa violence retombera sur son front.
130711006a	Je glorifierai l'Éternel à cause de sa justice; Je chanterai le nom de l'Éternel, le nom du Très-Haut.
13080100b1	Au maître-chantre. — Sur la Guittith. — Psaume de David. Éternel, notre Seigneur, Que ton nom est magnifique sur toute la terre! Ta majesté s'élève au-dessus des cieux.
13080200a2	De la bouche des petits enfants, Même de ceux qu'on allaite, Tu tires ta louange pour confondre tes adversaires, Pour réduire au silence l'ennemi et le rebelle.
1308030060	Quand je contemple les cieux, oeuvre de tes mains, La lune et les étoiles que tu y as placées,
1308040079	Je dis: Qu'est-ce que l'homme, pour que tu te souviennes de lui? Et le fils de l'homme, pour que tu prennes garde à lui?
130805005e	Tu l'as créé à peine inférieur à un dieu! Tu l'as couronné de gloire et de magnificence.
130806005f	Tu lui as donné l'empire sur les oeuvres de tes mains; Tu as mis toutes choses sous ses pieds:
130807003a	Les brebis comme les boeufs, Et même les bêtes sauvages,
130808005c	Les oiseaux du ciel et les poissons de l'océan, Tout ce qui parcourt les sentiers des mers.
1308090048	Éternel, notre Seigneur, Que ton nom est magnifique sur toute la terre!
130901009a	Au maître-chantre. — Sur «Meurs pour le fils». — Psaume de David. Je glorifierai l'Éternel de tout mon coeur; Je raconterai toutes ses merveilles.
1309020052	Je m'égaierai, je me réjouirai en toi; Je chanterai ton nom, ô Dieu Très-Haut!
1309030043	Car mes ennemis reculent; Ils tombent et périssent devant ta face.
1309040062	Oui, tu as soutenu mon droit, tu as défendu ma cause; Tu t'es assis sur ton trône en juste juge.
1309050077	Tu as réprimandé les nations, tu as fait périr les méchants; Tu as effacé leur nom pour toujours, à perpétuité.
1309060067	Plus d'ennemis. Des ruines éternelles! Tu as détruit leurs villes, Et leur souvenir a péri avec eux.
1309070046	L'Éternel règne à jamais; Il a dressé son trône pour le jugement.
1309080045	Il jugera le monde avec justice; Il jugera les peuples avec équité.
130909004d	L'Éternel sera le refuge de l'opprimé, Son refuge au temps de la détresse.
13090a0071	Ceux qui connaissent ton nom se confieront en toi; Car tu n'abandonnes jamais ceux qui te cherchent, ô Éternel.
13090b0069	Chantez en l'honneur de l'Éternel qui habite en Sion; Annoncez parmi les peuples ses actions glorieuses!
13090c0061	Car il se souvient du sang versé, pour en tirer vengeance; Il n'oublie pas le cri des affligés.
13090d0080	Aie pitié de moi, ô Éternel! Vois la détresse où m'ont réduit mes ennemis, toi qui me fais remonter des portes de la mort,
13090e007d	Afin que je publie toutes tes louanges Aux portes de la fille de Sion, Et que je me réjouisse du salut que tu m'as accordé.
13090f007b	Les nations sont tombées dans la fosse qu'elles avaient creusées; Leur pied s'est pris au piège qu'elles avaient caché.
130910008b	L'Éternel s'est fait connaître, il a manifesté sa justice: Le méchant a été enlacé dans son propre filet. (Jeu d'instruments, Pause)
1309110058	Les méchants s'en vont au Séjour des morts, Avec toutes les nations qui oublient Dieu.
1309120069	Le malheureux ne sera pas toujours oublié, Et l'espoir des opprimés ne sera pas éternellement trompé.
1309130063	Lève-toi, ô Éternel! Que l'homme ne triomphe pas. Que les nations soient jugées devant ta face!
1309140067	Éternel, répands sur elles la frayeur: Que les peuples sachent qu'ils ne sont que des hommes! (Pause)
130a010057	Pourquoi, ô Éternel, te tiens-tu éloigné. Et te caches-tu au temps de la détresse?
130a020074	L'orgueil des méchants est un feu qui consume le malheureux Il se laisse prendre aux pièges qu'ils lui ont tendus.
130a03006d	Car le méchant se glorifie des convoitises de son âme: Spoliateur avide, il maudit l'Éternel et l'outrage.
130a04006c	Le méchant dit dans son orgueil: «Dieu ne punira pas! Il n'y a pas de Dieu!» — Voilà toute sa pensée.
130a05007a	Ses entreprises réussissent en tout temps. Tes jugements sont au-dessus de sa portée; Il dédaigne tous ses adversaires.
130a060057	Il dit en son coeur: «Je ne serai point ébranlé; Jamais le malheur ne m'atteindra!»
130a070076	Sa bouche est pleine de malédiction, de fraude et de violence; Sous sa langue se cachent le crime et la méchanceté.
130a080076	Il se tient aux aguets près des villages; Il tue l'innocent dans les lieux écartés; Ses yeux épient le malheureux.
130a0900a5	Il s'embusque dans un lieu caché, Comme un lion dans son repaire; Il se tient aux aguets pour surprendre le malheureux: Il le surprend en l'attirant dans son filet.
130a0a0047	Il se tapit, il se baisse. Et les malheureux tombent entre ses griffes.
130a0b0050	Il dit en son coeur: «Dieu oublie. Il a caché sa face; il ne regarde jamais!»
130a0c0049	Lève-toi, ô Éternel! Dieu, lève ta main! N'oublie pas les malheureux!
130a0d005e	Pourquoi le méchant t'outrage-t-il, ô Dieu, Et dit-il en son coeur que tu ne le puniras pas?
130a0e00bf	Et pourtant, tu vois tout! Tu suis du regard ceux qui sont dans la peine et la souffrance, Afin de prendre leur cause en main. A toi s'abandonne le malheureux; Tu es le secours de l'orphelin!
130a0f0068	Brise la puissance du méchant; Poursuis l'iniquité de l'injuste. Afin qu'on n'en trouve plus la trace!
130a10005b	L'Éternel est Roi pour toujours et à perpétuité; Les nations ont disparu de son empire.
130a110074	Éternel, tu entends les souhaits des malheureux; Tu affermiras leur coeur! Tu leur prêteras une oreille attentive,
130a12006e	Pour faire droit à l'orphelin et à l'opprimé, Afin que l'homme, tiré de la poussière, cesse de te braver!
130b010094	Au maître-chantre. — De David. J'ai cherché mon refuge en l'Éternel. Comment dites-vous à mon âme: «Fuis vers tes montagnes, comme l'oiseau!
130b020090	Car voici que les méchants bandent l'arc; Ils ont ajusté leur flèche sur la corde, Pour tirer, dans l'ombre, sur ceux qui ont le coeur droit.
130b030040	Quand les fondements sont renversés, Le juste, que fera-t-il?»
130b04008b	L'Éternel est dans sa demeure sainte: L'Éternel a son trône dans les cieux. Ses yeux observent; Ses regards sondent les fils des hommes.
130b05005a	L'Éternel sonde le juste; Mais il hait le méchant et celui qui se plaît à la violence.
130b060089	Il fera pleuvoir sur les méchants Des charbons ardents, du feu et du soufre. Un vent brûlant, tel est le sort qu'ils auront en partage!
130b070057	Oui, l'Éternel est juste; il aime la justice. Les hommes droits contempleront sa face.
130c0100b2	Au maître-chantre. — Pour voix de basse. — Psaume de David. Sauve-nous, ô Éternel! Car les hommes pieux disparaissent; Il n'y a plus de fidèles parmi les fils des hommes.
130c020078	Ils s'adressent l'un à l'autre des paroles mensongères; Ils parlent avec des lèvres flatteuses, Avec un coeur double.
130c030059	Que l'Éternel détruise toutes les lèvres flatteuses, La langue qui parle avec orgueil,
130c04007a	Et tous ceux qui disent: «Notre langue nous assure la victoire; Nos lèvres sont notre force: Qui serait notre maître?»
130c0500a9	A cause de l'oppression des malheureux Et du gémissement des pauvres, Maintenant, dit l'Éternel, je me lèverai; Je leur donnerai le salut après lequel ils soupirent!
130c060086	Les paroles de l'Éternel sont des paroles pures; C'est un argent affiné au creuset, dans l'argile, Et qui est épuré par sept fois.
130c070068	Toi, ô Éternel, tu garderas les justes; Tu nous défendras contre cette génération, à perpétuité!
130c08005c	Les méchants s'agitent de toutes parts, Quand la bassesse règne parmi les fils des hommes.
130d01008b	Au maître-chantre. — Psaume de David. Jusques à quand, ô Éternel, m'oublieras-tu sans cesse? Jusques à quand me cacheras-tu ta face?
130d020095	Jusques à quand aurai-je des soucis dans l'âme, Et le chagrin dans le coeur, tout le jour? Jusques à quand mon ennemi s'élèvera-t-il contre moi?
130d030082	Regarde, exauce-moi, ô Éternel, mon Dieu! Répands dans mes yeux ta lumière. De peur que je ne m'endorme du sommeil de la mort;
130d040079	De peur que mon ennemi ne dise: «Je l'ai vaincu!» — Et que mes adversaires ne se réjouissent, si j'étais ébranlé.
130d05004a	Pour moi, je me confie en ta bonté; Ton salut remplira mon coeur de joie.
130d060041	Je chanterai à la gloire de l'Éternel; car il m'a fait du bien!
130e0100bb	Au maître-chantre. — De David. L'insensé a dit en son coeur: «Il n'y a pas de Dieu!» Les hommes se sont corrompus: leur conduite est abominable; Il n'y a personne qui fasse le bien.
130e020083	Des cieux l'Éternel abaisse son regard sur les fils des hommes, Pour voir s'il y a quelque homme intelligent, Et qui cherche Dieu.
130e03007d	Ils se sont tous détournés, ils se sont pervertis tous ensemble; Il n'y en a pas qui fasse le bien, Non, pas même un seul!
130e040092	Sont-ils donc sans intelligence, tous ces ouvriers d'iniquité? Ils dévorent mon peuple comme on mange du pain; Ils n'invoquent point l'Éternel.
130e050052	Ils seront saisis d'une terreur soudaine; Car Dieu est au milieu de la race juste.
130e060058	Vous voudriez faire échouer les desseins du malheureux; Mais l'Éternel est son refuge!
130e0700a3	Oh! Qui apportera de Sion la délivrance d'Israël? Quand l'Éternel ramènera les captifs de son peuple, Jacob sera dans l'allégresse, Israël sera dans la joie!
130f010064	Psaume de David. Éternel, qui séjournera dans ton tabernacle? Qui habitera sur ta montagne sainte?
130f020079	C'est celui qui marche dans l'intégrité, qui pratique la justice, Qui dit la vérité telle qu'elle est dans son coeur;
130f03008a	Celui dont la langue ne sème point la calomnie, Qui ne fait pas de mal à son semblable. Et qui ne jette pas l'opprobre sur son prochain.
130f0400a2	Lui-même se sent indigne et méprisable; Mais il honore ceux qui craignent l'Éternel. S'il a juré, fût-ce à son préjudice, Il ne change rien à son serment.
130f050084	Il ne prête pas son argent à usure; Il n'accepte pas de présent contre l'innocent. Celui qui agit ainsi ne sera jamais ébranlé!
1310010046	Poème de David. Garde-moi, ô Dieu; car je cherche en toi mon refuge.
1310020051	J'ai dit à l'Éternel: «Tu es le Seigneur; Toi seul, tu es mon bien suprême!»
1310030070	Et j'ai dit aux saints qui sont dans le pays: «Vous êtes les nobles âmes en qui je prends tout mon plaisir.»
13100400af	Les douleurs se multiplient Pour ceux qui courent après d'autres dieux. Je n'offrirai pas leurs libations de sang, Et les noms qu'ils invoquent ne seront pas sur mes lèvres.
1310050047	L'Éternel est ma part et mon breuvage: C'est lui qui me garde mon lot.
131006004e	Ma portion m'est échue dans des lieux agréables; Oui, j'ai un bel héritage!
131007005c	Je bénirai l'Éternel, qui est mon conseiller: Mon coeur m'y invite, même pendant la nuit.
1310080069	J'ai l'Éternel constamment présent devant moi: Puisqu'il est à ma droite, je ne serai point ébranlé.
1310090073	C'est pourquoi mon coeur se réjouit, Et mon âme tressaille de joie; Mon corps même reposera en toute sécurité.
13100a007b	Car tu n'abandonneras pas mon âme dans le Séjour des morts. Tu ne permettras pas que celui qui t'aime voie la corruption.
13100b008b	Tu me feras connaître le chemin de la vie. L'âme est rassasiée de joie en ta présence; Il y a des délices à ta droite, pour toujours!
131101008f	Prière de David. Éternel, écoute ma juste cause! Sois attentif à mon cri! Prête l'oreille à ma prière: elle sort de lèvres sans fraude!
1311020056	Que ta présence fasse éclater mon droit; Que tes yeux reconnaissent mon intégrité!
131103008b	Tu as sondé mon coeur, tu m'as visité pendant la nuit; Tu m'as éprouvé, tu ne trouves rien; Ma parole ne va pas au-delà de ma pensée.
131104007f	J'ai vu les actions des hommes; Mais, pour obéir à la parole de ta bouche. Je me suis éloigné des voies de l'homme violent.
131105004c	Affermis mes pas dans tes sentiers, Afin que mes pieds ne chancellent point.
131106005a	Je t'invoque; car tu m'exauces, ô Dieu! Incline ton oreille vers moi; écoute ma prière!
1311070076	Fais-nous admirer tes bontés, Toi qui sauves ceux qui cherchent leur refuge Auprès de toi, contre leurs adversaires!
1311080049	Garde-moi comme la prunelle de l'oeil! Cache-moi à l'ombre de tes ailes,
